date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-28,,,,,,,,,121,62,169,121,62,169,121,62,169,1.41757178208,1,1.8
2020-02-29,,,,,,,,,121,62,169,242,124,338,242,124,338,1.41743128107,0.999988755047,1.7999863456
2020-03-01,,,,,,,,,121,62,169,363,186,507,363,186,507,1.41736191952,0.99998378313,1.79997840196
2020-03-02,,,,,,,,,121,62,169,485,248,676,485,248,676,1.41725776084,0.999976606579,1.79996329759
2020-03-03,,,,,,,,,121,62,169,606,310,845,606,310,845,1.41710107594,0.999966245218,1.79993763056
2020-03-04,,,,,,,,,121,62,169,727,372,1014,727,372,1014,1.41686499456,0.99994923061,1.79989401548
2020-03-05,,,,,,,,,121,62,169,848,434,1183,848,434,1183,1.41650878505,0.999921946731,1.79981990565
2020-03-06,,,,,,,,,121,62,169,969,496,1352,969,496,1352,1.4159707594,0.999879918115,1.79969666515
2020-03-07,,,,,,,,,121,62,169,1090,558,1521,1090,558,1521,1.41515772904,0.999815150413,1.79949125703
2020-03-08,,,,,,,,,288,164,406,1378,722,1927,1378,722,1927,1.41380961681,0.999595048463,1.79906151025
2020-03-09,,,,,,,,,287,163,404,1665,886,2330,1665,886,2330,1.41194298917,0.999415746076,1.79847139874
2020-03-10,,,,,,,,,297,170,419,1962,1056,2749,1962,1056,2749,1.40912522874,0.999175571245,1.79755038895
2020-03-11,,,,,,,,,319,185,458,2281,1241,3207,2281,1241,3207,1.4049394034,0.998704616027,1.7961919213
2020-03-12,,,,,,,,,364,215,540,2645,1457,3746,2645,1457,3746,1.39877950858,0.997876597847,1.79452550732
2020-03-13,,,,,,,,,434,263,661,3079,1721,4406,3079,1721,4406,1.38986103002,0.996493409784,1.79183970316
2020-03-14,,,,,,,,,484,296,739,3442,1955,4976,3563,2017,5145,1.3772640814,0.994205333023,1.78781834388
2020-03-15,,,,,,,,,522,323,787,3843,2217,5594,4085,2341,5932,1.36008270945,0.990506539287,1.78163564058
2020-03-16,,,,,,,,,562,346,830,4283,2502,6254,4646,2688,6761,1.337692119,0.985106412214,1.77136638494
2020-03-17,,,,,,,,,603,375,896,4765,2815,6981,5250,3063,7657,1.31002388114,0.978403461443,1.75463610004
2020-03-18,,,,,,,,,652,410,1006,5296,3164,7818,5902,3474,8663,1.27767912192,0.969757880194,1.72815532548
2020-03-19,,,,,,,,,695,433,1072,5870,3535,8721,6597,3907,9735,1.24177575288,0.961825529621,1.68806937107
2020-03-20,,,,,,,,,730,459,1138,6479,3932,9690,7327,4366,10873,1.20364271612,0.95405253808,1.62999629729
2020-03-21,,,,,,,,,759,478,1214,7117,4349,10734,8086,4845,12086,1.16456231049,0.924173701719,1.57338647055
