date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-11,,,,,,,,,41,21,59,41,21,59,41,21,59,1.90989723947,1.6,2.2
2020-03-12,,,,,,,,,41,21,59,83,42,118,83,42,118,1.90979636071,1.59996471571,2.19998129488
2020-03-13,,,,,,,,,41,21,59,124,63,177,124,63,177,1.90976663333,1.59995371224,2.19997326456
2020-03-14,,,,,,,,,41,21,59,166,84,236,166,84,236,1.90972799564,1.59993934108,2.19996178253
2020-03-15,,,,,,,,,41,21,59,207,105,295,207,105,295,1.90967772674,1.5999204296,2.19994536335
2020-03-16,,,,,,,,,41,21,59,248,126,354,248,126,354,1.90961225824,1.59989701022,2.19992188158
2020-03-17,,,,,,,,,41,21,59,290,147,413,290,147,413,1.90952690518,1.59986817182,2.19988829581
2020-03-18,,,,,,,,,41,21,59,331,168,472,331,168,472,1.90941550973,1.59983124384,2.19984308949
2020-03-19,,,,,,,,,41,21,59,373,189,531,373,189,531,1.90926996961,1.59978494717,2.19977911376
2020-03-20,,,,,,,,,119,62,174,492,251,705,492,251,705,1.90900546389,1.59966211169,2.199617645
2020-03-21,,,,,,,,,119,62,173,611,314,877,611,314,877,1.90874696526,1.5995779083,2.19948639831
2020-03-22,,,,,,,,,126,66,184,737,381,1061,737,381,1061,1.90839340457,1.59946001779,2.19929516149
2020-03-23,,,,,,,,,140,74,206,877,456,1267,877,456,1267,1.9079380147,1.59929298168,2.1990399547
2020-03-24,,,,,,,,,170,91,253,1047,548,1519,1047,548,1519,1.90734674995,1.59908896516,2.1986708133
2020-03-25,,,,,,,,,216,118,325,1263,666,1843,1263,666,1843,1.9065751993,1.598814271,2.1981768574
2020-03-26,,,,,,,,,253,139,383,1475,784,2167,1517,805,2226,1.90556342905,1.59847462743,2.19746764106
2020-03-27,,,,,,,,,287,158,438,1721,922,2546,1804,964,2664,1.90423321698,1.59803258675,2.1964898059
2020-03-28,,,,,,,,,328,183,506,2008,1084,2992,2132,1147,3169,1.90248872387,1.59746049962,2.19512610099
2020-03-29,,,,,,,,,379,213,591,2346,1277,3524,2511,1361,3760,1.90020206294,1.59673514025,2.19315951544
2020-03-30,,,,,,,,,444,251,697,2749,1507,4162,2956,1612,4457,1.89720326538,1.59585227721,2.19034800578
2020-03-31,,,,,,,,,514,288,811,3222,1774,4913,3470,1900,5267,1.89327154717,1.59477410719,2.18650810104
2020-04-01,,,,,,,,,589,327,939,3769,2081,5793,4059,2228,6206,1.88812233366,1.59341359208,2.18147832955
2020-04-02,,,,,,,,,673,378,1079,4401,2439,6813,4732,2607,7285,1.88139656685,1.59155373713,2.17476084494
2020-04-03,,,,,,,,,769,434,1244,5128,2852,7997,5501,3041,8528,1.87264621517,1.58907430859,2.16602989956
2020-04-04,1,1,,,,,,,879,501,1438,5888,3291,9261,6380,3543,9965,1.86132485206,1.5858632045,2.15421024816
2020-04-05,0,1,,,,,,,1000,566,1654,6769,3794,10743,7380,4109,11619,1.84678986338,1.58239770652,2.13646753925
2020-04-06,0,1,,,,,,,1132,634,1883,7775,4362,12441,8512,4744,13502,1.82832359854,1.57766080836,2.11259142145
2020-04-07,0,1,,,,,,,1273,710,2119,8908,4998,14354,9785,5454,15620,1.80518363641,1.57170053073,2.08989775323
2020-04-08,0,1,,,,,,,1424,793,2360,10161,5700,16461,11208,6248,17980,1.77668728962,1.56373951366,2.0552949325
2020-04-09,0,1,,,,,,,1582,890,2587,11527,6473,18723,12791,7139,20566,1.74232729753,1.5481937814,2.01111773663
2020-04-10,0,1,,,,,,,1745,997,2788,13019,7331,21128,14536,8136,23354,1.70189792884,1.52521872959,1.96973475922
2020-04-11,0,1,,,,,,,1907,1112,2999,14639,8284,23688,16443,9249,26352,1.65559262227,1.44681375263,1.91673126394
2020-04-12,0,1,,,,,,,2064,1240,3176,16374,9342,26358,18506,10490,29527,1.60403387803,1.36661321848,1.85996573653
2020-04-13,1,2,,,,,,,2213,1369,3360,18208,10498,29126,20719,11859,32886,1.54821968867,1.28438169643,1.81411235928
2020-04-14,1,3,,,,,,,2350,1495,3499,20114,11743,31928,23069,13355,36385,1.489407044,1.20435360766,1.76319878418
