date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,54,34,66,54,34,66,54,34,66,1.55185185185,1.2,2
2020-02-20,,,,,,,,,54,34,66,108,68,132,108,68,132,1.55180980804,1.19999472607,1.99999217209
2020-02-21,,,,,,,,,54,34,66,161,102,198,161,102,198,1.55179217566,1.19999262446,1.99998702665
2020-02-22,,,,,,,,,54,34,66,215,136,264,215,136,264,1.5517670365,1.19998968501,1.99997849891
2020-02-23,,,,,,,,,54,34,66,269,170,330,269,170,330,1.55173113846,1.19998557357,1.99996444496
2020-02-24,,,,,,,,,54,34,66,323,204,396,323,204,396,1.55167979254,1.19997982264,1.99994128438
2020-02-25,,,,,,,,,54,34,66,377,238,462,377,238,462,1.5516062243,1.19997096769,1.99990301769
2020-02-26,,,,,,,,,54,34,66,430,272,528,430,272,528,1.55150062641,1.19995797123,1.9998428728
2020-02-27,,,,,,,,,54,34,66,484,306,594,484,306,594,1.55134877225,1.19993915667,1.99974597442
2020-02-28,,,,,,,,,136,86,177,621,392,771,621,392,771,1.55097107293,1.19977082971,1.99942923376
2020-02-29,,,,,,,,,136,86,176,757,478,946,757,478,946,1.55063541862,1.19971658823,1.99916151233
2020-03-01,,,,,,,,,142,89,186,898,568,1131,898,568,1131,1.55012759548,1.19962518911,1.99867806456
2020-03-02,,,,,,,,,154,97,207,1052,666,1337,1052,666,1337,1.5494150669,1.19951121124,1.99792963102
2020-03-03,,,,,,,,,180,115,250,1232,781,1586,1232,781,1586,1.54840183521,1.19935862372,1.99681415599
2020-03-04,,,,,,,,,220,138,315,1452,920,1901,1452,920,1901,1.54694907552,1.19914032712,1.9949536529
2020-03-05,,,,,,,,,250,156,365,1648,1042,2199,1702,1076,2265,1.54485330831,1.19883125815,1.99179791521
2020-03-06,,,,,,,,,276,172,410,1871,1180,2543,1979,1248,2675,1.54182208789,1.19842383426,1.98657890416
2020-03-07,,,,,,,,,306,188,466,2123,1334,2943,2285,1436,3141,1.53744749242,1.19790785165,1.97905421139
2020-03-08,,,,,,,,,341,205,532,2411,1506,3409,2626,1642,3673,1.53115006726,1.19720181107,1.96577749986
2020-03-09,,,,,,,,,384,228,608,2741,1701,3950,3010,1871,4280,1.52212660041,1.19607532973,1.94383391614
2020-03-10,,,,,,,,,428,250,681,3115,1917,4565,3438,2121,4961,1.50931169104,1.19432798215,1.9086558635
2020-03-11,,,,,,,,,469,272,754,3530,2156,5253,3907,2394,5715,1.49137699501,1.19229565037,1.85382343715
2020-03-12,,,,,,,,,510,290,822,3987,2412,6008,4417,2684,6536,1.46683327984,1.18964269902,1.78439082789
2020-03-13,,,,,,,,,550,308,874,4482,2687,6816,4967,2993,7410,1.43428894454,1.18603577535,1.77333419898
2020-03-14,1,1,,,,,,,587,329,920,4933,2929,7559,5553,3322,8329,1.39287589136,1.18079408242,1.701437834
2020-03-15,0,1,,,,,,,618,350,950,5414,3194,8333,6171,3673,9278,1.34268539207,1.1610401719,1.61907888647
2020-03-16,0,1,,,,,,,640,369,963,5913,3474,9110,6811,4042,10241,1.28492034609,1.06568665895,1.54977527045
2020-03-17,0,1,,,,,,,653,391,948,6411,3767,9852,7464,4434,11189,1.22161821514,0.934910374606,1.48770650905
2020-03-18,0,1,,,,,,,657,418,926,6889,4070,10528,8121,4852,12114,1.15514382285,0.827802847295,1.43020460888
2020-03-19,0,1,,,,,,,654,426,897,7323,4358,11110,8775,5279,13011,1.08776509402,0.750630659856,1.37684116687
2020-03-20,0,1,,,,,,,643,432,868,7716,4635,11613,9418,5711,13878,1.02143980053,0.695540165058,1.33595351864
2020-03-21,0,1,,,,,,,626,426,852,8065,4889,12055,10044,6138,14730,0.957773917942,0.654308219362,1.29009595655
2020-03-22,1,2,,,,,,,603,416,837,8362,5118,12426,10646,6554,15566,0.898080807825,0.625139015986,1.23167275901
2020-03-23,1,3,,,,,,,575,404,806,8596,5316,12700,11221,6959,16372,0.843471229238,0.597915921655,1.16112452969
2020-03-24,1,4,,,,,,,545,384,771,8756,5472,12863,11766,7343,17143,0.794894378647,0.581091430687,1.0858018908
2020-03-25,1,5,,,,,,,513,359,736,8842,5581,12918,12279,7703,17878,0.753078544967,0.570855597139,0.998209041206
2020-03-26,1,6,,,,,,,481,332,691,8854,5640,12855,12761,8035,18569,0.71839228587,0.562674091948,0.932870033872
2020-03-27,3,9,,,,,,,450,306,643,8793,5656,12676,13210,8341,19212,0.690717110925,0.557397302124,0.891353012665
2020-03-28,0,9,,,,,,,420,282,598,8663,5630,12399,13630,8623,19809,0.66943887355,0.553900588916,0.846828913726
