date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-25,,,,,,,,,248,126,347,248,126,347,248,126,347,1.56297627181,1.4,2
2020-02-26,,,,,,,,,248,126,347,495,252,694,495,252,694,1.56290820791,1.39987385701,1.99963832652
2020-02-27,,,,,,,,,248,126,347,743,378,1041,743,378,1041,1.56288848548,1.39984002563,1.99953180525
2020-02-28,,,,,,,,,248,126,347,990,504,1388,990,504,1388,1.56286295721,1.39979712372,1.99939391276
2020-02-29,,,,,,,,,248,126,347,1238,630,1735,1238,630,1735,1.56282988388,1.39974042163,1.99921541709
2020-03-01,,,,,,,,,248,126,347,1486,756,2082,1486,756,2082,1.56278699555,1.39967001225,1.99898437594
2020-03-02,,,,,,,,,248,126,347,1733,882,2429,1733,882,2429,1.56273132641,1.39958216276,1.99868534573
2020-03-03,,,,,,,,,248,126,347,1981,1008,2776,1981,1008,2776,1.56265899763,1.39946672725,1.99830090544
2020-03-04,,,,,,,,,248,126,347,2228,1134,3123,2228,1134,3123,1.56256493127,1.39931953375,1.99779652475
2020-03-05,,,,,,,,,627,350,864,2856,1484,3987,2856,1484,3987,1.56231246829,1.3989887473,1.99704848278
2020-03-06,,,,,,,,,625,349,860,3480,1834,4846,3480,1834,4846,1.56213665565,1.39872747201,1.99618967991
2020-03-07,,,,,,,,,651,368,899,4132,2202,5744,4132,2202,5744,1.56188711289,1.39837196392,1.99501796874
2020-03-08,,,,,,,,,707,406,980,4839,2608,6723,4839,2608,6723,1.56157415945,1.39792909703,1.99366049502
2020-03-09,,,,,,,,,824,485,1148,5662,3094,7871,5662,3094,7871,1.56117607882,1.39737650222,1.99194132192
2020-03-10,,,,,,,,,1005,602,1410,6667,3696,9281,6667,3696,9281,1.56066497363,1.39668276324,1.98976181911
2020-03-11,,,,,,,,,1144,690,1620,7563,4261,10553,7811,4387,10900,1.56000271267,1.39583224099,1.98690455445
2020-03-12,,,,,,,,,1261,769,1795,8577,4904,12000,9072,5156,12694,1.55914025152,1.39475978168,1.98306741794
2020-03-13,,,,,,,,,1396,862,2005,9725,5640,13658,10468,6018,14699,1.55802177153,1.39328270664,1.97812826931
2020-03-14,,,,,,,,,1556,976,2242,11033,6491,15552,12023,6995,16940,1.55657213149,1.39129281677,1.9717874875
2020-03-15,,,,,,,,,1755,1109,2536,12541,7474,17741,13779,8104,19476,1.55469024944,1.38895534538,1.96366849449
2020-03-16,,,,,,,,,1964,1244,2869,14257,8593,20263,15743,9349,22345,1.55224512021,1.38612189221,1.95330910563
2020-03-17,,,,,,,,,2176,1377,3186,16185,9844,23102,17918,10726,25531,1.54906758493,1.3828000326,1.94015177672
2020-03-18,,,,,,,,,2400,1515,3533,18338,11234,26287,20318,12242,29063,1.54494505466,1.37870467311,1.92354431243
2020-03-19,,,,,,,,,2646,1678,3903,20736,12786,29842,22964,13920,32965,1.53961126114,1.37232283865,1.90274505983
2020-03-20,3,3,,,,,,,2919,1859,4306,23028,14295,33285,25883,15780,37271,1.53273798104,1.36420413054,1.87694740344
2020-03-21,0,3,,,,,,,3211,2022,4745,25614,15968,37169,29095,17803,42015,1.52393221672,1.35468196025,1.84533268386
2020-03-22,0,3,,,,,,,3516,2196,5202,28479,17797,41473,32611,20000,47216,1.51274214772,1.34246457164,1.80714330481
2020-03-23,3,6,,,,,,,3831,2379,5683,31603,19771,46176,36442,22380,52899,1.4986782799,1.32615468636,1.77668683306
2020-03-24,2,8,,,,,,,4156,2571,6174,34936,21856,51203,40598,24951,59073,1.48125440239,1.30701799172,1.75460170634
2020-03-25,3,11,,,,,,,4488,2771,6650,38420,24026,56442,45087,27723,65722,1.46005189463,1.2831133068,1.71796770702
2020-03-26,4,15,,,,,,,4819,2989,7124,42095,26325,61946,49906,30712,72845,1.43480309841,1.24989078865,1.68431711494
2020-03-27,4,19,,,,,,,5139,3191,7530,45973,28747,67681,55045,33904,80375,1.40547612484,1.2125883815,1.64080916484
2020-03-28,6,25,,,,,,,5441,3431,7902,50018,31316,73578,60486,37335,88276,1.37233347243,1.18874611175,1.58735408362
2020-03-29,4,29,,,,,,,5717,3680,8217,54179,34020,79553,66203,41016,96493,1.33593838288,1.16889587871,1.54994097972
2020-03-30,11,40,,,,,,,5963,3870,8460,58387,36782,85477,72165,44886,104952,1.29710162937,1.12168850508,1.52194912471
2020-03-31,15,55,,,,,,,6175,4084,8660,62597,39621,91267,78340,48971,113612,1.25678645901,1.08236813007,1.49737564176
2020-04-01,10,65,,,,,,,6349,4278,8774,66770,42522,96856,84689,53249,122386,1.21600331184,1.03964813573,1.46038297442
2020-04-02,16,81,,,,,,,6483,4428,8920,70854,45435,102243,91172,57677,131305,1.17572174664,1.00130368811,1.4078344968
2020-04-03,10,91,,,,,,,6579,4508,8995,74787,48265,107335,97751,62186,140300,1.13681185585,0.966016281445,1.36422600184
2020-04-04,11,102,,,,,,,6638,4553,9062,78506,50958,112090,104389,66739,149361,1.10001308445,0.936523634624,1.31518060052
