date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,176,94,243,176,94,243,176,94,243,1.58137254902,1.2,2
2020-02-17,,,,,,,,,176,94,243,353,188,486,353,188,486,1.58042604644,1.19976983086,1.99974366335
2020-02-18,,,,,,,,,176,94,243,529,282,729,529,282,729,1.57999820007,1.19967966516,1.99958881756
2020-02-19,,,,,,,,,176,94,243,706,376,972,706,376,972,1.57937382351,1.19955405621,1.99935515057
2020-02-20,,,,,,,,,176,94,243,882,471,1215,882,471,1215,1.57846150618,1.19937632066,1.998988794
2020-02-21,,,,,,,,,176,94,243,1059,565,1458,1059,565,1458,1.57712728783,1.19912785035,1.99841454323
2020-02-22,,,,,,,,,176,94,243,1235,659,1701,1235,659,1701,1.57517546339,1.19877592797,1.99754037307
2020-02-23,,,,,,,,,176,94,243,1412,753,1944,1412,753,1944,1.57232175829,1.19812063882,1.99613649856
2020-02-24,,,,,,,,,176,94,243,1588,848,2187,1588,848,2187,1.56815721665,1.19725713625,1.99393658878
2020-02-25,,,,,,,,,450,260,650,2038,1108,2837,2038,1108,2837,1.56200054743,1.19601289975,1.99042694935
2020-02-26,,,,,,,,,446,259,639,2485,1368,3476,2485,1368,3476,1.55324356882,1.19385021668,1.98552008701
2020-02-27,,,,,,,,,464,272,664,2948,1641,4139,2948,1641,4139,1.54071314458,1.19046975513,1.97786715223
2020-02-28,,,,,,,,,500,295,714,3448,1936,4853,3448,1936,4853,1.523101392,1.18526575428,1.96534676874
2020-02-29,,,,,,,,,576,335,846,4024,2271,5698,4024,2271,5698,1.49890414493,1.17837598443,1.94601137126
2020-03-01,,,,,,,,,690,395,1011,4714,2667,6709,4714,2667,6709,1.46668581346,1.16402718556,1.91652629995
2020-03-02,,,,,,,,,763,444,1114,5301,3018,7579,5478,3112,7822,1.42547192209,1.1447478207,1.87243644113
2020-03-03,,,,,,,,,810,485,1155,5934,3409,8491,6287,3597,8977,1.37515316835,1.0996828564,1.80842436462
2020-03-04,,,,,,,,,853,533,1225,6611,3848,9472,7140,4131,10201,1.31664786179,1.01560446192,1.73977949792
2020-03-05,,,,,,,,,893,573,1256,7327,4327,10485,8033,4704,11457,1.25168914133,0.909899597699,1.67358376865
2020-03-06,,,,,,,,,935,625,1286,8085,4859,11527,8968,5330,12742,1.18242971342,0.822422083422,1.6257839966
2020-03-07,,,,,,,,,960,654,1313,8869,5419,12597,9928,5984,14055,1.11111797514,0.750700461357,1.56444523901
2020-03-08,,,,,,,,,966,654,1317,9658,5980,13670,10893,6639,15371,1.03992243464,0.69694046024,1.50031123448
2020-03-09,,,,,,,,,957,651,1324,10439,6537,14751,11851,7291,16695,0.970845769029,0.660559519984,1.42822375465
2020-03-10,,,,,,,,,940,635,1317,11203,7078,15824,12791,7926,18011,0.905666650543,0.632750887671,1.35679805294
2020-03-11,1,1,,,,,,,917,621,1296,11669,7438,16470,13708,8547,19307,0.845896359026,0.607456551754,1.27550239065
2020-03-12,0,1,,,,,,,887,611,1264,12110,7790,17096,14595,9159,20571,0.792747950383,0.58882355302,1.17757993207
2020-03-13,0,1,,,,,,,852,596,1213,12499,8114,17644,15448,9755,21783,0.747092106484,0.57573210331,1.07438646719
2020-03-14,2,3,,,,,,,814,574,1155,12814,8393,18086,16262,10330,22938,0.709361234952,0.565713866612,0.977958638421
2020-03-15,1,4,,,,,,,775,552,1094,13013,8611,18334,17037,10883,24032,0.679434043502,0.559525974765,0.893373909227
2020-03-16,0,4,,,,,,,738,527,1044,13061,8743,18367,17775,11410,25075,0.656619949796,0.555639866046,0.832634077666
2020-03-17,1,5,,,,,,,702,510,971,12999,8809,18224,18477,11921,26046,0.639818016132,0.553254052135,0.790558127119
2020-03-18,0,5,,,,,,,668,494,908,12858,8818,17977,19145,12416,26953,0.62777602501,0.551789867154,0.756684524539
2020-03-19,1,6,,,,,,,636,479,855,12642,8764,17607,19782,12895,27808,0.619314551606,0.550902752287,0.735868646389
2020-03-20,0,6,,,,,,,607,460,801,12355,8651,17152,20388,13356,28608,0.613448115822,0.550388247328,0.722343856681
2020-03-21,7,13,,,,,,,579,438,752,12000,8463,16618,20968,13794,29360,0.609414939999,0.550070885453,0.713868724653
2020-03-22,2,15,,,,,,,554,419,707,11593,8229,16013,21521,14214,30067,0.606655178261,0.549861503286,0.709075075068
2020-03-23,2,17,,,,,,,530,404,666,11158,7979,15362,22051,14619,30733,0.604770564919,0.549690789235,0.70592226384
2020-03-24,3,20,,,,,,,508,392,632,10709,7720,14670,22559,15011,31364,0.603483589667,0.549584657254,0.703780714206
2020-03-25,2,22,,,,,,,488,373,605,10257,7458,13958,23047,15385,31969,0.602603365878,0.549513021723,0.702324276285
2020-03-26,4,26,,,,,,,469,354,582,9809,7192,13243,23517,15739,32550,0.601999604428,0.549450316263,0.701331609035
2020-03-27,2,28,,,,,,,452,337,560,9373,6918,12539,23968,16077,33110,0.601583758521,0.549405421949,0.700652928254
2020-03-28,4,32,,,,,,,435,325,542,8956,6647,11868,24403,16402,33651,0.601295770308,0.549377110659,0.70019062647
2020-03-29,6,38,,,,,,,420,315,526,8562,6387,11239,24824,16718,34177,0.601094923695,0.549333005224,0.699873915253
2020-03-30,5,43,,,,,,,406,301,507,8192,6136,10653,25230,17019,34684,0.600953599877,0.54930742414,0.699654295938
2020-03-31,6,49,,,,,,,393,291,491,7847,5900,10100,25622,17311,35174,0.600853040992,0.549289655634,0.699502467383
2020-04-01,1,50,,,,,,,380,281,481,7525,5671,9610,26002,17592,35655,0.600780485493,0.549265606244,0.699400078855
2020-04-02,3,53,,,,,,,368,268,471,7225,5445,9173,26370,17861,36125,0.600727233657,0.549247304639,0.699371161658
2020-04-03,10,63,,,,,,,357,254,458,6946,5219,8776,26728,18115,36583,0.600687341408,0.549235977601,0.699318045717
2020-04-04,5,68,,,,,,,347,241,446,6686,5001,8421,27074,18357,37029,0.600656737724,0.549220383527,0.699302446451
2020-04-05,5,73,,,,,,,337,233,434,6443,4796,8103,27411,18591,37463,0.600632627454,0.549209570428,0.699288959991
2020-04-06,6,79,,,,,,,327,224,423,6216,4601,7818,27738,18815,37885,0.600613086478,0.54919434464,0.699276781541
2020-04-07,2,81,,,,,,,318,215,412,6004,4412,7564,28056,19031,38296,0.600596786692,0.549181376924,0.699265160648
2020-04-08,2,83,,,,,,,309,208,402,5805,4228,7335,28365,19239,38698,0.600582808768,0.549171673477,0.699235083758
2020-04-09,4,87,,,,,,,301,201,393,5618,4056,7122,28666,19441,39091,0.600570514412,0.549161754457,0.699210763097
2020-04-10,5,92,,,,,,,293,193,385,5442,3894,6925,28959,19634,39475,0.60055945902,0.549151986371,0.699198386414
2020-04-11,1,93,,,,,,,285,185,376,5276,3742,6741,29244,19820,39850,0.600549331809,0.549139273919,0.699181445405
2020-04-12,5,98,,,,,,,278,179,367,5118,3596,6567,29522,19999,40217,0.600539914699,0.549130548538,0.69917080492
2020-04-13,1,99,,,,,,,271,172,359,4969,3454,6400,29792,20172,40576,0.600531053983,0.549122950236,0.699160877796
2020-04-14,2,101,,,,,,,264,167,352,4826,3320,6244,30056,20339,40927,0.600522640779,0.54911617515,0.699151294978
2020-04-15,1,102,,,,,,,257,161,344,4691,3190,6097,30313,20501,41271,0.600514597511,0.549109454215,0.699140421323
2020-04-16,3,105,,,,,,,250,156,336,4561,3065,5952,30563,20657,41606,0.600506868537,0.549102747263,0.699126670506
2020-04-17,3,108,,,,,,,244,151,327,4436,2947,5808,30807,20809,41933,0.600499413635,0.549096223547,0.699117134053
