date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-23,,,,,,,,,50,27,73,50,27,73,50,27,73,1.95492679659,1.6,2.2
2020-02-24,,,,,,,,,50,27,73,101,54,146,101,54,146,1.95484366931,1.59993135174,2.19999626708
2020-02-25,,,,,,,,,50,27,73,151,81,219,151,81,219,1.95481801315,1.59991059217,2.19999471412
2020-02-26,,,,,,,,,50,27,73,201,108,292,201,108,292,1.95478429005,1.59988382571,2.19999251488
2020-02-27,,,,,,,,,50,27,73,252,135,365,252,135,365,1.95473991164,1.59984916864,2.19998940029
2020-02-28,,,,,,,,,50,27,73,302,162,438,302,162,438,1.95468144116,1.59980611479,2.19998498923
2020-02-29,,,,,,,,,50,27,73,352,189,511,352,189,511,1.95460430949,1.59975074452,2.1999787174
2020-03-01,,,,,,,,,50,27,73,402,216,584,402,216,584,1.95450243442,1.59968088024,2.19996960549
2020-03-02,,,,,,,,,50,27,73,453,244,657,453,244,657,1.95436770982,1.5995880965,2.1999565866
2020-03-03,,,,,,,,,148,83,223,600,328,880,600,328,880,1.95418462359,1.59944548417,2.19993458676
2020-03-04,,,,,,,,,147,83,222,747,411,1102,747,411,1102,1.95394753674,1.59928969341,2.19990757468
2020-03-05,,,,,,,,,156,88,236,903,500,1337,903,500,1337,1.95363188309,1.59908931027,2.1998668211
2020-03-06,,,,,,,,,174,99,267,1078,600,1604,1078,600,1604,1.95321299146,1.59882683264,2.19980840158
2020-03-07,,,,,,,,,213,122,335,1290,722,1938,1290,722,1938,1.95265619871,1.59848810941,2.19972441818
2020-03-08,,,,,,,,,272,157,440,1563,880,2378,1563,880,2378,1.95191518008,1.59804988138,2.19959140418
2020-03-09,,,,,,,,,320,185,526,1832,1039,2831,1883,1066,2904,1.95092793932,1.59748689633,2.1994066519
2020-03-10,,,,,,,,,364,212,610,2146,1224,3367,2247,1278,3513,1.94961181899,1.59676218711,2.19913730691
2020-03-11,,,,,,,,,419,241,716,2514,1438,4010,2665,1520,4229,1.94785733105,1.59583019092,2.19874509744
2020-03-12,,,,,,,,,486,275,850,2950,1687,4787,3152,1796,5079,1.94551931504,1.59458007195,2.19818331424
2020-03-13,,,,,,,,,572,326,1024,3473,1986,5737,3724,2122,6102,1.94240658959,1.59282699466,2.19744453688
