date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-05,,,,,,,,,40,21,58,40,21,58,40,21,58,2.76962962963,2.4,3.2
2020-03-06,,,,,,,,,40,21,58,81,42,116,81,42,116,2.72083039897,2.29804614509,3.19560370313
2020-03-07,,,,,,,,,40,21,58,121,63,174,121,63,174,2.69928316667,2.25746629558,3.19311982016
2020-03-08,,,,,,,,,40,21,58,162,84,232,162,84,232,2.66905025389,2.19307968064,3.18923850211
2020-03-09,,,,,,,,,40,21,58,202,105,290,202,105,290,2.62752867053,2.08888547526,3.18318250477
2020-03-10,,,,,,,,,40,21,58,243,126,348,243,126,348,2.57211813276,1.96569492094,3.17375532966
2020-03-11,,,,,,,,,40,21,58,283,147,406,283,147,406,2.50079650537,1.80645857811,3.1591337005
2020-03-12,,,,,,,,,40,21,58,323,168,464,323,168,464,2.41276268644,1.65,3.13658353652
2020-03-13,,,,,,,,,40,21,58,364,189,522,364,189,522,2.3088192657,1.49567304039,3.10210841204
2020-03-14,,,,,,,,,126,76,183,490,265,705,490,265,705,2.19082361476,1.32650128058,3.04955180064
2020-03-15,,,,,,,,,120,74,176,610,339,881,610,339,881,2.06287641649,1.19730894765,2.97260673037
2020-03-16,,,,,,,,,122,78,181,732,418,1061,732,418,1061,1.92804097592,1.08277526393,2.88253192461
2020-03-17,,,,,,,,,130,83,193,862,501,1254,862,501,1254,1.78995499352,1.00334012317,2.78072539922
2020-03-18,,,,,,,,,150,93,229,1012,595,1483,1012,595,1483,1.65204412022,0.93568391139,2.6397917977
2020-03-19,,,,,,,,,179,105,279,1191,700,1761,1191,700,1761,1.51784188564,0.900631093962,2.50310065595
2020-03-20,,,,,,,,,192,110,301,1342,790,2003,1383,811,2061,1.39104881697,0.877512923395,2.33373296739
2020-03-21,,,,,,,,,196,113,311,1498,883,2256,1579,925,2372,1.2753395427,0.852949021435,2.1366534871
2020-03-22,,,,,,,,,201,116,325,1659,978,2522,1780,1041,2696,1.17390702873,0.832892448197,1.90521542807
2020-03-23,,,,,,,,,206,120,335,1824,1078,2798,1986,1162,3030,1.08883502552,0.820438287585,1.67299706973
2020-03-24,,,,,,,,,213,125,349,1997,1182,3089,2199,1287,3379,1.02065061965,0.812639304513,1.48237750254
2020-03-25,,,,,,,,,217,129,354,2173,1290,3385,2416,1416,3733,0.968292330448,0.807532628719,1.32743472633
2020-03-26,,,,,,,,,218,131,353,2351,1400,3679,2634,1547,4085,0.929539054572,0.804272282269,1.20618351268
2020-03-27,,,,,,,,,218,133,350,2528,1513,3971,2851,1681,4435,0.901675920222,0.802245972638,1.11068873614
2020-03-28,,,,,,,,,217,134,346,2705,1627,4258,3069,1816,4780,0.882061701971,0.800875354119,1.03123172763
2020-03-29,1,1,,,,,,,218,136,343,2797,1687,4418,3287,1952,5123,0.86844948806,0.800082519345,0.983245822151
2020-03-30,0,1,,,,,,,218,139,339,2895,1753,4581,3505,2092,5462,0.859084061541,0.799494822046,0.96104449993
2020-03-31,2,3,,,,,,,217,141,334,2990,1816,4734,3722,2234,5795,0.852667658654,0.799012352343,0.94246506729
2020-04-01,0,3,,,,,,,217,143,330,3076,1875,4871,3939,2377,6124,0.848274731002,0.798688807807,0.927317800759
2020-04-02,1,4,,,,,,,216,144,326,3142,1926,4967,4154,2522,6450,0.845260165812,0.798419472744,0.914603555642
2020-04-03,0,4,,,,,,,215,145,321,3178,1967,5010,4369,2667,6771,0.843180604129,0.79816487257,0.909116542942
2020-04-04,0,4,,,,,,,214,147,316,3200,2003,5025,4583,2815,7086,0.841733978257,0.797885308565,0.905360526563
2020-04-05,0,4,,,,,,,213,148,310,3217,2037,5024,4795,2963,7395,0.840715503324,0.79758617971,0.902750765697
2020-04-06,0,4,,,,,,,212,148,304,3227,2069,5003,5007,3111,7699,0.83998679178,0.79733778016,0.901169542072
2020-04-07,1,5,,,,,,,210,149,297,3231,2098,4966,5217,3260,7995,0.839454479803,0.797099758131,0.899947880572
2020-04-08,1,6,,,,,,,209,149,291,3227,2123,4907,5426,3410,8285,0.839055571221,0.796895576103,0.899070595102
2020-04-09,2,8,,,,,,,208,150,284,3218,2145,4837,5634,3561,8569,0.838747506972,0.796683917561,0.898583464957
2020-04-10,2,10,,,,,,,206,150,278,3207,2163,4762,5841,3711,8847,0.838501479618,0.796487736196,0.898293082377
2020-04-11,0,10,,,,,,,205,149,272,3194,2180,4684,6046,3861,9118,0.838297963,0.796314385981,0.897994049726
2020-04-12,1,11,,,,,,,204,149,266,3180,2195,4603,6249,4011,9383,0.838123713471,0.796105088596,0.897793246091
2020-04-13,1,12,,,,,,,202,149,261,3164,2207,4521,6451,4160,9644,0.837969738681,0.79592260813,0.897601551625
2020-04-14,0,12,,,,,,,201,148,258,3147,2216,4440,6652,4309,9901,0.837829920819,0.795656342651,0.897498953552
2020-04-15,2,14,,,,,,,199,147,254,3129,2222,4360,6851,4457,10154,0.837700086039,0.795441522835,0.897396914757
2020-04-16,0,14,,,,,,,197,146,251,3109,2226,4280,7048,4603,10404,0.837577380753,0.795246729521,0.897295116618
2020-04-17,1,15,,,,,,,196,145,246,3090,2227,4201,7244,4749,10650,0.83745985378,0.795110315226,0.897193356294
2020-04-18,1,16,,,,,,,194,145,244,3069,2226,4123,7438,4894,10894,0.837346888031,0.794974338684,0.897092554345
2020-04-19,2,18,,,,,,,192,144,242,3047,2224,4049,7630,5039,11135,0.837237338447,0.794845548425,0.896995743502
2020-04-20,0,18,,,,,,,191,143,240,3025,2220,3979,7821,5183,11374,0.837130847299,0.794718814402,0.896909942394
2020-04-21,0,18,,,,,,,189,141,238,3002,2213,3913,8009,5325,11611,0.837027154813,0.794583519388,0.896821807421
2020-04-22,0,18,,,,,,,187,139,235,2979,2203,3851,8196,5464,11845,0.836927816421,0.794471173012,0.896736349307
2020-04-23,4,22,,,,,,,185,136,232,2955,2190,3792,8382,5601,12077,0.836832689022,0.794363201848,0.896654404817
2020-04-24,0,22,,,,,,,183,134,231,2931,2174,3739,8565,5736,12307,0.83673832715,0.794280310699,0.896577031578
2020-04-25,5,27,,,,,,,181,133,228,2906,2157,3689,8746,5869,12535,0.836648118352,0.794185057879,0.896505574187
2020-04-26,0,27,,,,,,,179,131,226,2880,2138,3643,8926,6000,12760,0.836560581564,0.79408660437,0.896428585304
2020-04-27,0,27,,,,,,,177,129,224,2854,2118,3601,9103,6130,12983,0.83647822235,0.794019055722,0.89634740321
2020-04-28,2,29,,,,,,,176,128,222,2827,2097,3562,9279,6258,13205,0.83640183753,0.793995829358,0.896271251476
2020-04-29,1,30,,,,,,,174,126,220,2800,2075,3524,9452,6384,13424,0.836332120257,0.793926749842,0.896183859679
2020-04-30,0,30,,,,,,,172,124,218,2773,2051,3488,9624,6509,13641,0.8362715537,0.793868693382,0.896098947788
2020-05-01,3,33,,,,,,,169,122,217,2745,2027,3453,9793,6631,13857,0.836222664813,0.793824474859,0.896122399381
2020-05-02,0,33,,,,,,,167,120,213,2717,2001,3421,9961,6751,14070,0.836188777425,0.793760763298,0.896107014695
2020-05-03,0,33,,,,,,,165,118,211,2688,1974,3388,10126,6869,14281,0.836174271936,0.793686718733,0.896048739134
2020-05-04,1,34,,,,,,,163,116,210,2659,1946,3356,10289,6985,14491,0.836184931204,0.793623219245,0.896078597291
2020-05-05,2,36,,,,,,,161,113,209,2630,1916,3326,10450,7099,14699,0.836228401473,0.793604205318,0.89628994279
2020-05-06,1,37,,,,,,,159,111,207,2600,1885,3295,10609,7210,14906,0.836314806322,0.793661208742,0.896497858084
2020-05-07,1,38,,,,,,,157,108,205,2570,1855,3265,10766,7319,15110,0.836457563497,0.793723011278,0.896933765852
2020-05-08,1,39,,,,,,,155,106,203,2539,1824,3236,10921,7425,15312,0.836674469284,0.793761183009,0.897520986799
2020-05-09,0,39,,,,,,,153,104,201,2509,1794,3206,11074,7530,15513,0.836989132548,0.793823425381,0.89829987154
2020-05-10,0,39,,,,,,,151,102,199,2478,1763,3177,11224,7633,15711,0.837432859866,0.793876983445,0.899320692976
2020-05-11,0,39,,,,,,,148,100,198,2447,1733,3149,11373,7733,15909,0.838047111291,0.793984659695,0.900645546491
2020-05-12,1,40,,,,,,,146,98,196,2416,1702,3121,11519,7832,16104,0.838886655995,0.794168385004,0.902350268405
2020-05-13,3,43,,,,,,,144,97,194,2385,1671,3093,11663,7929,16297,0.840023544042,0.794288560434,0.904526113835
2020-05-14,2,45,,,,,,,142,95,192,2354,1640,3064,11806,8025,16488,0.841551946777,0.7943973346,0.907280760441
2020-05-15,1,46,,,,,,,140,94,190,2322,1610,3036,11946,8119,16677,0.843593754246,0.794638177151,0.910746005312
2020-05-16,0,46,,,,,,,139,92,187,2292,1580,3007,12085,8212,16864,0.846304472559,0.794978704878,0.915055272151
2020-05-17,1,47,,,,,,,137,90,185,2261,1551,2979,12222,8302,17049,0.84987832297,0.795285076385,0.920817762333
2020-05-18,1,48,,,,,,,135,89,184,2231,1522,2952,12357,8391,17232,0.854550391779,0.795601083361,0.929478458035
2020-05-19,0,48,,,,,,,134,88,183,2202,1494,2925,12491,8480,17415,0.860592221098,0.796076630292,0.940766191606
2020-05-20,0,48,,,,,,,133,87,183,2174,1468,2899,12625,8568,17598,0.868295785092,0.796777040329,0.950542312055
2020-05-21,0,48,,,,,,,133,85,183,2148,1443,2875,12757,8654,17780,0.877940665191,0.797793992211,0.966562743171
2020-05-22,0,48,,,,,,,132,84,184,2123,1419,2855,12889,8738,17964,0.889742823945,0.799255563695,0.987538312944
2020-05-23,1,49,,,,,,,132,84,185,2101,1397,2837,13022,8823,18149,0.903792938613,0.80133951195,1.00022374306
2020-05-24,-1,48,,,,,,,133,85,188,2081,1379,2824,13155,8909,18336,0.920005898398,0.804290237589,1.02869198215
2020-05-25,6,54,,,,,,,134,86,191,2065,1362,2816,13289,8995,18527,0.938110357349,0.808439274636,1.06701767266
2020-05-26,0,54,,,,,,,136,85,193,2052,1346,2812,13425,9080,18720,0.957693687924,0.814227706385,1.10410229781
2020-05-27,0,54,,,,,,,138,84,197,2044,1332,2813,13563,9165,18916,0.978283633417,0.82222602037,1.14037445574
2020-05-28,1,55,,,,,,,141,86,202,2040,1321,2821,13703,9251,19117,0.99942127597,0.83314191753,1.17262912107
2020-05-29,0,55,,,,,,,144,87,208,2041,1313,2838,13847,9339,19325,1.02069135039,0.847799358717,1.19988770807
2020-05-30,4,59,,,,,,,147,87,216,2048,1307,2864,13994,9426,19540,1.04171685618,0.867064603391,1.22194484741
2020-05-31,0,59,,,,,,,151,88,223,2061,1303,2900,14145,9515,19763,1.06215110021,0.891693636565,1.23916755894
2020-06-01,0,59,,,,,,,156,89,230,2080,1302,2945,14301,9604,19993,1.08168579772,0.921776716603,1.25300657848
2020-06-02,0,59,,,,,,,161,91,238,2105,1304,2999,14462,9696,20231,1.10006290531,0.957357621674,1.2635692977
