date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-02,,,,,,,,,57,30,85,57,30,85,57,30,85,2.14954070271,1.8,2.6
2020-03-03,,,,,,,,,57,30,85,115,60,170,115,60,170,2.13937199093,1.789232181,2.59680470363
2020-03-04,,,,,,,,,57,30,85,172,90,255,172,90,255,2.13601674604,1.78504106051,2.59538257712
2020-03-05,,,,,,,,,57,30,85,230,120,340,230,120,340,2.13154963512,1.77925513659,2.59328048771
2020-03-06,,,,,,,,,57,30,85,287,150,425,287,150,425,2.12561027846,1.77084013346,2.59024597347
2020-03-07,,,,,,,,,57,30,85,344,180,510,344,180,510,2.11773182409,1.76160006781,2.58591777942
2020-03-08,,,,,,,,,57,30,85,402,210,595,402,210,595,2.10731884597,1.74890880171,2.5796986148
2020-03-09,,,,,,,,,57,30,85,459,240,680,459,240,680,2.09362849925,1.73070128339,2.57060186048
2020-03-10,,,,,,,,,57,30,85,517,270,765,517,270,765,2.07576251239,1.7040803417,2.55796833001
2020-03-11,,,,,,,,,175,92,267,691,362,1032,691,362,1032,2.05241979352,1.66856700484,2.53944192407
2020-03-12,,,,,,,,,172,92,262,863,454,1293,863,454,1293,2.02296965482,1.62449617644,2.51264785905
2020-03-13,,,,,,,,,181,97,277,1044,552,1569,1044,552,1569,1.9860057654,1.57131463691,2.47463724443
2020-03-14,,,,,,,,,200,106,312,1244,658,1881,1244,658,1881,1.94066648139,1.50516511913,2.43324964492
2020-03-15,,,,,,,,,240,127,386,1484,786,2266,1484,786,2266,1.88638351464,1.42046465427,2.37697769311
2020-03-16,,,,,,,,,299,158,491,1783,944,2757,1783,944,2757,1.82313037052,1.32446429673,2.35347534011
2020-03-17,,,,,,,,,338,174,566,2063,1088,3237,2121,1118,3322,1.75150767697,1.23463058499,2.29510188334
2020-03-18,,,,,,,,,366,187,615,2371,1246,3767,2486,1306,3937,1.67272571478,1.14858010261,2.23189532993
2020-03-19,,,,,,,,,395,199,671,2709,1415,4352,2881,1505,4607,1.58849596014,1.05862694005,2.14549196948
2020-03-20,,,,,,,,,427,209,722,3079,1594,4989,3308,1714,5329,1.50082940025,0.975449807919,2.06659516759
2020-03-21,,,,,,,,,462,216,804,3483,1781,5707,3770,1931,6132,1.41186657295,0.913073486814,1.98347694593
2020-03-22,,,,,,,,,488,219,867,3914,1970,6489,4258,2150,6999,1.32375598967,0.862087016671,1.90091984531
2020-03-23,,,,,,,,,505,220,900,4361,2160,7303,4763,2370,7898,1.23856505872,0.812917680762,1.79660597246
2020-03-24,,,,,,,,,514,219,952,4818,2349,8170,5277,2589,8850,1.15820882746,0.775967009007,1.68294468709
2020-03-25,,,,,,,,,519,217,973,5280,2537,9057,5797,2807,9822,1.0843500057,0.751644374451,1.56911311911
2020-03-26,3,3,,,,,,,521,213,985,5626,2657,9775,6318,3020,10807,1.01827471248,0.729021847045,1.44788221848
2020-03-27,0,3,,,,,,,518,210,985,5972,2775,10498,6835,3230,11791,0.960772631539,0.708024703151,1.33111950452
2020-03-28,1,4,,,,,,,509,205,971,6300,2883,11193,7345,3435,12762,0.912070111038,0.691645577922,1.22682844729
2020-03-29,1,5,,,,,,,498,201,951,6598,2977,11832,7842,3636,13713,0.871854570595,0.679584075849,1.14399663811
2020-03-30,1,6,,,,,,,484,196,914,6843,3047,12360,8327,3833,14626,0.839388115682,0.671035724964,1.07320589902
2020-03-31,2,8,,,,,,,470,192,886,7014,3081,12755,8797,4025,15511,0.813672572824,0.664733562686,1.01089880268
2020-04-01,1,9,,,,,,,455,190,849,7131,3098,13038,9251,4216,16359,0.793614740129,0.659985985271,0.961108326243
2020-04-02,0,9,,,,,,,440,187,812,7205,3097,13234,9691,4404,17170,0.778154206108,0.656410905693,0.921154767853
2020-04-03,0,9,,,,,,,424,183,780,7234,3081,13343,10115,4587,17950,0.76634125,0.654003591799,0.893487913031
2020-04-04,1,10,,,,,,,409,179,744,7216,3051,13365,10524,4766,18693,0.757370852136,0.652350996181,0.875838870784
2020-04-05,0,10,,,,,,,394,177,708,7148,3013,13269,10918,4944,19400,0.750586558084,0.651145442355,0.862859318111
2020-04-06,0,10,,,,,,,380,173,678,7040,2967,13080,11298,5117,20078,0.745467558573,0.650266009088,0.858588056142
2020-04-07,3,13,,,,,,,366,168,646,6902,2916,12827,11665,5286,20724,0.741608642418,0.649571345896,0.855779062431
2020-04-08,2,15,,,,,,,353,166,614,6740,2862,12489,12018,5452,21338,0.738698875609,0.649194404804,0.852878291419
2020-04-09,3,18,,,,,,,341,160,587,6562,2806,12103,12358,5613,21925,0.736501981797,0.648882434365,0.851134301189
2020-04-10,6,24,,,,,,,329,155,557,6370,2748,11675,12687,5769,22481,0.734839618298,0.648587219022,0.850329491317
2020-04-11,1,25,,,,,,,317,150,535,6169,2689,11225,13005,5919,23016,0.733577774484,0.648242483911,0.849536586627
2020-04-12,2,27,,,,,,,307,147,513,5967,2632,10767,13311,6067,23528,0.732616040354,0.647951341468,0.848941095752
2020-04-13,0,27,,,,,,,296,144,498,5765,2575,10313,13607,6212,24025,0.731879310466,0.647531459064,0.848671322927
2020-04-14,6,33,,,,,,,286,140,477,5567,2520,9877,13894,6353,24502,0.731311455729,0.647286826528,0.84847023376
2020-04-15,6,39,,,,,,,277,137,460,5374,2464,9451,14171,6490,24961,0.730870537588,0.647052536961,0.848181659977
2020-04-16,2,41,,,,,,,268,135,444,5188,2409,9046,14439,6626,25405,0.73052521043,0.646825955586,0.848042668589
2020-04-17,0,41,,,,,,,260,132,429,5008,2354,8664,14699,6759,25834,0.730252028957,0.646628584015,0.847975574686
2020-04-18,2,43,,,,,,,252,129,417,4836,2301,8301,14951,6888,26250,0.730033200313,0.646501156952,0.847854125096
2020-04-19,1,44,,,,,,,244,126,403,4671,2248,7960,15195,7015,26653,0.729856721645,0.646375033744,0.847744147795
2020-04-20,1,45,,,,,,,237,122,391,4513,2193,7644,15431,7137,27044,0.729713109567,0.646192703577,0.847653543638
2020-04-21,3,48,,,,,,,230,117,379,4363,2136,7345,15661,7254,27423,0.729594300883,0.646064629796,0.847565359865
2020-04-22,3,51,,,,,,,223,114,372,4219,2082,7070,15884,7369,27794,0.729506531476,0.645998955206,0.84748983683
2020-04-23,3,54,,,,,,,216,111,361,4082,2028,6817,16100,7481,28154,0.729441915137,0.645987149311,0.847422598025
2020-04-24,0,54,,,,,,,210,108,351,3952,1976,6580,16310,7589,28505,0.729405759375,0.645913402923,0.847382340981
2020-04-25,2,56,,,,,,,204,104,341,3827,1925,6365,16514,7694,28845,0.729394055476,0.645884124622,0.847363120475
2020-04-26,0,56,,,,,,,198,101,333,3708,1875,6162,16712,7795,29177,0.729406766575,0.645924680369,0.84732454494
2020-04-27,0,56,,,,,,,193,98,324,3594,1825,5973,16905,7893,29501,0.729446097341,0.645972947643,0.847298299599
2020-04-28,4,60,,,,,,,187,95,317,3485,1776,5792,17093,7988,29817,0.729514082986,0.645971875201,0.847253775498
2020-04-29,0,60,,,,,,,182,91,311,3381,1727,5625,17275,8080,30127,0.729619363549,0.646027245159,0.847211715167
2020-04-30,0,60,,,,,,,177,89,304,3281,1679,5470,17452,8170,30430,0.729771827943,0.646054737553,0.847234920824
2020-05-01,3,63,,,,,,,173,86,297,3186,1629,5323,17625,8256,30727,0.72998621563,0.646163426778,0.847366603897
2020-05-02,1,64,,,,,,,168,83,290,3094,1580,5183,17793,8339,31016,0.730282052289,0.646247450978,0.847680415442
2020-05-03,0,64,,,,,,,164,80,283,3006,1531,5049,17957,8420,31299,0.730685197936,0.646358034119,0.847959731246
2020-05-04,0,64,,,,,,,159,78,276,2921,1483,4922,18116,8498,31575,0.731229884475,0.646541268635,0.848180271828
2020-05-05,1,65,,,,,,,155,75,270,2840,1436,4801,18271,8573,31845,0.73196138447,0.646763762782,0.848551438702
2020-05-06,1,66,,,,,,,151,73,265,2761,1392,4687,18422,8647,32109,0.732939483132,0.64710684733,0.849098283805
2020-05-07,1,67,,,,,,,147,70,259,2686,1348,4574,18569,8717,32368,0.734242952593,0.6475176401,0.849861827926
2020-05-08,0,67,,,,,,,144,68,253,2613,1305,4467,18713,8786,32621,0.735975240923,0.647993757674,0.851245433154
2020-05-09,0,67,,,,,,,140,66,248,2543,1263,4364,18853,8853,32868,0.738271568892,0.648613672381,0.852649186196
2020-05-10,0,67,,,,,,,137,64,244,2476,1223,4267,18990,8917,33112,0.741307540711,0.649416290305,0.854506046237
2020-05-11,3,70,,,,,,,134,63,239,2411,1185,4174,19124,8980,33351,0.745309165392,0.650559117516,0.85700771314
2020-05-12,-1,69,,,,,,,131,61,236,2349,1148,4086,19255,9042,33586,0.750563770366,0.65214545851,0.864146659112
2020-05-13,0,69,,,,,,,128,60,232,2291,1113,4002,19383,9102,33818,0.757430562906,0.654352050372,0.869815406126
2020-05-14,3,72,,,,,,,126,59,230,2235,1082,3921,19510,9162,34047,0.766348459047,0.6575183406,0.878225220191
2020-05-15,0,72,,,,,,,125,59,227,2182,1052,3844,19634,9222,34274,0.777837251109,0.661911322519,0.888300765852
2020-05-16,1,73,,,,,,,123,59,227,2133,1025,3774,19758,9281,34500,0.792486497422,0.667817913545,0.913043965302
2020-05-17,0,73,,,,,,,123,58,227,2087,1000,3711,19880,9340,34726,0.81092550183,0.67510374407,0.944700659569
2020-05-18,1,74,,,,,,,123,59,226,2047,979,3653,20003,9399,34952,0.833768897052,0.685005041164,0.986010487582
2020-05-19,0,74,,,,,,,124,59,228,2011,961,3605,20127,9459,35179,0.861537357569,0.697395873395,1.02808430578
2020-05-20,3,77,,,,,,,126,61,232,1982,946,3566,20253,9520,35410,0.894562159141,0.713650524281,1.08489097595
2020-05-21,0,77,,,,,,,129,62,236,1959,936,3537,20381,9583,35646,0.932892523498,0.733542863946,1.14609251645
2020-05-22,2,79,,,,,,,133,64,245,1944,930,3523,20514,9648,35890,0.976229591572,0.759028777243,1.22152097928
2020-05-23,0,79,,,,,,,138,66,255,1939,928,3524,20652,9714,36145,1.02390574327,0.791999738702,1.2940539609
2020-05-24,0,79,,,,,,,145,69,265,1943,931,3542,20796,9784,36409,1.07491509342,0.814834039868,1.35087225516
2020-05-25,0,79,,,,,,,153,74,277,1959,940,3574,20949,9858,36686,1.1279879967,0.848472356499,1.40576300033
2020-05-26,0,79,,,,,,,163,78,292,1988,956,3627,21112,9937,36977,1.18169506286,0.885222687641,1.45275638474
2020-05-27,2,81,,,,,,,174,82,309,2032,977,3701,21286,10020,37286,1.23456468893,0.932185261453,1.49423734594
2020-05-28,1,82,,,,,,,187,88,330,2090,1005,3798,21474,10108,37615,1.28519971986,0.989457059327,1.54052097454
2020-05-29,0,82,,,,,,,202,94,350,2166,1040,3918,21676,10203,37965,1.33238157122,1.04799033721,1.57913351156
2020-05-30,0,82,,,,,,,219,101,373,2261,1082,4064,21895,10305,38337,1.37515328972,1.10680807576,1.60965344171
2020-05-31,0,82,,,,,,,238,110,400,2376,1134,4237,22133,10415,38737,1.4128757838,1.1693334562,1.63261598059
2020-06-01,0,82,,,,,,,259,121,436,2512,1197,4447,22392,10537,39173,1.44525260886,1.24753932996,1.64939685855
2020-06-02,1,83,,,,,,,283,133,473,2672,1270,4693,22675,10670,39645,1.47231882118,1.30862075515,1.66136690326
2020-06-03,0,83,,,,,,,309,147,510,2857,1359,4976,22984,10818,40154,1.4943923137,1.33797376631,1.67007645736
2020-06-04,0,83,,,,,,,338,163,551,3070,1461,5295,23322,10982,40705,1.51199445524,1.34979419399,1.67621140929
2020-06-05,0,83,,,,,,,370,180,590,3311,1579,5649,23692,11163,41294,1.52575788614,1.36439964807,1.68051125266
2020-06-06,0,83,,,,,,,404,198,647,3582,1713,6051,24096,11361,41941,1.53634075162,1.36981187541,1.68304209649
2020-06-07,0,83,,,,,,,443,219,707,3887,1866,6503,24539,11581,42647,1.54436311531,1.37362662216,1.68447088891
2020-06-08,0,83,,,,,,,485,243,777,4227,2040,7014,25024,11824,43423,1.55035505455,1.37629213012,1.68658033846
2020-06-09,2,85,,,,,,,531,270,844,4605,2236,7581,25555,12094,44266,1.55475480241,1.37855002042,1.68750900286
2020-06-10,0,85,,,,,,,582,298,926,5024,2455,8215,26136,12393,45192,1.55792328517,1.38035270654,1.68783647098
2020-06-11,0,85,,,,,,,637,331,1011,5487,2704,8916,26773,12724,46202,1.56010733515,1.38138309865,1.68850067348
2020-06-12,2,87,,,,,,,698,369,1113,5998,2985,9699,27471,13093,47314,1.5614684706,1.38273384381,1.68876949941
2020-06-13,0,87,,,,,,,764,409,1215,6560,3300,10564,28236,13503,48529,1.5621495144,1.38333848298,1.68884178456
2020-06-14,0,87,,,,,,,837,456,1332,7177,3654,11524,29073,13959,49860,1.56219689761,1.38362366789,1.68859756404
2020-06-15,0,87,,,,,,,916,508,1460,7855,4052,12583,29989,14468,51319,1.56165912432,1.38387119509,1.6882502874
2020-06-16,1,88,,,,,,,1003,565,1586,8599,4496,13733,30991,15033,52905,1.56043541137,1.38337799794,1.68771247282
2020-06-17,0,88,,,,,,,1097,624,1735,9413,4987,14995,32088,15657,54640,1.55852173056,1.38293238534,1.6872676772
2020-06-18,1,89,,,,,,,1199,692,1887,10302,5531,16372,33287,16350,56526,1.55571030008,1.38240487326,1.68672795231
2020-06-19,0,89,,,,,,,1309,763,2054,11273,6131,17876,34595,17113,58580,1.55186876146,1.38151410102,1.68585315955
2020-06-20,0,89,,,,,,,1427,844,2220,12330,6795,19506,36022,17958,60800,1.54672212984,1.38047090837,1.68453916624
2020-06-21,0,89,,,,,,,1553,940,2376,13479,7536,21235,37575,18898,63175,1.54002102263,1.37825093502,1.68323237279
2020-06-22,0,89,,,,,,,1687,1031,2532,14724,8348,23060,39263,19929,65707,1.53141352917,1.37622422568,1.68123397693
2020-06-23,0,89,,,,,,,1828,1138,2705,16067,9243,24988,41091,21067,68411,1.52059489397,1.3598277906,1.67895615612
2020-06-24,0,89,,,,,,,1975,1235,2886,17511,10208,27030,43065,22303,71296,1.50726087842,1.32970189911,1.67624382434
2020-06-25,1,90,,,,,,,2126,1355,3039,19055,11266,29143,45191,23659,74335,1.4911827701,1.28495127588,1.67220342303
2020-06-26,0,90,,,,,,,2279,1475,3185,20697,12410,31317,47470,25135,77519,1.47223156993,1.23688654188,1.66684442879
2020-06-27,1,91,,,,,,,2434,1609,3347,22433,13651,33552,49904,26745,80866,1.45040842232,1.19110755703,1.65986571158
2020-06-28,0,91,,,,,,,2587,1757,3479,24255,14999,35816,52491,28502,84345,1.42585878335,1.15152697584,1.65066661743
2020-06-29,0,91,,,,,,,2736,1918,3617,26154,16462,38101,55227,30421,87961,1.3988790297,1.1185765809,1.63882345796
2020-06-30,1,92,,,,,,,2880,2079,3764,28118,18032,40406,58107,32501,91725,1.36990810942,1.09406617696,1.6240794538
2020-07-01,0,92,,,,,,,3017,2239,3938,30133,19707,42758,61124,34740,95662,1.33950306277,1.07078400437,1.60503828787
2020-07-02,0,92,,,,,,,3145,2375,4068,32182,21458,45090,64270,37115,99730,1.30829914355,1.04945449915,1.5810193448
2020-07-03,1,93,,,,,,,3264,2499,4187,34247,23265,47391,67534,39615,103916,1.27695896681,1.03305350221,1.5546223162
2020-07-04,0,93,,,,,,,3372,2613,4350,36311,25115,49686,70906,42229,108266,1.24611814784,1.01892197706,1.52596221896
2020-07-05,0,93,,,,,,,3469,2647,4481,38353,26918,51947,74375,44876,112746,1.21633666469,1.00750959001,1.48915864458
2020-07-06,1,94,,,,,,,3555,2654,4623,40355,28633,54194,77931,47531,117368,1.18806517986,0.992828392058,1.45605854394
2020-07-07,0,94,,,,,,,3631,2659,4749,42299,30261,56410,81561,50190,122116,1.1616322813,0.983741406379,1.42697307926
2020-07-08,4,98,,,,,,,3695,2661,4849,44166,31784,58554,85257,52852,126965,1.13725158065,0.973978394117,1.40364377764
2020-07-09,2,100,,,,,,,3750,2670,4974,45942,33219,60643,89007,55523,131938,1.11504041766,0.959874736643,1.3650869235
2020-07-10,1,101,,,,,,,3795,2680,5094,47611,34543,62698,92802,58203,137032,1.09503987099,0.94959592494,1.33250476195
2020-07-11,1,102,,,,,,,3831,2684,5224,49163,35752,64737,96633,60887,142255,1.07722987715,0.94063252652,1.29522282541
2020-07-12,0,102,,,,,,,3860,2674,5299,50589,36817,66689,100493,63562,147554,1.06153923733,0.93437304729,1.2603952603
2020-07-13,0,102,,,,,,,3881,2671,5365,51883,37731,68574,104374,66234,152918,1.04785362434,0.92822497076,1.22727125415
2020-07-14,1,103,,,,,,,3896,2652,5439,53043,38465,70396,108270,68886,158357,1.03602441108,0.923214976248,1.19628551931
2020-07-15,7,110,,,,,,,3906,2601,5506,54069,38986,72138,112176,71487,163863,1.025879078,0.916508729527,1.16724763728
2020-07-16,4,114,,,,,,,3911,2571,5583,54962,39318,73784,116087,74059,169445,1.01723223437,0.912813620528,1.13799999894
2020-07-17,4,118,,,,,,,3912,2543,5655,55729,39486,75371,119999,76602,175100,1.00989578594,0.909975139153,1.11561918237
2020-07-18,1,119,,,,,,,3909,2512,5679,56374,39499,76863,123908,79114,180779,1.00368720226,0.908049001824,1.09031267329
2020-07-19,0,119,,,,,,,3904,2481,5692,56906,39367,78205,127812,81596,186471,0.998435510972,0.90621275936,1.07740025849
2020-07-20,3,122,,,,,,,3896,2434,5691,57333,39153,79415,131708,84030,192161,0.993985138107,0.903526477684,1.06925417855
2020-07-21,4,126,,,,,,,3887,2382,5707,57664,38881,80500,135595,86413,197867,0.990197938609,0.900499540434,1.0606181282
