date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,24,12,35,24,12,35,24,12,35,1.21067323481,1,1.6
2020-02-17,,,,,,,,,24,12,35,47,24,70,47,24,70,1.21059908782,0.999995703932,1.59978236719
2020-02-18,,,,,,,,,24,12,35,71,36,105,71,36,105,1.21058151428,0.999994356046,1.59972262274
2020-02-19,,,,,,,,,24,12,35,95,48,140,95,48,140,1.21055970869,0.999992536238,1.59964646194
2020-02-20,,,,,,,,,24,12,35,118,60,175,118,60,175,1.21053263442,0.999990340523,1.59954937273
2020-02-21,,,,,,,,,24,12,35,142,72,210,142,72,210,1.21049899659,0.999987534278,1.59942560449
2020-02-22,,,,,,,,,24,12,35,166,84,245,166,84,245,1.21045717681,0.999983877813,1.59926782963
2020-02-23,,,,,,,,,24,12,35,190,96,280,190,96,280,1.2104051513,0.999979138654,1.59905993212
2020-02-24,,,,,,,,,24,12,35,213,108,315,213,108,315,1.21034038822,0.999973499026,1.59879018673
2020-02-25,,,,,,,,,52,28,75,265,136,390,265,136,390,1.21013304819,0.999819669999,1.59832034903
2020-02-26,,,,,,,,,51,28,75,316,165,465,316,165,465,1.21001668247,0.999792714447,1.59785884954
2020-02-27,,,,,,,,,53,29,77,369,195,541,369,195,541,1.2098564485,0.999743384353,1.5972820301
2020-02-28,,,,,,,,,56,31,81,425,227,622,425,227,622,1.20966534914,0.99969058207,1.59656533733
2020-02-29,,,,,,,,,62,36,91,488,263,713,488,263,713,1.20943444983,0.999632252584,1.59567047428
2020-03-01,,,,,,,,,73,43,106,560,306,818,560,306,818,1.20915288314,0.999566048769,1.59456623939
2020-03-02,,,,,,,,,80,47,117,617,342,899,640,354,934,1.20880614204,0.999492167073,1.59314646349
2020-03-03,,,,,,,,,86,51,125,679,381,988,726,405,1058,1.2083766088,0.999403510426,1.59121494112
2020-03-04,,,,,,,,,92,54,135,747,424,1088,818,460,1193,1.20784728828,0.999302673605,1.5887471644
2020-03-05,,,,,,,,,99,58,146,822,471,1198,917,519,1338,1.20719606004,0.99917345602,1.58560143016
2020-03-06,,,,,,,,,107,62,159,905,521,1322,1024,581,1497,1.20639381214,0.999015983247,1.58181748988
2020-03-07,,,,,,,,,116,65,172,997,575,1459,1139,647,1669,1.2054047335,0.998829223067,1.57695138366
2020-03-08,,,,,,,,,124,68,184,1097,632,1607,1263,716,1852,1.20418458935,0.998601679518,1.57052209845
2020-03-09,,,,,,,,,132,72,195,1205,692,1767,1395,788,2047,1.20268128982,0.998313950394,1.56334636743
2020-03-10,,,,,,,,,140,77,209,1321,758,1941,1535,866,2256,1.20083306379,0.997975294053,1.55487499197
2020-03-11,1,1,,,,,,,149,81,227,1419,810,2093,1684,947,2483,1.19856719798,0.997561537049,1.54437585342
2020-03-12,0,1,,,,,,,158,86,246,1525,868,2264,1842,1033,2728,1.19580001905,0.997038197438,1.53045131903
2020-03-13,0,1,,,,,,,168,90,264,1640,929,2452,2010,1124,2992,1.19243808077,0.996363168843,1.51471053412
2020-03-14,0,1,,,,,,,177,95,283,1762,993,2653,2187,1220,3274,1.1883814127,0.995603915482,1.4925403302
2020-03-15,0,1,,,,,,,187,98,305,1886,1055,2867,2373,1318,3579,1.18352870768,0.994731419099,1.46852534683
2020-03-16,0,1,,,,,,,196,101,324,2010,1113,3085,2570,1420,3902,1.177784935,0.993733726181,1.43750700938
2020-03-17,0,1,,,,,,,206,104,344,2136,1170,3312,2776,1525,4246,1.17107156412,0.992558192353,1.40656340945
2020-03-18,0,1,,,,,,,216,108,360,2266,1227,3547,2992,1633,4605,1.16333838023,0.991184204535,1.38466531921
2020-03-19,0,1,,,,,,,225,111,379,2399,1283,3791,3217,1744,4983,1.15457509557,0.989354238428,1.37847778804
2020-03-20,0,1,,,,,,,234,114,395,2534,1339,4040,3451,1859,5378,1.14482018135,0.987194421067,1.36247569969
2020-03-21,0,1,,,,,,,243,117,412,2670,1394,4293,3694,1976,5789,1.13416467552,0.984659374154,1.34940987318
2020-03-22,0,1,,,,,,,251,120,431,2806,1450,4551,3945,2097,6220,1.12274992917,0.980964152047,1.33556840712
2020-03-23,0,1,,,,,,,259,124,446,2941,1505,4814,4204,2221,6666,1.11075976419,0.977034689721,1.31915373476
2020-03-24,0,1,,,,,,,266,127,461,3075,1560,5079,4469,2349,7126,1.0984087589,0.973102878509,1.29993525662
2020-03-25,0,1,,,,,,,272,130,472,3207,1614,5342,4742,2480,7598,1.08592876635,0.969315635429,1.28015061308
2020-03-26,0,1,,,,,,,278,134,481,3336,1666,5596,5020,2614,8078,1.07355539124,0.962404973545,1.25567882812
2020-03-27,0,1,,,,,,,283,137,487,3461,1718,5836,5303,2752,8564,1.06151541323,0.955393550876,1.22713246552
2020-03-28,0,1,,,,,,,288,140,493,3581,1767,6065,5591,2892,9056,1.05001548517,0.946958262209,1.19724809532
2020-03-29,0,1,,,,,,,291,143,496,3695,1815,6278,5882,3035,9552,1.03923218994,0.936729079203,1.1735019196
2020-03-30,0,1,,,,,,,295,145,498,3803,1862,6471,6177,3181,10049,1.02930374783,0.928416218059,1.1462625086
2020-03-31,0,1,,,,,,,298,148,501,3905,1909,6648,6474,3329,10549,1.02032411403,0.920397008852,1.1191343265
2020-04-01,1,2,,,,,,,300,150,501,3998,1954,6805,6774,3479,11050,1.01234049656,0.914507403752,1.10203628843
2020-04-02,0,2,,,,,,,302,152,500,4085,1999,6945,7076,3632,11549,1.00535508568,0.909832443228,1.09086496941
2020-04-03,0,2,,,,,,,304,155,498,4163,2043,7065,7380,3787,12047,0.999330964562,0.905014205961,1.07985196507
2020-04-04,0,2,,,,,,,305,157,500,4234,2086,7169,7685,3945,12547,0.994201138012,0.901194238087,1.07229304323
2020-04-05,0,2,,,,,,,306,159,497,4298,2128,7254,7991,4104,13043,0.989878921055,0.897160783853,1.06656606694
2020-04-06,2,4,,,,,,,307,161,495,4354,2168,7319,8298,4266,13538,0.986267891145,0.886823270783,1.06153279832
2020-04-07,2,6,,,,,,,308,164,492,4403,2209,7364,8606,4431,14030,0.983270121697,0.878614887813,1.0576666079
2020-04-08,0,6,,,,,,,309,168,490,4446,2249,7394,8915,4599,14519,0.980792130405,0.872375002416,1.05543676515
2020-04-09,0,6,,,,,,,309,170,487,4483,2289,7409,9224,4769,15006,0.978748577788,0.865442886916,1.05322280611
2020-04-10,0,6,,,,,,,310,172,482,4514,2327,7410,9534,4942,15488,0.97706410351,0.86127768963,1.05142119652
2020-04-11,0,6,,,,,,,310,174,480,4541,2365,7403,9844,5117,15967,0.975673808081,0.857237879022,1.05006118377
2020-04-12,0,6,,,,,,,310,176,479,4564,2401,7390,10155,5293,16445,0.974522858247,0.854312807625,1.04893515681
2020-04-13,0,6,,,,,,,311,179,479,4583,2437,7373,10465,5472,16924,0.973565597562,0.851990603749,1.04794814366
2020-04-14,0,6,,,,,,,311,179,480,4599,2471,7355,10776,5652,17403,0.972764433744,0.85014579307,1.04723852325
2020-04-15,0,6,,,,,,,311,179,480,4613,2502,7334,11087,5832,17883,0.972072585724,0.848628618753,1.04680957156
2020-04-16,1,7,,,,,,,311,181,481,4624,2533,7313,11399,6013,18363,0.971472817442,0.847462293042,1.04659522724
2020-04-17,0,7,,,,,,,311,182,482,4634,2563,7296,11710,6195,18845,0.970938911874,0.846108465148,1.04635810283
2020-04-18,0,7,,,,,,,311,183,483,4641,2591,7280,12021,6379,19327,0.970476056252,0.845273186573,1.04619232277
2020-04-19,0,7,,,,,,,311,184,483,4648,2618,7263,12333,6563,19810,0.970053216898,0.844637449277,1.04593286594
2020-04-20,0,7,,,,,,,311,183,488,4653,2642,7255,12644,6747,20297,0.96970689494,0.844253713016,1.04586289761
2020-04-21,1,8,,,,,,,311,182,493,4657,2663,7252,12956,6930,20790,0.96939344917,0.844071645364,1.04573440743
2020-04-22,1,9,,,,,,,311,180,495,4661,2679,7255,13267,7110,21284,0.96920001573,0.844045496922,1.04568396169
2020-04-23,0,9,,,,,,,311,180,499,4663,2692,7264,13578,7291,21783,0.9690568456,0.844008155009,1.04556563222
2020-04-24,1,10,,,,,,,311,180,502,4665,2702,7279,13890,7471,22285,0.968960659237,0.84397289106,1.04545834272
2020-04-25,0,10,,,,,,,311,177,503,4667,2707,7300,14201,7649,22787,0.968916025637,0.844185861898,1.04541512344
2020-04-26,1,11,,,,,,,311,175,506,4668,2707,7326,14512,7824,23293,0.96892839716,0.84452551098,1.04534967357
2020-04-27,0,11,,,,,,,311,172,509,4668,2703,7356,14823,7997,23801,0.969001309905,0.844738736757,1.04537572911
2020-04-28,0,11,,,,,,,311,169,514,4668,2694,7390,15134,8166,24314,0.969154458663,0.845006247353,1.04547350589
2020-04-29,2,13,,,,,,,311,166,518,4668,2680,7429,15445,8332,24832,0.969413745031,0.845596914164,1.04555658492
2020-04-30,4,17,,,,,,,311,163,523,4668,2664,7472,15755,8496,25354,0.969813030266,0.846980744616,1.04566209017
