date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-27,,,,,,,,,29,15,42,29,15,42,29,15,42,1.54296920203,1.2,2
2020-02-28,,,,,,,,,29,15,42,58,30,84,58,30,84,1.54267493252,1.19987136856,1.99981742545
2020-02-29,,,,,,,,,29,15,42,87,45,126,87,45,126,1.5425868307,1.19983137509,1.9997381486
2020-03-01,,,,,,,,,29,15,42,116,60,168,116,60,168,1.54247188426,1.19977896314,1.99962446077
2020-03-02,,,,,,,,,29,15,42,145,75,210,145,75,210,1.54232176814,1.19971028916,1.99948283737
2020-03-03,,,,,,,,,29,15,42,174,90,252,174,90,252,1.54212553571,1.19962032926,1.99927499766
2020-03-04,,,,,,,,,29,15,42,204,105,294,204,105,294,1.54186878651,1.19951533848,1.99895939302
2020-03-05,,,,,,,,,29,15,42,233,120,336,233,120,336,1.54153257277,1.19939074054,1.99850935139
2020-03-06,,,,,,,,,29,15,42,262,135,378,262,135,378,1.54109196688,1.19923424102,1.99789015702
2020-03-07,,,,,,,,,73,39,107,335,174,485,335,174,485,1.54045941039,1.19897733677,1.99690400095
2020-03-08,,,,,,,,,73,39,107,407,213,591,407,213,591,1.53969461276,1.19870351138,1.99562458173
2020-03-09,,,,,,,,,76,41,111,483,254,702,483,254,702,1.53868265818,1.1982676969,1.99399787186
2020-03-10,,,,,,,,,82,45,123,565,299,825,565,299,825,1.53736054016,1.19763835814,1.99157890948
2020-03-11,,,,,,,,,95,54,145,660,354,970,660,354,970,1.53563165261,1.19688654231,1.98786597141
2020-03-12,,,,,,,,,116,65,180,777,419,1149,777,419,1149,1.53337149747,1.1960566215,1.98253918558
2020-03-13,,,,,,,,,132,73,209,879,478,1316,909,493,1358,1.53042019077,1.19488142575,1.97497720589
2020-03-14,,,,,,,,,145,80,234,995,543,1508,1054,573,1592,1.52657633027,1.19345788937,1.96519805931
2020-03-15,,,,,,,,,160,89,264,1127,618,1729,1214,663,1855,1.5215939474,1.19180041613,1.953425141
2020-03-16,,,,,,,,,178,100,299,1275,703,1986,1392,763,2154,1.51517562357,1.18965498351,1.93797915674
2020-03-17,,,,,,,,,200,112,344,1446,800,2287,1591,875,2497,1.506974669,1.18644494871,1.91784564023
2020-03-18,,,,,,,,,222,122,390,1639,908,2635,1813,998,2887,1.49660948946,1.18182444146,1.89194485457
2020-03-19,,,,,,,,,244,134,433,1853,1027,3025,2057,1132,3319,1.48369217133,1.17696098602,1.86190507071
2020-03-20,,,,,,,,,266,145,477,2090,1157,3460,2323,1277,3796,1.46787692645,1.1698237236,1.82626081815
2020-03-21,,,,,,,,,289,156,525,2350,1299,3942,2612,1434,4320,1.44892151287,1.16283531118,1.78723768821
2020-03-22,1,1,,,,,,,314,166,570,2591,1426,4406,2926,1601,4890,1.4267507826,1.15475711203,1.76166388597
2020-03-23,0,1,,,,,,,338,177,621,2857,1565,4920,3264,1778,5511,1.4015012792,1.14550200355,1.74521919202
