date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-10,,,,,,,,,375,210,480,375,210,480,375,210,480,2.34403539647,1.8,2.6
2020-02-11,,,,,,,,,375,210,480,749,421,959,749,421,959,2.34388276743,1.79999829043,2.59998875548
2020-02-12,,,,,,,,,375,210,480,1124,631,1438,1124,631,1438,2.34381919415,1.79999737003,2.59998205392
2020-02-13,,,,,,,,,375,210,480,1499,842,1917,1499,842,1917,2.34372873103,1.79999599288,2.59997134862
2020-02-14,,,,,,,,,375,210,480,1874,1052,2396,1874,1052,2396,2.34359980022,1.79999385748,2.59995334498
2020-02-15,,,,,,,,,375,210,480,2248,1263,2875,2248,1263,2875,2.34341573881,1.79999060516,2.59992429381
2020-02-16,,,,,,,,,375,210,480,2623,1474,3354,2623,1474,3354,2.34315251861,1.79998557726,2.59987690009
2020-02-17,,,,,,,,,375,210,480,2998,1684,3833,2998,1684,3833,2.34277542447,1.79997785709,2.5998073044
2020-02-18,,,,,,,,,375,210,480,3372,1895,4312,3372,1895,4312,2.34223421031,1.79996600463,2.59969823786
2020-02-19,,,,,,,,,1249,703,1656,4621,2598,5967,4621,2598,5967,2.34104882181,1.79958784851,2.59913359339
2020-02-20,,,,,,,,,1245,700,1647,5866,3299,7613,5866,3299,7613,2.33987727276,1.79952048468,2.59879627895
2020-02-21,,,,,,,,,1343,752,1791,7209,4051,9404,7209,4051,9404,2.33808963291,1.79935483637,2.59814284859
2020-02-22,,,,,,,,,1543,877,2085,8751,4928,11489,8751,4928,11489,2.33558371109,1.79916129887,2.59719480547
2020-02-23,,,,,,,,,1958,1105,2693,10709,6034,14181,10709,6034,14181,2.3320219143,1.79892738359,2.59585024769
2020-02-24,,,,,,,,,2610,1445,3646,13319,7479,17827,13319,7479,17827,2.32692256776,1.79861953082,2.59364306426
2020-02-25,,,,,,,,,3146,1746,4424,16090,9015,21771,16465,9226,22250,2.31958371877,1.79820387593,2.59011347092
2020-02-26,,,,,,,,,3666,2019,5221,19381,10824,26513,20130,11245,27471,2.30901597149,1.79761020177,2.58424896308
2020-02-27,,,,,,,,,4330,2373,6264,23337,12987,32298,24461,13619,33735,2.29389422187,1.79681322031,2.57506199495
2020-02-28,,,,,,,,,5170,2784,7586,28132,15561,39404,29631,16403,41320,2.27238791914,1.79568093857,2.56040221929
2020-02-29,,,,,,,,,6220,3264,9153,33978,18614,48077,35851,19667,50472,2.24207202188,1.79406983713,2.53723817742
2020-03-01,,,,,,,,,7327,3814,10680,40930,22218,58278,43178,23481,61152,2.19996506108,1.79168615732,2.50207384126
2020-03-02,,,,,,,,,8455,4428,12157,49010,26435,69955,51633,27909,73308,2.14277589332,1.788150226,2.44478876366
2020-03-03,,,,,,,,,9620,5091,13698,58255,31316,83173,61253,33001,87005,2.06754343734,1.78192939337,2.35803233082
