date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-02,,,,,,,,,84,44,113,84,44,113,84,44,113,1.53319561984,1.2,1.8
2020-03-03,,,,,,,,,84,44,113,169,88,226,169,88,226,1.5331084566,1.19999878836,1.79998359233
2020-03-04,,,,,,,,,84,44,113,253,132,339,253,132,339,1.53308299197,1.19999834487,1.79997664521
2020-03-05,,,,,,,,,84,44,113,338,176,452,338,176,452,1.53304996701,1.19999773902,1.79996675044
2020-03-06,,,,,,,,,84,44,113,422,220,565,422,220,565,1.53300709639,1.19999691136,1.79995296536
2020-03-07,,,,,,,,,84,44,113,507,264,678,507,264,678,1.5329513905,1.19999578066,1.79993285506
2020-03-08,,,,,,,,,84,44,113,591,308,791,591,308,791,1.53287893412,1.19999423597,1.79990376653
2020-03-09,,,,,,,,,84,44,113,676,352,904,676,352,904,1.5327845943,1.19999212566,1.7998626144
2020-03-10,,,,,,,,,84,44,113,760,396,1017,760,396,1017,1.5326616346,1.19998924261,1.79980128663
2020-03-11,,,,,,,,,212,119,289,973,515,1306,973,515,1306,1.53197670053,1.19947365629,1.79926929352
2020-03-12,,,,,,,,,211,119,287,1184,634,1593,1184,634,1593,1.53170167046,1.19940421406,1.79908315044
2020-03-13,,,,,,,,,220,124,300,1404,758,1893,1404,758,1893,1.53126227762,1.1992555499,1.79874215987
2020-03-14,,,,,,,,,238,135,327,1642,894,2219,1642,894,2219,1.53073914511,1.19910306439,1.79831703192
2020-03-15,,,,,,,,,277,159,384,1919,1053,2603,1919,1053,2603,1.53009809152,1.19894126581,1.79778774097
2020-03-16,,,,,,,,,336,196,475,2255,1249,3077,2255,1249,3077,1.52929660964,1.19876940421,1.79711897143
2020-03-17,,,,,,,,,382,227,543,2553,1432,3507,2637,1476,3620,1.52827297445,1.19857704855,1.79621933246
2020-03-18,,,,,,,,,420,250,601,2889,1639,3994,3058,1727,4220,1.52695002781,1.19834626403,1.79489107888
2020-03-19,,,,,,,,,464,281,668,3268,1877,4549,3522,2009,4888,1.52525968148,1.1980872063,1.79308755489
2020-03-20,,,,,,,,,515,315,745,3699,2148,5180,4037,2324,5632,1.52310451599,1.19779606137,1.79082748985
2020-03-21,,,,,,,,,580,360,842,4194,2465,5909,4617,2685,6474,1.52034533327,1.19746484731,1.78794238332
2020-03-22,,,,,,,,,646,402,943,4756,2824,6738,5263,3088,7416,1.51680226768,1.19707474327,1.78426442983
2020-03-23,,,,,,,,,713,441,1043,5385,3221,7668,5976,3529,8459,1.5122427226,1.19660511245,1.77888356733
2020-03-24,,,,,,,,,783,484,1150,6083,3662,8705,6759,4014,9609,1.50638399184,1.19597480096,1.77274265004
2020-03-25,,,,,,,,,859,526,1265,6858,4144,9856,7618,4540,10873,1.4988785532,1.19526352291,1.76514907116
2020-03-26,1,1,,,,,,,942,571,1395,7587,4596,10963,8560,5111,12268,1.48930586496,1.19442027529,1.75256161623
2020-03-27,1,2,,,,,,,1030,623,1528,8406,5100,12203,9590,5734,13796,1.47717822851,1.19337314406,1.73603650778
2020-03-28,3,5,,,,,,,1119,679,1666,9304,5655,13569,10708,6414,15461,1.46196350483,1.19209645558,1.71456380687
2020-03-29,1,6,,,,,,,1208,726,1803,10274,6246,15045,11916,7140,17263,1.44313433486,1.19037274268,1.68730981457
2020-03-30,0,6,,,,,,,1297,777,1944,11295,6864,16605,13213,7918,19207,1.42024266093,1.18826791987,1.6537557076
2020-03-31,4,10,,,,,,,1384,833,2062,12343,7501,18192,14598,8751,21269,1.39301590992,1.18528373566,1.61415242209
2020-04-01,1,11,,,,,,,1467,882,2182,13428,8157,19831,16065,9634,23450,1.36145610611,1.17601560601,1.57190972448
2020-04-02,1,12,,,,,,,1543,925,2286,14550,8832,21516,17608,10559,25736,1.32590529974,1.15165350039,1.55010878425
2020-04-03,2,14,,,,,,,1608,971,2367,15694,9522,23216,19216,11531,28103,1.28704404356,1.12308944749,1.52856021614
2020-04-04,0,14,,,,,,,1663,1008,2402,16841,10215,24872,20879,12539,30504,1.24581427196,1.07046051182,1.49931570984
2020-04-05,0,14,,,,,,,1706,1050,2418,17968,10904,26448,22585,13589,32922,1.20329415441,1.01904510049,1.46872532215
2020-04-06,1,15,,,,,,,1737,1090,2416,19059,11591,27922,24322,14679,35338,1.16057049059,0.972114197889,1.42796829339
2020-04-07,1,16,,,,,,,1757,1115,2420,20103,12266,29299,26079,15795,37757,1.11864353586,0.933007570542,1.37040710539
2020-04-08,3,19,,,,,,,1764,1124,2419,21084,12906,30567,27843,16920,40176,1.07837523445,0.894389820617,1.31517211826
2020-04-09,4,23,,,,,,,1760,1139,2417,21985,13519,31719,29603,18059,42592,1.040472134,0.868197335583,1.2584627275
2020-04-10,9,32,,,,,,,1747,1140,2390,22790,14088,32714,31350,19200,44982,1.00548651629,0.842994645188,1.21300572574
2020-04-11,1,33,,,,,,,1725,1145,2364,23486,14610,33550,33075,20345,47345,0.973820986534,0.825084353864,1.17274838511
2020-04-12,2,35,,,,,,,1696,1141,2315,24064,15072,34199,34772,21486,49659,0.945728248165,0.808368295129,1.13437302158
2020-04-13,6,41,,,,,,,1662,1128,2273,24517,15474,34668,36434,22615,51931,0.92130631015,0.790733251437,1.08818616531
2020-04-14,2,43,,,,,,,1623,1109,2219,24843,15806,34944,38057,23724,54150,0.900496942903,0.771964491963,1.04401684035
2020-04-15,3,46,,,,,,,1582,1098,2165,25041,16071,35047,39638,24823,56315,0.883097561864,0.757751905533,1.0074483077
2020-04-16,9,55,,,,,,,1538,1079,2096,25112,16268,34960,41177,25902,58410,0.868791307927,0.74983915227,0.981464890349
2020-04-17,6,61,,,,,,,1494,1058,2036,25063,16401,34710,42671,26960,60445,0.857190505328,0.7424667025,0.958298194493
2020-04-18,6,67,,,,,,,1449,1040,1964,24904,16469,34307,44120,28001,62409,0.847882422656,0.736726167331,0.94221754899
2020-04-19,0,67,,,,,,,1405,1016,1901,24646,16477,33806,45525,29017,64309,0.840467075532,0.733916296977,0.928313235024
2020-04-20,5,72,,,,,,,1361,985,1822,24301,16412,33209,46886,30002,66130,0.834582104468,0.732014318148,0.91693817833
2020-04-21,10,82,,,,,,,1318,961,1746,23882,16283,32539,48204,30963,67876,0.829915002005,0.728953465743,0.908325365987
2020-04-22,7,89,,,,,,,1276,927,1676,23401,16095,31794,49480,31891,69551,0.826205793258,0.726457317797,0.902611851779
2020-04-23,3,92,,,,,,,1235,901,1606,22872,15872,30981,50715,32793,71157,0.823243822082,0.725621390917,0.897531731412
2020-04-24,8,100,,,,,,,1195,867,1551,22307,15601,30115,51910,33660,72707,0.820861627325,0.724866515103,0.893616914623
2020-04-25,12,112,,,,,,,1156,836,1498,21716,15297,29223,53067,34497,74204,0.818927907102,0.724332909785,0.890547176876
