date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-25,,,,,,,,,621,323,828,621,323,828,621,323,828,2.23481201353,1.8,2.6
2020-02-26,,,,,,,,,621,323,828,1243,646,1656,1243,646,1656,2.2340736992,1.79986967821,2.59979037349
2020-02-27,,,,,,,,,621,323,828,1864,969,2484,1864,969,2484,2.23382650524,1.79981997103,2.59969374609
2020-02-28,,,,,,,,,621,323,828,2486,1292,3312,2486,1292,3312,2.2334948473,1.799757564,2.59956306879
2020-02-29,,,,,,,,,621,323,828,3107,1616,4140,3107,1616,4140,2.2330492568,1.7996692205,2.59937483096
2020-03-01,,,,,,,,,621,323,828,3728,1939,4968,3728,1939,4968,2.23244978941,1.79955690591,2.59911319852
2020-03-02,,,,,,,,,621,323,828,4350,2262,5796,4350,2262,5796,2.23164225873,1.79941025646,2.59870821793
2020-03-03,,,,,,,,,621,323,828,4971,2585,6624,4971,2585,6624,2.23055312631,1.7992176319,2.59811850286
2020-03-04,,,,,,,,,621,323,828,5593,2909,7452,5593,2909,7452,2.22908259453,1.79895393646,2.59726002158
2020-03-05,,,,,,,,,1993,1080,2782,7586,3989,10233,7586,3989,10233,2.22630531306,1.79788376209,2.59552310397
2020-03-06,,,,,,,,,1985,1076,2768,9570,5066,13000,9570,5066,13000,2.22352042285,1.79729066344,2.59364572228
2020-03-07,,,,,,,,,2128,1152,2984,11698,6219,15984,11698,6219,15984,2.21956856171,1.7962990377,2.59078746146
2020-03-08,,,,,,,,,2422,1317,3430,14120,7536,19414,14120,7536,19414,2.21434037484,1.79508736337,2.58681450806
2020-03-09,,,,,,,,,3031,1664,4335,17151,9201,23748,17151,9201,23748,2.20736878497,1.79356300146,2.58120152984
2020-03-10,,,,,,,,,3982,2191,5755,21133,11392,29502,21133,11392,29502,2.19804604806,1.79149160671,2.57296207967
2020-03-11,,,,,,,,,4746,2615,6945,25258,13685,35619,25880,14008,36447,2.18556399786,1.78865841801,2.56120913042
2020-03-12,,,,,,,,,5462,3008,8098,30099,16370,42888,31341,17017,44544,2.16890813569,1.78491686559,2.54476840199
2020-03-13,,,,,,,,,6355,3494,9587,35832,19541,51647,37696,20511,54131,2.14693195024,1.78079042666,2.52144302592
2020-03-14,,,,,,,,,7457,4090,11370,42668,23309,62188,45153,24602,65500,2.11827218999,1.77487265868,2.48998778291
2020-03-15,,,,,,,,,8813,4829,13613,50859,27816,74972,53966,29432,79112,2.08142444449,1.76615711966,2.44380736388
2020-03-16,,,,,,,,,10203,5614,15664,60441,33107,89807,64170,35046,94775,2.03495859806,1.7540496819,2.38345245282
2020-03-17,,,,,,,,,11580,6461,17625,71400,39246,106603,75750,41508,112399,1.97780449509,1.72519176103,2.30791820264
2020-03-18,,,,,,,,,12983,7374,19352,83761,46297,125127,88733,48882,131751,1.90963341038,1.66383912227,2.25234367622
2020-03-19,,,,,,,,,14409,8430,21212,97549,54403,145511,103142,57312,152963,1.83111528905,1.58558184769,2.1924349997
2020-03-20,1,1,,,,,,,15816,9666,22745,111372,62989,165474,118958,66979,175707,1.74399774603,1.46952751113,2.10832752679
2020-03-21,0,1,,,,,,,17094,10901,24138,126481,72814,186845,136052,77880,199845,1.65094364072,1.35110353328,2.03366346982
2020-03-22,4,5,,,,,,,18174,12101,25176,142527,83763,209037,154226,89982,225020,1.55516497695,1.23679647079,1.94090825275
2020-03-23,4,9,,,,,,,19050,13175,25832,159155,95621,231438,173276,103158,250852,1.45999010565,1.13486667666,1.86978324672
2020-03-24,2,11,,,,,,,19729,13972,26331,175853,107928,253435,193005,117130,277182,1.36847130998,1.06046627588,1.78142172417
2020-03-25,4,15,,,,,,,20219,14488,26746,192090,120226,274426,213223,131618,303928,1.28310922297,1.00560729303,1.70308694552
2020-03-26,10,25,,,,,,,20517,14791,26885,207861,132401,294366,233741,146410,330812,1.20571309742,0.963407798313,1.61373739163
2020-03-27,10,35,,,,,,,20633,14908,26885,223032,144301,313153,254374,161318,357697,1.1373740897,0.926715060193,1.50912364579
2020-03-28,9,44,,,,,,,20590,14838,26856,237268,155645,330422,274964,176157,384552,1.07851887653,0.899566258017,1.4168393114
2020-03-29,4,48,,,,,,,20422,14736,26838,250233,166291,345890,295386,190893,411389,1.02900891297,0.87249494145,1.33327295612
2020-03-30,8,56,,,,,,,20159,14514,26576,261579,175976,358854,315545,205408,437965,0.988262360347,0.856848330203,1.25510654091
2020-03-31,33,89,,,,,,,19823,14333,26396,271198,184695,369586,335368,219742,464360,0.955385886334,0.84363557702,1.17872624251
2020-04-01,33,122,,,,,,,19432,14106,26070,279050,192340,378031,354800,233849,490430,0.929307375001,0.836216903775,1.11395246135
2020-04-02,32,154,,,,,,,19003,13892,25524,285070,198859,384203,373803,247742,515954,0.90889944167,0.830015036821,1.05700063803
2020-04-03,38,192,,,,,,,18548,13630,24889,289209,204060,387880,392351,261373,540842,0.893080570821,0.819466063798,1.00891037286
