date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,170,88,240,170,88,240,170,88,240,1.69475960856,1.4,2.2
2020-02-20,,,,,,,,,170,88,240,339,176,480,339,176,480,1.69463931516,1.39992214402,2.19996091804
2020-02-21,,,,,,,,,170,88,240,509,264,720,509,264,720,1.69458614829,1.39988717725,2.19993591296
2020-02-22,,,,,,,,,170,88,240,678,352,960,678,352,960,1.69450904834,1.39983606458,2.1998948595
2020-02-23,,,,,,,,,170,88,240,848,440,1200,848,440,1200,1.69439702546,1.39976783156,2.19983048152
2020-02-24,,,,,,,,,170,88,240,1018,528,1440,1018,528,1440,1.69423393941,1.39967160836,2.19972077168
2020-02-25,,,,,,,,,170,88,240,1187,616,1680,1187,616,1680,1.69399604039,1.39954036272,2.19953528495
2020-02-26,,,,,,,,,170,88,240,1357,704,1920,1357,704,1920,1.69364832163,1.39935398017,2.19922664128
2020-02-27,,,,,,,,,170,88,240,1527,792,2160,1527,792,2160,1.69313911239,1.3990883985,2.19871317297
2020-02-28,,,,,,,,,453,248,641,1979,1040,2801,1979,1040,2801,1.69218151602,1.39851328169,2.19770648005
2020-02-29,,,,,,,,,451,247,638,2430,1288,3439,2430,1288,3439,1.69105772665,1.39793671697,2.19644394292
2020-03-01,,,,,,,,,473,262,680,2903,1551,4118,2903,1551,4118,1.68937205481,1.397043033,2.1945451924
2020-03-02,,,,,,,,,518,286,760,3421,1837,4877,3421,1837,4877,1.68692510141,1.39577218664,2.19173678205
2020-03-03,,,,,,,,,614,335,917,4035,2172,5794,4035,2172,5794,1.68335476978,1.39395125839,2.18777532746
2020-03-04,,,,,,,,,761,412,1171,4796,2584,6964,4796,2584,6964,1.67813812081,1.39135588491,2.18190627371
2020-03-05,,,,,,,,,874,471,1372,5501,2968,8096,5670,3056,8336,1.67052664847,1.38810115063,2.17232311796
2020-03-06,,,,,,,,,970,521,1543,6301,3402,9399,6640,3578,9879,1.65948183705,1.38308782339,2.15696695006
2020-03-07,,,,,,,,,1079,580,1725,7211,3894,10883,7719,4158,11603,1.64363205467,1.37509957506,2.13336961364
2020-03-08,,,,,,,,,1205,648,1932,8246,4454,12575,8924,4806,13535,1.62125145703,1.36605856798,2.09757002279
2020-03-09,,,,,,,,,1352,721,2161,9428,5088,14496,10276,5528,15696,1.59037869419,1.35329352986,2.04430249878
2020-03-10,,,,,,,,,1489,798,2343,10747,5798,16599,11765,6326,18039,1.54914761146,1.31833983273,1.96907696759
2020-03-11,,,,,,,,,1602,874,2463,12179,6584,18821,13367,7200,20501,1.49632049864,1.2765600654,1.89306695149
2020-03-12,,,,,,,,,1693,950,2531,13703,7446,21111,15060,8150,23031,1.43185213312,1.17319144347,1.82321097744
2020-03-13,,,,,,,,,1762,1031,2501,15295,8389,23372,16821,9181,25532,1.35713837002,1.03382377849,1.74032006052
2020-03-14,3,3,,,,,,,1807,1127,2534,16649,9268,25265,18629,10309,28066,1.27477753168,0.904420539561,1.67463057229
2020-03-15,0,3,,,,,,,1823,1221,2484,18022,10242,27111,20451,11531,30550,1.18801291823,0.790977549329,1.56426425482
2020-03-16,0,3,,,,,,,1806,1283,2431,19355,11263,28863,22257,12814,32981,1.10016820713,0.707704574629,1.51982544423
2020-03-17,0,3,,,,,,,1762,1243,2382,20598,12220,30486,24019,14058,35362,1.01425955009,0.643831916481,1.46263625529
2020-03-18,3,6,,,,,,,1695,1216,2283,21680,13101,31851,25714,15274,37645,0.932798205579,0.594969627561,1.40427826677
2020-03-19,1,7,,,,,,,1613,1105,2210,22532,13794,32890,27327,16379,39854,0.857738405251,0.563105408788,1.31623320746
2020-03-20,0,7,,,,,,,1519,1016,2129,23176,14339,33647,28847,17395,41983,0.79051403913,0.540823467209,1.23816413605
2020-03-21,0,7,,,,,,,1418,927,2072,23625,14744,34176,30265,18322,44054,0.732088618055,0.52508488816,1.15065990452
2020-03-22,0,7,,,,,,,1313,851,1964,23859,15016,34415,31578,19174,46018,0.68295806739,0.515227796301,1.04772071236
2020-03-23,3,10,,,,,,,1210,791,1858,23864,15159,34341,32788,19965,47875,0.643103312346,0.509032455934,0.940868423146
2020-03-24,2,12,,,,,,,1112,720,1730,23624,15157,33909,33900,20685,49604,0.611955852645,0.505010958324,0.852863758504
2020-03-25,2,14,,,,,,,1020,661,1604,23156,15020,33169,34921,21347,51207,0.588462914716,0.502435542837,0.783825006382
