date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,68,42,83,68,42,83,68,42,83,1.52107843137,1.2,2
2020-02-20,,,,,,,,,68,42,83,136,84,166,136,84,166,1.52104117218,1.19998980707,1.99998480558
2020-02-21,,,,,,,,,68,42,83,203,126,249,203,126,249,1.52102378374,1.19998549279,1.99997476199
2020-02-22,,,,,,,,,68,42,83,271,168,332,271,168,332,1.52099810503,1.19997929912,1.99995897599
2020-02-23,,,,,,,,,68,42,83,339,210,415,339,210,415,1.5209600892,1.19996961371,1.99993329772
2020-02-24,,,,,,,,,68,42,83,407,252,497,407,252,497,1.52090366403,1.19995538359,1.99988945432
2020-02-25,,,,,,,,,68,42,83,474,294,580,474,294,580,1.52081969274,1.19993447096,1.9998131141
2020-02-26,,,,,,,,,68,42,83,542,336,663,542,336,663,1.5206943898,1.19990366534,1.99968406598
2020-02-27,,,,,,,,,68,42,83,610,378,746,610,378,746,1.52050690179,1.1998641192,1.99946974382
2020-02-28,,,,,,,,,170,109,230,780,487,975,780,487,975,1.5195588302,1.19918717463,1.99832149392
2020-02-29,,,,,,,,,169,108,229,949,596,1204,949,596,1204,1.51905254666,1.19901910602,1.99767105554
2020-03-01,,,,,,,,,176,113,241,1126,709,1444,1126,709,1444,1.51820221799,1.19871095157,1.99642961102
2020-03-02,,,,,,,,,191,123,266,1317,833,1710,1317,833,1710,1.51702722151,1.19833667657,1.99466525839
2020-03-03,,,,,,,,,223,142,322,1540,975,2031,1540,975,2031,1.51534869755,1.19788121261,1.99202710382
2020-03-04,,,,,,,,,271,167,404,1811,1143,2434,1811,1143,2434,1.51290134668,1.19728683598,1.98768397132
2020-03-05,,,,,,,,,308,187,468,2051,1289,2819,2118,1331,2902,1.50928086788,1.19648475971,1.97992978943
2020-03-06,,,,,,,,,339,201,523,2321,1449,3259,2457,1533,3424,1.5038969994,1.19537897269,1.96678999939
2020-03-07,,,,,,,,,373,219,593,2627,1626,3769,2830,1752,4017,1.49594115939,1.19374409873,1.94491369103
2020-03-08,,,,,,,,,413,239,677,2972,1824,4363,3243,1992,4694,1.48427070647,1.1913455339,1.91444758792
2020-03-09,,,,,,,,,461,259,774,3365,2041,5053,3704,2251,5467,1.46736613095,1.1878739452,1.87449552974
2020-03-10,,,,,,,,,507,280,861,3804,2280,5831,4211,2532,6328,1.44341836356,1.18351814468,1.82062054436
2020-03-11,,,,,,,,,546,302,919,4283,2541,6667,4757,2835,7247,1.41061115609,1.17759592826,1.74982759822
2020-03-12,,,,,,,,,580,323,961,4795,2822,7545,5337,3158,8207,1.36766983616,1.1640823925,1.70362972932
2020-03-13,,,,,,,,,608,347,973,5335,3128,8434,5945,3506,9180,1.31445710472,1.12046217254,1.59924005186
2020-03-14,1,1,,,,,,,628,374,968,5793,3393,9173,6573,3880,10147,1.25225553863,0.979931623027,1.52757645127
2020-03-15,0,1,,,,,,,639,401,945,6263,3686,9889,7212,4282,11092,1.18349488463,0.861885680058,1.47729205546
2020-03-16,0,1,,,,,,,638,426,919,6724,3998,10567,7850,4708,12010,1.11110355696,0.759691325255,1.41063269907
2020-03-17,0,1,,,,,,,629,438,881,7162,4313,11182,8479,5147,12891,1.0378694135,0.682378984412,1.35481843838
2020-03-18,1,2,,,,,,,611,433,837,7551,4604,11698,9090,5580,13728,0.966073524048,0.628670801907,1.32623707416
2020-03-19,2,4,,,,,,,588,419,812,7868,4856,12105,9678,6000,14539,0.897445213763,0.587370597114,1.28654215786
2020-03-20,0,4,,,,,,,560,393,784,8119,5061,12421,10238,6393,15322,0.83331283942,0.556581014073,1.21622662362
2020-03-21,4,8,,,,,,,528,368,759,8308,5228,12657,10765,6762,16081,0.774789279178,0.535891952499,1.14147937437
