date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-01,,,,,,,,,340,174,490,340,174,490,340,174,490,3.784149728,3.4,4.2
2020-03-02,,,,,,,,,340,174,490,680,348,980,680,348,980,3.75481576574,3.35442043554,4.19454941959
2020-03-03,,,,,,,,,340,174,490,1020,522,1470,1020,522,1470,3.74326608931,3.3315192283,4.19165065263
2020-03-04,,,,,,,,,340,174,490,1360,696,1960,1360,696,1960,3.72721902889,3.30694872764,4.18721613339
2020-03-05,,,,,,,,,340,174,490,1701,870,2450,1701,870,2450,3.7050203524,3.26974931914,4.18056557103
2020-03-06,,,,,,,,,340,174,490,2041,1044,2940,2041,1044,2940,3.67451373306,3.22147918033,4.17040180017
2020-03-07,,,,,,,,,340,174,490,2381,1218,3430,2381,1218,3430,3.63298579605,3.12695205462,4.15477356423
2020-03-08,,,,,,,,,340,174,490,2721,1392,3920,2721,1392,3920,3.57718874593,2.99298856882,4.13106520358
2020-03-09,,,,,,,,,340,174,490,3061,1566,4410,3061,1566,4410,3.50349964685,2.82608577738,4.09611537194
2020-03-10,,,,,,,,,1481,806,2148,4542,2372,6558,4542,2372,6558,3.40653371948,2.59545803307,4.04313472917
2020-03-11,,,,,,,,,1432,801,2053,5974,3174,8611,5974,3174,8611,3.28646226568,2.34820854478,3.97453246041
2020-03-12,,,,,,,,,1550,902,2232,7524,4076,10843,7524,4076,10843,3.13907591445,2.08296445404,3.88649912336
2020-03-13,,,,,,,,,1797,1106,2626,9322,5182,13468,9322,5182,13468,2.96506350186,1.85740743026,3.80817800491
2020-03-14,,,,,,,,,2308,1444,3381,11630,6627,16848,11630,6627,16848,2.76677015817,1.62261532409,3.70063968161
2020-03-15,,,,,,,,,3026,1891,4382,14655,8518,21230,14655,8518,21230,2.54943840917,1.43621196783,3.56189186719
2020-03-16,,,,,,,,,3423,2012,4871,17738,10357,25610,18078,10531,26100,2.32093877308,1.29386156813,3.36198350913
2020-03-17,,,,,,,,,3679,2025,5182,21077,12208,30302,21757,12556,31282,2.09101745637,1.1909109705,3.1395228271
2020-03-18,,,,,,,,,3964,2074,5627,24700,14108,35439,25720,14630,36909,1.87004286374,1.11804504257,2.89242479804
2020-03-19,,,,,,,,,4258,2148,6058,28618,16082,41007,29978,16778,42967,1.66708819078,1.04774601125,2.68071228101
2020-03-20,,,,,,,,,4549,2237,6528,32826,18146,47044,34527,19016,49494,1.48869642352,1.00185673305,2.42440663037
2020-03-21,,,,,,,,,4706,2304,7057,37192,20276,53610,39232,21320,56550,1.33832124881,0.975544374221,2.18858872094
2020-03-22,,,,,,,,,4757,2330,7299,41608,22432,60418,43989,23650,63848,1.21638441833,0.949802946581,1.90286134103
2020-03-23,,,,,,,,,4765,2350,7403,46033,24609,67331,48753,26001,71251,1.12090339104,0.922846203785,1.65893936006
2020-03-24,,,,,,,,,4757,2369,7431,50449,26804,74272,53510,28370,78682,1.04833316931,0.904288476314,1.43832577175
2020-03-25,1,1,,,,,,,4741,2396,7439,53709,28395,79563,58251,30767,86121,0.994469585239,0.881748620932,1.2763172383
2020-03-26,0,1,,,,,,,4703,2422,7390,56980,30015,84900,62954,33190,93511,0.955180642377,0.864546049823,1.15895118723
2020-03-27,1,2,,,,,,,4639,2429,7269,60069,31543,89937,67593,35619,100779,0.926847692712,0.844611725756,1.06692259059
2020-03-28,3,5,,,,,,,4562,2453,7149,62833,32890,94460,72154,38073,107927,0.906541671705,0.826083386981,1.00208928712
2020-03-29,3,8,,,,,,,4481,2481,6985,65006,33927,98064,76636,40554,114912,0.89201278366,0.814050593367,0.968843742726
2020-03-30,0,8,,,,,,,4403,2508,6737,66383,34544,100420,81039,43063,121649,0.881592042142,0.802736393576,0.950209007514
2020-03-31,2,10,,,,,,,4325,2526,6454,67285,35057,102002,85364,45589,128102,0.87407040076,0.792805206366,0.944632264544
2020-04-01,0,10,,,,,,,4244,2539,6209,67851,35572,103029,89608,48128,134311,0.868585637287,0.788118119298,0.94319906609
2020-04-02,3,13,,,,,,,4162,2560,5928,68050,36058,103330,93770,50689,140239,0.86452969548,0.785221403986,0.942305241079
2020-04-03,1,14,,,,,,,4080,2582,5741,67872,36492,103013,97850,53271,145979,0.861476603036,0.783642997989,0.941510643806
2020-04-04,10,24,,,,,,,4000,2602,5511,67323,36857,101996,101850,55873,151490,0.859128674724,0.782502336599,0.940561710074
2020-04-05,4,28,,,,,,,3921,2610,5295,66539,37163,100235,105771,58484,156785,0.857277948316,0.781557813526,0.939897341327
2020-04-06,17,45,,,,,,,3844,2624,5125,65627,37458,98061,109616,61109,161909,0.855779063772,0.780321928189,0.939143950959
2020-04-07,20,65,,,,,,,3768,2618,4924,64631,37726,95582,113384,63727,166832,0.854530450718,0.779348373178,0.938515976448
2020-04-08,22,87,,,,,,,3693,2611,4782,63567,37968,92933,117077,66339,171614,0.853461167604,0.778424156588,0.937944338539
2020-04-09,0,87,,,,,,,3619,2604,4639,62445,38176,90132,120697,68944,176252,0.852521586654,0.777508759264,0.937329709999
2020-04-10,23,110,,,,,,,3547,2616,4499,61290,38370,87241,124244,71560,180751,0.851676868823,0.776511770452,0.936688722504
2020-04-11,27,137,,,,,,,3477,2629,4359,60128,38570,84331,127721,74190,185110,0.850902450498,0.775742566348,0.936077161795
2020-04-12,39,176,,,,,,,3408,2642,4238,58974,38758,81421,131129,76832,189348,0.850180963724,0.775039068685,0.935490639283
2020-04-13,14,190,,,,,,,3340,2638,4133,57833,38916,78568,134468,79470,193480,0.849500117344,0.774385375357,0.934925131456
2020-04-14,16,206,,,,,,,3273,2628,4021,56702,39036,75853,137741,82099,197501,0.848851198781,0.773743861541,0.934362590018
2020-04-15,16,222,,,,,,,3207,2619,3900,55585,39128,73299,140949,84718,201400,0.848228004818,0.773171888742,0.933801724784
2020-04-16,42,264,,,,,,,3143,2605,3811,54484,39195,70901,144092,87324,205211,0.847626086779,0.772611586554,0.933241675335
