date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-25,,,,,,,,,60,31,86,60,31,86,60,31,86,1.73760199962,1.4,2
2020-02-26,,,,,,,,,60,31,86,120,62,172,120,62,172,1.7375725938,1.39999913763,1.99999575976
2020-02-27,,,,,,,,,60,31,86,180,93,258,180,93,258,1.73756349493,1.39999882343,1.99999388476
2020-02-28,,,,,,,,,60,31,86,241,124,344,241,124,344,1.7375515412,1.39999837051,1.99999112971
2020-02-29,,,,,,,,,60,31,86,301,155,430,301,155,430,1.73753582254,1.39999777107,1.99998742767
2020-03-01,,,,,,,,,60,31,86,361,186,516,361,186,516,1.73751513352,1.3999969509,1.99998217322
2020-03-02,,,,,,,,,60,31,86,421,217,602,421,217,602,1.73748787568,1.39999582862,1.99997471203
2020-03-03,,,,,,,,,60,31,86,481,248,688,481,248,688,1.73745192674,1.39999429284,1.99996404375
2020-03-04,,,,,,,,,60,31,86,541,279,774,541,279,774,1.73740446563,1.39999219103,1.99994873633
2020-03-05,,,,,,,,,163,89,229,705,368,1003,705,368,1003,1.73729959915,1.3999452732,1.9998879629
2020-03-06,,,,,,,,,162,89,228,867,458,1230,867,458,1230,1.73721133599,1.39993535605,1.99984984446
2020-03-07,,,,,,,,,171,94,240,1038,552,1469,1038,552,1469,1.73708703361,1.39991601634,1.99978902603
2020-03-08,,,,,,,,,188,104,265,1225,656,1734,1225,656,1734,1.73692693155,1.3998945839,1.99970742861
2020-03-09,,,,,,,,,223,126,318,1448,783,2052,1448,783,2052,1.73671831663,1.39986977851,1.99959644858
2020-03-10,,,,,,,,,278,161,401,1727,944,2452,1727,944,2452,1.73644444577,1.39983962707,1.9994403538
2020-03-11,,,,,,,,,322,185,466,1989,1099,2831,2049,1130,2917,1.73608230068,1.39980278556,1.99922010011
2020-03-12,,,,,,,,,360,205,523,2288,1273,3268,2409,1335,3440,1.73560145814,1.39975003222,1.99890765337
2020-03-13,,,,,,,,,405,233,596,2633,1475,3777,2814,1568,4035,1.73496454993,1.39968181673,1.9984666863
2020-03-14,,,,,,,,,460,266,682,3034,1711,4372,3274,1835,4716,1.73412051938,1.39959133101,1.99784420122
2020-03-15,,,,,,,,,530,308,789,3504,1988,5075,3805,2143,5505,1.73299963173,1.39947155762,1.99696321103
2020-03-16,,,,,,,,,605,346,908,4048,2304,5897,4409,2490,6413,1.73150859364,1.39930786164,1.99569657912
2020-03-17,,,,,,,,,683,383,1037,4671,2656,6847,5092,2873,7449,1.72952268524,1.3991156929,1.99411906752
2020-03-18,,,,,,,,,768,430,1170,5379,3055,7931,5860,3303,8619,1.72687728925,1.39886060178,1.99195895021
2020-03-19,,,,,,,,,865,485,1330,6184,3510,9175,6725,3789,9949,1.7233548851,1.398523575,1.98900276108
2020-03-20,2,2,,,,,,,976,543,1512,6997,3964,10458,7701,4333,11460,1.71866978422,1.39807645562,1.98512460788
2020-03-21,0,2,,,,,,,1098,607,1731,7933,4482,11961,8800,4940,13191,1.71245143463,1.39742339053,1.97879881303
2020-03-22,0,2,,,,,,,1231,660,1978,8993,5048,13700,10031,5601,15168,1.70422750609,1.3965181241,1.96978091654
2020-03-23,0,2,,,,,,,1375,714,2236,10180,5659,15670,11405,6316,17404,1.69341073039,1.39521765492,1.95797031712
2020-03-24,0,2,,,,,,,1530,786,2488,11487,6319,17840,12935,7102,19891,1.67929565954,1.39340594189,1.94162492986
2020-03-25,0,2,,,,,,,1696,853,2751,12904,7011,20190,14631,7956,22641,1.66107631271,1.39116933018,1.91746174935
2020-03-26,0,2,,,,,,,1871,932,3028,14453,7759,22752,16502,8889,25669,1.63789879722,1.38831885045,1.88427974347
2020-03-27,0,2,,,,,,,2049,1017,3291,16143,8570,25520,18551,9906,28959,1.60896080443,1.38422291892,1.83998552174
2020-03-28,0,2,,,,,,,2226,1108,3539,17964,9446,28464,20778,11014,32498,1.5736581288,1.3686162265,1.78028681515
2020-03-29,1,3,,,,,,,2397,1215,3810,19900,10394,31592,23175,12230,36308,1.53175387927,1.35206224854,1.75587838973
2020-03-30,2,5,,,,,,,2556,1311,3983,21926,11397,34786,25730,13541,40290,1.48351917334,1.29798357617,1.7237898817
2020-03-31,1,6,,,,,,,2697,1416,4099,24018,12467,37976,28427,14957,44388,1.42978721158,1.2051301176,1.67386272015
2020-04-01,2,8,,,,,,,2815,1510,4173,26151,13594,41112,31242,16468,48561,1.37189182724,1.13500226817,1.62109257386
2020-04-02,0,8,,,,,,,2907,1605,4199,28290,14770,44141,34150,18073,52759,1.31151108285,1.06914003192,1.56188269297
2020-04-03,1,9,,,,,,,2972,1705,4214,30396,15989,47025,37122,19778,56973,1.25046895096,1.00837613658,1.52902613858
