date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-17,,,,,,,,,243,132,360,243,132,360,243,132,360,2.71246515632,2.4,3.2
2020-02-18,,,,,,,,,243,132,360,487,264,720,487,264,720,2.70741242677,2.39567557096,3.19483847391
2020-02-19,,,,,,,,,243,132,360,730,396,1080,730,396,1080,2.70581952693,2.39411152015,3.19319373995
2020-02-20,,,,,,,,,243,132,360,974,528,1440,974,528,1440,2.70371836685,2.39230624423,3.19033237141
2020-02-21,,,,,,,,,243,132,360,1217,660,1800,1217,660,1800,2.70094585535,2.38994855353,3.18626960314
2020-02-22,,,,,,,,,243,132,360,1461,792,2160,1461,792,2160,2.69728716962,2.38687112023,3.18068267316
2020-02-23,,,,,,,,,243,132,360,1704,924,2520,1704,924,2520,2.69246024408,2.38279560143,3.17339676181
2020-02-24,,,,,,,,,243,132,360,1948,1056,2880,1948,1056,2880,2.68609643805,2.37785733333,3.1632991435
2020-02-25,,,,,,,,,243,132,360,2191,1188,3239,2191,1188,3239,2.67771713707,2.37152524685,3.14946219477
2020-02-26,,,,,,,,,894,468,1380,3085,1656,4619,3085,1656,4619,2.66581640744,2.36258544039,3.12980461045
2020-02-27,,,,,,,,,887,467,1364,3972,2123,5982,3972,2123,5982,2.65128768133,2.35213915479,3.10587346016
2020-02-28,,,,,,,,,965,507,1497,4937,2631,7479,4937,2631,7479,2.63207836139,2.33862940618,3.07739829754
2020-02-29,,,,,,,,,1124,586,1754,6061,3218,9232,6061,3218,9232,2.60730648854,2.32029027995,3.03434637616
2020-03-01,,,,,,,,,1454,751,2277,7515,3969,11508,7515,3969,11508,2.57553956326,2.29876957812,2.97592544925
2020-03-02,,,,,,,,,1961,1012,3088,9477,4981,14595,9477,4981,14595,2.5351777704,2.26406843895,2.92336393551
2020-03-03,,,,,,,,,2356,1228,3686,11590,6078,17921,11833,6210,18281,2.48450815025,2.21395191308,2.85574872364
2020-03-04,,,,,,,,,2721,1442,4225,14068,7389,21785,14555,7653,22505,2.42190815096,2.14104033616,2.77710695296
2020-03-05,,,,,,,,,3170,1711,4787,16994,8968,26212,17725,9364,27292,2.34620151669,2.03767796309,2.68281875326
2020-03-06,,,,,,,,,3705,2061,5415,20456,10897,31267,21430,11425,32706,2.25677249322,1.89559128238,2.61558032179
2020-03-07,,,,,,,,,4323,2479,6056,24535,13245,36963,25753,13905,38762,2.15383100825,1.75409990541,2.52307586262
2020-03-08,,,,,,,,,4890,2921,6591,29182,16034,43193,30643,16826,45352,2.03866060553,1.58013598411,2.43812781758
2020-03-09,,,,,,,,,5384,3332,7044,34323,19235,49877,36027,20159,52396,1.91367770738,1.40958519078,2.35491299409
2020-03-10,,,,,,,,,5826,3804,7512,39905,22907,57028,41853,23963,59907,1.78234412953,1.27052381944,2.25134654108
2020-03-11,,,,,,,,,6215,4193,7904,45877,26968,64572,48068,28156,67811,1.64881314483,1.15324234174,2.13548664861
2020-03-12,1,1,,,,,,,6534,4632,8191,51517,31132,71384,54602,32789,76002,1.51747282781,1.05665153338,2.01493350432
2020-03-13,0,1,,,,,,,6747,4938,8497,57378,35604,78517,61350,37728,84499,1.39246220047,0.984467388677,1.87074186507
2020-03-14,0,1,,,,,,,6845,5031,8803,63257,40127,85823,68195,42759,93301,1.27723119458,0.92692329082,1.7617670006
2020-03-15,0,1,,,,,,,6845,4928,8883,68978,44469,92952,75040,47688,102183,1.17423367263,0.873978392083,1.65221229199
2020-03-16,0,1,,,,,,,6768,4828,8888,74293,48546,99563,81808,52516,111071,1.0847925917,0.840749893351,1.53641602467
2020-03-17,0,1,,,,,,,6632,4674,8816,78963,52209,105291,88440,57191,119886,1.00915086143,0.808035711548,1.40316873861
2020-03-18,1,2,,,,,,,6445,4527,8689,83052,55507,110294,94885,61718,128575,0.946668792082,0.781768731425,1.26883061984
2020-03-19,0,2,,,,,,,6220,4360,8424,86551,58425,114493,101106,66078,136998,0.89609807448,0.751968599938,1.1436708109
2020-03-20,0,2,,,,,,,5970,4205,8079,89351,60919,117785,107076,70284,145076,0.855864838157,0.733124893064,1.05849399106
2020-03-21,0,2,,,,,,,5707,4054,7748,91353,62912,120118,112783,74338,152824,0.824308341322,0.718730135167,0.99264395816
2020-03-22,4,6,,,,,,,5441,3896,7408,92471,64329,121470,118224,78235,160231,0.799849371019,0.706113082579,0.939100786939
2020-03-23,3,9,,,,,,,5176,3759,6968,92757,65167,121847,123400,81994,167199,0.781087196215,0.697916290397,0.896114070961
2020-03-24,6,15,,,,,,,4917,3633,6640,92290,65468,121442,128318,85627,173838,0.766838962666,0.684574036968,0.861655323286
2020-03-25,9,24,,,,,,,4666,3500,6274,91130,65164,120205,132984,89128,180112,0.75614077606,0.673760001145,0.835290802039
2020-03-26,7,31,,,,,,,4425,3359,5880,89340,64330,118181,137408,92487,185991,0.748227437496,0.666246725081,0.818045246007
2020-03-27,15,46,,,,,,,4196,3227,5503,87002,62925,115492,141604,95715,191494,0.742503021417,0.659609606577,0.812596466805
2020-03-28,13,59,,,,,,,3979,3058,5148,84233,61045,112142,145583,98773,196641,0.738509794086,0.65552747107,0.810275619673
2020-03-29,13,72,,,,,,,3775,2901,4825,81163,58915,108165,149358,101674,201465,0.735899296468,0.65302299685,0.80911656584
2020-03-30,30,102,,,,,,,3583,2760,4534,77900,56746,103816,152940,104434,205998,0.734407145764,0.651218184146,0.808890828974
2020-03-31,40,142,,,,,,,3403,2616,4254,74535,54534,99181,156343,107051,210252,0.733831861879,0.649955695077,0.81081711451
2020-04-01,28,170,,,,,,,3235,2478,4030,71138,52339,94396,159578,109530,214281,0.734017489389,0.648389502434,0.813051291651
2020-04-02,49,219,,,,,,,3078,2344,3825,67770,50156,89532,162655,111875,218106,0.734839646258,0.645967482772,0.815113023451
2020-04-03,30,249,,,,,,,2932,2216,3644,64481,48012,84752,165587,114091,221749,0.73619463466,0.646423842442,0.817811010528
2020-04-04,34,283,,,,,,,2796,2094,3500,61307,45901,80173,168382,116185,225248,0.737991303129,0.647058775419,0.820661807386
2020-04-05,52,335,,,,,,,2669,1993,3373,58268,43841,75798,171051,118179,228621,0.740145392968,0.648476143213,0.823688601572
2020-04-06,56,391,,,,,,,2551,1891,3264,55378,41836,71653,173602,120071,231884,0.742576112618,0.64965949585,0.826803913293
