date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-27,,,,,,,,,6,4,9,6,4,9,6,4,9,1.25081967213,1,1.8
2020-02-28,,,,,,,,,6,4,9,12,8,18,12,8,18,1.24859215662,0.997469797161,1.79695683488
2020-02-29,,,,,,,,,6,4,9,18,12,27,18,12,27,1.247828621,0.996679234595,1.79563031344
2020-03-01,,,,,,,,,6,4,9,24,16,36,24,16,36,1.2467987029,0.995643461523,1.79364460244
2020-03-02,,,,,,,,,6,4,9,30,20,45,30,20,45,1.24540863966,0.994171197282,1.79069377204
2020-03-03,,,,,,,,,6,4,9,36,24,54,36,24,54,1.24353212015,0.992511638535,1.78638639691
2020-03-04,,,,,,,,,6,4,9,42,28,63,42,28,63,1.24099979523,0.989385037612,1.780122926
2020-03-05,,,,,,,,,6,4,9,48,32,72,48,32,72,1.23758625968,0.985163218505,1.77115736761
2020-03-06,,,,,,,,,6,4,9,54,36,81,54,36,81,1.23299472579,0.979193657632,1.75840658751
2020-03-07,,,,,,,,,13,7,21,67,43,102,67,43,102,1.22666519673,0.970224626071,1.7420049304
2020-03-08,,,,,,,,,13,7,20,80,51,121,80,51,121,1.21844084655,0.957881819266,1.71896735564
2020-03-09,,,,,,,,,13,8,21,94,60,141,94,60,141,1.20754438551,0.943080835855,1.6826360926
2020-03-10,,,,,,,,,14,8,22,108,68,163,108,68,163,1.19330997889,0.923522031882,1.63315610963
2020-03-11,,,,,,,,,16,9,25,124,77,187,124,77,187,1.17498667559,0.895063415766,1.57415814434
2020-03-12,,,,,,,,,18,10,28,142,87,215,142,87,215,1.15185492671,0.868063853903,1.55822116802
2020-03-13,,,,,,,,,19,11,30,155,95,235,161,99,244,1.12335726679,0.840106360934,1.52657581203
2020-03-14,,,,,,,,,20,11,31,169,102,257,181,110,275,1.08925359678,0.80863915318,1.46284414189
2020-03-15,,,,,,,,,21,12,32,184,110,279,202,122,306,1.04974732567,0.774173735412,1.39073303905
2020-03-16,,,,,,,,,22,12,33,200,119,302,224,135,338,1.00550773655,0.722723827965,1.36307473187
2020-03-17,,,,,,,,,22,12,33,216,128,326,246,148,371,0.957586604671,0.651417045509,1.31978490797
2020-03-18,,,,,,,,,22,12,33,232,136,349,268,160,403,0.907263308659,0.590806314743,1.27250013889
2020-03-19,,,,,,,,,22,12,33,249,144,373,291,172,436,0.855880326356,0.54287573715,1.21789635434
2020-03-20,,,,,,,,,22,11,33,264,152,397,312,184,469,0.804722300844,0.504488215002,1.15855458296
2020-03-21,,,,,,,,,21,11,33,280,160,420,334,196,501,0.754947679865,0.47530862037,1.09265216269
2020-03-22,1,1,,,,,,,20,10,32,287,162,432,354,206,533,0.707563683308,0.453542942836,1.0357280035
2020-03-23,0,1,,,,,,,20,10,31,293,165,443,374,217,564,0.663423113736,0.437396958984,0.992580558632
2020-03-24,0,1,,,,,,,19,9,30,299,167,452,392,227,593,0.623221050771,0.425681315655,0.943129808725
