date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-27,,,,,,,,,37,21,54,37,21,54,37,21,54,1.58431372549,1.2,2
2020-02-28,,,,,,,,,37,21,54,73,42,108,73,42,108,1.5670817167,1.17945565444,1.99697756473
2020-02-29,,,,,,,,,37,21,54,110,63,162,110,63,162,1.55978226587,1.17053788176,1.99528075449
2020-03-01,,,,,,,,,37,21,54,146,84,216,146,84,216,1.54950354951,1.15776980402,1.99270707524
2020-03-02,,,,,,,,,37,21,54,183,105,270,183,105,270,1.53518096669,1.13406302215,1.98884234758
2020-03-03,,,,,,,,,37,21,54,219,126,324,219,126,324,1.51552520116,1.09841573549,1.98357903894
2020-03-04,,,,,,,,,37,21,54,256,147,378,256,147,378,1.48911288758,1.05570040144,1.97610912182
2020-03-05,,,,,,,,,37,21,54,293,168,432,293,168,432,1.45459047758,1.01638796063,1.96420893021
2020-03-06,,,,,,,,,37,21,54,329,189,486,329,189,486,1.41098108208,0.970120048851,1.9462131028
2020-03-07,,,,,,,,,85,52,125,414,241,611,414,241,611,1.35777567985,0.89977535702,1.91645581067
2020-03-08,,,,,,,,,82,52,121,496,293,731,496,293,731,1.29596675697,0.787237869677,1.8803147293
2020-03-09,,,,,,,,,82,53,119,579,347,850,579,347,850,1.22665365517,0.69527785169,1.83280481155
2020-03-10,,,,,,,,,84,55,124,663,402,973,663,402,973,1.15171794198,0.613398540417,1.77109345953
2020-03-11,,,,,,,,,91,57,138,753,459,1111,753,459,1111,1.07320481856,0.554945643014,1.7135253152
2020-03-12,,,,,,,,,100,60,158,853,520,1268,853,520,1268,0.993167578278,0.503357338231,1.64531944891
2020-03-13,,,,,,,,,103,60,172,920,559,1386,957,580,1440,0.913601689613,0.468499219081,1.5769822492
2020-03-14,,,,,,,,,102,59,170,986,598,1501,1059,640,1609,0.836459961749,0.446658995847,1.49333818173
2020-03-15,,,,,,,,,100,58,168,1050,635,1614,1159,698,1776,0.763665627001,0.431692022191,1.38023533206
2020-03-16,,,,,,,,,98,56,167,1111,671,1727,1257,755,1943,0.697051905286,0.420037457498,1.25472517483
2020-03-17,,,,,,,,,96,56,167,1170,706,1840,1353,811,2110,0.638211497221,0.412535428357,1.14052440142
2020-03-18,,,,,,,,,92,55,163,1226,740,1948,1445,866,2272,0.588255932279,0.407977537384,1.00835564636
2020-03-19,,,,,,,,,88,54,154,1278,774,2048,1534,921,2426,0.547572878678,0.404992059982,0.863794932516
2020-03-20,,,,,,,,,84,53,143,1325,806,2137,1618,974,2569,0.515742391075,0.403030414775,0.772981764232
2020-03-21,,,,,,,,,80,51,133,1369,837,2215,1698,1026,2701,0.491696257935,0.401741508423,0.702887793438
2020-03-22,1,1,,,,,,,76,50,122,1360,834,2212,1774,1076,2822,0.474034693096,0.400982023023,0.651535689592
2020-03-23,0,1,,,,,,,73,48,112,1351,831,2203,1847,1125,2933,0.46133195889,0.400507316199,0.618494190193
2020-03-24,2,3,,,,,,,70,47,103,1338,825,2186,1917,1172,3035,0.452329335001,0.400193036411,0.602705670496
2020-03-25,0,3,,,,,,,67,46,94,1321,816,2157,1984,1219,3129,0.446010893395,0.399968534093,0.573243506904
2020-03-26,0,3,,,,,,,65,44,87,1295,804,2106,2049,1263,3216,0.441602792597,0.399819121489,0.554473757548
2020-03-27,2,5,,,,,,,62,43,83,1258,787,2031,2111,1307,3299,0.438537355442,0.399715671897,0.540294957124
2020-03-28,0,5,,,,,,,60,41,80,1215,768,1939,2171,1349,3378,0.436408183124,0.399633683682,0.529661395477
2020-03-29,0,5,,,,,,,58,40,77,1171,749,1846,2230,1389,3454,0.434928850693,0.39958391635,0.521733062236
2020-03-30,2,7,,,,,,,57,38,75,1127,730,1753,2286,1428,3529,0.433899464465,0.399536248214,0.51554886703
2020-03-31,1,8,,,,,,,55,37,74,1084,711,1660,2341,1466,3602,0.43318134421,0.399487297565,0.510995062219
2020-04-01,1,9,,,,,,,54,36,72,1042,691,1564,2395,1503,3674,0.432678591424,0.399439693025,0.507697254666
2020-04-02,1,10,,,,,,,52,35,70,1002,672,1472,2447,1539,3743,0.432324988837,0.399396005659,0.505308158995
2020-04-03,1,11,,,,,,,51,34,69,965,653,1386,2498,1574,3812,0.432074825176,0.399363716869,0.503578549245
2020-04-04,0,11,,,,,,,50,33,68,930,633,1311,2548,1608,3879,0.43189652737,0.399322905026,0.502326509043
2020-04-05,-2,9,,,,,,,49,32,67,899,614,1245,2597,1640,3945,0.431768264096,0.399294503249,0.501419778644
2020-04-06,0,9,,,,,,,48,31,65,871,596,1189,2645,1672,4010,0.431674918188,0.399268609162,0.500762471449
2020-04-07,0,9,,,,,,,47,31,64,844,578,1141,2691,1703,4074,0.431606003991,0.399239174823,0.500333693125
2020-04-08,0,9,,,,,,,46,30,63,820,561,1102,2737,1734,4137,0.431554234834,0.399217319224,0.500040651999
2020-04-09,1,10,,,,,,,45,29,62,798,544,1069,2782,1764,4198,0.431514537149,0.399187373858,0.499840699343
2020-04-10,0,10,,,,,,,44,29,61,777,529,1043,2826,1793,4258,0.43148337127,0.399166980407,0.499697500196
2020-04-11,0,10,,,,,,,43,28,60,758,514,1019,2869,1821,4317,0.431458262748,0.399151055614,0.499590340988
2020-04-12,1,11,,,,,,,42,27,59,740,500,998,2911,1849,4376,0.431437478327,0.399134458219,0.499532251985
2020-04-13,1,12,,,,,,,41,27,58,723,487,979,2953,1877,4433,0.431419801492,0.399120206011,0.499451722547
2020-04-14,0,12,,,,,,,41,26,56,707,474,960,2993,1903,4489,0.431404376689,0.399107922172,0.499424065901
2020-04-15,0,12,,,,,,,40,26,55,692,463,942,3033,1929,4543,0.431390601017,0.399093942242,0.499404962994
2020-04-16,0,12,,,,,,,39,25,54,677,452,924,3072,1955,4597,0.431378048775,0.399077977239,0.499395023266
2020-04-17,0,12,,,,,,,38,24,53,663,441,907,3111,1980,4650,0.431366418783,0.399063959847,0.499385065975
2020-04-18,0,12,,,,,,,38,24,52,650,430,891,3148,2004,4702,0.43135549754,0.399053726072,0.4993749246
2020-04-19,0,12,,,,,,,37,23,51,637,420,874,3185,2028,4753,0.431345133388,0.3990439026,0.499365114398
