date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-01,,,,,,,,,134,80,187,134,80,187,134,80,187,2.42696078431,2,2.8
2020-03-02,,,,,,,,,134,80,187,268,160,374,268,160,374,2.29501586985,1.76659240203,2.79292335078
2020-03-03,,,,,,,,,134,80,187,403,240,561,403,240,561,2.24886674436,1.67301264309,2.78931697992
2020-03-04,,,,,,,,,134,80,187,537,320,748,537,320,748,2.18991346459,1.54945109386,2.7838854744
2020-03-05,,,,,,,,,134,80,187,671,400,935,671,400,935,2.11689676752,1.41068601209,2.775705356
2020-03-06,,,,,,,,,134,80,187,805,481,1121,805,481,1121,2.02954319978,1.25875,2.76334406119
2020-03-07,,,,,,,,,134,80,187,939,561,1308,939,561,1308,1.92869735434,1.09805327072,2.7448384807
2020-03-08,,,,,,,,,134,80,187,1074,641,1495,1074,641,1495,1.81614425575,0.956095843892,2.71731608553
2020-03-09,,,,,,,,,134,80,187,1208,721,1682,1208,721,1682,1.69426837439,0.824469238362,2.67678137665
2020-03-10,,,,,,,,,336,214,489,1544,936,2171,1544,936,2171,1.56514942691,0.726735251097,2.616950273
2020-03-11,,,,,,,,,317,201,467,1861,1137,2637,1861,1137,2637,1.43283904806,0.62079356326,2.53318590852
2020-03-12,,,,,,,,,312,194,466,2173,1331,3102,2173,1331,3102,1.29960399732,0.55127591019,2.41729453521
2020-03-13,,,,,,,,,316,190,495,2490,1521,3597,2490,1521,3597,1.16867233229,0.502847706208,2.26382511943
2020-03-14,,,,,,,,,339,191,560,2828,1713,4156,2828,1713,4156,1.04326967494,0.468464591132,2.0710343556
2020-03-15,,,,,,,,,371,199,633,3199,1912,4789,3199,1912,4789,0.926681552664,0.444878133136,1.85748665075
2020-03-16,,,,,,,,,374,202,659,3439,2034,5260,3573,2114,5447,0.821960186894,0.429178703582,1.59825178416
2020-03-17,,,,,,,,,362,199,644,3667,2154,5717,3936,2314,6091,0.731455483669,0.418862701688,1.36219614123
2020-03-18,,,,,,,,,348,198,616,3881,2272,6146,4284,2512,6706,0.656336948932,0.412123518231,1.15861062895
2020-03-19,,,,,,,,,334,196,582,4081,2388,6541,4618,2709,7288,0.596359177544,0.407712955861,0.997797541375
2020-03-20,,,,,,,,,323,195,554,4270,2503,6908,4941,2904,7842,0.550072399255,0.404808268013,0.865954057524
2020-03-21,,,,,,,,,310,192,519,4446,2616,7239,5252,3097,8360,0.515323934791,0.402944557876,0.755479017479
2020-03-22,,,,,,,,,296,190,474,4608,2726,7526,5548,3287,8834,0.489777045937,0.401707657115,0.697543860327
2020-03-23,,,,,,,,,282,187,429,4756,2833,7767,5830,3474,9262,0.471274327092,0.400872770811,0.634025136267
2020-03-24,,,,,,,,,269,184,391,4891,2937,7971,6099,3659,9653,0.458008939148,0.400300710081,0.595817063733
2020-03-25,1,1,,,,,,,258,182,359,4813,2905,7841,6357,3841,10011,0.448559606648,0.399901101184,0.569348653261
2020-03-26,0,1,,,,,,,248,178,335,4744,2882,7709,6605,4020,10345,0.441853333429,0.39963849849,0.550035105334
2020-03-27,0,1,,,,,,,239,175,313,4671,2863,7557,6844,4195,10658,0.43710153278,0.399462689214,0.535531633362
2020-03-28,0,1,,,,,,,231,171,298,4585,2845,7360,7075,4367,10956,0.433734818452,0.399321475564,0.525503207908
2020-03-29,2,3,,,,,,,223,168,285,4470,2822,7084,7298,4535,11240,0.43134670671,0.399209724816,0.518028559306
2020-03-30,0,3,,,,,,,216,164,272,4315,2786,6723,7515,4699,11511,0.429649022655,0.399095409051,0.512286089583
2020-03-31,1,4,,,,,,,210,159,262,4151,2744,6326,7725,4859,11773,0.42843831044,0.398998611349,0.508353560996
2020-04-01,1,5,,,,,,,204,155,255,3993,2700,5937,7929,5014,12027,0.42757123457,0.398938611206,0.505735305329
2020-04-02,6,11,,,,,,,199,150,249,3844,2652,5570,8128,5165,12276,0.426946909362,0.398825671296,0.503787242475
2020-04-03,1,12,,,,,,,194,145,245,3704,2602,5232,8322,5311,12520,0.426494330261,0.398740133356,0.502319735782
2020-04-04,1,13,,,,,,,190,141,239,3571,2548,4917,8512,5452,12759,0.426163489298,0.398638499727,0.50126916323
2020-04-05,2,15,,,,,,,186,137,235,3446,2492,4634,8698,5590,12993,0.425919124938,0.398497888094,0.500500853607
2020-04-06,4,19,,,,,,,182,133,231,3332,2436,4391,8880,5723,13224,0.425736335649,0.398391139607,0.49993726098
2020-04-07,2,21,,,,,,,178,130,227,3228,2379,4189,9057,5854,13451,0.425597506665,0.398301056674,0.499499349494
2020-04-08,3,24,,,,,,,174,127,224,3133,2322,4022,9232,5981,13674,0.42549015638,0.398236042831,0.499146906027
2020-04-09,0,24,,,,,,,171,123,220,3045,2263,3883,9402,6105,13894,0.425405424613,0.39819448836,0.498924844049
2020-04-10,0,24,,,,,,,168,120,217,2965,2205,3766,9570,6226,14110,0.425337010071,0.398138970554,0.498824841385
2020-04-11,0,24,,,,,,,164,117,214,2890,2148,3666,9734,6343,14323,0.425280422462,0.39809525586,0.49876859681
2020-04-12,1,25,,,,,,,161,114,210,2820,2090,3578,9895,6457,14533,0.425232455597,0.398063301663,0.498719196861
2020-04-13,3,28,,,,,,,158,110,207,2755,2033,3500,10054,6568,14739,0.42519081571,0.39803061941,0.4986870674
2020-04-14,3,31,,,,,,,155,108,203,2694,1977,3432,10209,6677,14942,0.425153858697,0.397998179656,0.49862923809
2020-04-15,4,35,,,,,,,152,105,200,2637,1923,3370,10361,6782,15142,0.425120403905,0.397956852065,0.498598341842
2020-04-16,1,36,,,,,,,149,102,197,2582,1870,3312,10511,6885,15338,0.425089601865,0.397921757972,0.498570239968
2020-04-17,2,38,,,,,,,147,99,193,2529,1819,3256,10657,6985,15531,0.425060840192,0.397895273085,0.498542850716
2020-04-18,0,38,,,,,,,144,97,190,2479,1771,3200,10801,7083,15720,0.425033676548,0.397869636803,0.498516101448
2020-04-19,2,40,,,,,,,141,95,186,2430,1726,3147,10942,7179,15905,0.425007790795,0.397844565845,0.498489939397
2020-04-20,0,40,,,,,,,138,93,183,2383,1683,3095,11081,7273,16088,0.42498305355,0.397817239005,0.498464622998
2020-04-21,3,43,,,,,,,136,92,179,2337,1641,3043,11216,7365,16266,0.424959152558,0.397788475896,0.498440031535
2020-04-22,1,44,,,,,,,133,90,176,2292,1601,2992,11350,7455,16442,0.424936174642,0.39776302772,0.498415927741
2020-04-23,1,45,,,,,,,130,88,172,2248,1562,2940,11480,7543,16614,0.424914007717,0.397737843452,0.498393590706
2020-04-24,1,46,,,,,,,128,86,169,2205,1524,2889,11608,7629,16782,0.42489267125,0.39771184114,0.498370793687
2020-04-25,0,46,,,,,,,125,84,166,2163,1488,2837,11733,7714,16947,0.42487230801,0.397682551833,0.498348416729
2020-04-26,3,49,,,,,,,122,82,162,2121,1453,2786,11855,7796,17109,0.424852509236,0.397658849948,0.498325850726
2020-04-27,1,50,,,,,,,120,80,159,2080,1419,2735,11975,7877,17267,0.424833531734,0.39763585003,0.49830378243
2020-04-28,0,50,,,,,,,117,78,156,2039,1387,2684,12092,7956,17422,0.424815280481,0.39761360692,0.498282226112
2020-04-29,0,50,,,,,,,115,77,152,1998,1356,2632,12207,8033,17574,0.424797949307,0.397594093908,0.498262356695
2020-04-30,2,52,,,,,,,112,75,149,1958,1326,2581,12319,8108,17723,0.424781709337,0.397577700557,0.498244017912
2020-05-01,0,52,,,,,,,109,73,146,1918,1296,2530,12428,8182,17868,0.424766534729,0.397561883673,0.498226125105
2020-05-02,1,53,,,,,,,107,71,142,1878,1268,2479,12535,8254,18009,0.424752745237,0.397546723464,0.498208692399
2020-05-03,2,55,,,,,,,104,69,139,1838,1240,2428,12640,8323,18147,0.424740621011,0.397532334723,0.498196401727
2020-05-04,0,55,,,,,,,102,68,135,1799,1212,2377,12741,8392,18282,0.424730524723,0.397517485758,0.498190430426
2020-05-05,0,55,,,,,,,99,66,132,1760,1185,2326,12841,8458,18413,0.424722926017,0.397499111596,0.49817873059
2020-05-06,0,55,,,,,,,97,64,128,1721,1157,2275,12937,8523,18541,0.42471843335,0.397481481614,0.498164790638
2020-05-07,1,56,,,,,,,94,62,125,1682,1130,2225,13031,8585,18666,0.42471783547,0.397466663381,0.498155134002
2020-05-08,0,56,,,,,,,91,61,121,1643,1103,2174,13123,8647,18787,0.424722155498,0.39745971738,0.498151078327
