date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-01-27,,,,,,,,,73,40,95,73,40,95,73,40,95,2.22886115963,1.8,2.6
2020-01-28,,,,,,,,,73,40,95,146,80,190,146,80,190,2.22728533942,1.79960629875,2.59963213938
2020-01-29,,,,,,,,,73,40,95,219,120,285,219,120,285,2.2267617444,1.79948028673,2.59945173196
2020-01-30,,,,,,,,,73,40,95,292,161,380,292,161,380,2.22606101768,1.79931386522,2.59918279815
2020-01-31,,,,,,,,,73,40,95,365,201,475,365,201,475,2.22512227414,1.79909406281,2.59878190698
2020-02-01,,,,,,,,,73,40,95,438,241,570,438,241,570,2.22386352492,1.79879775869,2.59818436368
2020-02-02,,,,,,,,,73,40,95,511,282,665,511,282,665,2.22217444636,1.79839028134,2.59730068379
2020-02-03,,,,,,,,,73,40,95,585,322,760,585,322,760,2.21990682406,1.79781658377,2.59625651613
2020-02-04,,,,,,,,,73,40,95,658,362,855,658,362,855,2.2168620835,1.79702330809,2.59480888432
2020-02-05,,,,,,,,,234,131,326,892,493,1181,892,493,1181,2.21275635127,1.79610464912,2.59278975664
2020-02-06,,,,,,,,,233,130,324,1124,624,1504,1124,624,1504,2.20727414052,1.79477171891,2.58968809079
2020-02-07,,,,,,,,,249,140,350,1374,764,1854,1374,764,1854,2.1999325766,1.7930090315,2.58513085315
2020-02-08,,,,,,,,,283,159,404,1657,923,2258,1657,923,2258,2.19013993055,1.79068494708,2.57858640846
2020-02-09,,,,,,,,,353,199,516,2010,1123,2773,2010,1123,2773,2.17713719846,1.787404916,2.56921137319
2020-02-10,,,,,,,,,462,260,692,2472,1383,3465,2472,1383,3465,2.15998678765,1.78298385636,2.55602761856
2020-02-11,,,,,,,,,547,311,831,2945,1654,4200,3019,1694,4295,2.13757489441,1.77750508754,2.5376159461
2020-02-12,,,,,,,,,624,359,954,3497,1973,5059,3643,2053,5249,2.10865296134,1.76992139479,2.51241999248
2020-02-13,,,,,,,,,719,418,1111,4142,2351,6074,4362,2471,6359,2.07193807293,1.75336017678,2.48007437794
2020-02-14,,,,,,,,,832,483,1305,4902,2794,7283,5194,2955,7663,2.0262778339,1.71629855563,2.43636653238
2020-02-15,,,,,,,,,968,561,1532,5797,3315,8720,6162,3517,9195,1.97087407879,1.64056794564,2.36905860021
2020-02-16,,,,,,,,,1101,647,1758,6824,3923,10383,7262,4165,10953,1.90551633695,1.54986891973,2.28728311235
2020-02-17,,,,,,,,,1224,735,1958,7975,4619,12245,8486,4901,12910,1.83074986186,1.45751752592,2.22127866539
2020-02-18,,,,,,,,,1343,787,2141,9245,5366,14290,9829,5688,15050,1.74791526377,1.35537438618,2.14187813479
2020-02-19,,,,,,,,,1457,851,2320,10629,6177,16515,11287,6539,17370,1.65903862232,1.2448924094,2.07727983072
2020-02-20,1,1,,,,,,,1565,905,2449,11960,6951,18639,12851,7445,19819,1.56661134819,1.16344986345,1.99741275618
2020-02-21,1,2,,,,,,,1655,945,2536,13382,7766,20851,14507,8390,22355,1.47333017362,1.09074989287,1.90621229094
2020-02-22,0,2,,,,,,,1724,1006,2617,14857,8632,23118,16231,9397,24971,1.38185867762,1.02953750164,1.81628896949
2020-02-23,4,6,,,,,,,1772,1015,2670,16346,9489,25384,18003,10413,27641,1.2946364304,0.980644729799,1.71827572188
2020-02-24,2,8,,,,,,,1801,1012,2712,17794,10301,27579,19804,11425,30352,1.21373087055,0.951718303265,1.6201221586
2020-02-25,2,10,,,,,,,1813,1018,2721,19146,11060,29608,21618,12443,33073,1.14072076161,0.91498742905,1.51399993675
2020-02-26,2,12,,,,,,,1810,1006,2714,20409,11755,31492,23427,13449,35787,1.0766124677,0.884109230241,1.39968303312
2020-02-27,1,13,,,,,,,1792,988,2710,21576,12384,33248,25219,14438,38497,1.02180518865,0.860480721662,1.31641441369
2020-02-28,0,13,,,,,,,1763,969,2655,22620,12935,34792,26982,15407,41151,0.976123426414,0.837538915865,1.22650423868
2020-02-29,3,16,,,,,,,1726,948,2595,23514,13400,36083,28708,16356,43745,0.938919797448,0.81992067073,1.15369001461
2020-03-01,1,17,,,,,,,1684,929,2527,24230,13769,37078,30392,17286,46272,0.909228012693,0.800267815737,1.09247909852
2020-03-02,11,28,,,,,,,1638,913,2451,24767,14034,37770,32029,18199,48722,0.885928864038,0.784496636868,1.03370351609
2020-03-03,0,28,,,,,,,1590,895,2363,25133,14193,38175,33619,19094,51085,0.867892424256,0.773274603116,0.984658227644
2020-03-04,7,35,,,,,,,1541,874,2257,25330,14281,38292,35159,19969,53342,0.854075709583,0.763154753402,0.951301085287
2020-03-05,0,35,,,,,,,1491,856,2159,25364,14286,38130,36651,20825,55500,0.843574205476,0.757429596282,0.920826501132
2020-03-06,7,42,,,,,,,1442,839,2065,25242,14220,37745,38093,21665,57564,0.835637561839,0.751357135252,0.909121284281
2020-03-07,2,44,,,,,,,1394,821,1980,24980,14096,37188,39487,22487,59543,0.829662839435,0.743495916895,0.904117584527
2020-03-08,6,50,,,,,,,1348,804,1883,24604,13895,36455,40835,23292,61426,0.825176520074,0.733630903296,0.902462883823
2020-03-09,3,53,,,,,,,1302,785,1797,24134,13664,35582,42137,24077,63222,0.821812790864,0.725489780272,0.901109243816
2020-03-10,1,54,,,,,,,1258,769,1715,23591,13422,34586,43395,24847,64937,0.819292347873,0.718763977369,0.900717124938
2020-03-11,6,60,,,,,,,1216,753,1631,22993,13157,33496,44611,25601,66568,0.817403706415,0.713760304651,0.900430424451
2020-03-12,6,66,,,,,,,1175,737,1553,22358,12889,32335,45786,26339,68121,0.815987660944,0.710042296061,0.900220161617
2020-03-13,0,66,,,,,,,1135,722,1492,21702,12624,31117,46921,27062,69613,0.814924834096,0.707299280272,0.900065322721
2020-03-14,6,72,,,,,,,1098,708,1436,21037,12363,29898,48019,27771,71048,0.814125943085,0.705133949763,0.899910108906
2020-03-15,3,75,,,,,,,1061,694,1382,20372,12109,28685,49080,28466,72430,0.813524316651,0.703550436222,0.899813600887
2020-03-16,0,75,,,,,,,1026,681,1329,19714,11860,27487,50106,29147,73759,0.813070208022,0.70239254696,0.899748690511
2020-03-17,6,81,,,,,,,992,667,1280,19069,11614,26316,51098,29814,75038,0.812726507063,0.701772305164,0.899689703492
2020-03-18,3,84,,,,,,,960,638,1230,18439,11358,25183,52058,30453,76267,0.812465524954,0.701136464157,0.899639277024
2020-03-19,7,91,,,,,,,929,619,1186,17828,11102,24112,52987,31072,77453,0.812266591946,0.700554096862,0.899587381998
2020-03-20,3,94,,,,,,,899,597,1156,17236,10843,23109,53886,31669,78608,0.812114266777,0.700241265654,0.899553884945
2020-03-21,8,102,,,,,,,870,574,1117,16664,10578,22161,54757,32243,79725,0.811997003795,0.700004615636,0.899532396239
2020-03-22,9,111,,,,,,,843,550,1080,16112,10306,21262,55599,32794,80805,0.811906161389,0.699825241438,0.899513478937
2020-03-23,0,111,,,,,,,816,534,1048,15581,10036,20427,56415,33329,81852,0.811835264406,0.699688949458,0.899496300382
2020-03-24,9,120,,,,,,,790,514,1022,15069,9765,19652,57206,33843,82874,0.811779455333,0.699584184031,0.899474556108
2020-03-25,6,126,,,,,,,766,498,995,14576,9493,18931,57971,34341,83868,0.811735085735,0.699501855185,0.899454819347
2020-03-26,5,131,,,,,,,742,482,971,14102,9222,18272,58713,34824,84839,0.811699411846,0.699446036856,0.899432013648
2020-03-27,8,139,,,,,,,719,473,948,13646,8958,17666,59432,35297,85786,0.811670367572,0.699404048599,0.899421468904
2020-03-28,5,144,,,,,,,697,463,923,13208,8698,17097,60129,35761,86709,0.81164639503,0.699371406237,0.899411090192
2020-03-29,8,152,,,,,,,676,444,905,12786,8434,16565,60805,36205,87613,0.811626317904,0.699348727909,0.899400811947
2020-03-30,6,158,,,,,,,655,424,886,12380,8164,16069,61459,36630,88499,0.811609246691,0.699329794581,0.899390025756
2020-03-31,4,162,,,,,,,635,406,865,11989,7889,15605,62095,37036,89363,0.811594507738,0.699306003142,0.899379342161
2020-04-01,3,165,,,,,,,616,390,852,11612,7613,15177,62710,37427,90215,0.811581536811,0.699284579148,0.899366278293
2020-04-02,4,169,,,,,,,597,375,834,11249,7350,14782,63308,37803,91048,0.811570034581,0.699272591088,0.899355724358
2020-04-03,5,174,,,,,,,579,358,820,10900,7089,14415,63887,38162,91868,0.811559619093,0.69926400297,0.899344709184
2020-04-04,3,177,,,,,,,562,341,807,10563,6834,14067,64449,38503,92675,0.811550405378,0.699257274421,0.899334721602
2020-04-05,6,183,,,,,,,545,325,796,10238,6585,13746,64995,38828,93470,0.811541980958,0.699251247514,0.899324862117
2020-04-06,3,186,,,,,,,529,309,783,9924,6344,13449,65524,39138,94253,0.811533927667,0.699245110883,0.899315131734
2020-04-07,6,192,,,,,,,513,294,768,9622,6103,13168,66037,39432,95020,0.811527541598,0.699239784743,0.899305531855
2020-04-08,8,200,,,,,,,498,279,753,9329,5869,12899,66535,39712,95772,0.811521497215,0.699237130672,0.899296064432
2020-04-09,4,204,,,,,,,483,266,741,9047,5637,12646,67018,39978,96513,0.811516568981,0.699235446508,0.899286828591
2020-04-10,4,208,,,,,,,469,253,730,8774,5407,12405,67487,40231,97243,0.811512281105,0.699235151967,0.899277785477
2020-04-11,3,211,,,,,,,455,242,719,8510,5175,12177,67942,40473,97962,0.811508679974,0.699230648335,0.899268877237
2020-04-12,3,214,,,,,,,441,231,709,8255,4943,11962,68383,40705,98670,0.811505992612,0.699232612803,0.899260106747
2020-04-13,3,217,,,,,,,428,220,698,8007,4719,11755,68812,40925,99368,0.811504337763,0.699233268211,0.899251478156
2020-04-14,5,222,,,,,,,416,210,687,7768,4505,11556,69227,41136,100054,0.811503962108,0.699233923144,0.899243025679
2020-04-15,3,225,,,,,,,403,199,675,7536,4299,11366,69630,41336,100729,0.811505186129,0.699235553546,0.899235134137
2020-04-16,4,229,,,,,,,391,190,664,7311,4098,11178,70021,41526,101392,0.811508425892,0.699238571847,0.899230504699
2020-04-17,1,230,,,,,,,379,180,653,7093,3903,10996,70401,41706,102044,0.811514221367,0.69924056021,0.899229465312
2020-04-18,2,232,,,,,,,368,171,642,6881,3715,10819,70768,41878,102686,0.811523273292,0.699243772654,0.899222239772
2020-04-19,2,234,,,,,,,357,162,631,6676,3536,10643,71125,42040,103317,0.811536491175,0.699248431837,0.899215350876
2020-04-20,2,236,,,,,,,346,153,621,6476,3365,10468,71471,42194,103937,0.81155505586,0.699255135803,0.899209162702
2020-04-21,1,237,,,,,,,335,145,609,6282,3201,10294,71806,42340,104546,0.811580501098,0.699264492104,0.899203967804
2020-04-22,1,238,,,,,,,325,138,598,6093,3045,10124,72130,42478,105144,0.811614819973,0.699277305347,0.899199854588
2020-04-23,2,240,,,,,,,315,130,587,5910,2896,9959,72445,42608,105731,0.81166060376,0.699293606619,0.899197073323
2020-04-24,0,240,,,,,,,305,123,577,5731,2754,9794,72750,42732,106307,0.811721223109,0.699329243565,0.899203973737
2020-04-25,2,242,,,,,,,295,116,566,5557,2618,9630,73045,42849,106873,0.811801064322,0.699375462369,0.899220537655
2020-04-26,1,243,,,,,,,286,110,555,5388,2486,9465,73330,42960,107427,0.811905837198,0.699435240483,0.899247480579
2020-04-27,1,244,,,,,,,276,104,544,5223,2359,9301,73606,43064,107971,0.812042975419,0.699516713831,0.899294928544
2020-04-28,2,246,,,,,,,267,98,534,5062,2237,9137,73874,43163,108505,0.812222155917,0.699616147174,0.89934109684
2020-04-29,1,247,,,,,,,258,92,524,4905,2119,8974,74132,43255,109028,0.812455969938,0.699744146853,0.899386157255
2020-04-30,1,248,,,,,,,250,87,513,4752,2007,8813,74382,43343,109541,0.812760785213,0.699908768392,0.899443144954
2020-05-01,2,250,,,,,,,241,82,503,4602,1899,8652,74624,43425,110043,0.81315784477,0.700122357524,0.899590147988
2020-05-02,0,250,,,,,,,233,76,493,4456,1795,8492,74857,43502,110536,0.813674651459,0.700394069681,0.899800638028
2020-05-03,2,252,,,,,,,225,72,483,4314,1696,8333,75082,43574,111018,0.814346684278,0.700742828729,0.900075914293
2020-05-04,2,254,,,,,,,217,67,473,4174,1601,8174,75299,43641,111490,0.81521947608,0.701190218906,0.900409684972
2020-05-05,1,255,,,,,,,210,62,462,4038,1509,8016,75509,43704,111952,0.816351040226,0.701763774267,0.900795378757
2020-05-06,1,256,,,,,,,202,58,452,3905,1422,7858,75711,43762,112404,0.817814546765,0.702498552914,0.901287931385
2020-05-07,0,256,,,,,,,196,54,443,3776,1339,7703,75907,43817,112847,0.819700987937,0.70343908543,0.901914821111
2020-05-08,0,256,,,,,,,190,51,434,3651,1260,7550,76096,43869,113280,0.822121301421,0.704641758775,0.902709615616
2020-05-09,0,256,,,,,,,184,49,425,3530,1186,7398,76280,43918,113705,0.825206997628,0.706266252449,0.903712707381
2020-05-10,0,256,,,,,,,178,46,416,3413,1115,7248,76458,43965,114120,0.82910785482,0.708409246758,0.911138282624
2020-05-11,2,258,,,,,,,173,43,407,3300,1048,7100,76631,44008,114527,0.83398467602,0.710798395017,0.914284855995
2020-05-12,1,259,,,,,,,168,41,399,3192,985,6955,76799,44049,114926,0.839995274987,0.7155033941,0.918767284549
2020-05-13,1,260,,,,,,,164,38,392,3089,925,6813,76963,44088,115317,0.847273281598,0.72198763672,0.939840384587
2020-05-14,0,260,,,,,,,160,36,387,2991,868,6676,77123,44124,115703,0.855902961262,0.7308214012,0.96521271841
2020-05-15,2,262,,,,,,,157,34,379,2898,815,6541,77280,44158,116082,0.865898082993,0.742668824842,0.986629149991
2020-05-16,0,262,,,,,,,154,32,371,2811,765,6409,77434,44191,116452,0.87719498954,0.752890028432,0.999275393011
2020-05-17,1,263,,,,,,,152,31,364,2730,720,6280,77586,44222,116816,0.889664314798,0.755018824119,1.03389584989
2020-05-18,0,263,,,,,,,150,30,359,2655,678,6157,77737,44252,117175,0.903133172588,0.758715243223,1.0664986029
2020-05-19,0,263,,,,,,,149,29,356,2587,640,6041,77886,44281,117530,0.917401462708,0.771998419405,1.0950977041
2020-05-20,1,264,,,,,,,148,28,358,2525,605,5936,78034,44309,117888,0.932243545558,0.783024512632,1.11963201112
2020-05-21,0,264,,,,,,,148,28,353,2471,575,5837,78182,44338,118241,0.947404187331,0.78864987445,1.13951529886
2020-05-22,2,266,,,,,,,148,28,350,2423,548,5743,78330,44366,118590,0.962605055067,0.798522396504,1.15507583467
2020-05-23,0,266,,,,,,,148,28,352,2382,525,5661,78478,44395,118941,0.977565174262,0.798924917852,1.16692352826
2020-05-24,1,267,,,,,,,149,29,355,2348,505,5592,78627,44424,119296,0.992021207196,0.79894879179,1.17575723992
2020-05-25,2,269,,,,,,,150,30,358,2320,489,5534,78778,44454,119653,1.00573379175,0.798963787464,1.18224052381
2020-05-26,0,269,,,,,,,152,30,357,2299,477,5484,78929,44485,120010,1.0184842178,0.798975262596,1.18694414002
2020-05-27,0,269,,,,,,,153,31,359,2284,467,5444,79082,44517,120369,1.03007833728,0.79897440603,1.19032785407
2020-05-28,0,269,,,,,,,155,30,364,2275,459,5416,79238,44547,120733,1.04036627065,0.798973586719,1.19274710493
2020-05-29,0,269,,,,,,,157,29,370,2272,452,5399,79395,44576,121102,1.04926789019,0.798972803049,1.19446902751
2020-05-30,1,270,,,,,,,160,28,376,2275,446,5396,79555,44605,121478,1.05678642305,0.798972053467,1.19569053014
2020-05-31,1,271,,,,,,,162,27,389,2282,441,5415,79717,44633,121867,1.06300156555,0.79897133649,1.19656720727
2020-06-01,1,272,,,,,,,165,28,399,2295,439,5449,79882,44661,122265,1.06804707014,0.798970650698,1.19721822518
2020-06-02,1,273,,,,,,,168,29,406,2312,438,5496,80049,44690,122670,1.07208382817,0.798969994733,1.19764055034
2020-06-03,0,273,,,,,,,171,29,413,2334,438,5553,80220,44720,123082,1.07530304515,0.798990100671,1.19798430663
2020-06-04,0,273,,,,,,,174,29,420,2359,439,5615,80394,44749,123502,1.07776863449,0.798989523619,1.19767483039
2020-06-05,0,273,,,,,,,177,29,428,2389,441,5689,80571,44779,123929,1.07967991901,0.798988971665,1.19723535495
2020-06-06,0,273,,,,,,,180,28,435,2421,441,5775,80751,44807,124364,1.08114692575,0.798988443717,1.19744753666
2020-06-07,0,273,,,,,,,184,28,448,2457,440,5870,80935,44835,124811,1.08225840364,0.798987809322,1.19773550637
2020-06-08,1,274,,,,,,,188,28,461,2495,439,5976,81123,44864,125271,1.08311089774,0.798987137611,1.19816752964
