date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-29,,,,,,,,,79,43,111,79,43,111,79,43,111,2.5108659346,2.2,3
2020-03-01,,,,,,,,,79,43,111,157,86,222,157,86,222,2.50256499616,2.17955840483,2.99610728086
2020-03-02,,,,,,,,,79,43,111,236,129,333,236,129,333,2.50031267118,2.17447572658,2.99491621388
2020-03-03,,,,,,,,,79,43,111,314,172,444,314,172,444,2.49744333978,2.16816908072,2.99325957204
2020-03-04,,,,,,,,,79,43,111,393,215,555,393,215,555,2.49378891147,2.16036595605,2.99076022864
2020-03-05,,,,,,,,,79,43,111,471,258,666,471,258,666,2.48913746555,2.15074526708,2.98733611828
2020-03-06,,,,,,,,,79,43,111,550,301,777,550,301,777,2.48322347222,2.13893523661,2.98264912921
2020-03-07,,,,,,,,,79,43,111,628,344,888,628,344,888,2.47571702623,2.1245151064,2.97624195079
2020-03-08,,,,,,,,,79,43,111,707,387,999,707,387,999,2.46621289872,2.10702294297,2.96826408931
2020-03-09,,,,,,,,,270,148,392,977,535,1391,977,535,1391,2.45419002849,2.08594298596,2.95826181669
2020-03-10,,,,,,,,,268,148,388,1245,684,1779,1245,684,1779,2.43912623445,2.06084798616,2.94524257342
2020-03-11,,,,,,,,,289,159,422,1534,844,2201,1534,844,2201,2.42031693696,2.0312682906,2.92827558963
2020-03-12,,,,,,,,,332,184,495,1865,1028,2696,1865,1028,2696,2.39703314806,1.99687843066,2.90629092205
2020-03-13,,,,,,,,,421,233,645,2286,1261,3341,2286,1261,3341,2.36850182153,1.95669436625,2.88246143401
2020-03-14,,,,,,,,,558,309,875,2844,1571,4215,2844,1571,4215,2.33398051966,1.91023460771,2.8450997909
2020-03-15,,,,,,,,,664,363,1050,3430,1891,5153,3508,1934,5264,2.29284755698,1.86340092886,2.80346198967
2020-03-16,,,,,,,,,762,411,1215,4113,2260,6257,4270,2346,6479,2.24471400707,1.81115496434,2.75106213539
2020-03-17,,,,,,,,,883,472,1411,4917,2690,7556,5153,2819,7889,2.18953770681,1.7556345181,2.70157644096
2020-03-18,,,,,,,,,1030,544,1647,5868,3191,9091,6182,3363,9535,2.12769881045,1.69983088857,2.64764448397
2020-03-19,,,,,,,,,1207,639,1973,6997,3787,10952,7390,4002,11507,2.06002172629,1.63688002946,2.59717657007
2020-03-20,,,,,,,,,1385,722,2310,8303,4467,13151,8774,4725,13817,1.98772809153,1.57582027206,2.53171546887
2020-03-21,,,,,,,,,1558,796,2678,9782,5221,15718,10332,5522,16495,1.91232881649,1.51690268217,2.45336422772
2020-03-22,,,,,,,,,1736,866,3065,11440,6045,18671,12068,6389,19559,1.83548829551,1.46085227898,2.38076011606
2020-03-23,,,,,,,,,1925,986,3537,13287,6988,22096,13993,7375,23095,1.75889085437,1.4119733385,2.31015840664
2020-03-24,1,1,,,,,,,2121,1093,3939,15138,7932,25643,16115,8468,27033,1.68413492957,1.3689646456,2.21257311399
2020-03-25,1,2,,,,,,,2315,1179,4379,17184,8963,29633,18429,9648,31412,1.61265870529,1.32762666579,2.11053134173
