date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-22,,,,,,,,,350,181,491,350,181,491,350,181,491,2.16266928568,1.8,2.6
2020-02-23,,,,,,,,,350,181,491,700,362,982,700,362,982,2.16007588549,1.79856439216,2.59851905808
2020-02-24,,,,,,,,,350,181,491,1051,543,1473,1051,543,1473,2.15945099028,1.79823038055,2.59801714013
2020-02-25,,,,,,,,,350,181,491,1401,724,1964,1401,724,1964,2.15867331363,1.7978340829,2.59734533167
2020-02-26,,,,,,,,,350,181,491,1751,905,2455,1751,905,2455,2.15770509408,1.79735726959,2.59644633223
2020-02-27,,,,,,,,,350,181,491,2101,1086,2946,2101,1086,2946,2.15649922959,1.79678046848,2.59525861751
2020-02-28,,,,,,,,,350,181,491,2451,1267,3437,2451,1267,3437,2.1549970212,1.79604673031,2.59371161425
2020-02-29,,,,,,,,,350,181,491,2801,1448,3928,2801,1448,3928,2.15312541765,1.79509985332,2.59180083175
2020-03-01,,,,,,,,,350,181,491,3152,1629,4419,3152,1629,4419,2.15079368116,1.79394397245,2.58928119673
2020-03-02,,,,,,,,,1094,598,1555,4245,2227,5974,4245,2227,5974,2.1476546227,1.79225089746,2.58551100259
2020-03-03,,,,,,,,,1089,595,1545,5334,2822,7518,5334,2822,7518,2.14401014378,1.79042654367,2.58072122409
2020-03-04,,,,,,,,,1163,638,1656,6497,3461,9173,6497,3461,9173,2.1394211961,1.7881315508,2.57418396644
2020-03-05,,,,,,,,,1315,727,1880,7812,4188,11053,7812,4188,11053,2.13374334526,1.78528594045,2.5665356061
2020-03-06,,,,,,,,,1631,909,2382,9444,5098,13435,9444,5098,13435,2.12671789708,1.78183843742,2.55591954795
2020-03-07,,,,,,,,,2125,1195,3188,11569,6293,16622,11569,6293,16622,2.11803641146,1.77768996149,2.54265637198
2020-03-08,,,,,,,,,2520,1428,3827,13738,7541,19957,14088,7722,20448,2.1073284794,1.77238677136,2.52741172809
2020-03-09,,,,,,,,,2886,1629,4436,16274,8990,23902,16974,9352,24884,2.09416581073,1.76628828475,2.50722926565
2020-03-10,,,,,,,,,3342,1876,5174,19265,10685,28585,20316,11228,30058,2.0780887381,1.7590889215,2.48185147321
2020-03-11,,,,,,,,,3908,2183,6116,22823,12687,34210,24224,13411,36174,2.05858656818,1.7511220586,2.45019731616
2020-03-12,,,,,,,,,4616,2578,7264,27089,15085,40982,28840,15990,43437,2.03511409182,1.74162537655,2.40962916987
