date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2019-12-26,,,,,,,,,567,276,741,567,276,741,567,276,741,3.44069358201,3,3.8
2019-12-27,,,,,,,,,567,276,741,1134,552,1482,1134,552,1482,3.44059264066,2.99996493211,3.79999570961
2019-12-28,,,,,,,,,567,276,741,1701,828,2223,1701,828,2223,3.44054259604,2.99994805222,3.79999227152
2019-12-29,,,,,,,,,567,276,741,2268,1104,2963,2268,1104,2963,3.4404673329,2.99992303136,3.79998607835
2019-12-30,,,,,,,,,567,276,741,2835,1380,3704,2835,1380,3704,3.44035389757,2.99988477958,3.79997492234
2019-12-31,,,,,,,,,567,276,741,3402,1657,4445,3402,1657,4445,3.44018253488,2.9998262841,3.79995482664
2020-01-01,,,,,,,,,567,276,741,3969,1933,5185,3969,1933,5185,3.43992302963,2.9997309827,3.79991862779
2020-01-02,,,,,,,,,567,276,741,4536,2209,5926,4536,2209,5926,3.43952903198,2.99956754068,3.79985635359
2020-01-03,,,,,,,,,567,276,741,5103,2485,6667,5103,2485,6667,3.43892923337,2.99936313694,3.79974397189
2020-01-04,,,,,,,,,2530,1153,3438,7633,3639,10104,7633,3639,10104,3.43800266617,2.99905485558,3.79952488466
2020-01-05,,,,,,,,,2523,1150,3437,10156,4789,13541,10156,4789,13541,3.43659971672,2.99855974176,3.79915219363
2020-01-06,,,,,,,,,2857,1288,3946,13013,6077,17487,13013,6077,17487,3.43444233999,2.99782954584,3.79847518484
2020-01-07,,,,,,,,,3530,1563,4970,16543,7641,22456,16543,7641,22456,3.43112624846,2.99673101615,3.79726121196
2020-01-08,,,,,,,,,4937,2113,7105,21480,9754,29561,21480,9754,29561,3.42601624266,2.99507785474,3.79507906351
2020-01-09,,,,,,,,,7187,2983,10535,28668,12738,40095,28668,12738,40095,3.41813044858,2.99259072332,3.79115547118
2020-01-10,,,,,,,,,9210,3774,13662,37311,16236,53016,37878,16512,53757,3.40595952917,2.98885134045,3.78410669508
2020-01-11,,,,,,,,,11500,4651,17387,48243,20612,69662,49377,21164,71144,3.38721276837,2.98323635149,3.77147551302
2020-01-12,,,,,,,,,14709,5854,22710,62385,26190,91631,64086,27019,93853,3.35848934312,2.97373353019,3.7499177087
2020-01-13,,,,,,,,,19052,7501,30064,80870,33415,120954,83138,34520,123916,3.3149127122,2.95218090045,3.71071771138
2020-01-14,,,,,,,,,24655,9683,39212,104958,42823,159424,107793,44204,163128,3.24990066879,2.88977234538,3.64461953922
2020-01-15,,,,,,,,,30911,12344,49877,135303,54891,208560,138705,56548,213004,3.15542752305,2.73668644437,3.53435575699
2020-01-16,,,,,,,,,37720,15234,61603,172455,69850,269422,176424,71783,274607,3.02330026015,2.45240698123,3.42366860016
2020-01-17,,,,,,,,,45008,19196,73449,216896,88770,342130,221432,90980,348055,2.84778089652,2.14243844064,3.31682141064
2020-01-18,,,,,,,,,52248,23583,83331,268577,112078,424720,273681,114564,431386,2.62905614451,1.76391480078,3.22191738544
2020-01-19,,,,,,,,,58600,28256,89243,324648,139181,510525,332281,142820,520628,2.37583996848,1.46895627154,3.1063469012
2020-01-20,,,,,,,,,63197,32910,91128,385321,170942,598215,395477,175731,611755,2.10458901232,1.20658643068,2.96703514037
2020-01-21,,,,,,,,,65750,35049,89415,448214,204703,683683,461227,210780,701170,1.83461815164,1.02200601885,2.89001025105
2020-01-22,17,17,,,,,,,66449,33533,90485,511134,236672,769199,527677,244314,791655,1.58256440397,0.902150607418,2.77388942289
2020-01-23,1,18,,,,,,,65601,32041,92323,571797,266600,854416,593277,276355,883977,1.35976382079,0.83276344562,2.58912354516
