date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-01-20,,,,,,,,,31,16,48,31,16,48,31,16,48,1.37349261123,1.3,1.5
2020-01-21,,,,,,,,,31,16,48,61,32,96,61,32,96,1.37349258236,1.2999999711,1.49999983508
2020-01-22,,,,,,,,,31,16,48,92,48,144,92,48,144,1.37349257508,1.29999996342,1.49999979274
2020-01-23,,,,,,,,,31,16,48,123,64,192,123,64,192,1.37349256596,1.2999999537,1.49999973953
2020-01-24,,,,,,,,,31,16,48,153,80,240,153,80,240,1.37349255451,1.29999994141,1.49999967265
2020-01-25,,,,,,,,,31,16,48,184,96,288,184,96,288,1.37349254015,1.29999992585,1.49999958861
2020-01-26,,,,,,,,,31,16,48,214,112,336,214,112,336,1.37349252214,1.29999990649,1.49999948299
2020-01-27,,,,,,,,,31,16,48,245,128,384,245,128,384,1.37349249953,1.29999988219,1.49999935025
2020-01-28,,,,,,,,,31,16,48,276,144,432,276,144,432,1.37349247116,1.29999985158,1.49999918343
2020-01-29,,,,,,,,,72,39,111,348,183,543,348,183,543,1.37348993018,1.29999617575,1.49999729994
2020-01-30,,,,,,,,,72,39,110,420,223,653,420,223,653,1.37348957226,1.29999567698,1.49999682148
2020-01-31,,,,,,,,,74,41,114,494,264,766,494,264,766,1.37348877678,1.29999457282,1.49999596773
2020-02-01,,,,,,,,,80,44,121,574,309,887,574,309,887,1.37348797031,1.29999346225,1.49999502763
2020-02-02,,,,,,,,,91,51,137,665,361,1024,665,361,1024,1.37348712008,1.29999231026,1.49999395565
2020-02-03,,,,,,,,,108,61,162,773,423,1185,773,423,1185,1.37348619257,1.29999107279,1.49999270057
2020-02-04,,,,,,,,,121,69,180,863,476,1317,894,492,1365,1.37348512229,1.29998966544,1.49999117951
2020-02-05,,,,,,,,,131,75,195,964,536,1464,1025,568,1560,1.37348383868,1.29998797498,1.49998929542
2020-02-06,,,,,,,,,143,82,211,1077,603,1626,1168,651,1770,1.37348237582,1.29998607583,1.49998702807
2020-02-07,,,,,,,,,156,90,228,1202,678,1806,1325,742,1998,1.37348074856,1.29998395016,1.49998432342
2020-02-08,,,,,,,,,173,101,251,1344,763,2008,1497,843,2248,1.37347892966,1.29998158299,1.49998180808
2020-02-09,,,,,,,,,189,112,273,1503,859,2232,1687,955,2520,1.37347688362,1.2999789785,1.49997804568
2020-02-10,,,,,,,,,206,123,295,1678,967,2479,1893,1079,2815,1.37347455296,1.29997608336,1.49997347544
2020-02-11,,,,,,,,,223,134,317,1871,1085,2748,2116,1213,3132,1.37347190207,1.29997272022,1.49996792062
2020-02-12,,,,,,,,,242,147,341,2082,1216,3040,2358,1360,3472,1.3734688945,1.29996895853,1.49996116566
2020-02-13,1,1,,,,,,,262,161,367,2272,1338,3297,2620,1521,3839,1.37346547566,1.29996472302,1.49995293264
2020-02-14,0,1,,,,,,,284,176,395,2484,1474,3581,2903,1698,4233,1.37346157014,1.29995993338,1.49994286758
2020-02-15,0,1,,,,,,,307,192,423,2716,1625,3890,3210,1890,4656,1.37345707943,1.29995448445,1.49993052426
2020-02-16,0,1,,,,,,,331,209,453,2967,1790,4221,3541,2100,5108,1.37345188786,1.29994825451,1.49991535083
2020-02-17,0,1,,,,,,,356,227,484,3232,1966,4568,3897,2328,5591,1.37344585713,1.29994097677,1.49989666163
2020-02-18,1,2,,,,,,,383,247,517,3507,2152,4923,4280,2576,6107,1.37343881319,1.29993254497,1.49987359679
2020-02-19,0,2,,,,,,,412,269,551,3798,2352,5294,4692,2845,6658,1.37343053468,1.29992273255,1.4998450764
2020-02-20,0,2,,,,,,,443,292,589,4110,2569,5688,5136,3138,7247,1.37342074035,1.29991125385,1.49980974492
2020-02-21,0,2,,,,,,,476,317,631,4443,2804,6108,5612,3456,7877,1.37340907628,1.29989786157,1.49976590425
2020-02-22,0,2,,,,,,,511,344,676,4798,3058,6556,6123,3800,8553,1.37339509725,1.29988211872,1.49971142742
2020-02-23,0,2,,,,,,,548,373,723,5174,3330,7028,6671,4174,9276,1.3733782399,1.29986378505,1.49964364763
