date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-22,,,,,,,,,75,39,107,75,39,107,75,39,107,2.60829894649,2.2,3
2020-02-23,,,,,,,,,75,39,107,150,78,213,150,78,213,2.60288388225,2.19174180567,2.99895363016
2020-02-24,,,,,,,,,75,39,107,225,117,320,225,117,320,2.60117240487,2.18932029335,2.99856201784
2020-02-25,,,,,,,,,75,39,107,300,156,426,300,156,426,2.59891360064,2.18618808683,2.99802408045
2020-02-26,,,,,,,,,75,39,107,375,195,532,375,195,532,2.59593225,2.1816577211,2.99728528626
2020-02-27,,,,,,,,,75,39,107,450,234,639,450,234,639,2.59199847932,2.17529005552,2.99627089182
2020-02-28,,,,,,,,,75,39,107,526,273,745,526,273,745,2.5868123184,2.16753396434,2.99487854552
2020-02-29,,,,,,,,,75,39,107,601,312,851,601,312,851,2.57998527704,2.15873885815,2.99296826767
2020-03-01,,,,,,,,,75,39,107,676,351,958,676,351,958,2.57101951774,2.14764027555,2.99034895015
2020-03-02,,,,,,,,,266,141,392,942,492,1349,942,492,1349,2.55921515046,2.13239426092,2.98670961605
2020-03-03,,,,,,,,,264,141,387,1206,633,1736,1206,633,1736,2.54392813602,2.11335248385,2.98191352738
2020-03-04,,,,,,,,,286,152,422,1492,786,2158,1492,786,2158,2.52413682402,2.07806206596,2.97455928706
2020-03-05,,,,,,,,,331,174,492,1823,960,2649,1823,960,2649,2.49877947822,2.03041292141,2.96534989369
2020-03-06,,,,,,,,,423,220,636,2247,1181,3285,2247,1181,3285,2.46666103079,1.96651159644,2.95134569558
2020-03-07,,,,,,,,,566,289,863,2813,1470,4147,2813,1470,4147,2.42656246492,1.8853360912,2.93076633547
2020-03-08,,,,,,,,,677,348,1054,3415,1780,5094,3490,1819,5200,2.37736591992,1.79693440915,2.90184778858
2020-03-09,,,,,,,,,780,387,1228,4120,2128,6215,4270,2206,6428,2.3182174341,1.69214541345,2.86157922903
2020-03-10,,,,,,,,,906,430,1436,4951,2520,7544,5176,2637,7863,2.24869772518,1.60012253096,2.80630061948
2020-03-11,,,,,,,,,1059,500,1732,5935,2981,9169,6236,3137,9594,2.1689380243,1.50980868707,2.74256930324
2020-03-12,,,,,,,,,1241,547,2041,7101,3489,11102,7477,3684,11634,2.07969016029,1.42756806995,2.68690522172
2020-03-13,,,,,,,,,1416,582,2359,8443,4033,13354,8893,4267,13993,1.98233939907,1.34893881606,2.63083927975
2020-03-14,,,,,,,,,1580,608,2730,9948,4603,15978,10473,4876,16722,1.87885589862,1.26913954834,2.52964803981
2020-03-15,,,,,,,,,1740,629,3074,11612,5193,18945,12213,5505,19796,1.77169120242,1.20115069282,2.41573846247
2020-03-16,,,,,,,,,1896,649,3415,13433,5803,22253,14109,6154,23211,1.66361010652,1.1337335448,2.28924505994
2020-03-17,1,1,,,,,,,2043,667,3872,15210,6330,25733,16152,6822,27082,1.55747952215,1.07631746679,2.16861797812
2020-03-18,0,1,,,,,,,2169,684,4244,17114,6873,29591,18320,7507,31326,1.45604315591,1.03994161029,2.03515794706
2020-03-19,1,2,,,,,,,2267,697,4650,19095,7418,33818,20588,8204,35975,1.3617117401,0.996891970039,1.8897316446
2020-03-20,0,2,,,,,,,2340,708,4940,21104,7953,38266,22927,8913,40915,1.27638767296,0.977462328805,1.74899630662
2020-03-21,0,2,,,,,,,2390,719,5124,23071,8451,42754,25317,9632,46039,1.20133148878,0.956721414191,1.60605089053
2020-03-22,1,3,,,,,,,2420,729,5234,24925,8891,47125,27738,10362,51272,1.13708873442,0.934168894458,1.47788645177
2020-03-23,0,3,,,,,,,2433,739,5219,26680,9282,51291,30170,11101,56491,1.08350678243,0.920172280485,1.3702377584
2020-03-24,3,6,,,,,,,2428,748,5165,28329,9643,55228,32599,11850,61655,1.03985365124,0.90085504341,1.27470237514
2020-03-25,4,10,,,,,,,2412,756,5090,29834,9969,58882,35010,12607,66745,1.00500991959,0.885270247362,1.20505525481
2020-03-26,0,10,,,,,,,2386,763,4979,31161,10233,62129,37396,13371,71723,0.977676261829,0.873750303548,1.13296568548
2020-03-27,10,20,,,,,,,2354,771,4846,32274,10457,64935,39750,14142,76569,0.956545733182,0.864999352758,1.07078156808
2020-03-28,8,28,,,,,,,2318,779,4700,33175,10653,67276,42068,14921,81268,0.940417569092,0.860071214669,1.03045824995
2020-03-29,11,39,,,,,,,2278,786,4575,33873,10832,69121,44346,15708,85843,0.928254621522,0.847371489621,1.01117596179
2020-03-30,3,42,,,,,,,2237,794,4439,34370,10997,70486,46583,16502,90281,0.91919917948,0.834337604194,1.01036752823
2020-03-31,9,51,,,,,,,2195,801,4333,34669,11149,71403,48778,17304,94613,0.912563589533,0.823465577423,1.01090213475
2020-04-01,6,57,,,,,,,2152,808,4223,34778,11289,71755,50930,18112,98836,0.907808576221,0.817534106864,1.01162936768
2020-04-02,3,60,,,,,,,2110,807,4109,34719,11412,71620,53040,18919,102945,0.904517618672,0.811883213014,1.01319088774
2020-04-03,8,68,,,,,,,2068,804,4000,34521,11518,70969,55108,19723,106944,0.902372012735,0.808700254747,1.01501882291
2020-04-04,0,68,,,,,,,2028,802,3891,34209,11612,69920,57136,20526,110835,0.901128774771,0.808230960193,1.01705102534
2020-04-05,14,82,,,,,,,1989,799,3785,33807,11692,68581,59125,21325,114619,0.900602108991,0.807159902435,1.01922594728
2020-04-06,4,86,,,,,,,1951,796,3681,33338,11760,67028,61075,22122,118300,0.900648432053,0.806379027927,1.02157302193
2020-04-07,12,98,,,,,,,1914,794,3580,32819,11815,65390,62989,22917,121880,0.901154633891,0.806238247846,1.02397315493
