date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-15,,,,,,,,,58,30,86,58,30,86,58,30,86,2.13605953227,1.8,2.6
2020-02-16,,,,,,,,,58,30,86,117,60,172,117,60,172,2.13593522311,1.79978130681,2.59997601971
2020-02-17,,,,,,,,,58,30,86,175,90,258,175,90,258,2.13587893327,1.79969656654,2.59996094568
2020-02-18,,,,,,,,,58,30,86,233,120,344,233,120,344,2.13579673997,1.79955420352,2.59993639536
2020-02-19,,,,,,,,,58,30,86,292,150,430,292,150,430,2.13567652041,1.7993497997,2.59989643321
2020-02-20,,,,,,,,,58,30,86,350,180,516,350,180,516,2.13550038296,1.79905136474,2.5998351792
2020-02-21,,,,,,,,,58,30,86,408,210,602,408,210,602,2.13524188186,1.79859542844,2.59973702404
2020-02-22,,,,,,,,,58,30,86,466,240,688,466,240,688,2.13486187689,1.79790071971,2.59957954055
2020-02-23,,,,,,,,,58,30,86,525,270,774,525,270,774,2.1343023846,1.79699861875,2.59930743614
2020-02-24,,,,,,,,,182,95,293,707,365,1067,707,365,1067,2.13345840838,1.79569380065,2.59884197166
2020-02-25,,,,,,,,,182,95,291,889,461,1357,889,461,1357,2.13223839274,1.7938067988,2.59812099454
2020-02-26,,,,,,,,,194,102,315,1083,563,1672,1083,563,1672,2.13043219555,1.79103860411,2.59720887204
2020-02-27,,,,,,,,,220,114,362,1304,677,2034,1304,677,2034,2.12776741398,1.78681065408,2.5955202819
2020-02-28,,,,,,,,,274,140,464,1578,818,2498,1578,818,2498,2.12383673634,1.78105561774,2.59273822271
2020-02-29,,,,,,,,,358,180,628,1936,998,3125,1936,998,3125,2.11804954313,1.77324378181,2.58868206355
2020-03-01,,,,,,,,,426,210,762,2303,1178,3801,2361,1208,3887,2.10956223523,1.75984569051,2.5816692521
2020-03-02,,,,,,,,,489,234,881,2733,1383,4595,2850,1443,4767,2.09720044816,1.74078641016,2.57017356792
2020-03-03,,,,,,,,,567,265,1050,3242,1618,5559,3417,1708,5817,2.07939310654,1.71122338807,2.55807665338
2020-03-04,,,,,,,,,663,298,1253,3847,1887,6725,4080,2007,7069,2.05415654831,1.67424632064,2.53987690251
2020-03-05,,,,,,,,,782,345,1503,4571,2203,8141,4862,2353,8571,2.01921010684,1.62779048627,2.51165098097
2020-03-06,,,,,,,,,902,394,1728,5414,2567,9783,5764,2747,10299,1.97230640531,1.53935626351,2.47109102971
2020-03-07,,,,,,,,,1018,432,2012,6374,2969,11709,6782,3179,12311,1.91179300106,1.44752593736,2.41035413819
2020-03-08,,,,,,,,,1134,470,2334,7450,3410,13957,7916,3650,14645,1.83725664253,1.32489885164,2.37275640698
2020-03-09,,,,,,,,,1248,485,2621,8639,3866,16491,9164,4136,17265,1.74993968889,1.21759376344,2.31796172855
2020-03-10,1,1,,,,,,,1356,514,2900,9813,4285,19098,10520,4651,20164,1.6526754672,1.11563641941,2.25754366024
2020-03-11,0,1,,,,,,,1449,515,2973,11080,4705,21780,11969,5166,23137,1.54933719138,1.00951867417,2.18113852949
