date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-28,,,,,,,,,74,41,109,74,41,109,74,41,109,1.26604938272,1,1.8
2020-02-29,,,,,,,,,74,41,109,147,82,218,147,82,218,1.26579515689,0.999846322795,1.79968454101
2020-03-01,,,,,,,,,74,41,109,221,123,327,221,123,327,1.26568842432,0.999787238393,1.79952671895
2020-03-02,,,,,,,,,74,41,109,294,164,436,294,164,436,1.26553625036,0.999674677686,1.79929046098
2020-03-03,,,,,,,,,74,41,109,368,205,545,368,205,545,1.26531901375,0.999501975633,1.79893695645
2020-03-04,,,,,,,,,74,41,109,441,246,654,441,246,654,1.26500853645,0.999238430895,1.79835309331
2020-03-05,,,,,,,,,74,41,109,515,287,763,515,287,763,1.26456436389,0.998926079797,1.79749951551
2020-03-06,,,,,,,,,74,41,109,588,328,872,588,328,872,1.26392848867,0.998535379743,1.79624449326
2020-03-07,,,,,,,,,74,41,109,662,369,981,662,369,981,1.26301795356,0.997952353354,1.79436308888
2020-03-08,,,,,,,,,165,96,242,827,465,1223,827,465,1223,1.26158365865,0.996864793083,1.79141301745
2020-03-09,,,,,,,,,164,96,241,990,562,1463,990,562,1463,1.25970465001,0.995457831008,1.78724719111
2020-03-10,,,,,,,,,168,99,248,1158,661,1711,1158,661,1711,1.25701242549,0.993420705511,1.78108660472
2020-03-11,,,,,,,,,179,105,264,1337,766,1974,1337,766,1974,1.25320906504,0.990135426188,1.77204176804
2020-03-12,,,,,,,,,201,117,302,1538,884,2276,1538,884,2276,1.24786761517,0.986351934783,1.75884152894
2020-03-13,,,,,,,,,234,135,361,1772,1019,2636,1772,1019,2636,1.24044235507,0.980569400023,1.73976232608
2020-03-14,,,,,,,,,258,149,402,1957,1127,2928,2031,1168,3037,1.23027709868,0.972440939169,1.71257906146
2020-03-15,,,,,,,,,276,157,437,2160,1243,3256,2307,1325,3474,1.21665902396,0.96128852834,1.67464669531
2020-03-16,,,,,,,,,293,164,464,2379,1367,3611,2600,1490,3938,1.19893717361,0.946484525847,1.62324159338
2020-03-17,,,,,,,,,311,172,499,2617,1499,4001,2911,1663,4437,1.17668583443,0.927563081407,1.57442915721
2020-03-18,,,,,,,,,332,182,531,2875,1640,4422,3243,1845,4967,1.14987646849,0.904516478312,1.55586259334
2020-03-19,,,,,,,,,349,192,549,3151,1792,4862,3592,2038,5516,1.11897033922,0.879484587073,1.53131762809
2020-03-20,,,,,,,,,362,200,563,3439,1951,5315,3954,2238,6078,1.08487187566,0.850480453163,1.48907391256
2020-03-21,,,,,,,,,371,207,583,3737,2117,5788,4325,2445,6660,1.04876971538,0.822588311957,1.40883151415
2020-03-22,,,,,,,,,378,212,586,4041,2289,6265,4703,2658,7246,1.01193913113,0.79583158159,1.36115180586
2020-03-23,1,1,,,,,,,383,216,602,4259,2408,6625,5086,2874,7848,0.97558709512,0.771975327798,1.28944381108
2020-03-24,1,2,,,,,,,385,222,613,4481,2534,6998,5471,3096,8460,0.940771947823,0.753063809448,1.21402996552
2020-03-25,0,2,,,,,,,385,227,619,4697,2662,7369,5856,3324,9079,0.908375707328,0.736876075736,1.15101635845
2020-03-26,2,4,,,,,,,382,230,610,4901,2787,7715,6238,3554,9689,0.87909210487,0.724694036936,1.09261015529
2020-03-27,0,4,,,,,,,378,229,597,5079,2900,8010,6617,3784,10285,0.853410960354,0.716414172086,1.04213965199
2020-03-28,0,4,,,,,,,373,229,586,5217,2994,8236,6990,4013,10871,0.831598240553,0.711081362606,0.99907057588
2020-03-29,2,6,,,,,,,367,230,566,5326,3075,8400,7357,4244,11437,0.813680710629,0.7071831817,0.966167524237
2020-03-30,1,7,,,,,,,361,229,547,5411,3147,8509,7718,4473,11983,0.799451391201,0.704636568644,0.935085740765
2020-03-31,0,7,,,,,,,354,227,527,5472,3210,8572,8072,4700,12509,0.788511018583,0.703220158684,0.908439451993
2020-04-01,0,7,,,,,,,347,226,506,5508,3263,8578,8419,4926,13015,0.78034446306,0.702344786653,0.890030969624
2020-04-02,1,8,,,,,,,341,222,495,5517,3303,8543,8760,5149,13509,0.774408536177,0.702113928475,0.875260801479
2020-04-03,4,12,,,,,,,334,219,477,5502,3331,8470,9094,5369,13986,0.770201842469,0.701798304724,0.86769808332
2020-04-04,0,12,,,,,,,328,215,464,5468,3346,8371,9422,5584,14449,0.767302787318,0.701655484681,0.863168919223
2020-04-05,0,12,,,,,,,321,213,451,5417,3352,8239,9743,5798,14899,0.765379528009,0.701772925572,0.859770445809
2020-04-06,1,13,,,,,,,315,210,438,5355,3350,8091,10058,6009,15337,0.764182890664,0.701689550294,0.857708375185
2020-04-07,2,15,,,,,,,309,208,428,5281,3342,7917,10367,6217,15764,0.763532089548,0.701548014802,0.85634961508
2020-04-08,1,16,,,,,,,303,204,421,5199,3325,7724,10670,6422,16184,0.763299281208,0.701433065429,0.85658434159
2020-04-09,0,16,,,,,,,298,201,414,5111,3299,7519,10967,6623,16597,0.763395759536,0.701356204555,0.855955027856
2020-04-10,4,20,,,,,,,292,198,406,5021,3267,7315,11260,6821,17003,0.763760667634,0.701492404459,0.857164755242
2020-04-11,1,21,,,,,,,287,194,397,4930,3232,7114,11546,7016,17399,0.764352182874,0.701668253308,0.85854192454
2020-04-12,2,23,,,,,,,282,191,389,4839,3193,6918,11828,7207,17788,0.765140803752,0.702024637297,0.86008387778
2020-04-13,0,23,,,,,,,277,187,385,4749,3150,6736,12105,7395,18173,0.766104326673,0.70244966576,0.861781367362
2020-04-14,0,23,,,,,,,273,184,379,4660,3106,6569,12378,7579,18551,0.768284754301,0.703110412061,0.863530340935
2020-04-15,13,36,,,,,,,268,181,373,4575,3060,6415,12647,7761,18924,0.770570418639,0.703642251372,0.86538351372
2020-04-16,3,39,,,,,,,265,178,369,4492,3012,6278,12911,7939,19292,0.773367990243,0.704195970592,0.871475014904
2020-04-17,1,40,,,,,,,261,173,362,4412,2963,6145,13172,8113,19654,0.776781748721,0.704965543572,0.890622584349
2020-04-18,1,41,,,,,,,257,173,358,4335,2917,6026,13429,8286,20011,0.780002837872,0.705843152859,0.890858742355
2020-04-19,1,42,,,,,,,254,170,359,4262,2871,5921,13684,8456,20370,0.78443935351,0.708513890547,0.890887227134
2020-04-20,0,42,,,,,,,251,166,355,4192,2824,5825,13935,8622,20724,0.787209905095,0.709979557034,0.891011949694
2020-04-21,1,43,,,,,,,248,162,351,4125,2776,5738,14183,8785,21074,0.790242020452,0.71223507179,0.891184784352
2020-04-22,0,43,,,,,,,245,160,348,4062,2728,5658,14428,8945,21421,0.793385910407,0.73257123336,0.891429117777
2020-04-23,3,46,,,,,,,242,158,347,4001,2681,5584,14671,9104,21768,0.794597495561,0.732649406942,0.891684412049
2020-04-24,2,48,,,,,,,239,155,345,3942,2636,5516,14910,9259,22113,0.795964338878,0.732694900524,0.892100980184
2020-04-25,4,52,,,,,,,236,152,342,3886,2590,5452,15146,9412,22454,0.796226521771,0.732690801461,0.892656144248
2020-04-26,0,52,,,,,,,233,149,339,3832,2546,5394,15379,9562,22793,0.796581738834,0.732764170885,0.893379215896
2020-04-27,0,52,,,,,,,230,147,336,3780,2502,5341,15609,9709,23128,0.797059287398,0.732807621409,0.894314518456
2020-04-28,3,55,,,,,,,227,144,332,3730,2459,5288,15835,9854,23460,0.797697640413,0.732837526545,0.89551679256
2020-04-29,2,57,,,,,,,224,142,329,3681,2417,5237,16059,9997,23788,0.798547280454,0.732932328252,0.897052867215
2020-04-30,3,60,,,,,,,221,139,325,3634,2375,5190,16280,10136,24113,0.799674175648,0.732983290987,0.899003331728
2020-05-01,2,62,,,,,,,218,136,325,3587,2333,5146,16498,10273,24437,0.801163973723,0.733066278769,0.901501694033
2020-05-02,1,63,,,,,,,215,133,322,3542,2292,5105,16714,10406,24759,0.80312686016,0.733191124414,0.904661492264
2020-05-03,0,63,,,,,,,213,131,320,3497,2251,5067,16926,10537,25078,0.805702694717,0.733344542804,0.908608749747
2020-05-04,0,63,,,,,,,210,130,318,3453,2212,5026,17136,10668,25395,0.809065593377,0.733577781887,0.913492639931
2020-05-05,3,66,,,,,,,208,128,316,3410,2174,4987,17344,10796,25710,0.813426309063,0.733985951376,0.919466018208
2020-05-06,0,66,,,,,,,206,126,315,3367,2138,4951,17550,10923,26025,0.81902965716,0.734573993701,0.926667680362
2020-05-07,1,67,,,,,,,204,126,315,3326,2104,4918,17755,11049,26339,0.826143181341,0.735416062679,0.935397049626
2020-05-08,3,70,,,,,,,203,127,316,3287,2073,4887,17958,11177,26655,0.83503314546,0.73661641133,0.945630291762
2020-05-09,1,71,,,,,,,203,125,316,3251,2042,4859,18161,11302,26971,0.845926591884,0.738320383249,0.956360814533
2020-05-10,0,71,,,,,,,203,124,317,3217,2014,4834,18363,11426,27288,0.858965193719,0.740729714859,0.972972705861
2020-05-11,0,71,,,,,,,203,123,320,3187,1987,4815,18566,11550,27607,0.874166435767,0.744121793835,0.997037695323
2020-05-12,3,74,,,,,,,204,127,323,3162,1968,4802,18771,11677,27930,0.891412467049,0.748872923598,1.04040112073
2020-05-13,2,76,,,,,,,206,126,326,3142,1949,4796,18977,11804,28255,0.910476264576,0.755483778962,1.06964383822
2020-05-14,3,79,,,,,,,209,125,333,3127,1932,4800,19186,11929,28588,0.931069696177,0.764601963206,1.11033030689
2020-05-15,4,83,,,,,,,213,127,341,3119,1920,4815,19399,12057,28928,0.952880625759,0.777030901998,1.15123296218
2020-05-16,0,83,,,,,,,217,127,350,3118,1911,4841,19617,12184,29278,0.975579086067,0.793706100206,1.18582913725
2020-05-17,0,83,,,,,,,223,128,359,3126,1906,4878,19840,12312,29636,0.998805896606,0.81561123924,1.21385854707
2020-05-18,0,83,,,,,,,229,129,368,3142,1904,4926,20069,12442,30004,1.02217283924,0.843605042155,1.23578464493
2020-05-19,3,86,,,,,,,236,131,378,3168,1905,4986,20305,12573,30381,1.0452825126,0.87814934254,1.25246831134
2020-05-20,2,88,,,,,,,244,135,387,3204,1912,5058,20549,12709,30768,1.06774632727,0.907487991881,1.26489541069
2020-05-21,2,90,,,,,,,253,139,397,3251,1925,5140,20801,12848,31165,1.08918153919,0.935398849339,1.27367602692
2020-05-22,0,90,,,,,,,262,144,410,3309,1943,5236,21063,12993,31574,1.1092010388,0.96418528167,1.28014050097
2020-05-23,2,92,,,,,,,272,151,427,3377,1967,5346,21335,13144,32000,1.12742925287,0.994039634899,1.28461096546
2020-05-24,1,93,,,,,,,283,157,445,3457,1999,5475,21618,13302,32445,1.14355597295,1.02110157055,1.28790882062
2020-05-25,0,93,,,,,,,294,164,454,3549,2039,5611,21912,13466,32898,1.15740084886,1.04712470713,1.29027669458
2020-05-26,0,93,,,,,,,306,173,463,3651,2089,5754,22217,13639,33361,1.1689481633,1.07014740742,1.29193521059
2020-05-27,0,93,,,,,,,318,182,485,3765,2144,5916,22535,13822,33845,1.17833423168,1.07533582264,1.29307708402
2020-05-28,1,94,,,,,,,331,192,512,3889,2211,6102,22866,14015,34357,1.1858004195,1.07935810404,1.29374008425
2020-05-29,1,95,,,,,,,344,201,535,4024,2287,6304,23210,14217,34891,1.19163726944,1.08257368794,1.29425092722
2020-05-30,0,95,,,,,,,359,210,562,4169,2370,6525,23569,14427,35452,1.19614686236,1.08512473513,1.29422696501
2020-05-31,1,96,,,,,,,374,221,584,4325,2465,6759,23942,14649,36036,1.19948542078,1.08713486702,1.29358881972
2020-06-01,0,96,,,,,,,389,232,600,4492,2570,7000,24331,14882,36635,1.20197723418,1.08871780148,1.29329428095
2020-06-02,1,97,,,,,,,405,243,627,4668,2683,7258,24737,15126,37261,1.20379853991,1.09026474426,1.29350486108
2020-06-03,0,97,,,,,,,422,256,654,4854,2809,7535,25159,15383,37915,1.20508462099,1.09122437848,1.29400563868
2020-06-04,0,97,,,,,,,440,271,679,5050,2945,7826,25599,15654,38594,1.2059249491,1.09192120927,1.29415061867
2020-06-05,4,101,,,,,,,458,283,706,5255,3088,8135,26057,15937,39299,1.20627205847,1.09215621691,1.29362241529
