date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-21,,,,,,,,,216,109,306,216,109,306,216,109,306,1.56002114567,1.4,2
2020-02-22,,,,,,,,,216,109,306,432,218,612,432,218,612,1.5599844334,1.3998742724,1.99985108194
2020-02-23,,,,,,,,,216,109,306,649,327,918,649,327,918,1.55997371817,1.39984118394,1.99980460251
2020-02-24,,,,,,,,,216,109,306,865,436,1224,865,436,1224,1.55995982997,1.39979939028,1.99974361533
2020-02-25,,,,,,,,,216,109,306,1081,545,1530,1081,545,1530,1.55994181395,1.39974660321,1.9996635931
2020-02-26,,,,,,,,,216,109,306,1297,654,1836,1297,654,1836,1.55991842284,1.3996799344,1.99955859698
2020-02-27,,,,,,,,,216,109,306,1514,763,2142,1514,763,2142,1.5598880257,1.39959573872,1.99942083757
2020-02-28,,,,,,,,,216,109,306,1730,872,2448,1730,872,2448,1.55984848775,1.39948941734,1.99924010017
2020-02-29,,,,,,,,,216,109,306,1946,981,2754,1946,981,2754,1.55979701186,1.39935517017,1.99900299298
2020-03-01,,,,,,,,,547,298,769,2493,1279,3523,2493,1279,3523,1.55953324953,1.39894728554,1.99852868219
2020-03-02,,,,,,,,,545,297,766,3038,1577,4289,3038,1577,4289,1.55942116918,1.39870357453,1.99809845457
2020-03-03,,,,,,,,,568,311,800,3606,1889,5088,3606,1889,5088,1.55924432237,1.39836216567,1.99750173202
2020-03-04,,,,,,,,,617,344,872,4222,2233,5960,4222,2233,5960,1.55903268621,1.39795049839,1.99673890121
2020-03-05,,,,,,,,,718,407,1021,4940,2641,6981,4940,2641,6981,1.5587723429,1.39744734934,1.99575440728
2020-03-06,,,,,,,,,875,505,1256,5816,3147,8236,5816,3147,8236,1.55844592778,1.39682686327,1.99447703384
2020-03-07,,,,,,,,,997,588,1438,6596,3626,9367,6813,3735,9673,1.55802832254,1.39605431335,1.99281076582
2020-03-08,,,,,,,,,1099,657,1591,7479,4175,10651,7911,4393,11263,1.55748796493,1.39508747288,1.99063265855
2020-03-09,,,,,,,,,1217,727,1769,8479,4793,12114,9128,5120,13032,1.55679609435,1.39383957527,1.987800568
2020-03-10,,,,,,,,,1356,805,1982,9619,5490,13789,10484,5926,15013,1.55591155633,1.39222193883,1.98412613307
2020-03-11,,,,,,,,,1531,913,2258,10934,6294,15740,12015,6839,17270,1.55477541293,1.39024481273,1.97936091626
2020-03-12,,,,,,,,,1714,1025,2545,12432,7211,17979,13729,7865,19815,1.55331041011,1.38781212804,1.97318837956
2020-03-13,,,,,,,,,1900,1134,2832,14116,8236,20504,15629,8999,22646,1.55141471498,1.38477974067,1.9652082831
2020-03-14,,,,,,,,,2099,1247,3143,15999,9375,23340,17729,10247,25788,1.54896030545,1.38100908422,1.95492841886
2020-03-15,,,,,,,,,2319,1373,3499,18101,10639,26533,20047,11620,29287,1.54578283384,1.37599189499,1.94174642943
2020-03-16,1,1,,,,,,,2564,1504,3892,20118,11845,29655,22611,13125,33178,1.54167130816,1.369193103,1.92493866804
2020-03-17,1,2,,,,,,,2830,1645,4345,22404,13193,33235,25442,14770,37523,1.53635930877,1.36056912253,1.9036636642
2020-03-18,0,2,,,,,,,3112,1789,4808,24948,14671,37242,28554,16560,42330,1.52951759024,1.35124515973,1.87698591583
2020-03-19,0,2,,,,,,,3410,1942,5328,27742,16268,41698,31964,18502,47657,1.52075164685,1.33914783376,1.84393197807
2020-03-20,1,3,,,,,,,3725,2100,5865,30748,17961,46542,35689,20603,53522,1.50960632673,1.32246856227,1.8035272575
2020-03-21,1,4,,,,,,,4056,2281,6468,33929,19737,51754,39745,22884,59989,1.49558418395,1.30201115298,1.77366057308
2020-03-22,2,6,,,,,,,4398,2455,7087,37330,21604,57403,44143,25340,67076,1.47818521468,1.27954274989,1.74804859374
2020-03-23,1,7,,,,,,,4743,2620,7688,40974,23567,63501,48886,27961,74764,1.45697141787,1.25419933085,1.71486698156
2020-03-24,5,12,,,,,,,5083,2791,8192,44841,25632,69925,53969,30752,82956,1.43165203177,1.22445956167,1.66448457752
2020-03-25,2,14,,,,,,,5411,2944,8663,48896,27771,76606,59380,33697,91619,1.40217186377,1.19762198246,1.62278940314
2020-03-26,3,17,,,,,,,5718,3108,9128,53084,29966,83477,65098,36806,100746,1.36877445972,1.17850919492,1.5738715984
2020-03-27,8,25,,,,,,,5998,3269,9474,57368,32209,90406,71097,40075,110220,1.33201304979,1.1558127664,1.55129875659
2020-03-28,6,31,,,,,,,6244,3437,9744,61712,34513,97318,77341,43513,119964,1.29270000142,1.11375248673,1.52233973204
2020-03-29,1,32,,,,,,,6451,3552,9912,66063,36817,104088,83792,47065,129875,1.25181112727,1.06869103785,1.49683901166
2020-03-30,3,35,,,,,,,6615,3696,9986,70360,39140,110575,90407,50761,139861,1.21037674813,1.02468674122,1.46289644487
2020-03-31,14,49,,,,,,,6738,3826,10122,74534,41462,116805,97145,54587,149983,1.16938892546,0.983482529763,1.41941782683
2020-04-01,16,65,,,,,,,6819,3913,10183,78522,43730,122643,103964,58501,160165,1.12973990685,0.948004854939,1.37954690106
2020-04-02,13,78,,,,,,,6859,3991,10185,82269,45932,128021,110823,62492,170350,1.09219107357,0.920064031401,1.33138700818
2020-04-03,24,102,,,,,,,6863,4007,10174,85721,47997,132866,117685,66499,180523,1.05736119816,0.893077192469,1.28087342835
2020-04-04,14,116,,,,,,,6833,4056,10132,88830,49952,137133,124518,70556,190654,1.02572016066,0.875563839634,1.22567092981
2020-04-05,11,127,,,,,,,6775,4077,9984,91549,51748,140649,131294,74633,200638,0.99757967529,0.860216134189,1.16950224995
2020-04-06,16,143,,,,,,,6694,4050,9827,93845,53343,143388,137988,78684,210464,0.973082545466,0.842252455725,1.13245591789
