date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-23,,,,,,,,,173,91,231,173,91,231,173,91,231,2.17606345561,1.8,2.6
2020-02-24,,,,,,,,,173,91,231,346,182,461,346,182,461,2.16695099156,1.79049017712,2.59666068434
2020-02-25,,,,,,,,,173,91,231,518,273,691,518,273,691,2.16390488378,1.78750873187,2.59524595607
2020-02-26,,,,,,,,,173,91,231,691,364,921,691,364,921,2.15983643291,1.78379522156,2.59323519187
2020-02-27,,,,,,,,,173,91,231,864,455,1151,864,455,1151,2.15440963007,1.77825624045,2.59025154446
2020-02-28,,,,,,,,,173,91,231,1037,546,1381,1037,546,1381,2.14718725379,1.77060313745,2.58596297646
2020-02-29,,,,,,,,,173,91,231,1209,637,1611,1209,637,1611,2.13760885662,1.76151478313,2.57981058118
2020-03-01,,,,,,,,,173,91,231,1382,728,1841,1382,728,1841,2.12497119111,1.74624385428,2.57100858341
2020-03-02,,,,,,,,,173,91,231,1555,819,2071,1555,819,2071,2.10841821072,1.72607762537,2.55846535795
2020-03-03,,,,,,,,,531,288,737,2086,1107,2808,2086,1107,2808,2.08670621458,1.70347466566,2.54179438487
2020-03-04,,,,,,,,,524,287,721,2610,1394,3529,2610,1394,3529,2.05920972673,1.67536901614,2.52080067966
2020-03-05,,,,,,,,,552,308,762,3162,1703,4290,3162,1703,4290,2.0245661812,1.64020041247,2.49238312925
2020-03-06,,,,,,,,,612,346,852,3773,2050,5142,3773,2050,5142,1.98192808188,1.59436034339,2.45012733815
2020-03-07,,,,,,,,,737,428,1042,4510,2478,6183,4510,2478,6183,1.93074435697,1.53858665896,2.39429138069
2020-03-08,,,,,,,,,924,548,1325,5434,3026,7508,5434,3026,7508,1.8710224878,1.47441223172,2.34244526546
2020-03-09,,,,,,,,,1049,639,1509,6310,3575,8786,6483,3666,9017,1.80343323887,1.38939302237,2.30781633233
2020-03-10,,,,,,,,,1140,716,1651,7278,4200,10207,7623,4382,10667,1.72930137566,1.30865900437,2.26006539615
2020-03-11,,,,,,,,,1241,799,1797,8346,4909,11774,8864,5182,12464,1.65048331457,1.22584757037,2.17160958721
2020-03-12,,,,,,,,,1351,867,1970,9524,5685,13513,10215,6049,14434,1.56913057076,1.15816650723,2.06698490039
2020-03-13,,,,,,,,,1476,947,2186,10827,6542,15469,11691,6997,16619,1.48747331567,1.09799302708,2.0090625382
2020-03-14,,,,,,,,,1578,1007,2362,12233,7458,17601,13269,8004,18981,1.40765487174,1.05237995515,1.92894202273
2020-03-15,,,,,,,,,1654,1055,2485,13715,8423,19855,14924,9060,21466,1.3316114519,1.01759032117,1.83803238592
