date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,111,57,160,111,57,160,111,57,160,1.56335819317,1.4,1.8
2020-02-20,,,,,,,,,111,57,160,222,115,320,222,115,320,1.56334648887,1.39998723173,1.79999892585
2020-02-21,,,,,,,,,111,57,160,334,173,480,334,173,480,1.56334320374,1.39998371715,1.79999846269
2020-02-22,,,,,,,,,111,57,160,445,231,640,445,231,640,1.56333898503,1.39997923564,1.79999783494
2020-02-23,,,,,,,,,111,57,160,556,289,800,556,289,800,1.56333356361,1.39997307012,1.79999700815
2020-02-24,,,,,,,,,111,57,160,667,347,960,667,347,960,1.56332659149,1.39996577271,1.79999586437
2020-02-25,,,,,,,,,111,57,160,778,404,1120,778,404,1120,1.56331761826,1.39995649798,1.79999428512
2020-02-26,,,,,,,,,111,57,160,889,462,1280,889,462,1280,1.56330606047,1.39994419964,1.79999210283
2020-02-27,,,,,,,,,111,57,160,1001,520,1440,1001,520,1440,1.56329116144,1.39992739971,1.79998885649
2020-02-28,,,,,,,,,282,153,401,1283,674,1841,1283,674,1841,1.56319180208,1.3998068918,1.79992253724
2020-02-29,,,,,,,,,281,153,400,1564,827,2240,1564,827,2240,1.56315696371,1.39976748735,1.79990695657
2020-03-01,,,,,,,,,293,161,418,1857,989,2658,1857,989,2658,1.56309934625,1.39970244759,1.79987590257
2020-03-02,,,,,,,,,318,176,455,2175,1166,3112,2175,1166,3112,1.56303241826,1.39962329933,1.7998396764
2020-03-03,,,,,,,,,371,210,534,2545,1376,3646,2545,1376,3646,1.56295215113,1.39952840026,1.79979887117
2020-03-04,,,,,,,,,452,259,656,2998,1636,4301,2998,1636,4301,1.5628536656,1.39941430462,1.79974830033
2020-03-05,,,,,,,,,515,296,750,3402,1875,4890,3513,1933,5050,1.56272965934,1.39927453547,1.79968258756
2020-03-06,,,,,,,,,568,328,830,3859,2146,5559,4081,2262,5879,1.56257118155,1.3990958666,1.79959948565
2020-03-07,,,,,,,,,629,360,923,4377,2449,6322,4711,2622,6802,1.56237172255,1.39886433736,1.79948540718
2020-03-08,,,,,,,,,702,402,1034,4968,2794,7195,5412,3025,7835,1.56212142451,1.39856677381,1.79933702962
2020-03-09,,,,,,,,,793,457,1173,5649,3193,8208,6205,3482,9008,1.56180539208,1.39820942022,1.79914243488
2020-03-10,,,,,,,,,888,511,1321,6426,3646,9369,7093,3994,10329,1.5614041039,1.3977529111,1.79888732995
