date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-27,,,,,,,,,799,434,1166,799,434,1166,799,434,1166,1.7692976868,1.4,2.2
2020-02-28,,,,,,,,,799,434,1166,1598,868,2331,1598,868,2331,1.76464162376,1.39174779345,2.19944131235
2020-02-29,,,,,,,,,799,434,1166,2397,1302,3496,2397,1302,3496,1.76265101389,1.38856163211,2.19915848917
2020-03-01,,,,,,,,,799,434,1166,3196,1737,4661,3196,1737,4661,1.75980426634,1.38403826294,2.19873260625
2020-03-02,,,,,,,,,799,434,1166,3995,2171,5826,3995,2171,5826,1.75574054418,1.37736604329,2.19809882303
2020-03-03,,,,,,,,,799,434,1166,4794,2605,6991,4794,2605,6991,1.74996055209,1.36810260595,2.19709327851
2020-03-04,,,,,,,,,799,434,1166,5593,3040,8156,5593,3040,8156,1.74179015519,1.35905767085,2.1955535828
2020-03-05,,,,,,,,,799,434,1166,6392,3474,9321,6392,3474,9321,1.73035300723,1.34257914042,2.1931260632
2020-03-06,,,,,,,,,799,434,1166,7191,3908,10486,7191,3908,10486,1.71457480684,1.31824942843,2.18908350682
2020-03-07,,,,,,,,,2139,1172,3264,9329,5080,13749,9329,5080,13749,1.69297829005,1.28518124566,2.18200633606
2020-03-08,,,,,,,,,2106,1156,3204,11436,6237,16953,11436,6237,16953,1.66493060651,1.23965293719,2.1717254036
2020-03-09,,,,,,,,,2178,1196,3355,13614,7434,20308,13614,7434,20308,1.62928664475,1.1916675151,2.15651637377
2020-03-10,,,,,,,,,2342,1289,3689,15956,8723,23996,15956,8723,23996,1.58584467254,1.14953922638,2.13420752227
2020-03-11,,,,,,,,,2696,1457,4348,18652,10180,28343,18652,10180,28343,1.53503775128,1.0774822243,2.10537781024
2020-03-12,,,,,,,,,3225,1682,5349,21877,11863,33691,21877,11863,33691,1.47790111397,1.02713693837,2.06610162243
2020-03-13,,,,,,,,,3549,1816,6018,24626,13245,38544,25425,13679,39709,1.41584735384,0.96389718261,2.01277244827
2020-03-14,,,,,,,,,3745,1872,6360,27573,14683,43739,29171,15552,46069,1.35047840497,0.923813551507,1.94238498947
2020-03-15,,,,,,,,,3941,1908,6714,30715,16157,49288,33112,17460,52783,1.28349690352,0.886223676597,1.86206476075
2020-03-16,,,,,,,,,4136,1955,7118,34052,17678,55241,37248,19415,59901,1.2166585655,0.845941560301,1.78372081547
2020-03-17,,,,,,,,,4356,2029,7821,37609,19273,61896,41604,21445,67722,1.15176952052,0.806662966764,1.66318923361
2020-03-18,,,,,,,,,4511,2089,7994,41321,20928,68725,46115,23534,75715,1.09066168617,0.783561768154,1.54070447263
