date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,198,103,287,198,103,287,198,103,287,1.58127364361,1.4,1.8
2020-02-17,,,,,,,,,198,103,287,396,206,573,396,206,573,1.58126928917,1.39999555348,1.79996495016
2020-02-18,,,,,,,,,198,103,287,594,309,859,594,309,859,1.58126844233,1.39999472936,1.79995845921
2020-02-19,,,,,,,,,198,103,287,793,412,1146,793,412,1146,1.58126742914,1.39999375248,1.79995076595
2020-02-20,,,,,,,,,198,103,287,991,515,1432,991,515,1432,1.58126621656,1.39999259456,1.79994164763
2020-02-21,,,,,,,,,198,103,287,1189,618,1718,1189,618,1718,1.58126476487,1.39999122202,1.79993084027
2020-02-22,,,,,,,,,198,103,287,1387,721,2004,1387,721,2004,1.58126302635,1.39998959509,1.79991803096
2020-02-23,,,,,,,,,198,103,287,1585,824,2291,1585,824,2291,1.58126094363,1.39998766664,1.79990284886
2020-02-24,,,,,,,,,198,103,287,1783,927,2577,1783,927,2577,1.58125844766,1.3999855299,1.79988485442
2020-02-25,,,,,,,,,509,266,739,2293,1193,3315,2293,1193,3315,1.58125363406,1.39998040038,1.7998617376
2020-02-26,,,,,,,,,507,264,736,2800,1458,4051,2800,1458,4051,1.5812498178,1.39997662947,1.79983623566
2020-02-27,,,,,,,,,529,276,769,3329,1734,4819,3329,1734,4819,1.5812449262,1.39997176462,1.79980564893
2020-02-28,,,,,,,,,576,301,838,3905,2036,5657,3905,2036,5657,1.58123917509,1.39996605505,1.79976951534
2020-02-29,,,,,,,,,673,353,983,4578,2390,6639,4578,2390,6639,1.58123236109,1.39995959574,1.7997267712
2020-03-01,,,,,,,,,825,434,1208,5403,2825,7846,5403,2825,7846,1.58122424484,1.39995224532,1.79967616299
2020-03-02,,,,,,,,,941,497,1382,6146,3220,8941,6345,3323,9228,1.58121451291,1.39994357024,1.79961617291
2020-03-03,,,,,,,,,1040,550,1530,6988,3668,10184,7385,3874,10757,1.58120279487,1.39993328752,1.79954550465
2020-03-04,,,,,,,,,1155,613,1702,7945,4178,11600,8540,4487,12458,1.58118875845,1.3999211711,1.79946126957
2020-03-05,,,,,,,,,1291,687,1907,9039,4762,13220,9831,5174,14365,1.58117197473,1.39990693287,1.79936151834
2020-03-06,,,,,,,,,1462,780,2165,10303,5439,15099,11294,5954,16530,1.58115188077,1.39989018877,1.79924337894
2020-03-07,,,,,,,,,1643,878,2438,11747,6215,17249,12936,6833,18967,1.5811277936,1.39987048224,1.79910344715
2020-03-08,,,,,,,,,1827,978,2717,13377,7090,19680,14764,7811,21684,1.58109887533,1.39984726008,1.79893767989
2020-03-09,,,,,,,,,2026,1084,3019,15205,8072,22412,16790,8896,24702,1.58106414917,1.39981990104,1.79874134312
2020-03-10,,,,,,,,,2247,1205,3356,17254,9174,25481,19037,10101,28057,1.5810224389,1.39978767788,1.79850884324
2020-03-11,1,1,,,,,,,2498,1342,3737,19243,10251,28479,21535,11444,31794,1.58097230807,1.39974972221,1.79823354723
2020-03-12,0,1,,,,,,,2774,1494,4159,21510,11480,31902,24310,12938,35952,1.58091200696,1.39970500052,1.79790760129
