date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,404,231,559,404,231,559,404,231,559,1.82498776041,1.4,2.2
2020-02-20,,,,,,,,,404,231,559,808,462,1118,808,462,1118,1.8235644478,1.39972480194,2.19954784103
2020-02-21,,,,,,,,,404,231,559,1212,693,1677,1212,693,1677,1.82294031004,1.39961283794,2.19927587483
2020-02-22,,,,,,,,,404,231,559,1615,924,2236,1615,924,2236,1.8220373529,1.39945546738,2.19884346921
2020-02-23,,,,,,,,,404,231,559,2019,1156,2794,2019,1156,2794,1.82072899737,1.39923432439,2.19819502233
2020-02-24,,,,,,,,,404,231,559,2423,1387,3353,2423,1387,3353,1.81883091701,1.39888745655,2.19723627357
2020-02-25,,,,,,,,,404,231,559,2827,1618,3912,2827,1618,3912,1.81607538276,1.3984396936,2.19577273862
2020-02-26,,,,,,,,,404,231,559,3231,1849,4471,3231,1849,4471,1.81207550121,1.39773750382,2.19354111453
2020-02-27,,,,,,,,,404,231,559,3635,2081,5030,3635,2081,5030,1.80627713106,1.39658676737,2.18990477548
2020-02-28,,,,,,,,,1124,654,1611,4759,2736,6641,4759,2736,6641,1.79345185198,1.39041773404,2.18095369647
2020-02-29,,,,,,,,,1114,651,1590,5873,3387,8230,5873,3387,8230,1.78089386141,1.38689491273,2.17260418028
2020-03-01,,,,,,,,,1166,687,1651,7039,4075,9880,7039,4075,9880,1.76227321738,1.38104343397,2.15922407767
2020-03-02,,,,,,,,,1274,752,1818,8313,4827,11698,8313,4827,11698,1.7368527124,1.37286221355,2.13998691022
2020-03-03,,,,,,,,,1500,893,2137,9812,5720,13835,9812,5720,13835,1.7025447253,1.36023512935,2.11213021775
2020-03-04,,,,,,,,,1835,1085,2569,11647,6806,16403,11647,6806,16403,1.65734831228,1.34161925702,2.07201029256
2020-03-05,,,,,,,,,2050,1229,2808,13293,7804,18651,13697,8035,19210,1.59978151277,1.30731848974,2.01503173841
2020-03-06,,,,,,,,,2185,1354,2921,15074,8927,21013,15881,9390,22131,1.52953415275,1.22207583085,1.93644679262
2020-03-07,,,,,,,,,2312,1500,3001,16982,10196,23454,18193,10890,25131,1.44802060813,1.08915770169,1.86383432611
2020-03-08,,,,,,,,,2428,1643,3216,19006,11608,26111,20621,12533,28346,1.35787707409,0.943602873884,1.79094331501
