date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-24,,,,,,,,,48,27,65,48,27,65,48,27,65,1.3724137931,1,1.8
2020-02-25,,,,,,,,,48,27,65,97,54,130,97,54,130,1.37084829748,0.999492987138,1.79907915343
2020-02-26,,,,,,,,,48,27,65,145,81,195,145,81,195,1.37035436511,0.999343365313,1.79867377503
2020-02-27,,,,,,,,,48,27,65,193,108,260,193,108,260,1.36970198183,0.999141527069,1.79810479012
2020-02-28,,,,,,,,,48,27,65,241,135,325,241,135,325,1.36883968288,0.998876612648,1.79734191204
2020-02-29,,,,,,,,,48,27,65,290,162,390,290,162,390,1.36769927786,0.998526613793,1.79630569004
2020-03-01,,,,,,,,,48,27,65,338,189,455,338,189,455,1.36619057187,0.998097585065,1.79486836559
2020-03-02,,,,,,,,,48,27,65,386,216,520,386,216,520,1.36419459825,0.997479064542,1.79302527775
2020-03-03,,,,,,,,,48,27,65,434,243,585,434,243,585,1.36155510354,0.99673240574,1.79038937379
2020-03-04,,,,,,,,,113,67,157,547,310,742,547,310,742,1.3576557584,0.995290170888,1.78641350231
2020-03-05,,,,,,,,,112,67,155,659,377,896,659,377,896,1.35300750172,0.993871286362,1.78164423344
2020-03-06,,,,,,,,,115,69,160,774,447,1056,774,447,1056,1.34684118778,0.992167521835,1.77492413818
2020-03-07,,,,,,,,,123,75,173,897,523,1228,897,523,1228,1.33880616331,0.989646649369,1.76506872603
2020-03-08,,,,,,,,,139,87,198,1036,611,1426,1036,611,1426,1.32838026334,0.986611024218,1.75131915635
2020-03-09,,,,,,,,,164,104,238,1201,715,1663,1201,715,1663,1.31494768219,0.98259888994,1.73394114665
2020-03-10,,,,,,,,,182,117,267,1334,805,1865,1382,832,1930,1.29781282912,0.976302655683,1.70989849838
2020-03-11,,,,,,,,,194,126,286,1480,905,2085,1576,959,2215,1.27625201861,0.96773801817,1.6769436053
2020-03-12,,,,,,,,,206,135,303,1638,1013,2323,1783,1094,2518,1.24961212273,0.955678668507,1.63478421488
2020-03-13,,,,,,,,,219,145,321,1809,1131,2579,2002,1239,2839,1.21740380425,0.938535128123,1.59014520023
2020-03-14,,,,,,,,,233,154,342,1993,1259,2855,2234,1394,3180,1.17942398886,0.914364376798,1.56013352617
2020-03-15,,,,,,,,,243,163,354,2188,1395,3143,2478,1557,3533,1.13585925664,0.8883390147,1.52733707592
2020-03-16,,,,,,,,,250,169,359,2390,1538,3437,2728,1727,3892,1.08731468512,0.826561217398,1.4827240396
2020-03-17,,,,,,,,,253,174,350,2594,1685,3722,2980,1901,4242,1.03476632742,0.759965341332,1.44011184663
2020-03-18,,,,,,,,,253,176,343,2799,1834,4000,3233,2077,4585,0.979443302529,0.695369177723,1.38818741248
2020-03-19,2,2,,,,,,,250,175,340,2936,1942,4183,3483,2252,4924,0.9226934075,0.632865679814,1.31138587235
2020-03-20,0,2,,,,,,,245,170,339,3069,2046,4367,3728,2423,5262,0.86586998802,0.582944895806,1.25597487194
2020-03-21,0,2,,,,,,,237,161,334,3191,2138,4541,3965,2585,5596,0.810254137173,0.537196682486,1.19742412626
2020-03-22,0,2,,,,,,,227,152,327,3295,2214,4695,4192,2737,5922,0.757008536009,0.498293670505,1.12787041654
2020-03-23,3,5,,,,,,,215,143,317,3370,2270,4813,4407,2881,6239,0.707147090891,0.470303823676,1.05718973466
2020-03-24,2,7,,,,,,,202,132,303,3408,2298,4878,4609,3013,6541,0.661505625055,0.450233523247,0.981988188968
2020-03-25,1,8,,,,,,,189,122,287,3415,2303,4898,4798,3136,6828,0.620705447039,0.435009820513,0.897243464777
2020-03-26,1,9,,,,,,,176,114,269,3397,2292,4881,4974,3251,7096,0.585113293437,0.42419673186,0.827216149033
2020-03-27,1,10,,,,,,,163,107,251,3354,2264,4829,5136,3358,7346,0.554814279146,0.416654366942,0.765247795298
2020-03-28,2,12,,,,,,,151,100,228,3286,2219,4735,5287,3459,7574,0.529618049622,0.411222389405,0.717553343169
2020-03-29,0,12,,,,,,,139,93,210,3192,2158,4603,5427,3552,7783,0.509106793999,0.407423454861,0.66985574971
2020-03-30,0,12,,,,,,,129,87,192,3078,2082,4441,5556,3640,7974,0.492713927063,0.40476292646,0.634586781616
2020-03-31,1,13,,,,,,,120,82,174,2948,1995,4256,5675,3722,8148,0.479809736895,0.402830682469,0.605500656571
2020-04-01,3,16,,,,,,,111,77,160,2806,1898,4066,5786,3800,8307,0.469772699398,0.401433472734,0.581839755075
2020-04-02,1,17,,,,,,,104,72,148,2657,1795,3870,5890,3872,8454,0.462036449356,0.40040231424,0.563165542598
2020-04-03,0,17,,,,,,,97,68,137,2504,1688,3667,5987,3941,8591,0.456113042929,0.399736567341,0.54931298692
2020-04-04,3,20,,,,,,,91,65,127,2350,1582,3455,6079,4006,8717,0.451598604795,0.399200564159,0.537857932004
2020-04-05,2,22,,,,,,,86,61,118,2199,1482,3239,6164,4068,8835,0.448168314888,0.398820666533,0.528776759342
2020-04-06,1,23,,,,,,,81,58,111,2054,1388,3023,6246,4126,8945,0.445566266665,0.398524922199,0.52165750815
2020-04-07,0,23,,,,,,,77,54,105,1916,1299,2812,6323,4181,9050,0.443593798961,0.398311269155,0.516429221684
2020-04-08,0,23,,,,,,,73,51,100,1787,1218,2609,6396,4232,9149,0.442098298143,0.398151717904,0.512330874094
2020-04-09,0,23,,,,,,,70,48,95,1669,1143,2417,6466,4280,9244,0.440963384084,0.398034840458,0.508908706186
2020-04-10,1,24,,,,,,,67,45,91,1560,1075,2239,6534,4326,9334,0.440100755976,0.397916891201,0.506209451506
2020-04-11,1,25,,,,,,,64,43,87,1462,1011,2075,6598,4370,9421,0.439443643541,0.397807582268,0.504269665051
2020-04-12,2,27,,,,,,,62,41,84,1373,952,1931,6660,4411,9504,0.438941664901,0.397711534204,0.502663333725
2020-04-13,1,28,,,,,,,60,39,81,1293,897,1802,6720,4450,9585,0.438556850283,0.397647225771,0.501582844821
2020-04-14,1,29,,,,,,,58,37,78,1222,847,1689,6777,4487,9662,0.43826059934,0.397584019303,0.500643941946
2020-04-15,0,29,,,,,,,56,35,76,1158,800,1590,6833,4523,9738,0.438031369605,0.397532830155,0.49990886094
2020-04-16,4,33,,,,,,,54,34,74,1101,757,1504,6887,4557,9811,0.437852928963,0.397488130595,0.4993794063
2020-04-17,2,35,,,,,,,52,32,72,1049,717,1428,6940,4590,9882,0.437713038812,0.397431268273,0.498859102613
2020-04-18,3,38,,,,,,,51,31,70,1003,679,1361,6990,4621,9951,0.43760246377,0.397393006626,0.498445783512
2020-04-19,0,38,,,,,,,49,29,68,961,644,1302,7040,4651,10019,0.437514227798,0.397355524191,0.498234380653
2020-04-20,0,38,,,,,,,48,28,66,923,611,1250,7088,4679,10084,0.43744305566,0.397321204097,0.498031131454
2020-04-21,2,40,,,,,,,47,27,65,889,581,1204,7135,4707,10148,0.437384953544,0.397294418608,0.4978807245
2020-04-22,0,40,,,,,,,45,26,63,857,553,1162,7180,4734,10211,0.437336894058,0.397273521107,0.497780262971
2020-04-23,3,43,,,,,,,44,26,61,828,528,1123,7224,4760,10272,0.437296579453,0.397250017883,0.497739004728
2020-04-24,1,44,,,,,,,43,25,60,801,505,1088,7267,4786,10331,0.437262263513,0.397228744878,0.497703145321
2020-04-25,2,46,,,,,,,42,24,58,776,484,1055,7309,4810,10389,0.437232617439,0.397211006655,0.49767244861
2020-04-26,0,46,,,,,,,41,23,57,752,464,1025,7350,4834,10445,0.437206628738,0.397188661897,0.497640089733
2020-04-27,1,47,,,,,,,40,23,56,730,446,997,7389,4857,10500,0.437183524915,0.39716405734,0.49759687855
2020-04-28,0,47,,,,,,,39,22,54,708,429,970,7428,4879,10554,0.437162644324,0.39714646924,0.49757546372
2020-04-29,0,47,,,,,,,38,21,53,688,413,944,7466,4901,10606,0.43714360279,0.397122998719,0.497556185289
2020-04-30,2,49,,,,,,,36,21,51,669,399,920,7502,4922,10657,0.437126012989,0.39710761187,0.497542925128
2020-05-01,1,50,,,,,,,35,20,50,650,385,896,7537,4943,10707,0.437109972982,0.397090852493,0.497529773345
2020-05-02,1,51,,,,,,,34,19,49,632,373,873,7572,4963,10755,0.437095251605,0.397075407215,0.497514489412
2020-05-03,2,53,,,,,,,33,19,47,615,360,851,7605,4982,10801,0.437081922269,0.397064129214,0.497498304402
2020-05-04,-1,52,,,,,,,32,18,46,598,349,829,7638,5000,10847,0.437069741504,0.39705114795,0.497482693857
2020-05-05,0,52,,,,,,,31,17,45,581,338,807,7669,5018,10891,0.437059009515,0.39704289369,0.497469231184
2020-05-06,0,52,,,,,,,30,17,43,565,328,786,7699,5036,10934,0.437049512899,0.397033536915,0.497458644524
2020-05-07,1,53,,,,,,,29,16,42,549,318,765,7729,5052,10975,0.437041260332,0.397025439094,0.497447601285
2020-05-08,0,53,,,,,,,28,16,41,533,308,744,7757,5068,11015,0.437034376481,0.397015839387,0.497436844454
2020-05-09,0,53,,,,,,,28,15,39,518,298,723,7785,5084,11054,0.43702905647,0.397010744109,0.497435240371
2020-05-10,0,53,,,,,,,27,15,38,502,288,703,7811,5099,11091,0.437025635011,0.397005039334,0.497435356895
2020-05-11,0,53,,,,,,,26,14,37,487,279,682,7837,5114,11127,0.437024580453,0.397002372915,0.497439455076
2020-05-12,0,53,,,,,,,25,13,35,472,270,662,7862,5127,11162,0.437026505522,0.396997799391,0.497462413202
2020-05-13,0,53,,,,,,,24,13,34,457,261,642,7885,5141,11196,0.437032212174,0.396996243869,0.497469553469
2020-05-14,0,53,,,,,,,23,12,33,442,252,622,7908,5154,11228,0.437042750618,0.396994998249,0.497494960416
2020-05-15,0,53,,,,,,,22,12,31,428,243,602,7930,5166,11259,0.437059497069,0.396994117812,0.497533133713
2020-05-16,0,53,,,,,,,21,11,30,413,234,583,7951,5178,11289,0.43708425623,0.396993973348,0.497596863357
2020-05-17,1,54,,,,,,,20,11,29,399,226,563,7970,5189,11317,0.437119396442,0.39700274054,0.497669769032
2020-05-18,0,54,,,,,,,19,10,28,384,217,543,7989,5199,11344,0.437168028006,0.397016132422,0.49783117561
2020-05-19,0,54,,,,,,,18,10,26,370,209,523,8007,5210,11370,0.437234238525,0.397044189012,0.498016912
2020-05-20,0,54,,,,,,,17,9,25,355,200,504,8024,5219,11394,0.437323403501,0.397066933772,0.498171931182
2020-05-21,0,54,,,,,,,16,9,24,341,192,484,8040,5228,11417,0.437442596124,0.397075459727,0.498509804049
2020-05-22,0,54,,,,,,,15,8,22,326,184,465,8055,5237,11439,0.437601127485,0.397094493286,0.498976846887
2020-05-23,0,54,,,,,,,14,8,21,312,176,445,8069,5245,11460,0.437811257738,0.397113028009,0.499470275537
2020-05-24,0,54,,,,,,,13,7,20,298,168,426,8083,5253,11479,0.438089130202,0.397144376072,0.500150849557
2020-05-25,0,54,,,,,,,12,6,19,284,160,406,8095,5259,11497,0.438455994177,0.397181197484,0.501151663432
2020-05-26,0,54,,,,,,,12,6,18,270,152,388,8107,5266,11514,0.438939797921,0.397226900093,0.502501355354
2020-05-27,0,54,,,,,,,12,6,17,257,145,369,8118,5273,11531,0.439577230683,0.397301831575,0.504264663632
2020-05-28,1,55,,,,,,,11,6,17,244,138,352,8130,5279,11547,0.44041623064,0.397360574253,0.506523135839
2020-05-29,0,55,,,,,,,11,6,16,232,131,335,8140,5285,11563,0.441519637393,0.397441097912,0.509689105439
2020-05-30,0,55,,,,,,,10,5,16,221,125,320,8151,5291,11578,0.442969146569,0.397561996997,0.513924144112
2020-05-31,0,55,,,,,,,10,5,15,211,119,305,8161,5297,11593,0.444870267929,0.397750033384,0.51971511319
2020-06-01,0,55,,,,,,,10,5,15,201,113,291,8171,5303,11607,0.447358014346,0.397957079108,0.527135082035
2020-06-02,0,55,,,,,,,10,5,15,192,108,278,8181,5308,11621,0.450602969948,0.398247089614,0.535597317384
2020-06-03,0,55,,,,,,,10,5,14,184,104,266,8191,5314,11635,0.454816931979,0.398647369204,0.545779114422
2020-06-04,0,55,,,,,,,10,5,14,176,99,255,8200,5319,11649,0.460256584707,0.399187614802,0.558363103211
2020-06-05,0,55,,,,,,,10,5,14,170,96,246,8210,5324,11662,0.467222775101,0.399925431229,0.574392842456
2020-06-06,0,55,,,,,,,10,5,14,164,93,237,8220,5330,11676,0.476052003095,0.400993315656,0.595823622455
2020-06-07,0,55,,,,,,,10,5,14,160,90,230,8229,5335,11689,0.487096336373,0.402429471485,0.623266617461
2020-06-08,0,55,,,,,,,10,5,14,156,88,225,8239,5341,11703,0.500689182916,0.404379975596,0.648891016554
2020-06-09,0,55,,,,,,,10,5,14,154,87,220,8249,5347,11717,0.517098229716,0.407257391397,0.686015835422
2020-06-10,0,55,,,,,,,10,5,15,152,86,217,8259,5352,11731,0.536473270589,0.411333537553,0.727514933569
2020-06-11,0,55,,,,,,,10,5,15,151,85,215,8269,5358,11746,0.558802635769,0.416829902998,0.770514847596
2020-06-12,0,55,,,,,,,11,5,16,150,85,214,8280,5364,11761,0.583892432885,0.424469786536,0.825762690587
2020-06-13,0,55,,,,,,,11,6,17,150,85,215,8291,5370,11777,0.611375167983,0.434567525849,0.878836740024
2020-06-14,0,55,,,,,,,11,6,18,151,85,217,8302,5377,11794,0.640742631621,0.448329884201,0.927495551985
2020-06-15,0,55,,,,,,,12,6,19,153,86,220,8314,5383,11812,0.671390176082,0.460792498015,0.969944842265
2020-06-16,0,55,,,,,,,12,6,20,155,87,225,8326,5390,11832,0.702659748176,0.478854303939,1.00621578628
2020-06-17,0,55,,,,,,,13,6,21,158,88,231,8339,5397,11852,0.733874885515,0.505218355425,1.03642421854
