date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,796,441,1102,796,441,1102,796,441,1102,5.45708242783,5,5.8
2020-02-17,,,,,,,,,796,441,1102,1592,882,2204,1592,882,2204,5.45679944619,4.99981106229,5.8000549314
2020-02-18,,,,,,,,,796,441,1102,2387,1323,3306,2387,1323,3306,5.45659786338,4.99966510843,5.80005210663
2020-02-19,,,,,,,,,796,441,1102,3183,1764,4408,3183,1764,4408,5.45626655382,4.99942193786,5.80003613088
2020-02-20,,,,,,,,,796,441,1102,3979,2205,5510,3979,2205,5510,5.45572385989,4.99901913392,5.79999306774
2020-02-21,,,,,,,,,796,441,1102,4775,2646,6612,4775,2646,6612,5.45483661034,4.99835519304,5.79989741909
2020-02-22,,,,,,,,,796,441,1102,5571,3087,7714,5571,3087,7714,5.45338733566,4.99730189548,5.79970074888
2020-02-23,,,,,,,,,796,441,1102,6366,3529,8815,6366,3529,8815,5.45102050799,4.995496626,5.79931297363
2020-02-24,,,,,,,,,796,441,1102,7162,3970,9917,7162,3970,9917,5.44715454605,4.99258854361,5.79856668931
2020-02-25,,,,,,,,,5131,2694,7326,12293,6664,17243,12293,6664,17243,5.43958969047,4.98668297574,5.79643130185
2020-02-26,,,,,,,,,5113,2689,7269,17406,9353,24511,17406,9353,24511,5.42911857309,4.97882414733,5.7937626378
2020-02-27,,,,,,,,,6265,3250,9082,23672,12604,33592,23672,12604,33592,5.41128033551,4.96543840296,5.78824863374
2020-02-28,,,,,,,,,8559,4351,12441,32231,16955,46032,32231,16955,46032,5.38288640189,4.94422398802,5.77860698623
2020-02-29,,,,,,,,,13408,6838,19721,45639,23793,65753,45639,23793,65753,5.33731718573,4.90902462499,5.76117913954
2020-03-01,,,,,,,,,21239,10843,31379,66878,34636,97131,66878,34636,97131,5.26455381752,4.84562192996,5.72950171535
2020-03-02,,,,,,,,,28754,14829,42325,94836,49025,138354,95632,49466,139456,5.14983144081,4.69168920613,5.67198728264
2020-03-03,,,,,,,,,38089,20049,55406,132129,68634,192658,133721,69516,194861,4.97351764219,4.44907245081,5.57099051729
2020-03-04,,,,,,,,,51076,27984,72289,182410,96177,263844,184797,97500,267150,4.71375490294,4.05724170169,5.39323075072
2020-03-05,,,,,,,,,67318,39988,90690,248932,135724,353432,252115,137488,357839,4.3516769027,3.57650946437,5.11072974473
2020-03-06,,,,,,,,,84809,55609,109136,332944,190892,461465,336923,193098,466974,3.88227128075,2.96166812396,4.70562194375
2020-03-07,,,,,,,,,99138,72893,127836,431287,263345,588199,436062,265991,594810,3.32593938644,2.36208276508,4.45535113415
2020-03-08,,,,,,,,,108679,83442,140200,539171,346346,727297,544741,349434,735010,2.73264184703,1.77485012797,4.06087915975
2020-03-09,,,,,,,,,113004,82347,143649,651379,428252,869844,657745,431781,878659,2.17020180631,1.35589333522,3.49772855503
2020-03-10,,,,,,,,,112443,79303,142993,763026,507115,1011735,770189,511085,1021651,1.69632730734,1.09466667813,2.85585455831
2020-03-11,1,1,,,,,,,108338,75923,139508,866233,580344,1143917,878527,587009,1161159,1.33656624695,0.940978045638,2.23011456546
2020-03-12,0,1,,,,,,,102219,72348,136682,963339,650004,1273329,980745,659357,1297840,1.08521309657,0.839952349423,1.73595018159
2020-03-13,1,2,,,,,,,95456,68228,128228,1052529,714982,1392475,1076201,727586,1426067,0.919952450343,0.768663033517,1.33459889263
2020-03-14,2,4,,,,,,,88738,63997,117583,1132709,774628,1497618,1164939,791583,1543650,0.815562305775,0.706750398207,1.07542726486
2020-03-15,5,9,,,,,,,82215,60017,108713,1201516,827807,1586610,1247155,851601,1652363,0.751109996398,0.663786808677,0.895779076336
2020-03-16,9,18,,,,,,,75935,56474,100946,1256212,873439,1656177,1323090,908076,1753308,0.711710065577,0.638610671853,0.7958589883
2020-03-17,11,29,,,,,,,69961,53239,91603,1297418,911849,1705455,1393050,961315,1844910,0.687656431092,0.61184437934,0.761006205875
2020-03-18,25,54,,,,,,,64381,50164,82704,1323711,941963,1732752,1457431,1011480,1927613,0.672921995449,0.591588244578,0.746447033952
2020-03-19,26,80,,,,,,,59248,47211,74754,1331883,961191,1735217,1516680,1058691,2002366,0.663864544876,0.579458798683,0.736060303007
2020-03-20,50,130,,,,,,,54548,44432,68204,1319113,965635,1712731,1571227,1103124,2070570,0.658315767,0.571345011594,0.731121949518
2020-03-21,50,180,,,,,,,50238,41847,61340,1284542,951873,1664935,1621465,1144971,2131909,0.654997246056,0.567488797398,0.728111920935
2020-03-22,53,233,,,,,,,46280,39445,56048,1231683,918425,1593147,1667745,1184417,2187957,0.653162807196,0.565561056813,0.726931151397
2020-03-23,95,328,,,,,,,42652,37100,50957,1165656,872084,1503904,1710397,1221518,2238913,0.652383277618,0.565203867948,0.726842475955
2020-03-24,107,435,,,,,,,39338,34250,47322,1091990,823986,1407577,1749735,1255768,2286235,0.652417733541,0.565153439621,0.727995710679
2020-03-25,142,577,,,,,,,36322,30966,44389,1015869,775649,1308972,1786057,1286734,2330623,0.65313624884,0.565744953535,0.730006011526
2020-03-26,231,808,,,,,,,33579,28968,41106,941110,728693,1210571,1819636,1315703,2371729,0.65447315939,0.566587011696,0.732628404614
2020-03-27,258,1066,,,,,,,31085,26079,37756,869976,682424,1111645,1850722,1341782,2409484,0.656398169346,0.568186253117,0.735767158575
2020-03-28,324,1390,,,,,,,28818,24205,35488,803339,638401,1018905,1879540,1365987,2444971,0.658897507714,0.569201002517,0.739460392967
2020-03-29,354,1744,,,,,,,26760,21837,33652,741361,596241,934973,1906301,1387825,2478623,0.661960724162,0.570899589166,0.743742836725
2020-03-30,413,2157,,,,,,,24894,19729,31662,684040,555954,857922,1931195,1407555,2510284,0.665570878591,0.573102796435,0.748577477852
2020-03-31,469,2626,,,,,,,23203,17856,30310,631308,517336,787286,1954398,1425412,2540593,0.66969724259,0.575623235957,0.753907137552
2020-04-01,548,3174,,,,,,,21670,16192,28880,583018,480289,724563,1976068,1441605,2569473,0.674290401641,0.578823965641,0.759594442102
2020-04-02,663,3837,,,,,,,20280,14714,26824,538916,444839,668683,1996347,1456319,2596296,0.679279972038,0.582634881358,0.765584479711
2020-04-03,663,4500,,,,,,,19016,13398,25452,498684,411026,619381,2015364,1469718,2621747,0.684575199036,0.586741184688,0.771736256518
2020-04-04,696,5196,,,,,,,17867,12225,24309,462004,378819,575487,2033231,1481943,2646056,0.690068499739,0.591229801617,0.777909081233
2020-04-05,755,5951,,,,,,,16820,11177,23264,428586,348149,537411,2050051,1493121,2669320,0.695641611176,0.596339900495,0.783963370236
2020-04-06,798,6749,,,,,,,15862,10240,22288,398168,318944,503652,2065913,1503362,2691608,0.701173526186,0.600994001206,0.789771054996
2020-04-07,814,7563,,,,,,,14984,9401,21409,370500,291245,474104,2080897,1512763,2713016,0.706549016098,0.605844576581,0.795224286882
2020-04-08,768,8331,,,,,,,14176,8647,20582,345337,265642,447363,2095072,1521410,2733598,0.711666415104,0.610783500813,0.800241203765
2020-04-09,753,9084,,,,,,,13430,8059,19819,322445,242735,422793,2108502,1529470,2753416,0.716443537269,0.616449528985,0.804768253035
2020-04-10,719,9803,,,,,,,12739,7412,19081,301605,221179,400767,2121242,1536882,2772496,0.720821048062,0.621240690525,0.808779302046
2020-04-11,714,10517,,,,,,,12097,6828,18383,282617,201928,381395,2133339,1543710,2790879,0.724763165475,0.625769181546,0.812272300778
2020-04-12,748,11265,,,,,,,11499,6299,17718,265298,184022,363625,2144838,1550010,2808596,0.72825605295,0.630004742034,0.815280560953
2020-04-13,756,12021,,,,,,,10940,5820,17091,249477,168004,347064,2155778,1555830,2825686,0.731304573828,0.633624027195,0.817809588394
2020-04-14,654,12675,,,,,,,10416,5472,16489,234999,153747,331892,2166193,1561302,2842175,0.733928173649,0.63702340357,0.819909138401
2020-04-15,561,13236,,,,,,,9923,5070,15916,221719,140961,317497,2176117,1566373,2858090,0.736156579573,0.640020648929,0.821624149296
2020-04-16,549,13785,,,,,,,9460,4731,15365,209508,129499,303983,2185576,1571104,2873455,0.738025828121,0.64251249308,0.823000846056
2020-04-17,476,14261,,,,,,,9022,4418,14836,198251,119202,291995,2194599,1575522,2888291,0.739574925804,0.644829848739,0.824084282567
2020-04-18,506,14767,,,,,,,8610,4127,14327,187844,109931,280870,2203208,1579649,2902617,0.740843264188,0.646484871777,0.824916717323
2020-04-19,491,15258,,,,,,,8219,3850,13836,178196,101556,270397,2211427,1583500,2916453,0.741868777382,0.647717065754,0.82553666746
2020-04-20,459,15717,,,,,,,7849,3601,13363,169225,93979,260495,2219276,1587101,2929815,0.742686750031,0.648654937086,0.825978475361
2020-04-21,417,16134,,,,,,,7498,3355,12913,160861,87094,251120,2226774,1590456,2942728,0.743329148677,0.649735567904,0.826272236782
2020-04-22,393,16527,,,,,,,7165,3130,12449,153042,80822,242160,2233938,1593586,2955176,0.743824345042,0.650624080486,0.826443965669
2020-04-23,411,16938,,,,,,,6848,2914,12012,145714,75090,233590,2240787,1596501,2967187,0.744197113306,0.651407814494,0.826515899769
2020-04-24,373,17311,,,,,,,6547,2717,11599,138831,69748,225370,2247334,1599218,2978785,0.7444696689,0.651947340818,0.826506877662
2020-04-25,317,17628,,,,,,,6262,2533,11220,132354,64869,217509,2253596,1601751,2990005,0.74479762631,0.652325691968,0.827743430731
2020-04-26,300,17928,,,,,,,5992,2360,10823,126249,60402,209949,2259588,1604112,3000827,0.745349963317,0.653003740868,0.827318748601
2020-04-27,318,18246,,,,,,,5732,2205,10456,120482,56308,202687,2265320,1606318,3011283,0.745379569186,0.653276107444,0.826906324437
2020-04-28,258,18504,,,,,,,5484,2057,10099,115027,52545,195696,2270804,1608376,3021381,0.745406820909,0.653489831,0.826884641104
2020-04-29,275,18779,,,,,,,5249,1934,9755,109860,49007,188961,2276053,1610310,3031135,0.74553576519,0.653809997381,0.82651635187
2020-04-30,255,19034,,,,,,,5023,1806,9423,104960,45744,182468,2281077,1612117,3040558,0.745465861476,0.653906651248,0.82614795477
2020-05-01,247,19281,,,,,,,4808,1706,9095,100308,42719,176198,2285885,1613823,3049653,0.745365984929,0.653891188381,0.825792414236
2020-05-02,223,19504,,,,,,,4602,1600,8774,95888,39901,170136,2290486,1615424,3058426,0.745200620584,0.6538813903,0.825449719939
2020-05-03,208,19712,,,,,,,4404,1508,8469,91683,37283,164279,2294891,1616933,3066895,0.745020712527,0.653833470944,0.825119997357
2020-05-04,194,19906,,,,,,,4216,1423,8186,87680,34856,158628,2299107,1618356,3075080,0.744848590926,0.653790182357,0.824803438008
2020-05-05,167,20073,,,,,,,4035,1342,7912,83866,32597,153177,2303142,1619698,3082991,0.744684392396,0.653751681981,0.824500293331
2020-05-06,177,20250,,,,,,,3862,1264,7652,80230,30507,147916,2307004,1620963,3090643,0.744527948498,0.653718211461,0.82421094155
2020-05-07,160,20410,,,,,,,3696,1192,7404,76762,28569,142870,2310700,1622155,3098046,0.744379142521,0.653690120097,0.823935902906
2020-05-08,153,20563,,,,,,,3537,1124,7147,73451,26779,138006,2314237,1623280,3105193,0.744237911901,0.653667878701,0.8236759064
2020-05-09,109,20672,,,,,,,3384,1057,6907,70288,25119,133314,2317621,1624338,3112099,0.74410425797,0.653652109443,0.82343190927
2020-05-10,116,20788,,,,,,,3238,998,6673,67263,23584,128768,2320859,1625336,3118772,0.743978252897,0.653643613542,0.823205135409
2020-05-11,118,20906,,,,,,,3097,937,6447,64368,22161,124392,2323956,1626274,3125219,0.743860052161,0.653643405392,0.8229442084
2020-05-12,102,21008,,,,,,,2961,879,6223,61597,20835,120159,2326917,1627153,3131441,0.743749912496,0.653652757053,0.822683088974
2020-05-13,90,21098,,,,,,,2831,824,6007,58944,19602,116067,2329748,1627978,3137448,0.743648212557,0.653673251712,0.822431108479
2020-05-14,87,21185,,,,,,,2706,772,5789,56401,18440,112102,2332454,1628750,3143236,0.743555478622,0.653706849857,0.822242644162
2020-05-15,98,21283,,,,,,,2585,720,5583,53963,17354,108261,2335040,1629471,3148819,0.743472415804,0.653755969247,0.822068039146
2020-05-16,101,21384,,,,,,,2469,675,5382,51624,16323,104548,2337508,1630147,3154200,0.743399947256,0.653753335418,0.821898319181
2020-05-17,87,21471,,,,,,,2357,628,5186,49379,15351,100960,2339865,1630775,3159386,0.743339263668,0.653757730453,0.821740464706
2020-05-18,66,21537,,,,,,,2249,586,4997,47223,14428,97488,2342114,1631362,3164383,0.743291884975,0.65387432462,0.821598434712
2020-05-19,63,21600,,,,,,,2144,548,4808,45151,13554,94110,2344258,1631910,3169190,0.743259737244,0.65399630742,0.821470628979
2020-05-20,87,21687,,,,,,,2043,509,4620,43160,12721,90819,2346301,1632420,3173810,0.743245248411,0.65426097336,0.821360561289
2020-05-21,52,21739,,,,,,,1946,472,4456,41243,11929,87624,2348247,1632892,3178266,0.743251467647,0.654303974241,0.821270511599
2020-05-22,76,21815,,,,,,,1852,436,4273,39399,11173,84493,2350099,1633329,3182538,0.743282214333,0.654300349016,0.821115622317
2020-05-23,63,21878,,,,,,,1761,403,4107,37623,10452,81452,2351860,1633732,3186644,0.743342263823,0.654301234363,0.820964742867
2020-05-24,53,21931,,,,,,,1672,370,3945,35911,9764,78490,2353532,1634102,3190589,0.743437578825,0.654307535784,0.820857204681
2020-05-25,54,21985,,,,,,,1588,343,3788,34261,9110,75604,2355120,1634446,3194376,0.743575597189,0.654320443957,0.821020798917
2020-05-26,42,22027,,,,,,,1514,320,3644,32678,8493,72801,2356634,1634767,3198020,0.743765588026,0.65440200571,0.821259222304
2020-05-27,52,22079,,,,,,,1442,298,3506,31159,7911,70084,2358077,1635065,3201525,0.7440190366,0.654408565652,0.82148636646
2020-05-28,42,22121,,,,,,,1374,277,3373,29702,7364,67450,2359450,1635342,3204897,0.744350054708,0.654422832936,0.821643449664
2020-05-29,52,22173,,,,,,,1308,258,3245,28304,6849,64906,2360758,1635600,3208142,0.744776472721,0.654365483545,0.82177110241
2020-05-30,58,22231,,,,,,,1246,240,3121,26964,6369,62444,2362004,1635840,3211262,0.74532042091,0.654666697681,0.822203964206
2020-05-31,43,22274,,,,,,,1188,225,3003,25683,5918,60065,2363191,1636066,3214265,0.746009280529,0.654890751677,0.822755628959
2020-06-01,39,22313,,,,,,,1133,210,2892,24459,5501,57770,2364324,1636277,3217156,0.746876815818,0.655843365198,0.824130660734
2020-06-02,44,22357,,,,,,,1081,195,2786,23292,5110,55559,2365406,1636472,3219942,0.747964488418,0.656478763395,0.826515971143
2020-06-03,46,22403,,,,,,,1033,180,2687,22180,4742,53439,2366438,1636653,3222628,0.74932292694,0.657162368586,0.828183570188
2020-06-04,38,22441,,,,,,,987,167,2593,21124,4400,51411,2367425,1636820,3225221,0.751013385659,0.658856018098,0.829118461777
2020-06-05,30,22471,,,,,,,944,158,2503,20121,4086,49458,2368369,1636979,3227723,0.7531090236,0.660591401789,0.831155379357
2020-06-06,38,22509,,,,,,,904,150,2418,19174,3800,47603,2369273,1637130,3230141,0.755695667732,0.662403142341,0.83664371713
2020-06-07,29,22538,,,,,,,866,140,2338,18279,3538,45834,2370139,1637270,3232478,0.758871479049,0.664944353094,0.842579104726
2020-06-08,45,22583,,,,,,,832,132,2261,17439,3300,44151,2370971,1637403,3234739,0.762744711354,0.6677617111,0.848025617103
2020-06-09,35,22618,,,,,,,800,124,2204,16651,3081,42567,2371771,1637527,3236943,0.767428520431,0.670943460178,0.859964816269
2020-06-10,38,22656,,,,,,,771,117,2148,15908,2878,41071,2372542,1637645,3239090,0.773031852191,0.674818477984,0.873158078537
2020-06-11,26,22682,,,,,,,744,111,2090,15209,2692,39655,2373286,1637757,3241179,0.779646080513,0.679183420252,0.890214558277
2020-06-12,26,22708,,,,,,,720,106,2066,14556,2521,38348,2374006,1637863,3243245,0.787328588063,0.68449575381,0.90730112754
2020-06-13,14,22722,,,,,,,699,101,2064,13947,2364,37167,2374705,1637964,3245308,0.796086776028,0.691036855245,0.930548089002
2020-06-14,24,22746,,,,,,,680,96,2063,13382,2221,36109,2375385,1638061,3247371,0.805868008608,0.698269211235,0.951540285195
2020-06-15,20,22766,,,,,,,664,93,2062,12858,2089,35169,2376049,1638155,3249433,0.816560851437,0.706730222341,0.977206965047
2020-06-16,23,22789,,,,,,,649,90,2053,12374,1969,34330,2376699,1638246,3251485,0.828009248801,0.715634032581,1.00739401252
2020-06-17,22,22811,,,,,,,637,88,2055,11930,1862,33599,2377336,1638334,3253540,0.840035208358,0.724842754703,1.03520308513
2020-06-18,17,22828,,,,,,,627,86,2098,11525,1767,33009,2377963,1638420,3255637,0.852461172774,0.73001572611,1.05678401999
2020-06-19,17,22845,,,,,,,619,84,2147,11158,1683,32563,2378583,1638504,3257783,0.865124090638,0.736552264121,1.07670688831
2020-06-20,19,22864,,,,,,,613,83,2201,10827,1608,32261,2379196,1638588,3259984,0.877878424395,0.745673217609,1.09601523031
2020-06-21,28,22892,,,,,,,608,82,2260,10531,1540,32103,2379804,1638670,3262244,0.89059049178,0.755023649455,1.11249876174
2020-06-22,26,22918,,,,,,,605,82,2324,10270,1481,32089,2380409,1638752,3264567,0.903128467752,0.766531816558,1.12501905156
2020-06-23,28,22946,,,,,,,603,82,2392,10042,1431,32219,2381013,1638834,3266958,0.915352112853,0.77853986674,1.1339789897
2020-06-24,24,22970,,,,,,,603,82,2451,9845,1389,32466,2381616,1638917,3269409,0.927106433383,0.792434061524,1.14145419609
2020-06-25,16,22986,,,,,,,604,82,2440,9678,1353,32758,2382219,1638999,3271848,0.938223921944,0.796885089093,1.14686853091
2020-06-26,14,23000,,,,,,,606,83,2508,9539,1325,33177,2382825,1639083,3274356,0.948538050502,0.798030609544,1.15096318303
2020-06-27,11,23011,,,,,,,608,85,2505,9427,1305,33616,2383433,1639168,3276860,0.957905289781,0.800372798756,1.1546789291
2020-06-28,5,23016,,,,,,,612,87,2584,9340,1291,34136,2384045,1639256,3279443,0.966227467718,0.801388716561,1.15703635093
2020-06-29,12,23028,,,,,,,616,90,2645,9276,1285,34718,2384661,1639347,3282088,0.973465414032,0.802407335776,1.15904327312
2020-06-30,68,23096,,,,,,,621,94,2663,9233,1286,35318,2385282,1639441,3284751,0.979639407954,0.804451326985,1.16188494705
2020-07-01,8,23104,,,,,,,627,94,2684,9211,1290,35949,2385909,1639536,3287434,0.98481823965,0.806048096732,1.16408091517
2020-07-02,19,23123,,,,,,,633,96,2815,9207,1298,36708,2386543,1639632,3290248,0.989102495843,0.806924059791,1.16649820606
2020-07-03,17,23140,,,,,,,640,99,2904,9220,1311,37515,2387183,1639731,3293151,0.99260775371,0.807586068471,1.16817021701
2020-07-04,19,23159,,,,,,,648,103,3086,9249,1330,38453,2387831,1639834,3296236,0.995451203623,0.808046790742,1.16918155762
2020-07-05,31,23190,,,,,,,656,104,3078,9291,1351,39331,2388487,1639939,3299314,0.997742816629,0.808777946069,1.1694281483
2020-07-06,11,23201,,,,,,,665,107,3065,9348,1376,40135,2389152,1640047,3302379,0.999598082041,0.809086859781,1.1693854339
2020-07-07,17,23218,,,,,,,674,111,3160,9416,1405,40971,2389825,1640158,3305538,1.00101119601,0.809350564372,1.16960034612
2020-07-08,6,23224,,,,,,,683,111,3168,9496,1435,41748,2390508,1640270,3308706,1.00212222175,0.809329719864,1.17242199343
2020-07-09,23,23247,,,,,,,693,108,3274,9586,1461,42571,2391201,1640378,3311979,1.00298432754,0.809322700838,1.1742096731
2020-07-10,20,23267,,,,,,,703,106,3381,9685,1485,43512,2391905,1640485,3315359,1.00363919386,0.809302541486,1.1750477839
2020-07-11,11,23278,,,,,,,714,105,3490,9794,1506,44494,2392619,1640590,3318849,1.004138467,0.809283119496,1.17648673218
2020-07-12,5,23283,,,,,,,726,103,3604,9911,1524,45593,2393345,1640693,3322452,1.00443889322,0.809264331279,1.17763801817
2020-07-13,40,23323,,,,,,,737,101,3720,10037,1538,46729,2394082,1640795,3326172,1.00459924498,0.809241906715,1.17859902579
2020-07-14,13,23336,,,,,,,749,99,3840,10170,1547,47924,2394831,1640895,3330012,1.00462343857,0.809224828179,1.17929925473
2020-07-15,17,23353,,,,,,,762,98,3963,10310,1551,49224,2395593,1640993,3333974,1.00450789984,0.809208361118,1.18003178132
2020-07-16,18,23371,,,,,,,774,96,4089,10457,1553,50630,2396367,1641089,3338063,1.00427758695,0.809192480537,1.18045215281
2020-07-17,6,23377,,,,,,,787,94,4217,10611,1551,52032,2397154,1641184,3342279,1.00375624469,0.809177162455,1.18075837943
2020-07-18,11,23388,,,,,,,800,93,4348,10771,1545,53476,2397954,1641277,3346627,1.00303927957,0.809162383862,1.18132242842
2020-07-19,12,23400,,,,,,,813,91,4480,10935,1534,54871,2398766,1641369,3351107,1.00209330105,0.809148122688,1.17958802378
2020-07-20,11,23411,,,,,,,825,90,4614,11105,1520,56407,2399592,1641459,3355721,1.00088444152,0.809135512181,1.18166813229
2020-07-21,13,23424,,,,,,,838,88,4749,11278,1501,58091,2400430,1641548,3360469,0.999409987613,0.809122119829,1.18107730101
2020-07-22,4,23428,,,,,,,850,87,4883,11454,1477,59813,2401279,1641636,3365351,0.997553150941,0.809109188174,1.180177054
2020-07-23,35,23463,,,,,,,861,86,5004,11632,1452,61649,2402140,1641722,3370354,0.995383825505,0.80909669835,1.17898566868
2020-07-24,2,23465,,,,,,,872,85,5047,11811,1428,63422,2403012,1641807,3375401,0.99291951427,0.809084632259,1.17741326955
2020-07-25,11,23476,,,,,,,882,83,5062,11990,1406,65103,2403895,1641891,3380462,0.99019671259,0.809008122846,1.17534688739
2020-07-26,9,23485,,,,,,,892,82,5138,12168,1383,66750,2404787,1641974,3385599,0.987275881608,0.809004864915,1.17498236874
2020-07-27,15,23500,,,,,,,901,81,5172,12343,1361,68319,2405688,1642055,3390771,0.984166861365,0.809001651507,1.17473013452
2020-07-28,7,23507,,,,,,,910,80,5103,12516,1340,69702,2406597,1642136,3395873,0.980936796455,0.808997915744,1.17442688745
2020-07-29,5,23512,,,,,,,918,79,5001,12684,1320,70862,2407515,1642215,3400874,0.977610573383,0.808994881498,1.17406184027
2020-07-30,13,23525,,,,,,,925,78,4997,12848,1301,71896,2408440,1642294,3405870,0.974199178249,0.808991882589,1.17362197354
2020-07-31,6,23531,,,,,,,932,77,5009,13006,1282,72816,2409373,1642372,3410879,0.970705519918,0.808988789977,1.17309162643
2020-08-01,5,23536,,,,,,,939,76,4904,13158,1264,73503,2410312,1642449,3415782,0.967132950511,0.808985894497,1.17245202157
2020-08-02,5,23541,,,,,,,945,75,4853,13303,1247,74008,2411257,1642525,3420634,0.963493777813,0.808983028659,1.17168073427
2020-08-03,9,23550,,,,,,,951,75,4870,13441,1231,74398,2412208,1642600,3425504,0.959814953287,0.808980191246,1.17075111424
2020-08-04,6,23556,,,,,,,956,74,4792,13572,1215,74576,2413164,1642674,3430296,0.956138290759,0.808881802469,1.16776632071
2020-08-05,7,23563,,,,,,,960,73,4906,13694,1199,74733,2414124,1642748,3435201,0.952514054362,0.808873336419,1.16584648472
2020-08-06,0,23563,,,,,,,964,72,5038,13809,1185,74889,2415088,1642821,3440239,0.948989699378,0.808800735724,1.16143716622
2020-08-07,4,23567,,,,,,,968,72,5019,13916,1170,74904,2416056,1642893,3445258,0.945598228867,0.808855054777,1.15558355945
2020-08-08,8,23575,,,,,,,971,71,4915,14015,1157,74772,2417027,1642964,3450172,0.942350894413,0.808847356038,1.1518561942
