date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,166,86,225,166,86,225,166,86,225,2.37409501692,2,2.8
2020-02-17,,,,,,,,,166,86,225,331,173,450,331,173,450,2.37346771583,1.99974538478,2.79991571999
2020-02-18,,,,,,,,,166,86,225,497,260,675,497,260,675,2.37323140509,1.9996489512,2.79987000367
2020-02-19,,,,,,,,,166,86,225,662,347,900,662,347,900,2.37290476634,1.99952147,2.79979949008
2020-02-20,,,,,,,,,166,86,225,828,434,1125,828,434,1125,2.37245279015,1.99936581604,2.79969073144
2020-02-21,,,,,,,,,166,86,225,993,521,1350,993,521,1350,2.37182675752,1.99915957313,2.79952299181
2020-02-22,,,,,,,,,166,86,225,1159,607,1575,1159,607,1575,2.37095887014,1.99891520818,2.79926430396
2020-02-23,,,,,,,,,166,86,225,1324,694,1800,1324,694,1800,2.36975483046,1.99852345002,2.79886540287
2020-02-24,,,,,,,,,166,86,225,1490,781,2025,1490,781,2025,2.36808366214,1.99792490959,2.79825040576
2020-02-25,,,,,,,,,555,295,776,2044,1076,2801,2044,1076,2801,2.36567149455,1.99708283433,2.7972170166
2020-02-26,,,,,,,,,552,294,771,2596,1371,3572,2596,1371,3572,2.36244132164,1.99615962706,2.79574610599
2020-02-27,,,,,,,,,596,318,840,3192,1689,4411,3192,1689,4411,2.35794145987,1.99469826935,2.79345760528
2020-02-28,,,,,,,,,685,365,982,3877,2055,5393,3877,2055,5393,2.35173338767,1.99275235262,2.78996044874
2020-02-29,,,,,,,,,869,462,1270,4746,2517,6663,4746,2517,6663,2.34318949014,1.99010262059,2.78532592084
2020-03-01,,,,,,,,,1156,615,1708,5902,3133,8370,5902,3133,8370,2.33148757028,1.98649430101,2.77881010666
2020-03-02,,,,,,,,,1390,735,2067,7126,3782,10212,7292,3868,10437,2.31557843622,1.9796544304,2.76765527649
2020-03-03,,,,,,,,,1612,863,2437,8572,4559,12424,8904,4732,12874,2.29418505797,1.96993674571,2.74997006983
2020-03-04,,,,,,,,,1892,997,2903,10299,5469,15101,10796,5730,15776,2.26586113191,1.94830227512,2.72393457539
2020-03-05,,,,,,,,,2240,1169,3485,12373,6552,18360,13035,6899,19260,2.2291039722,1.91449543533,2.68470639589
2020-03-06,,,,,,,,,2666,1372,4179,14874,7837,22314,15702,8271,23439,2.18257386941,1.85112030122,2.62601258402
2020-03-07,,,,,,,,,3103,1655,4826,17812,9405,26914,18805,9926,28264,2.12538503633,1.80210423909,2.54772978792
2020-03-08,,,,,,,,,3538,1888,5384,21184,11207,32072,22343,11815,33647,2.0573792526,1.67644257694,2.49097106582
2020-03-09,,,,,,,,,3986,2165,6024,25005,13285,37871,26329,13980,39671,1.97929181092,1.54376983859,2.43691949473
2020-03-10,,,,,,,,,4450,2441,6827,29290,15640,44473,30780,16422,46498,1.89273089683,1.426190217,2.33361629959
2020-03-11,1,1,,,,,,,4918,2634,7701,33653,17980,51397,35698,19057,54198,1.79998940462,1.31917148505,2.25415283103
2020-03-12,0,1,,,,,,,5358,2919,8446,38459,20605,59072,41055,21976,62643,1.70377069757,1.2420886984,2.13424961801
2020-03-13,0,1,,,,,,,5749,3176,9006,43612,23463,67239,46805,25153,71649,1.60693994004,1.17794308649,2.05361449677
2020-03-14,0,1,,,,,,,6091,3267,9672,49019,26365,75928,52895,28420,81320,1.51237300203,1.13331453936,1.93254636797
2020-03-15,0,1,,,,,,,6384,3489,10083,54533,29392,84740,59279,31910,91403,1.42286007039,1.10529218922,1.82057209185
2020-03-16,0,1,,,,,,,6628,3609,10517,60005,32385,93550,65907,35519,101919,1.34094306787,1.08057667877,1.7074679995
2020-03-17,0,1,,,,,,,6825,3688,11005,65440,35339,102488,72732,39208,112924,1.26863327924,1.05313490682,1.59822284511
2020-03-18,0,1,,,,,,,6975,3764,11273,70804,38239,111323,79707,42972,124197,1.20711581629,1.03388024556,1.49277636737
2020-03-19,1,2,,,,,,,7090,3835,11328,76001,41077,119748,86797,46807,135524,1.15661018516,1.02033715529,1.39374426666
2020-03-20,0,2,,,,,,,7177,3904,11391,80938,43812,127655,93974,50711,146915,1.11646215372,1.00979057136,1.30842247836
2020-03-21,0,2,,,,,,,7244,3960,11540,85516,46400,135016,101218,54672,158454,1.08541221133,0.998993992002,1.23474690104
2020-03-22,3,5,,,,,,,7296,4024,11601,89709,48770,141791,108514,58697,170055,1.06191969609,0.982247453779,1.17977310611
2020-03-23,2,7,,,,,,,7337,4075,11582,93508,50957,147989,115851,62772,181636,1.04443484831,0.967305166511,1.13652931026
2020-03-24,4,11,,,,,,,7368,4128,11490,96890,52921,153455,123219,66901,193125,1.03156928858,0.961042686976,1.09965224437
2020-03-25,2,13,,,,,,,7392,4180,11391,99832,54660,158019,130611,71082,204516,1.02216989307,0.953531392136,1.07324040891
2020-03-26,8,21,,,,,,,7412,4245,11288,102326,56270,161606,138024,75327,215803,1.01532661623,0.948315990868,1.06523064843
2020-03-27,5,26,,,,,,,7429,4315,11183,104398,57667,164343,145453,79643,226986,1.0103457863,0.946351611903,1.05859840739
2020-03-28,0,26,,,,,,,7444,4339,10967,106092,58830,166303,152897,83983,237952,1.00671101314,0.945033924352,1.05499573853
2020-03-29,6,32,,,,,,,7456,4363,10818,107457,59926,167450,160353,88346,248770,1.00404397539,0.943881051395,1.05278904797
2020-03-30,12,44,,,,,,,7467,4409,10690,108540,60846,168058,167819,92756,259460,1.00207044448,0.943184766383,1.05111313095
2020-03-31,10,54,,,,,,,7476,4457,10700,109388,61694,168240,175295,97214,270159,1.00059301741,0.942619091402,1.04965155255
2020-04-01,10,64,,,,,,,7485,4506,10704,110048,62512,167939,182780,101720,280863,0.999470205392,0.942140987985,1.04862410989
2020-04-02,14,78,,,,,,,7493,4542,10706,110565,63291,167372,190273,106263,291568,0.998600848237,0.940445292538,1.04788428884
2020-04-03,11,89,,,,,,,7500,4580,10632,110975,64035,166677,197773,110843,302200,0.997912709413,0.939925060502,1.04765795604
2020-04-04,4,93,,,,,,,7507,4639,10535,111305,64771,165820,205279,115483,312734,0.997354226529,0.939464528079,1.04717455424
2020-04-05,39,132,,,,,,,7513,4686,10519,111574,65496,164800,212792,120169,323253,0.996888586363,0.939047934499,1.04685224707
2020-04-06,15,147,,,,,,,7518,4750,10454,111796,66221,163652,220310,124919,333706,0.996489488167,0.938663999895,1.04659379829
2020-04-07,22,169,,,,,,,7524,4811,10371,111983,66957,162441,227834,129730,344077,0.996138122953,0.938304621029,1.04624798684
2020-04-08,29,198,,,,,,,7528,4872,10317,112143,67700,161269,235362,134602,354393,0.995821023678,0.93953006404,1.04610219049
2020-04-09,25,223,,,,,,,7533,4933,10242,112284,68453,160120,242895,139536,364635,0.995528536234,0.939227257582,1.04587529816
2020-04-10,19,242,,,,,,,7537,4985,10109,112408,69194,158940,250432,144521,374743,0.995253731357,0.938930150297,1.04565836658
2020-04-11,2,244,,,,,,,7541,5020,9994,112520,69898,157751,257973,149542,384736,0.994991619832,0.938636882558,1.04546072311
2020-04-12,25,269,,,,,,,7544,5037,10058,112620,70595,156842,265517,154579,394794,0.994738206941,0.938347491062,1.04516224326
2020-04-13,53,322,,,,,,,7547,5042,10003,112712,71274,156027,273064,159621,404797,0.994493706676,0.938061909265,1.04497469313
2020-04-14,38,360,,,,,,,7550,5050,9932,112795,71915,155270,280614,164671,414729,0.99425485548,0.937781337553,1.04477151225
2020-04-15,45,405,,,,,,,7552,5075,9918,112871,72532,154488,288167,169747,424647,0.994017924467,0.937504098505,1.04457370064
2020-04-16,52,457,,,,,,,7554,5087,9904,112941,73114,153687,295721,174834,434550,0.993787876516,0.937230386335,1.04439752113
2020-04-17,40,497,,,,,,,7556,5098,9928,113004,73670,152909,303277,179933,444477,0.99356156427,0.936960484588,1.04422971915
2020-04-18,79,576,,,,,,,7557,5090,9951,113061,74181,152228,310834,185024,454427,0.993338865964,0.936694800424,1.04405887962
2020-04-19,24,600,,,,,,,7558,5037,9941,113113,74578,151634,318392,190061,464367,0.993119592295,0.936418084931,1.04389711111
2020-04-20,19,619,,,,,,,7559,5026,9883,113159,74919,150997,325950,195088,474250,0.992903765737,0.936124115744,1.04371760471
2020-04-21,44,663,,,,,,,7559,4990,9894,113199,75159,150437,333509,200078,484143,0.992692355958,0.935834562202,1.04352994967
2020-04-22,69,732,,,,,,,7559,4966,9952,113235,75314,150018,341068,205044,494095,0.992486482655,0.935548152521,1.04335361186
2020-04-23,65,797,,,,,,,7559,4906,10000,113265,75348,149701,348627,209951,504094,0.99228755414,0.935264969383,1.04317804014
2020-04-24,53,850,,,,,,,7558,4852,10085,113290,75267,149544,356185,214803,514178,0.992097680021,0.934983767572,1.0430042791
2020-04-25,45,895,,,,,,,7557,4792,10170,113310,75073,149605,363743,219595,524348,0.991919592948,0.934706244118,1.04283377888
2020-04-26,21,916,,,,,,,7556,4738,10212,113326,74792,149824,371299,224334,534560,0.991756833763,0.934432598483,1.04266855487
2020-04-27,28,944,,,,,,,7555,4705,10198,113337,74460,149964,378854,229040,544757,0.991613990799,0.934163117022,1.04250946427
2020-04-28,58,1002,,,,,,,7554,4657,10187,113343,74076,150148,386408,233698,554944,0.991497007938,0.933898209558,1.04235997918
2020-04-29,54,1056,,,,,,,7552,4641,10165,113346,73668,150380,393960,238340,565108,0.99141357938,0.933621673507,1.04222581296
2020-04-30,55,1111,,,,,,,7551,4607,10172,113345,73200,150634,401511,242947,575280,0.991373652038,0.933368656314,1.04204834411
2020-05-01,63,1174,,,,,,,7550,4582,10220,113340,72695,150950,409061,247530,585500,0.991390058825,0.933122934595,1.04223701624
2020-05-02,35,1209,,,,,,,7549,4532,10270,113334,72128,151293,416610,252062,595769,0.991479306514,0.932886227625,1.04244876056
2020-05-03,22,1231,,,,,,,7549,4496,10345,113325,71534,151687,424159,256559,606114,0.991662537918,0.932660971704,1.04278040887
2020-05-04,26,1257,,,,,,,7549,4461,10327,113317,70958,152073,431708,261020,616440,0.991966676182,0.932020817588,1.04339229179
2020-05-05,58,1315,,,,,,,7551,4450,10395,113309,70382,152585,439259,265471,626834,0.992425732641,0.931905092394,1.04436436247
2020-05-06,54,1369,,,,,,,7554,4442,10443,113304,69835,153135,446813,269913,637277,0.993082209864,0.931833665932,1.04559152816
2020-05-07,49,1418,,,,,,,7560,4440,10523,113305,69308,153705,454373,274353,647799,0.993988445095,0.931819668873,1.04697529998
2020-05-08,52,1470,,,,,,,7568,4427,10603,113313,68829,154308,461941,278780,658402,0.995207601617,0.931886090224,1.04931212475
2020-05-09,45,1515,,,,,,,7579,4404,10684,113335,68381,154907,469520,283185,669085,0.996813817609,0.936329963359,1.05190513235
2020-05-10,16,1531,,,,,,,7595,4361,10766,113373,67950,155502,477115,287546,679850,0.998890782661,0.937318362646,1.05501718456
2020-05-11,39,1570,,,,,,,7617,4322,10850,113434,67534,156141,484733,291868,690700,1.00152782483,0.937632807405,1.05870601435
2020-05-12,46,1616,,,,,,,7646,4309,10944,113525,67137,156887,492379,296178,701643,1.00481269029,0.938301195136,1.06297776796
2020-05-13,44,1660,,,,,,,7683,4300,11059,113654,66780,157758,500061,300478,712701,1.00882096976,0.939279992769,1.06787826878
2020-05-14,51,1711,,,,,,,7729,4295,11183,113830,66434,158776,507790,304774,723884,1.01360386241,0.940429609999,1.07318661557
2020-05-15,42,1753,,,,,,,7786,4306,11319,114065,66133,159923,515576,309081,735203,1.01917817259,0.94278241929,1.07927199415
2020-05-16,40,1793,,,,,,,7854,4328,11470,114369,65879,161173,523430,313409,746672,1.02552316507,0.945403417741,1.08735069677
2020-05-17,28,1821,,,,,,,7936,4294,11645,114756,65642,162548,531366,317704,758317,1.03258581083,0.948744525031,1.10421130641
2020-05-18,19,1840,,,,,,,8031,4392,11772,115238,65537,163975,539397,322096,770088,1.04028980956,0.953441330428,1.12426711708
2020-05-19,73,1913,,,,,,,8141,4517,11936,115829,65594,165585,547538,326614,782024,1.04854042442,0.959364310532,1.14092978072
2020-05-20,60,1973,,,,,,,8266,4666,12120,116544,65810,167310,555804,331281,794144,1.05722201107,0.967304436067,1.15924421909
2020-05-21,43,2016,,,,,,,8407,4830,12322,117397,66197,169189,564210,336111,806465,1.06619444397,0.978429996612,1.17623578374
2020-05-22,37,2053,,,,,,,8564,4909,12514,118402,66666,171180,572775,341020,818979,1.07529717493,0.992962155657,1.18954928828
2020-05-23,39,2092,,,,,,,8738,4972,12805,119572,67212,173383,581512,345993,831784,1.08436084251,1.01092508095,1.19873070843
2020-05-24,14,2106,,,,,,,8927,5071,13076,120919,67879,175775,590439,351064,844859,1.0932164857,1.02651618096,1.20463125701
2020-05-25,10,2116,,,,,,,9131,5191,13351,122454,68709,178360,599569,356255,858209,1.10169533064,1.02880836292,1.20910605549
2020-05-26,29,2145,,,,,,,9349,5324,13637,124186,69711,181146,608918,361580,871845,1.10962569202,1.02973350549,1.2130846693
2020-05-27,56,2201,,,,,,,9581,5527,13879,126121,70930,184081,618499,367108,885724,1.11684080091,1.03718177556,1.21639467739
2020-05-28,40,2241,,,,,,,9826,5732,14240,128264,72362,187263,628325,372840,899964,1.12320209697,1.04588319461,1.21992166518
2020-05-29,53,2294,,,,,,,10082,5964,14618,130617,74030,190697,638407,378805,914581,1.12862644025,1.0540487753,1.22262345453
2020-05-30,45,2339,,,,,,,10349,6131,14957,133180,75856,194335,648756,384937,929537,1.13310059941,1.06148900328,1.22475170398
2020-05-31,23,2362,,,,,,,10627,6397,15323,135953,77925,198188,659383,391335,944860,1.13667589859,1.06808534408,1.22650251137
2020-06-01,24,2386,,,,,,,10915,6661,15673,138932,80292,202216,670298,397996,960532,1.139448541,1.07378929834,1.22769376526
2020-06-02,62,2448,,,,,,,11212,6925,16030,142113,82825,206474,681510,404922,976562,1.14153623002,1.07861155978,1.22786971057
2020-06-03,41,2489,,,,,,,11519,7159,16406,145491,85466,210944,693029,412081,992968,1.14302979447,1.082606139,1.22838239076
2020-06-04,43,2532,,,,,,,11835,7437,16796,149061,88238,215620,704864,419519,1009763,1.14406207683,1.08585387403,1.22841476955
2020-06-05,37,2569,,,,,,,12161,7732,17181,152815,91139,220478,717025,427251,1026943,1.14472674673,1.08279864192,1.22800891077
2020-06-06,55,2624,,,,,,,12496,7922,17619,156747,94153,225583,729521,435174,1044561,1.14509660824,1.08396416792,1.22823677496
2020-06-07,21,2645,,,,,,,12840,8137,18217,160849,97318,230995,742361,443311,1062778,1.1452272972,1.08480761577,1.22824490835
2020-06-08,11,2656,,,,,,,13192,8444,18939,165115,100691,236858,755554,451756,1081716,1.1450959563,1.08538434906,1.22810714562
2020-06-09,54,2710,,,,,,,13554,8670,19687,169538,104170,243194,769107,460426,1101402,1.1447804539,1.08605662081,1.22811389296
2020-06-10,58,2768,,,,,,,13923,8892,20439,174112,107738,249996,783030,469319,1121841,1.1442463804,1.08392637531,1.22739413273
