date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-23,,,,,,,,,504,269,724,504,269,724,504,269,724,2.3039649117,2,2.8
2020-02-24,,,,,,,,,504,269,724,1009,538,1448,1009,538,1448,2.30187050756,1.99749870457,2.79899330715
2020-02-25,,,,,,,,,504,269,724,1513,807,2172,1513,807,2172,2.30118748192,1.99669376514,2.79856480998
2020-02-26,,,,,,,,,504,269,724,2017,1076,2896,2017,1076,2896,2.30027753398,1.99563594712,2.79795353568
2020-02-27,,,,,,,,,504,269,724,2521,1345,3620,2521,1345,3620,2.2990640515,1.99421877854,2.79701170529
2020-02-28,,,,,,,,,504,269,724,3026,1614,4344,3026,1614,4344,2.29744434575,1.99243319085,2.79566375641
2020-02-29,,,,,,,,,504,269,724,3530,1883,5068,3530,1883,5068,2.29528088125,1.99007207478,2.79371437453
2020-03-01,,,,,,,,,504,269,724,4034,2152,5792,4034,2152,5792,2.29238973771,1.98694219282,2.79080165617
2020-03-02,,,,,,,,,504,269,724,4538,2421,6516,4538,2421,6516,2.28852561467,1.98284329658,2.78654851737
2020-03-03,,,,,,,,,1642,938,2300,6181,3359,8816,6181,3359,8816,2.28208503585,1.97615529857,2.77893036583
2020-03-04,,,,,,,,,1633,933,2287,7813,4292,11103,7813,4292,11103,2.27503793791,1.96969426538,2.76973666436
2020-03-05,,,,,,,,,1751,1007,2456,9564,5300,13558,9564,5300,13558,2.26533990399,1.96117560724,2.75596342885
2020-03-06,,,,,,,,,1993,1154,2792,11558,6454,16350,11558,6454,16350,2.25263393777,1.95077803815,2.73641084232
2020-03-07,,,,,,,,,2495,1441,3493,14053,7896,19843,14053,7896,19843,2.23596099805,1.93782678252,2.70886126594
2020-03-08,,,,,,,,,3272,1883,4636,17325,9779,24478,17325,9779,24478,2.21414888507,1.92169459412,2.6696352163
2020-03-09,,,,,,,,,3879,2259,5529,20699,11770,29283,21203,12039,30007,2.18577147353,1.90074159923,2.62582759716
2020-03-10,,,,,,,,,4425,2599,6291,24620,14101,34850,25628,14639,36298,2.1492376197,1.8734182784,2.57300000679
2020-03-11,,,,,,,,,5088,2988,7175,29204,16820,41300,30716,17627,43472,2.10305232826,1.8307545686,2.52604259456
2020-03-12,,,,,,,,,5876,3479,8201,34575,20031,48777,36592,21107,51673,2.04585913761,1.7681762753,2.488005795
2020-03-13,,,,,,,,,6803,4143,9455,40873,23905,57507,43395,25250,61127,1.97673871581,1.7035445266,2.40669996569
2020-03-14,,,,,,,,,7677,4802,10447,48046,28439,67230,51072,30053,71574,1.89562285647,1.61674129446,2.29550267905
2020-03-15,,,,,,,,,8454,5461,11268,55996,33631,77774,59526,35514,82842,1.80359343151,1.51398867794,2.16577476109
2020-03-16,,,,,,,,,9160,6206,11961,64652,39569,89011,68687,41721,94803,1.70303490921,1.4101275789,2.07209007799
2020-03-17,,,,,,,,,9800,6978,12579,73948,46278,100865,78486,48699,107381,1.59740020922,1.30346218598,1.99759560153
2020-03-18,1,1,,,,,,,10355,7668,13107,82660,53008,111671,88841,56367,120487,1.49073063673,1.1921344249,1.90555453896
2020-03-19,2,3,,,,,,,10773,8237,13517,91800,60312,122901,99613,64605,134004,1.38705839833,1.10232037468,1.83626201582
2020-03-20,1,4,,,,,,,11035,8540,13915,101084,67844,134360,110648,73145,147918,1.28984895454,1.03061421814,1.75169283582
2020-03-21,0,4,,,,,,,11164,8714,14424,110254,75405,145992,121812,81859,162342,1.20163745703,0.967228237186,1.67126929955
2020-03-22,4,8,,,,,,,11184,8663,14798,118944,82626,157297,132996,90523,177139,1.12389856975,0.919896098863,1.57957808705
