date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-01,,,,,,,,,65,33,91,65,33,91,65,33,91,1.3988085234,1.2,1.8
2020-03-02,,,,,,,,,65,33,91,129,66,182,129,66,182,1.39864809826,1.19968364478,1.79851080426
2020-03-03,,,,,,,,,65,33,91,194,99,273,194,99,273,1.39860947608,1.19961020425,1.79818169646
2020-03-04,,,,,,,,,65,33,91,259,132,364,259,132,364,1.39856140837,1.19951974636,1.79778003042
2020-03-05,,,,,,,,,65,33,91,324,165,455,324,165,455,1.39850154605,1.19940834442,1.79728989608
2020-03-06,,,,,,,,,65,33,91,388,198,546,388,198,546,1.39842694593,1.19927117424,1.79669193755
2020-03-07,,,,,,,,,65,33,91,453,231,637,453,231,637,1.39833391836,1.19910231348,1.79596262791
2020-03-08,,,,,,,,,65,33,91,518,264,728,518,264,728,1.39821783536,1.19889840873,1.79507340168
2020-03-09,,,,,,,,,65,33,91,582,297,819,582,297,819,1.3980728893,1.19864514327,1.79398962221
2020-03-10,,,,,,,,,153,85,212,736,382,1031,736,382,1031,1.39772261484,1.19819143296,1.79253409764
2020-03-11,,,,,,,,,153,85,211,888,468,1241,888,468,1241,1.39747508842,1.19779166473,1.7909099257
2020-03-12,,,,,,,,,158,88,218,1047,557,1459,1047,557,1459,1.39714143132,1.19727969664,1.78890738274
2020-03-13,,,,,,,,,170,95,235,1216,652,1693,1216,652,1693,1.39673680592,1.19666861181,1.78648368027
2020-03-14,,,,,,,,,194,109,271,1410,762,1964,1410,762,1964,1.39624104816,1.19592850558,1.78354837414
2020-03-15,,,,,,,,,231,131,324,1641,893,2288,1641,893,2288,1.39562941192,1.19503043937,1.77999426393
2020-03-16,,,,,,,,,259,150,365,1836,1011,2561,1900,1044,2652,1.39486923174,1.19408288053,1.77569197343
2020-03-17,,,,,,,,,282,166,397,2053,1145,2866,2183,1211,3048,1.3939204715,1.19289876865,1.77048993335
2020-03-18,,,,,,,,,308,184,435,2296,1297,3209,2490,1396,3482,1.39274181319,1.19148533993,1.76422193384
2020-03-19,,,,,,,,,337,203,479,2568,1467,3597,2827,1599,3961,1.3912798889,1.18980267802,1.75669362986
2020-03-20,,,,,,,,,373,225,534,2877,1659,4039,3200,1824,4494,1.38946540056,1.18780191626,1.74767977057
2020-03-21,,,,,,,,,410,247,591,3222,1874,4539,3611,2072,5085,1.38721294213,1.18542667647,1.73692807218
2020-03-22,,,,,,,,,447,270,645,3605,2111,5092,4058,2342,5729,1.38441730483,1.18261184086,1.72416142416
2020-03-23,,,,,,,,,485,290,708,4025,2368,5709,4543,2632,6437,1.38095382319,1.17928756475,1.70920261019
2020-03-24,,,,,,,,,525,311,776,4486,2647,6393,5068,2944,7212,1.37667433212,1.17502127387,1.69152283899
2020-03-25,1,1,,,,,,,569,332,856,4901,2894,7037,5637,3277,8068,1.37140459888,1.16974425662,1.67095772595
2020-03-26,0,1,,,,,,,616,356,943,5365,3165,7770,6253,3633,9010,1.36494481454,1.1635514015,1.64723819986
2020-03-27,0,1,,,,,,,663,381,1026,5870,3457,8577,6916,4014,10036,1.35707340604,1.15671385922,1.620163429
2020-03-28,0,1,,,,,,,712,402,1116,6412,3764,9459,7628,4416,11152,1.3475562537,1.14766454127,1.59171131146
2020-03-29,1,2,,,,,,,761,420,1206,6979,4075,10394,8389,4837,12357,1.336161431,1.13795966056,1.58300572423
2020-03-30,0,2,,,,,,,811,437,1293,7559,4381,11362,9200,5275,13649,1.32268064894,1.12757587613,1.56611493695
2020-03-31,2,4,,,,,,,861,458,1376,8161,4689,12374,10062,5734,15025,1.30695730395,1.11501295428,1.55004658155
2020-04-01,1,5,,,,,,,910,476,1454,8789,4999,13431,10972,6210,16478,1.28891762687,1.10142395758,1.52930488372
2020-04-02,1,6,,,,,,,957,493,1534,9439,5308,14530,11929,6704,18012,1.2685989409,1.08715620799,1.50559948111
2020-04-03,4,10,,,,,,,1001,509,1603,10103,5614,15655,12930,7213,19615,1.24616725072,1.07223126897,1.47765666424
2020-04-04,1,11,,,,,,,1041,523,1663,10771,5912,16784,13972,7737,21278,1.22191817157,1.05590162715,1.4475788893
2020-04-05,1,12,,,,,,,1078,538,1710,11439,6203,17903,15049,8275,22987,1.19625984884,1.03584304952,1.41428215254
2020-04-06,0,12,,,,,,,1109,550,1744,12101,6483,19002,16158,8825,24731,1.16968174263,1.00166654309,1.37682023561
2020-04-07,1,13,,,,,,,1135,562,1782,12751,6755,20076,17294,9387,26513,1.14271653173,0.997429446327,1.33344776632
2020-04-08,0,13,,,,,,,1156,572,1820,13382,7015,21121,18450,9960,28332,1.11590234423,0.97415864243,1.30141447609
2020-04-09,3,16,,,,,,,1172,583,1840,13985,7266,22105,19622,10543,30172,1.08975005499,0.952012305933,1.27041933289
2020-04-10,1,17,,,,,,,1182,592,1841,14552,7502,23002,20805,11135,32012,1.0647174312,0.930762427403,1.24063010304
2020-04-11,2,19,,,,,,,1188,599,1835,15076,7720,23811,21993,11734,33846,1.04118989211,0.910002430837,1.21060634761
2020-04-12,7,26,,,,,,,1189,606,1827,15554,7924,24522,23182,12341,35673,1.01946707505,0.889356098655,1.17445039973
2020-04-13,0,26,,,,,,,1187,613,1819,15980,8117,25135,24369,12954,37491,0.999754850079,0.874193607618,1.14446617379
2020-04-14,5,31,,,,,,,1181,618,1798,16350,8297,25640,25550,13572,39288,0.982163150877,0.862032983832,1.11287620079
2020-04-15,5,36,,,,,,,1172,627,1768,16661,8465,26031,26722,14199,41056,0.966710268013,0.84775488272,1.08640965705
2020-04-16,0,36,,,,,,,1161,631,1744,16912,8620,26321,27884,14831,42799,0.953333699467,0.835687240585,1.06354103471
2020-04-17,8,44,,,,,,,1148,633,1714,17103,8760,26501,29032,15464,44512,0.941906452573,0.825786431692,1.04614907608
2020-04-18,9,53,,,,,,,1134,640,1686,17236,8891,26583,30166,16105,46197,0.932256468454,0.814634087074,1.03197202376
2020-04-19,2,55,,,,,,,1119,639,1647,17313,9008,26567,31285,16745,47844,0.924186267986,0.805151416993,1.02315384058
2020-04-20,3,58,,,,,,,1103,639,1609,17339,9109,26465,32388,17384,49452,0.917490261616,0.800879822542,1.01646227382
2020-04-21,0,58,,,,,,,1086,643,1567,17316,9202,26288,33474,18028,51019,0.911968156185,0.798609518579,1.01092008804
2020-04-22,13,71,,,,,,,1070,641,1529,17250,9281,26036,34544,18669,52548,0.907434015103,0.796745594419,1.00616646633
2020-04-23,7,78,,,,,,,1052,635,1503,17146,9344,25718,35596,19304,54050,0.903721379475,0.795063736733,1.00322948117
2020-04-24,6,84,,,,,,,1035,634,1475,17010,9395,25354,36632,19939,55525,0.90068529783,0.790794286974,1.000854088
2020-04-25,9,93,,,,,,,1018,629,1449,16845,9433,24962,37650,20568,56973,0.898202206071,0.782518082164,0.999127979927
2020-04-26,6,99,,,,,,,1001,625,1417,16659,9458,24544,38652,21193,58390,0.89616848672,0.77516552753,0.997595163446
2020-04-27,0,99,,,,,,,985,620,1399,16454,9472,24116,39636,21813,59789,0.894498342203,0.769150796739,0.99645071009
2020-04-28,6,105,,,,,,,968,611,1378,16235,9470,23676,40604,22424,61166,0.893059295854,0.764191806005,0.99566550602
2020-04-29,7,112,,,,,,,952,599,1360,16006,9451,23238,41556,23024,62526,0.891844041806,0.759857496593,0.994976607555
2020-04-30,11,123,,,,,,,936,587,1343,15770,9411,22813,42492,23611,63868,0.890832451664,0.756425556227,0.99452918204
2020-05-01,8,131,,,,,,,920,576,1328,15528,9356,22397,43411,24188,65196,0.889872353821,0.7532292964,0.994050305405
2020-05-02,7,138,,,,,,,904,569,1315,15284,9292,21999,44315,24757,66511,0.889102910187,0.750868917705,0.993771542972
2020-05-03,13,151,,,,,,,889,555,1308,15038,9207,21622,45204,25313,67819,0.888480228421,0.747633042361,0.993480575608
2020-05-04,5,156,,,,,,,874,541,1295,14793,9109,21270,46078,25855,69113,0.888022376602,0.743950761332,0.993153799888
2020-05-05,6,162,,,,,,,859,522,1289,14549,8992,20951,46937,26377,70402,0.887692600818,0.744099180717,0.992776524543
2020-05-06,7,169,,,,,,,845,505,1276,14307,8854,20659,47781,26882,71677,0.887504514252,0.744031753572,0.992442721571
2020-05-07,3,172,,,,,,,831,490,1260,14068,8703,20389,48612,27372,72936,0.887436158341,0.745024085436,0.992164605195
2020-05-08,9,181,,,,,,,817,478,1254,13832,8546,20140,49429,27851,74190,0.887475518943,0.746224694632,0.992085735483
2020-05-09,10,191,,,,,,,803,461,1244,13601,8373,19908,50232,28312,75433,0.887637571756,0.747794545835,0.992084570287
2020-05-10,9,200,,,,,,,790,446,1243,13373,8190,19703,51023,28758,76675,0.887923834321,0.74990896938,0.992073802061
2020-05-11,8,208,,,,,,,778,433,1238,13149,7999,19524,51800,29192,77913,0.888376873906,0.752873843743,0.992061212246
2020-05-12,11,219,,,,,,,766,421,1234,12930,7800,19359,52566,29614,79147,0.889053659564,0.756782243222,0.991988366736
2020-05-13,12,231,,,,,,,754,409,1227,12715,7599,19208,53320,30024,80374,0.890029809881,0.761832670469,0.992296895784
2020-05-14,11,242,,,,,,,743,393,1225,12506,7392,19072,54062,30417,81598,0.89140454623,0.767812261144,0.992734040714
2020-05-15,11,253,,,,,,,732,376,1225,12303,7182,18954,54794,30794,82822,0.8933059428,0.777589289175,0.993225367448
2020-05-16,6,259,,,,,,,722,365,1218,12105,6971,18843,55517,31159,84039,0.895895521586,0.787981908672,0.994280889584
2020-05-17,6,265,,,,,,,713,359,1216,11914,6762,18744,56230,31519,85254,0.899370383989,0.79020547798,0.99575713265
2020-05-18,5,270,,,,,,,705,348,1216,11731,6554,18651,56935,31868,86469,0.903959985952,0.791725610957,0.997699662242
2020-05-19,6,276,,,,,,,698,339,1215,11555,6352,18571,57633,32208,87684,0.90991380656,0.795784997007,1.00186314466
2020-05-20,7,283,,,,,,,693,331,1216,11390,6162,18498,58326,32539,88899,0.917476588381,0.802238455429,1.00904467993
2020-05-21,11,294,,,,,,,690,328,1214,11235,5986,18436,59016,32868,90113,0.926851045582,0.807075698574,1.02043547569
2020-05-22,8,302,,,,,,,688,324,1218,11092,5820,18394,59704,33193,91330,0.938154463557,0.814947820485,1.03950597056
2020-05-23,6,308,,,,,,,688,323,1224,10964,5666,18365,60392,33517,92554,0.951382563223,0.831866180271,1.0626702797
2020-05-24,9,317,,,,,,,691,321,1235,10851,5526,18356,61083,33838,93788,0.966394937405,0.846190379588,1.09724731089
2020-05-25,3,320,,,,,,,696,323,1249,10756,5403,18362,61779,34162,95037,0.982927378073,0.85473298888,1.12709896134
2020-05-26,5,325,,,,,,,703,327,1262,10681,5297,18385,62482,34490,96298,1.00062320795,0.866685092151,1.16143413819
2020-05-27,4,329,,,,,,,712,332,1275,10628,5207,18427,63194,34822,97573,1.01906921764,0.878996639886,1.19177200571
2020-05-28,6,335,,,,,,,724,337,1283,10599,5135,18482,63918,35159,98855,1.03782549888,0.899199277809,1.21572231555
2020-05-29,9,344,,,,,,,738,341,1300,10594,5083,18558,64657,35501,100155,1.0564463239,0.919906786414,1.23342371939
2020-05-30,7,351,,,,,,,754,352,1310,10616,5059,18644,65411,35853,101465,1.07449512142,0.941451081292,1.24688444615
2020-05-31,5,356,,,,,,,773,362,1334,10667,5056,18760,66183,36216,102798,1.09155929907,0.957261071652,1.25646301513
2020-06-01,6,362,,,,,,,793,377,1353,10747,5073,18896,66977,36593,104150,1.10727045372,0.975780772233,1.26340310586
2020-06-02,5,367,,,,,,,816,391,1374,10857,5115,19055,67792,36984,105524,1.1213317363,0.980738958652,1.26821227045
2020-06-03,8,375,,,,,,,840,404,1406,10999,5180,19245,68632,37388,106929,1.13354732674,0.980906987868,1.27187069463
2020-06-04,8,383,,,,,,,865,422,1442,11170,5271,19472,69497,37810,108371,1.14384373098,0.980638376591,1.27457424827
2020-06-05,4,387,,,,,,,892,439,1471,11373,5381,19729,70389,38249,109841,1.1522710261,0.980401579529,1.27625128915
2020-06-06,5,392,,,,,,,920,460,1512,11605,5517,20023,71309,38710,111353,1.15898156275,0.980299917342,1.27767045203
2020-06-07,4,396,,,,,,,950,484,1557,11867,5677,20356,72259,39194,112909,1.16419325942,0.980015678343,1.27848376164
2020-06-08,4,400,,,,,,,981,508,1607,12158,5864,20728,73241,39703,114515,1.16815029536,0.97973237991,1.27888966285
2020-06-09,4,404,,,,,,,1014,530,1645,12476,6071,21124,74255,40233,116160,1.17107283088,0.979449738295,1.27955014291
2020-06-10,6,410,,,,,,,1048,550,1677,12820,6294,21538,75302,40784,117836,1.1731789626,0.979167916816,1.27958732945
2020-06-11,10,420,,,,,,,1083,571,1722,13191,6533,21985,76385,41356,119557,1.17462215127,0.978818006638,1.28000906559
2020-06-12,0,420,,,,,,,1119,598,1780,13586,6794,22482,77504,41954,121336,1.17555188272,0.978507444242,1.27983511196
2020-06-13,11,431,,,,,,,1157,628,1848,14005,7081,23029,78661,42583,123183,1.17604877842,0.978219021345,1.27969552687
