date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-12,,,,,,,,,10,5,14,10,5,14,10,5,14,2.0026272578,1.6,2.4
2020-03-13,,,,,,,,,10,5,14,19,10,28,19,10,28,1.77995482857,1.24052805614,2.3473851379
2020-03-14,,,,,,,,,10,5,14,29,15,42,29,15,42,1.72608963505,1.16868766361,2.32797941634
2020-03-15,,,,,,,,,10,5,14,39,20,56,39,20,56,1.66391748023,1.1,2.30275558856
2020-03-16,,,,,,,,,10,5,14,49,25,70,49,25,70,1.59395128529,0.986995337874,2.26630971953
2020-03-17,,,,,,,,,10,5,14,58,30,84,58,30,84,1.51718297222,0.910390843182,2.21656367736
2020-03-18,,,,,,,,,10,5,14,68,35,98,68,35,98,1.43498983559,0.826094638805,2.14761042469
2020-03-19,,,,,,,,,10,5,14,78,40,112,78,40,112,1.3490161033,0.742806257086,2.07889149903
2020-03-20,,,,,,,,,10,5,14,88,45,126,88,45,126,1.26106599533,0.674364236153,1.99346949781
2020-03-21,,,,,,,,,21,10,35,109,55,161,109,55,161,1.17259076972,0.621030298867,1.91578157907
2020-03-22,,,,,,,,,20,10,34,129,65,194,129,65,194,1.08633341272,0.571774544039,1.81541500693
2020-03-23,,,,,,,,,20,9,33,149,75,227,149,75,227,1.00367226654,0.529202143505,1.68975067117
2020-03-24,,,,,,,,,20,9,34,169,85,261,169,85,261,0.926380854147,0.497654719971,1.56626370524
2020-03-25,,,,,,,,,21,10,37,190,95,298,190,95,298,0.855893994577,0.47232073215,1.39937654487
2020-03-26,,,,,,,,,23,11,42,212,106,339,212,106,339,0.793255909645,0.452602930304,1.28789475079
2020-03-27,,,,,,,,,23,11,43,226,113,367,236,118,381,0.739013663787,0.43804769931,1.16704348319
2020-03-28,,,,,,,,,23,11,42,239,119,395,259,129,423,0.693187502055,0.427412212504,1.05946096282
2020-03-29,,,,,,,,,23,11,41,252,125,422,281,140,464,0.655334483723,0.419943246811,0.97408271201
2020-03-30,,,,,,,,,22,11,40,265,131,447,304,151,503,0.624669072924,0.414470051759,0.906660446046
2020-03-31,,,,,,,,,22,11,39,277,138,471,326,163,541,0.600220100268,0.410042392795,0.849289261646
2020-04-01,,,,,,,,,22,11,38,289,144,495,348,174,579,0.580972264321,0.406981410494,0.811702392543
2020-04-02,,,,,,,,,21,10,37,301,150,517,369,185,615,0.565964048343,0.404814980451,0.788177483325
2020-04-03,,,,,,,,,21,10,35,312,156,537,390,196,649,0.55434446519,0.403209408813,0.763663081366
2020-04-04,,,,,,,,,21,10,34,323,161,557,410,206,683,0.545393608417,0.402095407658,0.748949470905
2020-04-05,1,1,,,,,,,20,10,33,322,161,555,431,217,715,0.538521641088,0.401292639998,0.736678414882
2020-04-06,0,1,,,,,,,20,10,32,321,161,553,450,227,747,0.533256308849,0.400683085295,0.728188702624
2020-04-07,0,1,,,,,,,19,10,31,321,162,551,470,237,777,0.529225643614,0.400267249067,0.721156703325
2020-04-08,0,1,,,,,,,19,10,30,320,162,546,488,247,807,0.526140185458,0.399924505127,0.71543841472
2020-04-09,0,1,,,,,,,19,9,29,317,162,538,507,257,835,0.523776570193,0.3997038513,0.711260436125
2020-04-10,0,1,,,,,,,18,9,28,313,160,525,525,267,863,0.521963401314,0.399521613074,0.708158045739
2020-04-11,0,1,,,,,,,18,9,28,307,159,510,543,277,891,0.520569665121,0.399359625766,0.705789449198
2020-04-12,0,1,,,,,,,18,9,27,302,157,495,561,286,917,0.519495460544,0.399260375921,0.703929685769
2020-04-13,0,1,,,,,,,17,9,27,297,155,480,578,295,944,0.518664739217,0.399164201098,0.702654494302
2020-04-14,0,1,,,,,,,17,9,26,291,152,467,595,304,969,0.518019668417,0.399050328328,0.701605662092
2020-04-15,0,1,,,,,,,17,8,26,286,150,454,611,313,995,0.517516281581,0.398964987193,0.700840078855
2020-04-16,0,1,,,,,,,16,8,25,280,148,441,628,322,1020,0.517121147445,0.39888248993,0.700139820226
2020-04-17,1,2,,,,,,,16,8,25,275,146,430,644,331,1044,0.516808831093,0.39881064451,0.69968011075
2020-04-18,1,3,,,,,,,16,8,25,270,143,419,660,339,1068,0.516559967538,0.39873937639,0.699275213527
2020-04-19,0,3,,,,,,,16,8,24,265,141,409,675,348,1092,0.516359802044,0.398689315172,0.699015991513
