date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-22,,,,,,,,,971,519,1261,971,519,1261,971,519,1261,2.6818929485,2.2,3
2020-02-23,,,,,,,,,971,519,1261,1942,1038,2522,1942,1038,2522,2.68105337221,2.19976516046,2.99991565261
2020-02-24,,,,,,,,,971,519,1261,2913,1557,3783,2913,1557,3783,2.68075614872,2.19968402817,2.99987187196
2020-02-25,,,,,,,,,971,519,1261,3884,2076,5044,3884,2076,5044,2.68035130018,2.19957475656,2.9998039719
2020-02-26,,,,,,,,,971,519,1261,4855,2595,6305,4855,2595,6305,2.67979893564,2.19941488,2.99970009308
2020-02-27,,,,,,,,,971,519,1261,5826,3114,7566,5826,3114,7566,2.67904405977,2.19919119074,2.99954117722
2020-02-28,,,,,,,,,971,519,1261,6797,3633,8827,6797,3633,8827,2.67801077356,2.19891662948,2.99929807902
2020-02-29,,,,,,,,,971,519,1261,7767,4152,10088,7767,4152,10088,2.67659425962,2.1985629795,2.99892623886
2020-03-01,,,,,,,,,971,519,1261,8738,4671,11349,8738,4671,11349,2.67464974904,2.19808116939,2.99837938993
2020-03-02,,,,,,,,,3565,1892,4940,12304,6563,16289,12304,6563,16289,2.67176201023,2.19714529573,2.99731978084
2020-03-03,,,,,,,,,3551,1886,4920,15855,8450,21208,15855,8450,21208,2.66806001397,2.19605986954,2.99598416771
2020-03-04,,,,,,,,,3884,2037,5446,19738,10488,26654,19738,10488,26654,2.66290474334,2.19475285095,2.99386937885
2020-03-05,,,,,,,,,4558,2376,6515,24296,12865,33169,24296,12865,33169,2.65585316724,2.19303293802,2.9906936578
2020-03-06,,,,,,,,,5959,3020,8708,30255,15886,41876,30255,15886,41876,2.6461967298,2.19076486011,2.98601329544
