date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-13,,,,,,,,,56,29,78,56,29,78,56,29,78,1.43324685006,1,1.8
2020-02-14,,,,,,,,,56,29,78,111,58,156,111,58,156,1.43317433687,1.00000325784,1.79998934823
2020-02-15,,,,,,,,,56,29,78,167,87,234,167,87,234,1.43315283311,1.00000452009,1.79998469976
2020-02-16,,,,,,,,,56,29,78,222,116,312,222,116,312,1.43312484854,1.00000627168,1.79997802274
2020-02-17,,,,,,,,,56,29,78,278,145,390,278,145,390,1.4330883957,1.00000866667,1.79996874888
2020-02-18,,,,,,,,,56,29,78,333,174,468,333,174,468,1.43304086679,1.00001192186,1.79995494453
2020-02-19,,,,,,,,,56,29,78,389,203,546,389,203,546,1.43297883698,1.00001684417,1.79993766517
2020-02-20,,,,,,,,,56,29,78,444,232,624,444,232,624,1.43289780481,1.00002331499,1.79991067817
2020-02-21,,,,,,,,,56,29,78,500,261,702,500,261,702,1.43279184954,1.00003152166,1.79987146766
2020-02-22,,,,,,,,,134,72,205,634,333,906,634,333,906,1.43264291974,1.0000344277,1.79979918764
2020-02-23,,,,,,,,,134,72,204,767,406,1109,767,406,1109,1.43245999772,1.00004761735,1.79971819164
2020-02-24,,,,,,,,,139,76,213,906,482,1322,906,482,1322,1.43221872803,1.00006443105,1.79960963197
2020-02-25,,,,,,,,,149,82,235,1055,565,1556,1055,565,1556,1.43190323809,1.00008753453,1.79946089532
2020-02-26,,,,,,,,,172,91,282,1227,656,1838,1227,656,1838,1.43149003679,1.00011894085,1.79925518626
2020-02-27,,,,,,,,,207,109,355,1435,766,2192,1435,766,2192,1.43094834539,1.00016185622,1.79897778404
2020-02-28,,,,,,,,,234,118,412,1614,855,2525,1669,884,2603,1.43023778154,1.00021768956,1.79864117527
2020-02-29,,,,,,,,,256,124,462,1815,951,2909,1926,1009,3065,1.42930579084,1.0002919363,1.79817082512
2020-03-01,,,,,,,,,282,131,523,2041,1053,3354,2207,1140,3588,1.42808489717,1.00039939741,1.79758440395
2020-03-02,,,,,,,,,312,138,597,2297,1162,3873,2519,1278,4185,1.4264882777,1.0005340677,1.79677414966
2020-03-03,,,,,,,,,349,146,690,2590,1280,4485,2867,1425,4874,1.42440549541,1.0007132621,1.7956922195
2020-03-04,,,,,,,,,387,154,789,2921,1405,5195,3255,1579,5663,1.42169864998,1.0009529061,1.79424816427
2020-03-05,,,,,,,,,426,162,891,3292,1538,6008,3680,1741,6553,1.41819940143,1.00133782731,1.79203271925
2020-03-06,,,,,,,,,466,170,1000,3702,1680,6929,4146,1912,7553,1.41370895538,1.00184807976,1.78969476642
2020-03-07,,,,,,,,,510,177,1122,4156,1829,7973,4656,2090,8675,1.4080026933,1.00254169384,1.78645824686
2020-03-08,1,1,,,,,,,558,185,1262,4580,1941,9030,5214,2275,9936,1.4008425299,1.00354599307,1.78231126014
2020-03-09,0,1,,,,,,,609,192,1404,5056,2062,10230,5823,2468,11339,1.39199912717,1.00493234997,1.77690745564
2020-03-10,0,1,,,,,,,662,200,1541,5579,2186,11558,6485,2668,12879,1.38128348956,1.00683367034,1.76918834661
2020-03-11,0,1,,,,,,,715,208,1715,6145,2312,13038,7200,2877,14594,1.36858316785,1.00916026469,1.75901429451
2020-03-12,0,1,,,,,,,770,219,1854,6743,2439,14610,7971,3096,16447,1.35389377111,1.01180569858,1.74571199345
2020-03-13,1,2,,,,,,,827,230,1924,7362,2560,16180,8797,3326,18371,1.33733591766,1.01535772445,1.72850545304
2020-03-14,0,2,,,,,,,883,240,2142,8011,2682,17910,9680,3567,20513,1.31915271655,1.01981369365,1.71363676189
2020-03-15,0,2,,,,,,,939,251,2277,8693,2809,19725,10619,3818,22789,1.2996903243,1.02589566148,1.68537520852
2020-03-16,0,2,,,,,,,993,261,2372,9404,2940,21574,11611,4080,25161,1.27936883992,1.03308140617,1.64965036972
2020-03-17,0,2,,,,,,,1045,272,2480,10138,3074,23457,12657,4353,27641,1.25865101916,1.03914486022,1.60582447347
2020-03-18,0,2,,,,,,,1095,283,2639,10884,3211,25406,13752,4637,30280,1.23801428395,1.04608038829,1.5524874581
2020-03-19,1,3,,,,,,,1143,296,2706,11640,3353,27323,14895,4933,32985,1.21792821227,1.05384606365,1.49043464284
2020-03-20,0,3,,,,,,,1188,308,2836,12402,3500,29268,16083,5242,35821,1.1988349247,1.05087865076,1.42460254469
2020-03-21,1,4,,,,,,,1230,321,2976,13166,3651,31244,17312,5563,38797,1.18112666219,1.04521323373,1.38071386228
2020-03-22,0,4,,,,,,,1269,334,3177,13925,3807,33299,18581,5898,41973,1.16511791271,1.0388399543,1.34282029754
2020-03-23,0,4,,,,,,,1306,344,3326,14673,3967,35363,19887,6243,45299,1.15101738685,1.03411625304,1.29935918365
2020-03-24,2,6,,,,,,,1341,356,3456,15405,4131,37416,21228,6599,48754,1.13891059498,1.0263433964,1.26028553147
2020-03-25,2,8,,,,,,,1375,369,3578,16118,4300,39453,22603,6969,52332,1.12876154161,1.01850840873,1.22609392784
2020-03-26,1,9,,,,,,,1407,383,3666,16810,4475,41404,24010,7352,55997,1.12043401603,1.01294200123,1.1955373347
2020-03-27,4,13,,,,,,,1438,397,3744,17478,4653,43295,25448,7750,59741,1.11372511713,1.0097122097,1.19149368765
2020-03-28,5,18,,,,,,,1469,412,3816,18120,4836,45186,26917,8163,63557,1.10840067376,1.00674728599,1.17857114293
2020-03-29,1,19,,,,,,,1499,429,3881,18736,5024,46925,28416,8592,67437,1.10422448094,1.00462576223,1.17221617962
2020-03-30,4,23,,,,,,,1529,445,3881,19327,5219,48529,29946,9038,71318,1.10097785468,1.00339119505,1.15863243279
2020-03-31,4,27,,,,,,,1559,459,3921,19894,5416,50078,31505,9497,75239,1.09846987942,1.00222055651,1.15612476376
2020-04-01,1,28,,,,,,,1590,475,3960,20438,5619,51558,33095,9973,79198,1.09654065922,1.00138631343,1.1542837991
2020-04-02,8,36,,,,,,,1620,492,3997,20963,5828,52916,34715,10466,83195,1.0950602018,1.00081035676,1.1534167585
2020-04-03,3,39,,,,,,,1650,509,4034,21470,6042,54244,36365,10975,87229,1.09392506486,1.00039056854,1.15279121729
2020-04-04,4,43,,,,,,,1681,527,4071,21963,6261,55479,38046,11503,91299,1.09305419281,1.00007869639,1.15213135568
2020-04-05,1,44,,,,,,,1712,545,4107,22446,6485,56610,39758,12049,95406,1.09238477019,0.999833485032,1.15150387231
2020-04-06,4,48,,,,,,,1744,564,4078,22921,6714,57511,41502,12613,99484,1.09186849826,0.999629386322,1.15100983413
2020-04-07,8,56,,,,,,,1776,576,4109,23390,6946,58294,43278,13189,103592,1.09146844415,0.999536534698,1.15061829845
2020-04-08,7,63,,,,,,,1808,594,4140,23857,7184,58978,45086,13783,107731,1.09115647226,0.999371102122,1.15042744806
2020-04-09,9,72,,,,,,,1841,613,4131,24324,7427,59531,46927,14397,111862,1.09091120161,0.999289775013,1.15017932522
2020-04-10,10,82,,,,,,,1874,633,4153,24791,7677,60018,48801,15030,116015,1.09071640847,0.999202053971,1.15003961274
2020-04-11,1,83,,,,,,,1908,655,4126,25261,7935,60400,50709,15685,120141,1.09055979189,0.999143704377,1.14978111885
2020-04-12,7,90,,,,,,,1943,673,4143,25735,8195,60727,52652,16359,124283,1.09043202717,0.999038029479,1.14972510481
2020-04-13,7,97,,,,,,,1978,688,4153,26213,8455,60999,54629,17047,128436,1.09032604432,0.998973817707,1.14972387319
2020-04-14,5,102,,,,,,,2013,699,4163,26697,8709,61280,56643,17747,132598,1.09023648004,0.998821087721,1.14967864913
2020-04-15,9,111,,,,,,,2049,711,4172,27187,8961,61532,58692,18458,136770,1.09015926249,0.998659136025,1.14963137726
2020-04-16,4,115,,,,,,,2086,723,4182,27684,9208,61753,60779,19182,140951,1.09009129715,0.99846778126,1.14958475478
2020-04-17,8,123,,,,,,,2124,737,4191,28188,9453,61947,62902,19919,145141,1.09003022946,0.998420715372,1.14957118683
2020-04-18,6,129,,,,,,,2162,751,4200,28699,9694,62112,65064,20670,149340,1.08997426537,0.998368614963,1.14956974658
2020-04-19,3,132,,,,,,,2201,767,4214,29219,9933,62255,67265,21437,153554,1.08992203574,0.998305956585,1.14955716533
2020-04-20,4,136,,,,,,,2240,790,4243,29747,10178,62391,69505,22228,157797,1.08987450395,0.998253666939,1.14954395096
2020-04-21,11,147,,,,,,,2280,814,4287,30283,10429,62600,71785,23042,162084,1.08982979083,0.998213746394,1.14953128778
2020-04-22,5,152,,,,,,,2321,836,4332,30829,10689,62823,74107,23879,166415,1.08978928316,0.998151668496,1.14951221345
2020-04-23,13,165,,,,,,,2363,855,4355,31384,10951,63038,76469,24735,170769,1.08975049209,0.998092246483,1.14952147214
2020-04-24,11,176,,,,,,,2405,868,4430,31948,11206,63336,78875,25603,175198,1.08971571646,0.998035544424,1.14950672942
2020-04-25,9,185,,,,,,,2448,880,4475,32522,11453,63658,81323,26484,179672,1.08968127573,0.997980884775,1.14949657567
2020-04-26,7,192,,,,,,,2492,892,4520,33107,11690,64052,83816,27376,184192,1.08964807792,0.997927346235,1.14948120345
