date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,97,52,145,97,52,145,97,52,145,1.88422577608,1.6,2.2
2020-02-20,,,,,,,,,97,52,145,195,104,290,195,104,290,1.88422522992,1.59999969352,2.19999998661
2020-02-21,,,,,,,,,97,52,145,292,156,435,292,156,435,1.88422505615,1.59999959038,2.19999998
2020-02-22,,,,,,,,,97,52,145,389,208,579,389,208,579,1.88422482663,1.59999945963,2.19999997012
2020-02-23,,,,,,,,,97,52,145,487,260,724,487,260,724,1.88422452328,1.59999929141,2.19999995536
2020-02-24,,,,,,,,,97,52,145,584,312,869,584,312,869,1.88422412211,1.5999990706,2.19999993332
2020-02-25,,,,,,,,,97,52,145,681,364,1013,681,364,1013,1.88422359124,1.59999878071,2.19999990039
2020-02-26,,,,,,,,,97,52,145,779,416,1158,779,416,1158,1.8842228883,1.59999840003,2.19999985119
2020-02-27,,,,,,,,,97,52,145,876,468,1303,876,468,1303,1.88422195686,1.59999790003,2.19999977769
2020-02-28,,,,,,,,,278,159,413,1154,627,1716,1154,627,1716,1.88417902912,1.59994680578,2.19996719496
2020-02-29,,,,,,,,,277,159,412,1432,787,2127,1432,787,2127,1.88417217859,1.59994006262,2.19996294322
2020-03-01,,,,,,,,,293,170,439,1725,957,2565,1725,957,2565,1.8841550027,1.5999226944,2.19994968927
2020-03-02,,,,,,,,,326,188,485,2051,1146,3050,2051,1146,3050,1.88413716789,1.59990532232,2.19993633461
2020-03-03,,,,,,,,,394,226,585,2445,1372,3634,2445,1372,3634,1.88411750801,1.59988719202,2.19992183012
2020-03-04,,,,,,,,,501,281,754,2946,1654,4388,2946,1654,4388,1.88409478138,1.5998671011,2.19990509805
2020-03-05,,,,,,,,,586,331,890,3435,1933,5132,3532,1985,5277,1.88406662699,1.59984342985,2.19988392874
2020-03-06,,,,,,,,,663,372,1015,4001,2254,6002,4196,2358,6292,1.8840303715,1.59981418398,2.19985583389
2020-03-07,,,,,,,,,758,422,1172,4661,2624,7029,4953,2780,7463,1.88398641445,1.59978021573,2.19982159462
2020-03-08,,,,,,,,,875,476,1368,5439,3049,8252,5828,3257,8831,1.88393413948,1.59974073523,2.19978137789
2020-03-09,,,,,,,,,1024,541,1619,6366,3538,9725,6852,3798,10449,1.88387117454,1.59969803049,2.19973251363
2020-03-10,,,,,,,,,1187,610,1894,7455,4096,11474,8039,4408,12342,1.88379438844,1.59964554346,2.19967245736
2020-03-11,,,,,,,,,1361,694,2194,8719,4738,13522,9401,5102,14535,1.88369945794,1.5995819637,2.19959733844
2020-03-12,,,,,,,,,1559,786,2536,10181,5473,15913,10960,5889,17071,1.88358219817,1.59950131899,2.1995036611
2020-03-13,,,,,,,,,1789,883,2938,11873,6304,18707,12749,6772,20009,1.88343725618,1.59940498985,2.1993867072
2020-03-14,2,2,,,,,,,2059,998,3413,13653,7143,21707,14808,7771,23422,1.88325703358,1.59929142166,2.19923951209
2020-03-15,0,2,,,,,,,2367,1135,3981,15743,8119,25276,17175,8907,27402,1.88303115264,1.59915346193,2.19907313661
2020-03-16,0,2,,,,,,,2715,1287,4629,18165,9237,29466,19889,10194,32031,1.88274576163,1.59898431989,2.1988388675
2020-03-17,0,2,,,,,,,3110,1457,5386,20949,10506,34367,23000,11652,37417,1.88238287377,1.59877534829,2.19853277137
2020-03-18,0,2,,,,,,,3564,1632,6209,24118,11912,39991,26564,13285,43625,1.88191870365,1.59851536935,2.19813296659
