date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-26,,,,,,,,,107,55,155,107,55,155,107,55,155,1.27481845448,1,1.6
2020-02-27,,,,,,,,,107,55,155,214,110,310,214,110,310,1.27480629026,1,1.59997615544
2020-02-28,,,,,,,,,107,55,155,322,165,465,322,165,465,1.27480343327,1,1.59996948846
2020-02-29,,,,,,,,,107,55,155,429,220,620,429,220,620,1.27479989582,1,1.59996095647
2020-03-01,,,,,,,,,107,55,155,536,275,775,536,275,775,1.27479551325,1,1.59995003752
2020-03-02,,,,,,,,,107,55,155,643,330,930,643,330,930,1.27479008039,1,1.59993606357
2020-03-03,,,,,,,,,107,55,155,750,385,1085,750,385,1085,1.27478334139,1,1.59991817956
2020-03-04,,,,,,,,,107,55,155,857,440,1240,857,440,1240,1.27477497692,1,1.59989529114
2020-03-05,,,,,,,,,107,55,155,965,495,1395,965,495,1395,1.2747645882,1,1.59986599766
2020-03-06,,,,,,,,,241,134,343,1206,629,1738,1206,629,1738,1.27467790672,0.999922142647,1.59977168906
2020-03-07,,,,,,,,,240,133,341,1446,763,2078,1446,763,2078,1.27465262867,0.999912159714,1.59969796071
2020-03-08,,,,,,,,,248,138,350,1694,901,2427,1694,901,2427,1.27461173668,0.999892563871,1.59962140295
2020-03-09,,,,,,,,,263,148,376,1957,1050,2802,1957,1050,2802,1.27456604326,0.999872915204,1.59953001865
2020-03-10,,,,,,,,,296,170,421,2254,1221,3222,2254,1221,3222,1.27451357444,0.999852699796,1.59941935689
2020-03-11,,,,,,,,,348,201,489,2602,1422,3711,2602,1422,3711,1.27445205129,0.99983153032,1.59928407151
2020-03-12,,,,,,,,,386,225,547,2881,1592,4103,2988,1647,4258,1.27437801185,0.999807199033,1.599116852
2020-03-13,,,,,,,,,416,242,595,3190,1780,4543,3404,1890,4853,1.27428741769,0.999780978819,1.59890653077
2020-03-14,,,,,,,,,449,263,650,3532,1988,5037,3853,2153,5502,1.27417837519,0.999753261796,1.59865450454
2020-03-15,,,,,,,,,486,288,713,3910,2221,5594,4339,2441,6214,1.27404779859,0.999722548181,1.59834597907
2020-03-16,,,,,,,,,531,315,791,4334,2482,6230,4870,2757,7005,1.27389062788,0.999693706259,1.59796770968
2020-03-17,,,,,,,,,577,344,871,4804,2772,6946,5447,3102,7876,1.27370046586,0.999655962654,1.5975033029
2020-03-18,,,,,,,,,623,367,951,5320,3084,7742,6070,3469,8827,1.27346891782,0.999620599524,1.59681919541
2020-03-19,,,,,,,,,668,386,1034,5881,3415,8620,6738,3855,9860,1.27318634496,0.999584407928,1.59600052139
2020-03-20,,,,,,,,,717,406,1123,6490,3767,9588,7455,4262,10983,1.27284085661,0.999546757358,1.59496748563
2020-03-21,1,1,,,,,,,770,428,1222,7019,4061,10468,8225,4691,12205,1.27241732827,0.999504302351,1.59368912335
2020-03-22,1,2,,,,,,,826,455,1328,7604,4383,11455,9051,5146,13532,1.27189665061,0.999457898934,1.59203273246
2020-03-23,0,2,,,,,,,884,480,1441,8241,4725,12546,9935,5627,14973,1.2712548468,0.999403645461,1.59020607393
2020-03-24,3,5,,,,,,,944,502,1561,8922,5078,13732,10879,6129,16533,1.27046224002,0.999353699772,1.58806517248
