date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-17,,,,,,,,,357,177,489,357,177,489,357,177,489,1.19891138474,1,1.4
2020-02-18,,,,,,,,,357,177,489,714,354,978,714,354,978,1.19890633413,0.99999859568,1.3999995754
2020-02-19,,,,,,,,,357,177,489,1071,531,1467,1071,531,1467,1.1989049274,0.999998244908,1.39999942131
2020-02-20,,,,,,,,,357,177,489,1428,708,1956,1428,708,1956,1.19890312431,0.999997761052,1.39999921666
2020-02-21,,,,,,,,,357,177,489,1785,885,2445,1785,885,2445,1.19890081168,0.999997162856,1.39999893961
2020-02-22,,,,,,,,,357,177,489,2142,1063,2934,2142,1063,2934,1.19889784352,0.999996415055,1.39999856454
2020-02-23,,,,,,,,,357,177,489,2499,1240,3423,2499,1240,3423,1.19889403136,0.999995375321,1.39999803227
2020-02-24,,,,,,,,,357,177,489,2856,1417,3912,2856,1417,3912,1.19888913167,0.999993925402,1.39999721921
2020-02-25,,,,,,,,,357,177,489,3213,1594,4401,3213,1594,4401,1.19888282945,0.999992041497,1.39999600541
2020-02-26,,,,,,,,,778,427,1063,3992,2021,5464,3992,2021,5464,1.19858202581,0.999658496405,1.39980834228
2020-02-27,,,,,,,,,774,425,1058,4766,2447,6521,4766,2447,6521,1.19853498542,0.99961520476,1.3997799254
2020-02-28,,,,,,,,,795,439,1087,5561,2886,7607,5561,2886,7607,1.19844141547,0.999529122963,1.39971837784
2020-02-29,,,,,,,,,841,470,1151,6403,3357,8758,6403,3357,8758,1.19834433271,0.999443118654,1.39965447635
2020-03-01,,,,,,,,,938,535,1285,7341,3893,10043,7341,3893,10043,1.19823997763,0.999353971481,1.39958858636
2020-03-02,,,,,,,,,1089,637,1495,8430,4530,11537,8430,4530,11537,1.19812426536,0.999260767728,1.39951790492
2020-03-03,,,,,,,,,1200,708,1649,9273,5061,12696,9630,5238,13185,1.1979899184,0.999158425093,1.399429548
2020-03-04,,,,,,,,,1284,767,1766,10200,5651,13973,10914,6005,14951,1.19782880113,0.999039456249,1.3993146929
2020-03-05,,,,,,,,,1374,828,1891,11217,6302,15374,12288,6834,16841,1.19764168037,0.998903649431,1.39918744024
2020-03-06,,,,,,,,,1473,902,2028,12332,7028,16913,13760,7737,18869,1.19742697468,0.998758314974,1.39903241545
2020-03-07,,,,,,,,,1595,1000,2198,13570,7851,18622,15355,8737,21067,1.19717838745,0.998602311937,1.39887432125
2020-03-08,,,,,,,,,1718,1090,2369,14931,8764,20501,17073,9828,23435,1.1968875748,0.998432581606,1.39868306666
2020-03-09,,,,,,,,,1835,1179,2532,16409,9766,22543,18908,11007,25966,1.19654233545,0.998244666799,1.39844118913
2020-03-10,,,,,,,,,1952,1273,2693,18003,10863,24747,20860,12280,28659,1.19612983319,0.998026438975,1.39814387213
2020-03-11,,,,,,,,,2073,1352,2860,19719,12038,27118,22932,13633,31519,1.1956340241,0.997783337533,1.39777684818
2020-03-12,1,1,,,,,,,2202,1437,3042,21143,13049,29097,25135,15071,34560,1.19503324699,0.997498842598,1.39738551679
2020-03-13,1,2,,,,,,,2338,1503,3226,22707,14127,31265,27473,16575,37786,1.19429865845,0.997170015887,1.39685886988
2020-03-14,0,2,,,,,,,2476,1585,3431,24388,15274,33609,29950,18160,41216,1.19339234151,0.996765747124,1.39610077076
2020-03-15,0,2,,,,,,,2616,1666,3624,26163,16470,36082,32566,19827,44840,1.19226568679,0.996304628529,1.39517929983
2020-03-16,0,2,,,,,,,2760,1751,3822,27985,17686,38619,35326,21579,48661,1.19085649282,0.995726496951,1.39405464512
2020-03-17,1,3,,,,,,,2907,1846,4024,29803,18895,41148,38233,23425,52684,1.18908503255,0.995078302025,1.39256724708
2020-03-18,0,3,,,,,,,3059,1921,4238,31663,20108,43737,41292,25347,56922,1.18684992085,0.994248387517,1.39065863505
2020-03-19,2,5,,,,,,,3214,1996,4442,33593,21338,46413,44507,27344,61363,1.18402396339,0.993274608988,1.38811203794
2020-03-20,0,5,,,,,,,3370,2061,4653,35589,22571,49175,47877,29405,66016,1.18045081531,0.992049096742,1.38469135769
2020-03-21,1,6,,,,,,,3527,2145,4862,37643,23814,52010,51403,31551,70878,1.17594336243,0.990755724158,1.3800771199
2020-03-22,1,7,,,,,,,3682,2213,5087,39731,25027,54898,55086,33764,75964,1.17028570563,0.989118127818,1.37421339259
2020-03-23,0,7,,,,,,,3835,2291,5323,41848,26228,57852,58921,36056,81287,1.16324157636,0.98705350378,1.36649552759
