date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-15,,,,,,,,,542,281,742,542,281,742,542,281,742,2.6251653319,2.2,3
2020-02-16,,,,,,,,,542,281,742,1083,562,1484,1083,562,1484,2.62432553926,2.19952628131,2.99977678367
2020-02-17,,,,,,,,,542,281,742,1625,843,2226,1625,843,2226,2.62405293273,2.19938047006,2.999677854
2020-02-18,,,,,,,,,542,281,742,2166,1124,2968,2166,1124,2968,2.62369018637,2.19919505746,2.99953628343
2020-02-19,,,,,,,,,542,281,742,2708,1405,3710,2708,1405,3710,2.62320693628,2.1989448597,2.99933096933
2020-02-20,,,,,,,,,542,281,742,3249,1686,4452,3249,1686,4452,2.62256242209,2.19861747241,2.99903492848
2020-02-21,,,,,,,,,542,281,742,3791,1967,5194,3791,1967,5194,2.62170189378,2.19818484646,2.99860814451
2020-02-22,,,,,,,,,542,281,742,4332,2248,5936,4332,2248,5936,2.6205517867,2.19763301063,2.99799300644
2020-02-23,,,,,,,,,542,281,742,4874,2529,6678,4874,2529,6678,2.61901326359,2.19688412639,2.99711086716
2020-02-24,,,,,,,,,1951,1010,2763,6825,3540,9441,6825,3540,9441,2.61631864323,2.19544351939,2.99536190691
2020-02-25,,,,,,,,,1943,1007,2752,8768,4547,12193,8768,4547,12193,2.61348133725,2.19415419885,2.99346686861
2020-02-26,,,,,,,,,2120,1106,3023,10888,5654,15215,10888,5654,15215,2.6094991226,2.19243609182,2.99081166583
2020-02-27,,,,,,,,,2479,1302,3586,13367,6956,18801,13367,6956,18801,2.60426517818,2.19000720304,2.98709435629
2020-02-28,,,,,,,,,3224,1671,4752,16591,8628,23552,16591,8628,23552,2.59733240939,2.18674972448,2.98165003722
2020-02-29,,,,,,,,,4396,2300,6625,20986,10928,30177,20986,10928,30177,2.58812255121,2.18269322557,2.97387800958
2020-03-01,,,,,,,,,5375,2838,8171,25820,13486,37606,26361,13767,38348,2.57586300548,2.17758274027,2.96324150149
2020-03-02,,,,,,,,,6361,3324,9760,31639,16529,46624,32722,17092,48108,2.55957867843,2.17082411894,2.94760374563
2020-03-03,,,,,,,,,7653,3999,11853,38750,20247,57734,40375,21091,59960,2.53816143219,2.16254355362,2.92658538387
