date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-23,,,,,,,,,38,19,50,38,19,50,38,19,50,1.60977902964,1.6,1.8
2020-02-24,,,,,,,,,38,19,50,76,38,100,76,38,100,1.60977886585,1.59999923492,1.79999989412
2020-02-25,,,,,,,,,38,19,50,113,57,150,113,57,150,1.60977883217,1.59999908145,1.79999986894
2020-02-26,,,,,,,,,38,19,50,151,76,200,151,76,200,1.60977879153,1.59999889654,1.79999983777
2020-02-27,,,,,,,,,38,19,50,189,95,250,189,95,250,1.60977874248,1.59999867249,1.79999979919
2020-02-28,,,,,,,,,38,19,50,227,114,300,227,114,300,1.60977868327,1.59999840294,1.79999975199
2020-02-29,,,,,,,,,38,19,50,265,133,350,265,133,350,1.60977861178,1.59999807867,1.79999969075
2020-03-01,,,,,,,,,38,19,50,303,152,400,303,152,400,1.60977852544,1.59999768855,1.79999961438
2020-03-02,,,,,,,,,38,19,50,340,171,450,340,171,450,1.60977842116,1.59999721922,1.79999951915
2020-03-03,,,,,,,,,99,53,130,439,224,580,439,224,580,1.60977605875,1.59999396148,1.79999777541
2020-03-04,,,,,,,,,98,52,130,537,277,710,537,277,710,1.60977562696,1.59999294131,1.7999974236
2020-03-05,,,,,,,,,103,55,136,640,333,845,640,333,845,1.60977471423,1.59999126473,1.79999666869
2020-03-06,,,,,,,,,112,61,148,752,394,993,752,394,993,1.60977376613,1.59998939123,1.79999587835
2020-03-07,,,,,,,,,131,72,173,883,467,1166,883,467,1166,1.60977273846,1.59998728017,1.79999498941
2020-03-08,,,,,,,,,162,89,213,1045,556,1378,1045,556,1378,1.60977158556,1.59998467191,1.79999397074
2020-03-09,,,,,,,,,185,102,244,1192,639,1571,1229,658,1621,1.60977022091,1.59998169923,1.79999274689
2020-03-10,,,,,,,,,205,113,270,1359,733,1791,1434,771,1891,1.60976855014,1.59997807814,1.79999124142
2020-03-11,,,,,,,,,228,125,300,1549,840,2040,1662,897,2190,1.60976660606,1.59997379446,1.79998946105
2020-03-12,,,,,,,,,256,141,336,1767,962,2326,1918,1038,2526,1.60976439319,1.5999687871,1.79998732136
2020-03-13,,,,,,,,,291,160,382,2020,1103,2657,2209,1198,2907,1.60976186057,1.5999629114,1.7999846533
2020-03-14,,,,,,,,,327,180,430,2309,1265,3036,2536,1379,3336,1.60975894427,1.59995598957,1.79998163881
2020-03-15,,,,,,,,,365,200,479,2637,1446,3464,2902,1579,3814,1.60975555319,1.5999477893,1.79997832555
2020-03-16,,,,,,,,,406,223,532,3005,1651,3946,3308,1803,4346,1.60975162626,1.59993809113,1.79997400618
2020-03-17,,,,,,,,,452,248,591,3419,1880,4487,3760,2051,4937,1.60974709922,1.59992722221,1.79996892369
2020-03-18,2,2,,,,,,,504,276,658,3825,2103,5015,4264,2327,5595,1.60974188104,1.59991386015,1.79996274918
2020-03-19,1,3,,,,,,,561,307,733,4288,2357,5617,4825,2635,6327,1.60973585246,1.59989807713,1.79995561731
2020-03-20,0,3,,,,,,,623,341,813,4809,2643,6295,5448,2976,7139,1.60972886587,1.59987924323,1.79994711077
2020-03-21,2,5,,,,,,,691,378,901,5388,2959,7047,6140,3354,8040,1.6097207568,1.59985666753,1.79993695222
2020-03-22,1,6,,,,,,,766,418,997,6023,3305,7871,6906,3773,9036,1.60971133774,1.59982981253,1.79992477138
2020-03-23,1,7,,,,,,,849,463,1104,6710,3679,8762,7755,4236,10140,1.60970038218,1.59979774736,1.7999100019
2020-03-24,1,8,,,,,,,941,512,1222,7466,4090,9740,8696,4749,11361,1.60968761402,1.59976003405,1.79989222737
2020-03-25,1,9,,,,,,,1041,567,1351,8303,4544,10822,9737,5316,12712,1.60967269848,1.59971509882,1.79987085067
2020-03-26,2,11,,,,,,,1152,626,1493,9227,5045,12014,10889,5943,14204,1.60965523565,1.59966150027,1.79984452647
2020-03-27,1,12,,,,,,,1274,692,1649,10245,5597,13327,12163,6636,15852,1.60963474816,1.59959750657,1.79981270278
2020-03-28,2,14,,,,,,,1408,764,1821,11363,6201,14766,13572,7400,17673,1.60961066131,1.59952103145,1.79977396892
2020-03-29,7,21,,,,,,,1557,843,2010,12592,6865,16346,15128,8244,19682,1.60958227957,1.59942955803,1.799727167
2020-03-30,5,26,,,,,,,1720,931,2218,13947,7595,18085,16848,9175,21899,1.60954876,1.59932004939,1.79967020227
2020-03-31,1,27,,,,,,,1900,1027,2469,15440,8399,20022,18748,10203,24367,1.60950908172,1.59918884345,1.79960076587
2020-04-01,7,34,,,,,,,2098,1133,2715,17086,9284,22146,20846,11336,27082,1.60946200783,1.59903166814,1.79951601079
2020-04-02,6,40,,,,,,,2316,1249,3032,18899,10257,24520,23162,12585,30114,1.60940603682,1.59883663018,1.79941242316
2020-04-03,1,41,,,,,,,2557,1377,3342,20895,11327,27129,25720,13962,33455,1.60933934229,1.59860739807,1.79928566258
2020-04-04,6,47,,,,,,,2822,1518,3687,23094,12504,30003,28542,15480,37141,1.60925969954,1.59833179433,1.79913041391
2020-04-05,6,53,,,,,,,3115,1673,4063,25517,13799,33164,31657,17153,41204,1.60916439612,1.59800028699,1.7989408894
2020-04-06,4,57,,,,,,,3437,1843,4477,28188,15224,36644,35094,18997,45680,1.60905012203,1.59760138403,1.79870854356
2020-04-07,4,61,,,,,,,3792,2030,4939,31131,16791,40479,38886,21028,50619,1.60891283397,1.59712123802,1.79842356844
2020-04-08,4,65,,,,,,,4184,2237,5474,34374,18515,44732,43070,23265,56092,1.6087475879,1.5965431747,1.79807403545
2020-04-09,1,66,,,,,,,4615,2464,6040,37948,20412,49421,47685,25729,62132,1.60854833313,1.595851695,1.79764222986
2020-04-10,20,86,,,,,,,5090,2713,6813,41886,22499,54741,52776,28443,68945,1.60830765942,1.59503019329,1.79710864839
2020-04-11,5,91,,,,,,,5614,2988,7685,46227,24795,60777,58390,31431,76629,1.6080164865,1.59406197161,1.79642653919
2020-04-12,2,93,,,,,,,6191,3290,8666,51009,27321,67622,64581,34722,85294,1.60766368288,1.59286307939,1.79556569225
2020-04-13,3,96,,,,,,,6827,3622,9771,56279,30100,75384,71408,38344,95065,1.60723559854,1.59142084641,1.79449192756
2020-04-14,15,111,,,,,,,7527,3987,11015,62086,33156,84181,78934,42332,106079,1.60671549367,1.58957921729,1.79315473926
2020-04-15,17,128,,,,,,,8297,4389,12413,68483,36518,94125,87231,46721,118492,1.60608284233,1.58748969328,1.79149184574
2020-04-16,7,135,,,,,,,9145,4830,13985,75530,40215,105394,96376,51551,132476,1.60531248704,1.58498588442,1.78941888753
2020-04-17,8,143,,,,,,,10077,5315,15749,83290,44281,118111,106453,56867,148224,1.60437361744,1.58198934108,1.78689685252
2020-04-18,25,168,,,,,,,11102,5847,17727,91835,48751,132495,117555,62714,165950,1.60322854419,1.5784085739,1.78376695496
2020-04-19,8,176,,,,,,,12228,6432,20038,101240,53665,148847,129782,69146,185988,1.60183124001,1.57413770778,1.78041120765
2020-04-20,25,201,,,,,,,13463,7073,22553,111588,59066,167337,143245,76220,208540,1.6001256227,1.56905538268,1.7762673822
2020-04-21,11,212,,,,,,,14816,7776,25368,122967,64999,188228,158061,83996,233908,1.59804356479,1.56302412428,1.77097172101
2020-04-22,25,237,,,,,,,16297,8546,28513,135472,71515,211802,174358,92543,262420,1.59550263221,1.55589048851,1.76395152249
2020-04-23,16,253,,,,,,,17914,9389,32017,149202,78667,238345,192272,101932,294437,1.59240358638,1.54748637278,1.75507891124
2020-04-24,16,269,,,,,,,19677,10310,35605,164264,86513,267910,211949,112243,330041,1.58862773485,1.53763197101,1.74412721609
2020-04-25,12,281,,,,,,,21592,11312,39845,180766,95112,300942,233542,123555,369886,1.58403429345,1.52866888668,1.73180440674
2020-04-26,11,292,,,,,,,23666,12409,44202,198818,104533,337459,257208,135964,414087,1.578458033,1.51560183237,1.71533402776
2020-04-27,20,312,,,,,,,25902,13601,48957,218529,114844,377750,283110,149566,463044,1.57170763222,1.5005311625,1.69739894323
2020-04-28,31,343,,,,,,,28302,14894,53808,240004,126116,421786,311412,164460,516851,1.56356534053,1.48330156741,1.6769566063
2020-04-29,42,385,,,,,,,30860,16293,58991,263338,138421,469763,342272,180754,575842,1.55378875283,1.46380643109,1.65034542603
2020-04-30,32,417,,,,,,,33569,17758,64124,288610,151791,521474,375841,198512,639965,1.5421156682,1.44199273714,1.61700769853
2020-05-01,23,440,,,,,,,36411,19295,69682,315876,166256,577171,412252,217807,709646,1.52827306803,1.41789373097,1.58743338687
2020-05-02,17,457,,,,,,,39362,21046,74568,345162,181987,635990,451614,238854,784214,1.51199109611,1.39084350391,1.58247153341
2020-05-03,19,476,,,,,,,42391,22933,80272,376451,199073,698536,494005,261788,864486,1.49302243704,1.35953812288,1.57635980439
