date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-22,,,,,,,,,194,98,260,194,98,260,194,98,260,1.86213545088,1.6,2.2
2020-02-23,,,,,,,,,194,98,260,388,196,520,388,196,520,1.86207804618,1.59996571254,2.1999919895
2020-02-24,,,,,,,,,194,98,260,582,294,780,582,294,780,1.86205854496,1.59995457092,2.19998816837
2020-02-25,,,,,,,,,194,98,260,776,392,1040,776,392,1040,1.86203232422,1.59993961677,2.19998252438
2020-02-26,,,,,,,,,194,98,260,970,490,1299,970,490,1299,1.86199703038,1.5999197177,2.1999741879
2020-02-27,,,,,,,,,194,98,260,1164,588,1559,1164,588,1559,1.86194947009,1.59989368496,2.19996187441
2020-02-28,,,,,,,,,194,98,260,1358,686,1819,1358,686,1819,1.86188530455,1.59985941036,2.19994148461
2020-02-29,,,,,,,,,194,98,260,1552,784,2079,1552,784,2079,1.86179863028,1.59981404253,2.19991232697
2020-03-01,,,,,,,,,194,98,260,1746,882,2338,1746,882,2338,1.86168140346,1.59975397758,2.19986859828
2020-03-02,,,,,,,,,551,293,729,2297,1175,3067,2297,1175,3067,1.86141659749,1.59958238207,2.19971496058
2020-03-03,,,,,,,,,548,292,726,2845,1468,3793,2845,1468,3793,1.86118807528,1.59946553005,2.19960442868
2020-03-04,,,,,,,,,579,310,766,3424,1779,4558,3424,1779,4558,1.86085793213,1.59929606523,2.19941498362
2020-03-05,,,,,,,,,643,350,846,4067,2130,5404,4067,2130,5404,1.86042282183,1.59907929245,2.19914481797
2020-03-06,,,,,,,,,775,438,1023,4842,2568,6426,4842,2568,6426,1.85984193623,1.59870100168,2.19876353826
2020-03-07,,,,,,,,,982,558,1317,5825,3126,7743,5825,3126,7743,1.85906017263,1.59830170828,2.19818612725
2020-03-08,,,,,,,,,1146,653,1554,6777,3681,9036,6971,3779,9296,1.85800029039,1.59777488451,2.19731741193
2020-03-09,,,,,,,,,1294,743,1783,7876,4327,10559,8264,4523,11079,1.85655776032,1.59718785258,2.19600369449
2020-03-10,,,,,,,,,1473,843,2056,9155,5073,12355,9737,5367,13134,1.8545994661,1.59617695157,2.19402557475
2020-03-11,,,,,,,,,1694,974,2397,10655,5950,14492,11431,6342,15531,1.85194064558,1.59479164882,2.19109959997
2020-03-12,,,,,,,,,1974,1116,2848,12435,6969,17079,13405,7459,18378,1.84832613414,1.59289285634,2.18662384709
2020-03-13,,,,,,,,,2274,1295,3329,14515,8166,20148,15679,8754,21706,1.84341127756,1.58991496436,2.18029315215
2020-03-14,,,,,,,,,2591,1473,3840,16912,9542,23727,18270,10228,25546,1.83673465268,1.5859704169,2.17116853118
2020-03-15,,,,,,,,,2941,1652,4398,19658,11097,27865,21210,11881,29943,1.82769184007,1.58126726644,2.15902907241
2020-03-16,,,,,,,,,3335,1840,5004,22800,12839,32609,24546,13721,34947,1.81550393273,1.57601238214,2.13857509968
2020-03-17,1,1,,,,,,,3780,2074,5650,26030,14619,37530,28326,15795,40597,1.79919760297,1.56881197114,2.10852840719
2020-03-18,0,1,,,,,,,4261,2336,6324,29742,16663,43127,32587,18132,46920,1.7776154869,1.55929216091,2.08048410609
2020-03-19,0,1,,,,,,,4763,2583,7106,33926,18935,49467,37350,20715,54025,1.74948274484,1.54549854087,2.0368939204
2020-03-20,1,2,,,,,,,5277,2860,7840,38560,21445,56461,42628,23576,61865,1.71356184181,1.51427787778,1.97833228852
2020-03-21,1,3,,,,,,,5793,3137,8474,43578,24144,63912,48420,26713,70338,1.66890914745,1.47536649002,1.94880052243
2020-03-22,2,5,,,,,,,6293,3435,8964,48888,27021,71559,54713,30148,79301,1.6151995683,1.40970461897,1.89121139714
2020-03-23,1,6,,,,,,,6753,3747,9441,54495,30115,79446,61466,33895,88741,1.55301184255,1.32234967538,1.820688355
2020-03-24,1,7,,,,,,,7151,4078,9949,60353,33450,87612,68617,37974,98690,1.48392899242,1.25674354639,1.76460189491
2020-03-25,1,8,,,,,,,7473,4376,10332,66353,36983,95887,76090,42350,109021,1.41037248147,1.16406034154,1.7388345512
2020-03-26,5,13,,,,,,,7714,4681,10627,72373,40689,104117,83804,47032,119648,1.33521977585,1.08276628362,1.67920422105
2020-03-27,5,18,,,,,,,7872,5006,10865,78272,44579,112134,91677,52038,130512,1.26134506752,1.00927420612,1.63170197714
2020-03-28,0,18,,,,,,,7953,5227,10905,83951,48511,119711,99630,57266,141417,1.1912225103,0.945248610575,1.5752788801
2020-03-29,3,21,,,,,,,7963,5307,10915,89323,52344,126786,107593,62573,152331,1.12668213035,0.906835296533,1.50091461753
