date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-24,,,,,,,,,202,102,279,202,102,279,202,102,279,2.05358681942,1.6,2.4
2020-02-25,,,,,,,,,202,102,279,404,204,558,404,204,558,2.05342409463,1.59999518731,2.39996308074
2020-02-26,,,,,,,,,202,102,279,606,306,837,606,306,837,2.05337063941,1.59999334228,2.39994530904
2020-02-27,,,,,,,,,202,102,279,808,408,1116,808,408,1116,2.05329930688,1.5999908203,2.39991742721
2020-02-28,,,,,,,,,202,102,279,1010,510,1395,1010,510,1395,2.05320400221,1.59998734301,2.39987911759
2020-02-29,,,,,,,,,202,102,279,1212,612,1674,1212,612,1674,2.05307651129,1.59998254853,2.39982299333
2020-03-01,,,,,,,,,202,102,279,1414,714,1953,1414,714,1953,2.05290574997,1.59997593795,2.39974075314
2020-03-02,,,,,,,,,202,102,279,1616,816,2232,1616,816,2232,2.05267674359,1.5999668234,2.39962022127
2020-03-03,,,,,,,,,202,102,279,1818,918,2511,1818,918,2511,2.05236923938,1.59995425426,2.39943884578
2020-03-04,,,,,,,,,610,342,856,2428,1261,3367,2428,1261,3367,2.05175593621,1.59973076327,2.39898795573
2020-03-05,,,,,,,,,608,341,853,3036,1602,4220,3036,1602,4220,2.05117453392,1.59968109223,2.39856778829
2020-03-06,,,,,,,,,647,368,914,3683,1970,5134,3683,1970,5134,2.05034870101,1.59958114466,2.39789929761
2020-03-07,,,,,,,,,728,413,1039,4410,2383,6173,4410,2383,6173,2.04926162731,1.59946902055,2.39703098312
2020-03-08,,,,,,,,,895,523,1299,5305,2907,7472,5305,2907,7472,2.04781565066,1.59932654148,2.39581018096
2020-03-09,,,,,,,,,1157,691,1707,6462,3598,9178,6462,3598,9178,2.04588054952,1.59914677828,2.3941129658
2020-03-10,,,,,,,,,1368,820,2040,7629,4316,10939,7831,4418,11218,2.04327662983,1.59890846474,2.39172725079
2020-03-11,,,,,,,,,1565,936,2358,8992,5151,13017,9396,5355,13575,2.03976509561,1.59858793804,2.38835936391
2020-03-12,,,,,,,,,1810,1078,2760,10600,6127,15498,11206,6433,16335,2.03504901699,1.59821842702,2.38362660121
2020-03-13,,,,,,,,,2117,1250,3268,12515,7276,18487,13323,7684,19603,2.0287279745,1.5977057731,2.37699096311
2020-03-14,,,,,,,,,2506,1497,3919,14819,8671,22127,15829,9181,23522,2.02026895999,1.59705057323,2.36770475384
2020-03-15,,,,,,,,,2928,1749,4634,17545,10318,26481,18757,10931,28155,2.00898650738,1.59621131579,2.35475395416
2020-03-16,,,,,,,,,3377,2004,5379,20720,12220,31581,22135,12935,33534,1.9940206682,1.59509975351,2.33678945213
2020-03-17,,,,,,,,,3877,2312,6207,24395,14430,37509,26011,15247,39741,1.97434159835,1.59341930921,2.31207467062
2020-03-18,,,,,,,,,4440,2620,7121,28633,16949,44350,30452,17868,46861,1.94877408975,1.59138448451,2.27845558407
2020-03-19,1,1,,,,,,,5068,2949,8096,33091,19556,51589,35519,20817,54956,1.91608309833,1.58819720917,2.2331066794
2020-03-20,0,1,,,,,,,5733,3334,9051,38216,22549,59787,41252,24151,64007,1.87514263079,1.58375392228,2.17134335163
2020-03-21,4,5,,,,,,,6409,3722,9902,43977,25903,68775,47660,27874,73908,1.82518244463,1.5778652002,2.13767265017
2020-03-22,-1,4,,,,,,,7080,4148,10637,50330,29638,78372,54740,32022,84544,1.7660663147,1.54153192167,2.09155106853
2020-03-23,0,4,,,,,,,7731,4660,11275,57166,33775,88348,62472,36682,95819,1.69849921819,1.44499364414,2.05087121383
2020-03-24,0,4,,,,,,,8342,5142,11901,64351,38226,98542,70814,41825,107719,1.6240598024,1.35320162524,1.98824640253
2020-03-25,2,6,,,,,,,8887,5636,12546,71870,43042,109047,79701,47461,120265,1.54501954501,1.25672914919,1.9013586728
2020-03-26,2,8,,,,,,,9348,6140,12940,79653,48245,119629,89049,53601,133204,1.46400953937,1.17333284357,1.84757425869
2020-03-27,10,18,,,,,,,9716,6547,13310,87558,53715,130179,98764,60149,146513,1.38365850115,1.09360764919,1.76459830173
2020-03-28,4,22,,,,,,,9988,7004,13505,95430,59469,140416,108752,67154,160018,1.30630814755,1.03232167546,1.67733689808
2020-03-29,0,22,,,,,,,10168,7348,13587,103091,65320,150083,118921,74502,173604,1.23384890069,0.983816132144,1.6092973684
2020-03-30,0,22,,,,,,,10260,7478,13656,110424,71049,159105,129181,81980,187260,1.16766032657,0.94360372445,1.52992172837
2020-03-31,9,31,,,,,,,10271,7505,13786,117318,76551,167512,139452,89486,201046,1.10861841873,0.911694533425,1.44541233811
2020-04-01,2,33,,,,,,,10212,7443,13838,123653,81682,175143,149664,96930,214883,1.0571392202,0.889018856747,1.37351919986
2020-04-02,3,36,,,,,,,10094,7417,13770,129307,86479,181793,159759,104347,228653,1.01324002273,0.870126940756,1.29048279756
2020-04-03,25,61,,,,,,,9932,7350,13585,134171,90880,187282,169690,111698,242238,0.976606878968,0.857119682541,1.20391367461
2020-04-04,0,61,,,,,,,9735,7237,13190,138174,94783,191421,179426,118935,255427,0.946665179366,0.843839039376,1.13725149364
2020-04-05,14,75,,,,,,,9515,7111,12765,141280,98172,194284,188940,126046,268192,0.922656745465,0.827128323025,1.08026674579
2020-04-06,46,121,,,,,,,9278,7000,12420,143478,101024,196068,198219,133046,280612,0.903724560564,0.81196392377,1.03398511456
2020-04-07,29,150,,,,,,,9032,6876,12018,144779,103240,196811,207251,139923,292629,0.888996545544,0.802539672595,0.99543309578
2020-04-08,25,175,,,,,,,8781,6764,11665,145219,104862,196574,216032,146687,304293,0.877654263518,0.794276932807,0.965063650973
2020-04-09,41,216,,,,,,,8529,6641,11296,144861,105867,195324,224562,153329,315589,0.868976914947,0.78880657543,0.943980998325
2020-04-10,25,241,,,,,,,8279,6512,10868,143792,106240,193253,232840,159842,326456,0.86236012679,0.776794912728,0.931267792968
2020-04-11,48,289,,,,,,,8032,6365,10497,142108,106058,190441,240872,166208,336953,0.857315610607,0.759090622354,0.920541573747
2020-04-12,39,328,,,,,,,7789,6200,10090,139909,105254,187026,248661,172408,347043,0.85345954284,0.752776804981,0.910702801119
2020-04-13,32,360,,,,,,,7552,6098,9648,137292,104004,183087,256213,178507,356691,0.850496160646,0.748177221651,0.904805793842
2020-04-14,75,435,,,,,,,7321,5953,9277,134353,102479,178708,263533,184460,365968,0.848200766341,0.744310127546,0.900303768157
2020-04-15,52,487,,,,,,,7095,5720,8930,131177,100693,173852,270629,190180,374897,0.846404333424,0.741850909423,0.897188622163
2020-04-16,143,630,,,,,,,6877,5596,8612,127842,98846,168626,277506,195776,383509,0.844980566324,0.740152297728,0.89472046921
