date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-29,,,,,,,,,27,14,41,27,14,41,27,14,41,1.55147178701,1.2,2
2020-03-01,,,,,,,,,27,14,41,55,28,82,55,28,82,1.55139427675,1.19995845388,1.99992848737
2020-03-02,,,,,,,,,27,14,41,82,42,123,82,42,123,1.55137141627,1.19994655158,1.99990304195
2020-03-03,,,,,,,,,27,14,41,110,56,164,110,56,164,1.55134169738,1.19993149411,1.99986841839
2020-03-04,,,,,,,,,27,14,41,137,70,205,137,70,205,1.55130302374,1.19991219687,1.99982167242
2020-03-05,,,,,,,,,27,14,41,165,84,246,165,84,246,1.55125264557,1.19988748028,1.99975938572
2020-03-06,,,,,,,,,27,14,41,192,98,287,192,98,287,1.5511869521,1.1998558596,1.99966501309
2020-03-07,,,,,,,,,27,14,41,219,112,328,219,112,328,1.55110119706,1.19981536296,1.99953209497
2020-03-08,,,,,,,,,27,14,41,247,126,369,247,126,369,1.55098913548,1.19976446026,1.99935136097
2020-03-09,,,,,,,,,69,38,104,316,164,473,316,164,473,1.55078710251,1.1996642141,1.99902779572
2020-03-10,,,,,,,,,69,38,104,385,202,577,385,202,577,1.55058821801,1.19956692468,1.99868154886
2020-03-11,,,,,,,,,72,39,109,457,242,685,457,242,685,1.55031887463,1.19943660237,1.99819358558
2020-03-12,,,,,,,,,78,42,118,535,285,803,535,285,803,1.54997110348,1.19928108767,1.99753369223
2020-03-13,,,,,,,,,91,48,141,626,334,943,626,334,943,1.54951918068,1.19907985012,1.99660021633
2020-03-14,,,,,,,,,111,59,175,737,393,1117,737,393,1117,1.54892947137,1.19882739443,1.99531834027
2020-03-15,,,,,,,,,127,67,201,836,447,1277,864,461,1318,1.54815702699,1.19847186754,1.99359395964
2020-03-16,,,,,,,,,140,73,226,948,506,1461,1003,534,1543,1.54714319522,1.19794041598,1.99136780724
2020-03-17,,,,,,,,,155,78,256,1076,571,1675,1158,613,1798,1.54581477986,1.19733252063,1.98826113198
2020-03-18,,,,,,,,,173,85,294,1221,642,1928,1331,698,2092,1.54407530279,1.19654562701,1.98395835458
2020-03-19,,,,,,,,,195,94,342,1389,723,2229,1526,793,2434,1.5417982616,1.19563609458,1.977612427
2020-03-20,,,,,,,,,219,104,391,1581,813,2578,1745,897,2824,1.53882107862,1.1945789885,1.97067807018
2020-03-21,,,,,,,,,243,113,443,1796,912,2979,1988,1010,3266,1.53493718403,1.19299427842,1.96099322708
2020-03-22,,,,,,,,,269,122,499,2038,1020,3437,2257,1132,3765,1.52989027498,1.19069478569,1.94825936613
2020-03-23,,,,,,,,,297,129,559,2307,1136,3954,2554,1262,4323,1.52336892196,1.18746632492,1.93131664194
2020-03-24,2,2,,,,,,,328,137,631,2566,1234,4481,2882,1399,4954,1.51500721193,1.18388552637,1.91056596418
2020-03-25,0,2,,,,,,,362,145,713,2859,1341,5089,3244,1544,5666,1.50439645763,1.17913734417,1.88235284344
2020-03-26,0,2,,,,,,,397,152,792,3184,1454,5772,3640,1697,6457,1.49111297073,1.17167222391,1.84852886805
2020-03-27,1,3,,,,,,,432,162,876,3538,1573,6530,4073,1859,7332,1.47476612107,1.16354836831,1.80722622601
2020-03-28,2,5,,,,,,,469,172,956,3916,1697,7345,4542,2031,8288,1.45506444377,1.15492636794,1.77470459532
2020-03-29,1,6,,,,,,,507,181,1035,4312,1818,8206,5049,2212,9323,1.43188864045,1.1447761552,1.75562153192
2020-03-30,1,7,,,,,,,544,189,1132,4730,1940,9137,5593,2402,10455,1.40535061681,1.13189166803,1.73151148858
2020-03-31,1,8,,,,,,,580,198,1183,5170,2066,10094,6173,2601,11637,1.37581567036,1.11617483845,1.70312213584
2020-04-01,2,10,,,,,,,615,207,1278,5630,2195,11117,6788,2808,12915,1.34387688903,1.10368356613,1.67245770531
2020-04-02,2,12,,,,,,,647,215,1352,6104,2324,12176,7435,3023,14267,1.3102902139,1.08909259525,1.63574229445
2020-04-03,0,12,,,,,,,676,220,1418,6585,2451,13252,8111,3244,15685,1.27589287514,1.07163511789,1.59122592795
2020-04-04,2,14,,,,,,,703,226,1447,7068,2573,14308,8814,3470,17132,1.24152838819,1.04961909858,1.53024604937
2020-04-05,2,16,,,,,,,726,232,1499,7551,2692,15364,9539,3703,18630,1.2079908131,1.0184342251,1.48308258037
2020-04-06,0,16,,,,,,,746,236,1544,8028,2807,16409,10285,3940,20174,1.17598865694,0.996711057187,1.43008852183
2020-04-07,2,18,,,,,,,762,242,1557,8493,2920,17407,11047,4182,21730,1.14612155969,0.978014609633,1.3841537185
2020-04-08,0,18,,,,,,,776,248,1593,8941,3032,18369,11823,4431,23322,1.11886228863,0.958232477669,1.33588176377
2020-04-09,3,21,,,,,,,787,253,1620,9366,3140,19276,12610,4684,24941,1.09454025837,0.942065924553,1.2793326348
2020-04-10,0,21,,,,,,,795,258,1640,9764,3246,20124,13405,4943,26581,1.07332814767,0.930443164282,1.23189761245
2020-04-11,4,25,,,,,,,802,262,1647,10133,3346,20896,14206,5206,28228,1.05523785511,0.921421410775,1.19678988533
2020-04-12,2,27,,,,,,,806,265,1658,10470,3440,21597,15013,5471,29885,1.04013280302,0.915262878668,1.1640156983
2020-04-13,2,29,,,,,,,810,268,1652,10773,3527,22214,15822,5740,31537,1.02775853986,0.910507326982,1.13885568261
2020-04-14,3,32,,,,,,,812,272,1655,11042,3610,22736,16635,6013,33191,1.0177856608,0.907181710709,1.11739358706
2020-04-15,1,33,,,,,,,814,277,1661,11276,3689,23215,17449,6290,34851,1.00985430358,0.904474070599,1.10020409113
2020-04-16,4,37,,,,,,,815,281,1655,11476,3764,23591,18264,6572,36506,1.00361078181,0.902275563097,1.08681627314
2020-04-17,0,37,,,,,,,816,285,1657,11645,3834,23896,19080,6857,38162,0.998731924249,0.900625307778,1.07874000573
2020-04-18,1,38,,,,,,,816,286,1654,11785,3900,24132,19896,7144,39816,0.994937466936,0.899512393873,1.07244393813
2020-04-19,1,39,,,,,,,816,291,1651,11899,3964,24335,20712,7435,41466,0.991993400673,0.898635649783,1.0667756681
2020-04-20,2,41,,,,,,,816,295,1646,11989,4027,24482,21528,7731,43112,0.989709667084,0.897679358018,1.06207193645
2020-04-21,1,42,,,,,,,816,294,1626,12059,4085,24564,22344,8025,44737,0.987934987445,0.89708288996,1.05852051533
2020-04-22,0,42,,,,,,,815,297,1608,12112,4140,24616,23160,8323,46345,0.986550705694,0.89654809178,1.05572367131
2020-04-23,3,45,,,,,,,815,299,1602,12151,4191,24625,23974,8623,47946,0.985464738196,0.896201739251,1.05384230465
2020-04-24,2,47,,,,,,,814,303,1590,12179,4242,24595,24789,8926,49536,0.984606166542,0.895929064932,1.05233195808
2020-04-25,1,48,,,,,,,814,301,1580,12198,4285,24535,25602,9228,51115,0.983928617024,0.895561641538,1.05108441741
2020-04-26,3,51,,,,,,,813,302,1561,12209,4325,24448,26415,9531,52675,0.983403552894,0.895028741309,1.04997525161
2020-04-27,0,51,,,,,,,812,302,1545,12215,4361,24335,27228,9833,54220,0.98300670336,0.894829651645,1.04921581896
2020-04-28,6,57,,,,,,,812,301,1545,12217,4394,24229,28040,10134,55765,0.982723740623,0.894456776798,1.048924999
2020-04-29,0,57,,,,,,,811,303,1544,12216,4425,24118,28851,10438,57309,0.982565602357,0.894210644959,1.04862143313
2020-04-30,4,61,,,,,,,811,300,1537,12213,4448,23994,29662,10739,58845,0.982500298704,0.894189746297,1.0485701117
2020-05-01,3,64,,,,,,,810,298,1528,12208,4465,23867,30472,11037,60373,0.98255169721,0.894230032347,1.04849512817
2020-05-02,8,72,,,,,,,810,297,1521,12202,4477,23732,31282,11334,61893,0.982659375636,0.894132957015,1.04871638749
2020-05-03,4,76,,,,,,,810,295,1515,12196,4486,23592,32092,11630,63408,0.982866195117,0.894211466603,1.04905101015
2020-05-04,4,80,,,,,,,809,292,1511,12189,4487,23452,32901,11923,64918,0.98316546715,0.894241366914,1.04941219846
2020-05-05,3,83,,,,,,,809,290,1511,12182,4482,23316,33711,12213,66428,0.983569708943,0.894413260664,1.05000906211
2020-05-06,4,87,,,,,,,809,289,1510,12176,4477,23201,34520,12502,67938,0.98410721707,0.894806518775,1.05073946003
2020-05-07,0,87,,,,,,,810,289,1507,12170,4468,23100,35330,12791,69444,0.984808129774,0.89531104508,1.05177670655
2020-05-08,1,88,,,,,,,810,288,1508,12166,4457,23006,36140,13080,70952,0.985711518931,0.895677026038,1.05291813969
2020-05-09,0,88,,,,,,,811,287,1514,12162,4441,22930,36951,13367,72465,0.986865118174,0.896022091203,1.05444971618
2020-05-10,3,91,,,,,,,812,288,1511,12161,4427,22862,37763,13656,73976,0.988326787414,0.896499195732,1.05668449458
2020-05-11,3,94,,,,,,,813,286,1516,12161,4411,22817,38577,13942,75491,0.990165944065,0.897293285204,1.05934286959
2020-05-12,1,95,,,,,,,815,285,1524,12164,4394,22796,39392,14228,77015,0.992464756777,0.898104816866,1.06247212546
2020-05-13,2,97,,,,,,,818,284,1519,12170,4377,22769,40210,14512,78534,0.995318777426,0.899332608114,1.06643082021
2020-05-14,1,98,,,,,,,821,284,1528,12180,4359,22753,41031,14797,80061,0.998836545852,0.901089351326,1.07152390824
2020-05-15,0,98,,,,,,,826,284,1544,12195,4343,22760,41857,15082,81605,1.00313755818,0.903209543505,1.07642754467
2020-05-16,0,98,,,,,,,831,286,1556,12216,4331,22787,42688,15368,83160,1.00834791351,0.905903951364,1.08256947478
2020-05-17,0,98,,,,,,,837,286,1567,12243,4320,22833,43525,15655,84726,1.01459304556,0.908981513628,1.09012733896
2020-05-18,2,100,,,,,,,845,288,1593,12279,4313,22912,44371,15943,86319,1.02198732873,0.913375445825,1.101397856
2020-05-19,2,102,,,,,,,855,298,1612,12324,4318,23013,45226,16242,87931,1.03062108802,0.920698431548,1.11576365385
2020-05-20,5,107,,,,,,,866,304,1637,12381,4332,23140,46092,16546,89567,1.04054651788,0.929610162375,1.13116343716
2020-05-21,3,110,,,,,,,880,308,1660,12452,4351,23290,46972,16854,91227,1.05176484972,0.937669925793,1.14694687883
2020-05-22,3,113,,,,,,,896,319,1694,12538,4382,23477,47868,17174,92921,1.06421729499,0.947995186582,1.18007379979
