date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-24,,,,,,,,,169,87,237,169,87,237,169,87,237,1.97918716366,1.6,2.4
2020-02-25,,,,,,,,,169,87,237,337,174,474,337,174,474,1.97302015929,1.59312262112,2.39809168453
2020-02-26,,,,,,,,,169,87,237,506,261,711,506,261,711,1.97094732657,1.59075086941,2.39727280177
2020-02-27,,,,,,,,,169,87,237,674,348,948,674,348,948,1.9681725602,1.58756064449,2.39610079636
2020-02-28,,,,,,,,,169,87,237,843,435,1185,843,435,1185,1.96446060914,1.58343011635,2.39447590141
2020-02-29,,,,,,,,,169,87,237,1012,522,1422,1012,522,1422,1.95950168537,1.57832797257,2.39200744302
2020-03-01,,,,,,,,,169,87,237,1180,609,1659,1180,609,1659,1.95289209092,1.56988793322,2.38831854011
2020-03-02,,,,,,,,,169,87,237,1349,696,1896,1349,696,1896,1.94411350389,1.56064173432,2.38310312036
2020-03-03,,,,,,,,,169,87,237,1518,783,2133,1518,783,2133,1.93251425195,1.54805859873,2.37596824675
2020-03-04,,,,,,,,,489,263,711,2006,1046,2844,2006,1046,2844,1.91697516004,1.53388260793,2.36576554745
2020-03-05,,,,,,,,,483,261,702,2490,1308,3546,2490,1308,3546,1.89717656032,1.51206257649,2.35140211038
2020-03-06,,,,,,,,,507,276,738,2997,1585,4283,2997,1585,4283,1.87173199404,1.48616629427,2.33110463712
2020-03-07,,,,,,,,,558,309,820,3555,1894,5103,3555,1894,5103,1.83969093168,1.45073763001,2.30025319931
2020-03-08,,,,,,,,,664,374,990,4218,2269,6092,4218,2269,6092,1.80015051999,1.40844807637,2.26689553155
2020-03-09,,,,,,,,,823,464,1238,5041,2733,7330,5041,2733,7330,1.75252049526,1.35418176762,2.22523102137
2020-03-10,,,,,,,,,930,528,1401,5802,3175,8494,5971,3262,8731,1.69668970657,1.27425209353,2.17261969061
2020-03-11,,,,,,,,,1007,577,1522,6640,3665,9779,6977,3839,10253,1.63314712678,1.19373712105,2.13107543467
2020-03-12,,,,,,,,,1089,625,1674,7560,4203,11215,8066,4464,11926,1.5630153119,1.11921375776,2.05914115785
2020-03-13,,,,,,,,,1176,675,1830,8567,4791,12807,9242,5139,13755,1.48793063206,1.05048899569,1.99182387095
2020-03-14,,,,,,,,,1273,718,1980,9671,5423,14550,10514,5858,15735,1.40988030803,0.983493624011,1.90486645233
2020-03-15,,,,,,,,,1348,751,2102,10851,6087,16414,11862,6609,17836,1.33102402373,0.926322628023,1.83363653336
2020-03-16,,,,,,,,,1398,765,2204,12080,6766,18381,13261,7375,20040,1.25351661566,0.883831643046,1.76937069595
2020-03-17,,,,,,,,,1431,768,2289,13343,7447,20432,14692,8143,22328,1.17936251923,0.845752905887,1.67420940051
2020-03-18,,,,,,,,,1452,771,2374,14626,8131,22569,16143,8914,24702,1.11028656497,0.815366339418,1.5744452484
2020-03-19,1,1,,,,,,,1464,769,2415,15601,8637,24273,17607,9684,27117,1.04763470328,0.789845933263,1.46877918887
2020-03-20,0,1,,,,,,,1464,766,2450,16581,9141,26021,19071,10450,29566,0.992305506116,0.770571699019,1.37202884684
2020-03-21,0,1,,,,,,,1451,763,2440,17524,9628,27723,20521,11213,32006,0.944715853787,0.75219965343,1.26151926022
2020-03-22,1,2,,,,,,,1428,751,2401,18394,10070,29304,21949,11965,34407,0.904812203974,0.736621153932,1.16919393875
2020-03-23,0,2,,,,,,,1399,745,2330,19130,10441,30644,23348,12710,36736,0.872134531241,0.7249506337,1.09398964586
2020-03-24,1,3,,,,,,,1367,736,2290,19674,10714,31696,24715,13447,39026,0.845927991534,0.71678029083,1.03277935845
2020-03-25,2,5,,,,,,,1333,730,2231,20077,10916,32526,26047,14178,41257,0.825277664681,0.711193568947,0.979760273976
2020-03-26,2,7,,,,,,,1297,721,2169,20367,11060,33173,27344,14899,43425,0.809233288068,0.707384604602,0.943397065029
2020-03-27,1,8,,,,,,,1260,705,2098,20538,11140,33597,28604,15605,45523,0.796900986484,0.704379541576,0.920423844299
2020-03-28,7,15,,,,,,,1223,694,2020,20585,11159,33787,29827,16299,47542,0.787495650326,0.702536831743,0.905209913405
2020-03-29,1,16,,,,,,,1186,679,1930,20499,11121,33737,31014,16979,49471,0.780360452132,0.700930740418,0.901751249852
2020-03-30,0,16,,,,,,,1151,663,1840,20302,11033,33475,32164,17642,51311,0.774964693263,0.69973901613,0.898675724224
