country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,126650,163710,140686,196640,2020-07-29,1595,2.4,2020-11-01
India,,,71642,127461,94611,185819,2020-06-16,2003,1.0,2020-11-01
Mexico,,,67558,90455,81347,104605,2020-06-03,1092,2.7,2020-11-01
United Kingdom,,,41640,42225,41653,45393,2020-04-21,1224,483.4,2020-11-01
Italy,,,35541,36137,35556,38789,2020-03-27,919,116.4,2020-11-01
Peru,,,29687,34525,30991,40311,2020-08-14,4143,1.9,2020-11-01
France,,,30730,32066,30759,39117,2020-04-15,1438,,2020-11-01
Colombia,,,21412,31568,26222,39393,2020-08-23,748,0.6,2020-11-01
Spain,,,29418,31517,29446,39533,2020-06-19,1179,,2020-11-01
Iran,,,22293,27132,23725,32719,2020-07-28,235,1.4,2020-11-01
Russia,,,17768,22307,18585,28769,2020-05-29,232,2.8,2020-11-01
South Africa,,,14889,19028,15570,21583,2020-07-22,572,1.8,2020-11-01
Argentina,,,9859,18537,13505,25789,2020-08-24,381,1.6,2020-11-01
Chile,,,11592,14559,12019,21317,2020-07-17,1057,4.4,2020-11-01
Indonesia,,,8025,12755,9954,19130,2020-07-22,139,1.1,2020-11-01
Belgium,,,9907,10068,9924,10663,2020-04-10,496,309.0,2020-11-01
Germany,,,9330,9691,9346,10928,2020-04-15,510,244.5,2020-11-01
Canada,,,9194,9533,9220,10530,2020-04-16,251,91.6,2020-11-01
Turkey,,,6673,8244,6803,11345,2020-04-19,127,2.0,2020-11-01
Bolivia,,,5398,7789,6369,10003,2020-09-02,102,,2020-11-01
Ecuador,,,6724,7666,6801,9793,2020-05-10,410,,2020-11-01
Philippines,,,3875,7133,4982,10539,2020-07-12,162,0.7,2020-11-01
Pakistan,,,6345,6689,6366,7515,2020-06-14,178,24.6,2020-11-01
Netherlands,,,6277,6461,6290,7112,2020-04-07,234,81.3,2020-11-01
Bangladesh,,,4479,6181,5025,8311,2020-06-30,64,1.3,2020-11-01
Egypt,,,5530,6141,5567,8322,2020-06-15,97,3.8,2020-11-01
Romania,,,3893,6049,4783,8012,2020-09-01,60,1.0,2020-11-01
Sweden,,,5835,5878,5839,6024,2020-04-14,115,,2020-11-01
Ukraine,,,2898,5847,4016,8878,2020-11-01,67,1.9,2020-11-01
Saudi Arabia,,,4081,5286,4456,6680,2020-07-05,58,1.3,2020-11-01
China,,,4730,4802,4730,5375,2020-04-17,1290,55.8,2020-11-01
Morocco,,,1361,3459,2072,5456,2020-11-01,48,1.5,2020-11-01
Honduras,,,2007,2856,2304,3808,2020-08-27,56,24.1,2020-11-01
Poland,,,2120,2824,2330,3735,2020-04-24,40,2.8,2020-11-01
Dominican Republic,,,1845,2784,2161,3772,2020-09-05,39,4.1,2020-11-01
Panama,,,2086,2541,2274,3082,2020-07-24,41,2.4,2020-11-01
Algeria,,,1556,2103,1651,3072,2020-04-09,30,1.7,2020-11-01
Switzerland,,,2013,2090,2025,2271,2020-04-04,75,,2020-11-01
Japan,,,1366,2053,1541,3332,2020-05-01,29,3.9,2020-11-01
Portugal,,,1840,1989,1846,2367,2020-04-03,37,14.9,2020-11-01
Ireland,,,1777,1816,1784,1937,2020-04-24,220,,2020-11-01
Israel,,,1019,1787,1259,2736,2020-08-19,73,1.3,2020-11-01
Moldova,,,1063,1500,1233,1942,2020-09-05,16,,2020-11-01
Nigeria,,,1057,1264,1110,1558,2020-06-16,31,3.6,2020-11-01
Australia,,,762,1226,953,1575,2020-09-03,59,1.8,2020-11-01
Bulgaria,,,676,1165,874,1626,2020-08-24,18,2.1,2020-11-01
Belarus,,,711,995,798,1400,2020-08-16,7,1.0,2020-11-01
Serbia,,,724,879,782,1037,2020-07-10,18,7.7,2020-11-01
Austria,,,736,782,744,898,2020-04-08,30,18.3,2020-11-01
Hungary,,,624,694,632,853,2020-04-24,23,,2020-11-01
Denmark,,,627,664,635,767,2020-04-04,22,,2020-11-01
Kuwait,,,544,660,562,893,2020-05-30,11,1.8,2020-11-01
Czechia,,,436,549,461,724,2020-04-14,18,1.5,2020-11-01
Greece,,,284,484,359,722,2020-04-03,10,1.2,2020-11-01
United Arab Emirates,,,388,460,393,647,2020-05-10,13,,2020-11-01
South Korea,,,336,434,341,645,2020-03-02,11,2.7,2020-11-01
Finland,,,336,354,339,408,2020-04-21,43,,2020-11-01
Croatia,,,198,318,245,463,2020-04-19,8,3.0,2020-11-01
Norway,,,264,285,268,335,2020-04-20,16,,2020-11-01
Slovenia,,,135,156,138,193,2020-04-07,6,,2020-11-01
Cuba,,,101,145,113,221,2020-04-24,6,1.5,2020-11-01
Luxembourg,,,124,143,130,171,2020-04-11,8,,2020-11-01
Malaysia,,,128,140,131,152,2020-03-29,8,,2020-11-01
Lithuania,,,86,98,89,118,2020-04-10,6,,2020-11-01
Estonia,,,64,70,67,76,2020-04-02,6,,2020-11-01
Slovakia,,,37,64,45,106,2020-09-03,4,,2020-11-01
Latvia,,,35,44,37,57,2020-04-21,4,,2020-11-01
Malta,,,14,36,23,61,2020-08-30,2,,2020-11-01
Cyprus,,,21,28,24,35,2020-03-30,2,,2020-11-01
Iceland,,,10,12,10,15,2020-03-15,5,,2020-11-01
