date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-03,,,,,,,,,382,207,580,382,207,580,382,207,580,2.76824497809,2.4,3.2
2020-03-04,,,,,,,,,382,207,580,765,414,1160,765,414,1160,2.69033886021,2.24472586456,3.1884059867
2020-03-05,,,,,,,,,382,207,580,1147,621,1740,1147,621,1740,2.65927353532,2.18131774827,3.18260992857
2020-03-06,,,,,,,,,382,207,580,1530,828,2320,1530,828,2320,2.61740807007,2.08534540224,3.17471489973
2020-03-07,,,,,,,,,382,207,580,1912,1035,2900,1912,1035,2900,2.562418077,1.96253901326,3.16426602683
2020-03-08,,,,,,,,,382,207,580,2295,1242,3479,2295,1242,3479,2.49247591479,1.81962872357,3.14958099229
2020-03-09,,,,,,,,,382,207,580,2677,1449,4059,2677,1449,4059,2.40678482959,1.675,3.12638101594
2020-03-10,,,,,,,,,382,207,580,3060,1656,4639,3060,1656,4639,2.30593964846,1.53123851716,3.09564742102
2020-03-11,,,,,,,,,382,207,580,3442,1863,5219,3442,1863,5219,2.19194212341,1.38568530789,3.05512678865
2020-03-12,,,,,,,,,1161,618,1941,4603,2481,7160,4603,2481,7160,2.0672160207,1.24232709868,2.99370854646
2020-03-13,,,,,,,,,1106,577,1844,5710,3058,9003,5710,3058,9003,1.9368100957,1.13020530819,2.89475359618
2020-03-14,,,,,,,,,1124,568,1902,6833,3627,10905,6833,3627,10905,1.80382386508,1.04748420597,2.79282569525
2020-03-15,,,,,,,,,1195,582,2077,8028,4209,12981,8028,4209,12981,1.67216291688,0.993007284302,2.68317748806
2020-03-16,,,,,,,,,1372,642,2512,9401,4852,15492,9401,4852,15492,1.5452057336,0.958515676371,2.54855309779
