date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,1154,568,1487,1154,568,1487,1154,568,1487,3.85923101177,3.4,4.2
2020-02-17,,,,,,,,,1154,568,1487,2307,1137,2974,2307,1137,2974,3.85898201134,3.39991682256,4.19999831173
2020-02-18,,,,,,,,,1154,568,1487,3461,1706,4461,3461,1706,4461,3.85886198252,3.39987464349,4.19999096096
2020-02-19,,,,,,,,,1154,568,1487,4615,2275,5948,4615,2275,5948,3.85868394866,3.39981241316,4.199973722
2020-02-20,,,,,,,,,1154,568,1487,5768,2844,7435,5768,2844,7435,3.85841951568,3.39971540892,4.19994278457
2020-02-21,,,,,,,,,1154,568,1487,6922,3413,8922,6922,3413,8922,3.85802613837,3.39957111754,4.1998840551
2020-02-22,,,,,,,,,1154,568,1487,8076,3982,10409,8076,3982,10409,3.85743993085,3.39935576947,4.19978040626
2020-02-23,,,,,,,,,1154,568,1487,9229,4550,11896,9229,4550,11896,3.85656476635,3.39904443865,4.19961402996
2020-02-24,,,,,,,,,1154,568,1487,10383,5119,13383,10383,5119,13383,3.8552557439,3.39858335247,4.19933981357
2020-02-25,,,,,,,,,5606,2620,7516,15988,7740,20899,15988,7740,20899,3.85237838933,3.3971092593,4.19810179857
2020-02-26,,,,,,,,,5589,2613,7485,21578,10354,28384,21578,10354,28384,3.84932010085,3.39588600287,4.19725269401
2020-02-27,,,,,,,,,6431,3000,8726,28009,13354,37110,28009,13354,37110,3.84433730756,3.39367241775,4.19549703993
2020-02-28,,,,,,,,,8123,3734,11224,36132,17088,48334,36132,17088,48334,3.83712399594,3.39084925641,4.19292679195
2020-02-29,,,,,,,,,11672,5289,16473,47804,22377,64807,47804,22377,64807,3.82646612857,3.38655561009,4.18892631283
2020-03-01,,,,,,,,,17364,7802,24877,65168,30180,89683,65168,30180,89683,3.8105981602,3.37981449334,4.18254153983
2020-03-02,,,,,,,,,22575,10064,32694,86589,39676,120889,87743,40244,122376,3.78686437991,3.36911889081,4.17216574628
2020-03-03,,,,,,,,,28655,12705,42145,114091,51813,161547,116398,52950,164521,3.7514971453,3.35348052086,4.15527409315
2020-03-04,,,,,,,,,37283,16580,55476,150220,67825,215535,153681,69531,219996,3.69959349144,3.32035209166,4.12823018083
2020-03-05,,,,,,,,,49001,21996,73328,198068,89253,287376,202682,91528,293324,3.62453670265,3.23400471891,4.08513875744
2020-03-06,,,,,,,,,63997,29109,95588,260912,117793,381476,266680,120637,388911,3.51818864732,3.07598497646,4.01693650564
2020-03-07,,,,,,,,,80573,37755,120404,340330,154980,500392,347252,158393,509314,3.37204170953,2.7986199914,3.91131646696
2020-03-08,,,,,,,,,98382,48202,145469,437559,202614,644374,445635,206596,654783,3.17946147269,2.47896253358,3.78889348201
2020-03-09,,,,,,,,,117095,61312,168583,553500,263357,811469,562730,267908,823365,2.93902799374,2.10401481532,3.5881086371
2020-03-10,,,,,,,,,135225,77113,190738,687571,339901,1000720,697954,345021,1014103,2.65733610238,1.76762712607,3.44212571028
2020-03-11,1,1,,,,,,,150614,90937,212168,832580,428218,1205372,848568,435958,1226271,2.34964809847,1.48565235921,3.25509011539
2020-03-12,0,1,,,,,,,161166,98774,226318,988157,524379,1424204,1009735,534733,1452588,2.03716284799,1.27430926981,3.07399875685
2020-03-13,0,1,,,,,,,166293,101580,232624,1148019,622959,1648102,1176028,636313,1685211,1.74180484989,1.12111401744,2.86531567957
2020-03-14,4,5,,,,,,,166643,99976,230354,1306539,719201,1867231,1342671,736290,1915565,1.4809251307,1.0169676512,2.62531857032
2020-03-15,5,10,,,,,,,163254,97132,227754,1458121,811044,2078512,1505925,833422,2143318,1.26418000189,0.907250373749,2.32658392722
2020-03-16,11,21,,,,,,,157182,94030,225698,1597939,897272,2279334,1663107,927453,2369016,1.09350479436,0.831799738477,2.01005540502
2020-03-17,14,35,,,,,,,149332,91014,218192,1724695,978223,2464831,1812438,1018468,2587207,0.965154823598,0.762789963435,1.68761287033
2020-03-18,25,60,,,,,,,140498,87162,206675,1836538,1052679,2629362,1952936,1105630,2793882,0.87227373854,0.708047153791,1.38506030366
2020-03-19,28,88,,,,,,,131321,84028,192674,1930576,1120127,2766560,2084257,1189658,2986555,0.807063001099,0.65503297205,1.13367864356
2020-03-20,55,143,,,,,,,122231,80981,179816,2003805,1179112,2873047,2206488,1270640,3166371,0.762247608631,0.617107273328,0.966626342701
2020-03-21,52,195,,,,,,,113473,78094,168299,2053281,1228097,2945759,2319961,1348734,3334670,0.731834623774,0.593231897244,0.871635405595
2020-03-22,54,249,,,,,,,105163,75386,155447,2077872,1265728,2980803,2425124,1424121,3490116,0.711299227329,0.578651689507,0.836545055103
2020-03-23,102,351,,,,,,,97351,72325,142467,2076841,1289850,2977801,2522475,1496446,3632583,0.697425263116,0.568898670302,0.826356919212
2020-03-24,124,475,,,,,,,90061,69548,128783,2049806,1298087,2938001,2612536,1565995,3761366,0.688017039433,0.562642903803,0.822777877054
2020-03-25,157,632,,,,,,,83296,66747,116870,1997878,1287722,2864133,2695832,1632743,3878235,0.681614045829,0.558137589642,0.820585708817
2020-03-26,235,867,,,,,,,77047,63007,107234,1924311,1259792,2759198,2772879,1695751,3985469,0.677260781632,0.554860605669,0.818289258769
2020-03-27,272,1139,,,,,,,71290,57269,98013,1834434,1218287,2630893,2844169,1753020,4083481,0.674338989534,0.553125901311,0.817377563721
2020-03-28,353,1492,,,,,,,65993,51700,89435,1734133,1168406,2487705,2910161,1804720,4172915,0.672451862509,0.551944601993,0.81760782374
2020-03-29,382,1874,,,,,,,61125,46475,81997,1628615,1114905,2339348,2971286,1851196,4254912,0.671346372042,0.550715877542,0.818218460317
2020-03-30,412,2286,,,,,,,56656,41698,75747,1522018,1059472,2187341,3027943,1892894,4330658,0.670861716915,0.549964593238,0.819075912534
2020-03-31,489,2775,,,,,,,52559,37280,69680,1417395,1002722,2031323,3080502,1930175,4400338,0.670895047617,0.549967762421,0.820564124555
2020-04-01,636,3411,,,,,,,48806,33354,64497,1316870,945062,1877628,3129308,1963530,4464835,0.671378469484,0.550351890661,0.822459747673
2020-04-02,727,4138,,,,,,,45370,29870,60117,1221742,887771,1731069,3174678,1993401,4524951,0.672263408674,0.550762756515,0.824740717717
2020-04-03,761,4899,,,,,,,42224,26781,56844,1132646,830523,1595240,3216903,2020182,4581795,0.673509882454,0.551393729751,0.827021921501
2020-04-04,787,5686,,,,,,,39344,24063,53660,1049759,773605,1469084,3256247,2044246,4635454,0.675079206977,0.552378270423,0.829661019874
2020-04-05,910,6596,,,,,,,36707,21653,51016,972994,717165,1351801,3292954,2065900,4686470,0.676929335568,0.553391216562,0.832423374728
2020-04-06,1061,7657,,,,,,,34291,19513,48622,902122,661291,1244976,3327246,2085413,4735092,0.679012414843,0.554786290386,0.835203667153
2020-04-07,1273,8930,,,,,,,32076,17600,46355,836847,606566,1148864,3359322,2103013,4781447,0.681274303221,0.556355956866,0.83793145949
2020-04-08,949,9879,,,,,,,30043,15910,44430,776829,552928,1064511,3389365,2118923,4825876,0.683655777033,0.558144888674,0.840528010334
2020-04-09,1050,10929,,,,,,,28174,14404,42641,721706,500584,990282,3417538,2133328,4868517,0.686095031943,0.560212122378,0.842945503253
2020-04-10,921,11850,,,,,,,26452,13064,41153,671112,450641,924201,3443991,2146392,4909669,0.688530958794,0.562434759993,0.845130197717
2020-04-11,922,12772,,,,,,,24864,11882,39698,624686,405255,865886,3468855,2158275,4949366,0.690906605891,0.564765558407,0.8470518409
2020-04-12,938,13710,,,,,,,23397,10824,38450,582090,364379,814901,3492252,2169099,4987816,0.693172270787,0.567118544602,0.848714054312
2020-04-13,1018,14728,,,,,,,22037,9866,37360,543003,327770,770264,3514289,2178966,5025176,0.695287792702,0.569542605955,0.850112345905
2020-04-14,880,15608,,,,,,,20776,8986,36281,507122,295058,730799,3535065,2187953,5061457,0.697223808247,0.57181399293,0.851151991399
2020-04-15,786,16394,,,,,,,19603,8200,35217,474166,265978,696336,3554668,2196153,5096673,0.698961938786,0.574066466379,0.851942158272
2020-04-16,743,17137,,,,,,,18511,7503,34251,443871,240126,666089,3573180,2203657,5130924,0.700494050831,0.576098110251,0.852505413795
2020-04-17,477,17614,,,,,,,17492,6882,33312,415994,217138,639285,3590672,2210540,5164236,0.701820841373,0.577935097151,0.852866966607
2020-04-18,561,18175,,,,,,,16540,6322,32399,390310,196680,614840,3607213,2216863,5196634,0.70295003983,0.579618152692,0.853057778919
2020-04-19,524,18699,,,,,,,15650,5802,31458,366615,178419,592638,3622862,2222665,5228092,0.703894498377,0.581096281709,0.853091486434
2020-04-20,971,19670,,,,,,,14815,5326,30539,344723,162091,572161,3637678,2227991,5258631,0.704670384085,0.58235571158,0.852998314631
2020-04-21,671,20341,,,,,,,14032,4903,29662,324464,147482,553201,3651710,2232895,5288292,0.70529561266,0.583352924648,0.852799787141
