date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-05,,,,,,,,,82,43,105,82,43,105,82,43,105,1.88006806638,1.4,2.2
2020-02-06,,,,,,,,,82,43,105,163,86,210,163,86,210,1.87994745269,1.3999995001,2.19998797598
2020-02-07,,,,,,,,,82,43,105,245,129,315,245,129,315,1.87989881596,1.39999923132,2.1999809249
2020-02-08,,,,,,,,,82,43,105,327,172,420,327,172,420,1.87983029737,1.39999881793,2.19996900275
2020-02-09,,,,,,,,,82,43,105,408,215,525,408,215,525,1.87973364434,1.39999818206,2.19994962936
2020-02-10,,,,,,,,,82,43,105,490,258,630,490,258,630,1.87959712333,1.39999720385,2.19991814823
2020-02-11,,,,,,,,,82,43,105,572,301,735,572,301,735,1.87940402974,1.39999569889,2.19986699357
2020-02-12,,,,,,,,,82,43,105,653,344,840,653,344,840,1.87913055471,1.39999338329,2.19978387388
2020-02-13,,,,,,,,,82,43,105,735,387,945,735,387,945,1.87874273356,1.39998982009,2.19966718767
2020-02-14,,,,,,,,,234,128,315,969,515,1260,969,515,1260,1.87802858144,1.39984072709,2.19928614953
2020-02-15,,,,,,,,,233,128,314,1202,644,1574,1202,644,1574,1.87722556723,1.39981726267,2.19895961722
2020-02-16,,,,,,,,,246,136,334,1448,781,1907,1448,781,1907,1.87605333236,1.39976096056,2.19839991794
2020-02-17,,,,,,,,,274,152,377,1722,934,2284,1722,934,2284,1.87441044019,1.39969730779,2.19760286232
2020-02-18,,,,,,,,,331,184,465,2053,1118,2748,2053,1118,2748,1.8720942587,1.39962105725,2.19640216695
2020-02-19,,,,,,,,,420,234,605,2473,1352,3353,2473,1352,3353,1.86882081666,1.39952596172,2.19458968607
2020-02-20,,,,,,,,,491,277,721,2882,1587,3968,2964,1630,4073,1.86419120417,1.399401005,2.19183417967
2020-02-21,,,,,,,,,554,317,829,3354,1861,4692,3517,1947,4902,1.85765874642,1.399227515,2.18764848406
2020-02-22,,,,,,,,,630,363,958,3902,2182,5544,4147,2311,5859,1.84850241829,1.39898775782,2.18131588389
2020-02-23,,,,,,,,,722,404,1116,4542,2543,6555,4868,2715,6975,1.83577527017,1.39864246469,2.17176886045
2020-02-24,,,,,,,,,836,459,1293,5296,2960,7742,5704,3175,8267,1.81828827558,1.3981555321,2.15744940394
2020-02-25,,,,,,,,,953,530,1462,6167,3447,9098,6657,3705,9728,1.79465182495,1.39744510322,2.13615584746
2020-02-26,,,,,,,,,1068,599,1648,7153,4003,10640,7725,4304,11375,1.76339942329,1.3963939536,2.10472323371
2020-02-27,,,,,,,,,1186,666,1868,8257,4627,12403,8910,4971,13243,1.72323313227,1.3948344423,2.06050906059
2020-02-28,,,,,,,,,1305,738,2041,9480,5322,14339,10215,5709,15284,1.67336302502,1.37522684476,1.99786818854
2020-02-29,1,1,,,,,,,1424,821,2254,10670,6014,16277,11639,6530,17537,1.6138738368,1.34743703326,1.96199844953
2020-03-01,0,1,,,,,,,1533,902,2458,11970,6789,18421,13172,7433,19994,1.54597273401,1.25562880929,1.93992227566
2020-03-02,4,5,,,,,,,1625,971,2546,13349,7623,20633,14797,8404,22540,1.47195423116,1.17354084887,1.880673886
2020-03-03,1,6,,,,,,,1699,1025,2603,14774,8496,22860,16495,9430,25143,1.39483604799,1.10085856855,1.79948862763
2020-03-04,3,9,,,,,,,1756,1076,2714,16199,9388,25109,18252,10506,27856,1.31781055569,1.03837239246,1.72494172297
2020-03-05,1,10,,,,,,,1797,1127,2754,17576,10281,27258,20049,11634,30610,1.24374774444,0.989802988723,1.66340826497
2020-03-06,2,12,,,,,,,1822,1157,2859,18907,11161,29396,21871,12791,33468,1.17491650382,0.954661439684,1.5769909247
2020-03-07,3,15,,,,,,,1831,1163,2918,20185,12007,31485,23702,13955,36386,1.1129395346,0.921208413686,1.50458166109
2020-03-08,2,17,,,,,,,1827,1155,2927,21382,12799,33454,25529,15110,39312,1.05886179358,0.898063196367,1.41786914247
2020-03-09,0,17,,,,,,,1812,1146,2871,22472,13540,35209,27341,16256,42183,1.01320077805,0.87459847081,1.32133149468
2020-03-10,4,21,,,,,,,1790,1137,2794,23426,14218,36710,29130,17393,44977,0.97594927297,0.857778000564,1.21418096628
2020-03-11,1,22,,,,,,,1762,1128,2697,24235,14815,37945,30892,18521,47673,0.946589084319,0.831995298625,1.13587319058
2020-03-12,5,27,,,,,,,1731,1118,2618,24898,15335,38916,32623,19640,50291,0.924180792172,0.818799924453,1.07810986173
2020-03-13,5,32,,,,,,,1698,1106,2534,25410,15775,39582,34321,20747,52825,0.907539786246,0.810286069954,1.02374394885
2020-03-14,2,34,,,,,,,1663,1093,2443,25768,16131,39984,35984,21840,55267,0.895439870679,0.804146987576,0.987652837239
2020-03-15,1,35,,,,,,,1628,1080,2353,25973,16390,40083,37612,22921,57620,0.88676992277,0.800042032078,0.957356081488
2020-03-16,8,43,,,,,,,1594,1068,2263,26034,16556,39888,39206,23990,59882,0.880612082015,0.797609023247,0.935731152595
2020-03-17,3,46,,,,,,,1559,1055,2185,25968,16640,39527,40765,25045,62067,0.876254832609,0.79592723797,0.924742064887
2020-03-18,10,56,,,,,,,1525,1042,2108,25794,16657,39032,42290,26088,64174,0.873169760816,0.795185557674,0.916387938975
2020-03-19,4,60,,,,,,,1491,1030,2032,25530,16611,38350,43781,27118,66206,0.870975429826,0.794696588573,0.910425017982
2020-03-20,7,67,,,,,,,1459,1019,1951,25191,16504,37547,45240,28138,68156,0.869401542311,0.794215289203,0.905795691176
2020-03-21,7,74,,,,,,,1426,1008,1887,24795,16355,36575,46666,29147,70043,0.86825879041,0.793850513292,0.90304334438
2020-03-22,1,75,,,,,,,1395,998,1834,24359,16190,35491,48061,30145,71876,0.867415530551,0.793523492749,0.900866841757
2020-03-23,12,87,,,,,,,1364,987,1787,23897,16023,34351,49425,31133,73663,0.866780584882,0.793170516292,0.899288134632
2020-03-24,0,87,,,,,,,1334,977,1737,23419,15854,33216,50760,32110,75399,0.866290922212,0.792952034472,0.898051868132
2020-03-25,14,101,,,,,,,1305,966,1686,22935,15684,32108,52065,33077,77084,0.865902988679,0.792837182683,0.897143275946
2020-03-26,8,109,,,,,,,1276,956,1642,22449,15512,31054,53341,34033,78726,0.865586671982,0.792532462839,0.896542551789
2020-03-27,0,109,,,,,,,1249,945,1602,21967,15338,30037,54590,34979,80328,0.865321125851,0.792278898442,0.896195866503
2020-03-28,27,136,,,,,,,1221,929,1564,21491,15161,29067,55811,35908,81891,0.865091891907,0.792058849825,0.895837777322
2020-03-29,5,141,,,,,,,1195,908,1536,21022,14976,28160,57006,36817,83426,0.86488891939,0.791861603165,0.895654292832
2020-03-30,3,144,,,,,,,1169,897,1507,20562,14793,27314,58175,37715,84933,0.864705203134,0.791689401288,0.895419843843
2020-03-31,6,150,,,,,,,1143,886,1477,20112,14612,26528,59318,38602,86410,0.864535846097,0.791505930785,0.895177479992
2020-04-01,0,150,,,,,,,1119,876,1452,19672,14432,25795,60437,39478,87862,0.864377413206,0.791293726754,0.894997149391
2020-04-02,25,175,,,,,,,1094,862,1425,19241,14252,25113,61531,40340,89287,0.864227485282,0.791110006996,0.894828815616
2020-04-03,11,186,,,,,,,1071,843,1399,18821,14065,24479,62602,41184,90685,0.864084350617,0.790950949215,0.894698278766
2020-04-04,14,200,,,,,,,1048,815,1371,18410,13861,23899,63649,41999,92055,0.863946791363,0.790804030454,0.894577470091
2020-04-05,8,208,,,,,,,1025,788,1345,18008,13640,23357,64674,42788,93399,0.86381393528,0.790666311404,0.89446344577
2020-04-06,14,222,,,,,,,1003,761,1322,17616,13403,22846,65677,43549,94721,0.863685152591,0.790536354519,0.894351918986
2020-04-07,8,230,,,,,,,981,734,1300,17233,13149,22358,66658,44283,96020,0.863559984051,0.790413732965,0.894248545891
2020-04-08,14,244,,,,,,,960,712,1278,16858,12885,21899,67618,44996,97297,0.863438090688,0.790297474497,0.894146272235
2020-04-09,14,258,,,,,,,939,689,1254,16492,12608,21467,68557,45685,98551,0.863319218622,0.790186841095,0.894045376971
2020-04-10,19,277,,,,,,,919,667,1231,16135,12319,21056,69476,46353,99781,0.863203174411,0.790081263919,0.893945854375
2020-04-11,7,284,,,,,,,899,641,1209,15785,12015,20662,70375,46994,100989,0.863089807712,0.789980296794,0.893847699453
2020-04-12,8,292,,,,,,,879,616,1186,15443,11702,20284,71254,47611,102175,0.862978999079,0.789883582897,0.89375090767
2020-04-13,0,292,,,,,,,860,596,1164,15108,11390,19913,72114,48207,103339,0.862870651334,0.789790830893,0.893655474786
2020-04-14,4,296,,,,,,,841,573,1143,14781,11066,19549,72955,48781,104481,0.862764683469,0.789701797819,0.89356139674
2020-04-15,7,303,,,,,,,823,553,1122,14460,10732,19193,73778,49334,105602,0.862661026325,0.789616276797,0.893468669583
2020-04-16,9,312,,,,,,,805,533,1102,14146,10389,18843,74583,49867,106704,0.86255962954,0.789534088196,0.89337728944
2020-04-17,19,331,,,,,,,787,514,1082,13839,10041,18499,75370,50382,107785,0.862460476395,0.789455073249,0.893287256889
2020-04-18,0,331,,,,,,,770,496,1063,13538,9693,18163,76140,50878,108847,0.862363508761,0.789379089444,0.893198580011
2020-04-19,15,346,,,,,,,753,478,1043,13243,9356,17836,76893,51356,109890,0.862268670708,0.789305763372,0.893111228769
2020-04-20,0,346,,,,,,,736,461,1024,12954,9030,17515,77629,51818,110914,0.862176036483,0.78923553447,0.893025213842
2020-04-21,14,360,,,,,,,720,444,1005,12671,8713,17198,78348,52262,111918,0.862085477076,0.789167958615,0.892940533381
2020-04-22,13,373,,,,,,,703,427,986,12394,8406,16884,79052,52690,112904,0.86199690849,0.789102938258,0.892857186327
2020-04-23,12,385,,,,,,,688,410,967,12121,8104,16574,79739,53100,113871,0.861910367514,0.789040380763,0.892775172739
2020-04-24,8,393,,,,,,,672,394,949,11854,7809,16268,80411,53495,114819,0.861825825363,0.788980189051,0.89269449426
2020-04-25,7,400,,,,,,,657,379,930,11592,7521,15967,81068,53875,115748,0.861743300188,0.788922302192,0.892615154771
2020-04-26,8,408,,,,,,,642,364,912,11335,7245,15670,81709,54240,116659,0.861662813231,0.788866626517,0.892537161324
2020-04-27,8,416,,,,,,,627,350,894,11082,6979,15378,82336,54590,117552,0.861584349691,0.788813087288,0.892461760478
2020-04-28,13,429,,,,,,,612,336,876,10834,6719,15089,82948,54927,118427,0.861507966,0.78876161395,0.892388168582
2020-04-29,9,438,,,,,,,598,323,858,10591,6469,14804,83546,55251,119285,0.861433717512,0.788712140318,0.892315962279
2020-04-30,9,447,,,,,,,584,310,840,10351,6227,14522,84130,55561,120124,0.861361684646,0.788664604893,0.892245180377
2020-05-01,5,452,,,,,,,570,298,822,10116,5992,14242,84699,55860,120945,0.861291979971,0.788618951398,0.892175879875
2020-05-02,5,457,,,,,,,556,286,803,9885,5764,13963,85255,56146,121748,0.861224757408,0.788575129582,0.892108597452
2020-05-03,2,459,,,,,,,542,274,787,9658,5542,13688,85798,56420,122535,0.861160224186,0.788533096432,0.892044416285
2020-05-04,4,463,,,,,,,529,263,770,9434,5327,13415,86327,56684,123304,0.861098656384,0.788497231895,0.891982709998
2020-05-05,6,469,,,,,,,516,252,753,9214,5117,13144,86843,56936,124057,0.861040419154,0.788468364944,0.891930277278
2020-05-06,5,474,,,,,,,503,241,737,8998,4914,12876,87346,57177,124794,0.860985993045,0.788443552189,0.891881986072
2020-05-07,6,480,,,,,,,491,232,721,8786,4719,12611,87838,57409,125515,0.86093600831,0.788412094471,0.891838672078
2020-05-08,7,487,,,,,,,480,223,706,8578,4532,12350,88317,57633,126220,0.860891280952,0.788377413076,0.891797032535
2020-05-09,4,491,,,,,,,468,214,690,8374,4351,12091,88786,57847,126909,0.860852793524,0.78834418855,0.891786145889
2020-05-10,9,500,,,,,,,457,205,675,8175,4178,11836,89243,58053,127584,0.860821947583,0.788312366101,0.891811793137
2020-05-11,6,506,,,,,,,446,197,660,7979,4011,11585,89689,58251,128244,0.860800572871,0.788325819896,0.891776221631
2020-05-12,7,513,,,,,,,436,203,646,7788,3863,11337,90125,58454,128889,0.860791052135,0.788349784816,0.891837777274
2020-05-13,5,518,,,,,,,426,195,632,7602,3722,11094,90550,58650,129520,0.860796486136,0.788356936454,0.892010535201
2020-05-14,1,519,,,,,,,416,188,618,7420,3587,10854,90966,58838,130138,0.860820915236,0.788356066782,0.892215418404
2020-05-15,2,521,,,,,,,406,181,605,7242,3458,10618,91372,59020,130742,0.860869622011,0.788359452047,0.892220161837
2020-05-16,5,526,,,,,,,397,174,592,7070,3334,10388,91769,59194,131333,0.860949503055,0.788357036539,0.892242000929
2020-05-17,1,527,,,,,,,388,168,579,6901,3216,10164,92157,59362,131912,0.861069546381,0.788310181591,0.892561838562
2020-05-18,1,528,,,,,,,379,161,567,6738,3103,9944,92536,59524,132478,0.861241451135,0.788333257674,0.892645021268
2020-05-19,6,534,,,,,,,371,156,556,6579,2996,9730,92906,59680,133033,0.861480416797,0.78837625978,0.893527677019
2020-05-20,1,535,,,,,,,362,150,544,6426,2894,9521,93269,59831,133577,0.861806145034,0.788446980282,0.894900028426
2020-05-21,4,539,,,,,,,354,145,533,6277,2798,9317,93623,59976,134110,0.862244081237,0.788556332198,0.896235237752
