date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-22,,,,,,,,,245,130,351,245,130,351,245,130,351,1.98129666718,1.6,2.4
2020-02-23,,,,,,,,,245,130,351,490,260,702,490,260,702,1.97944499725,1.59820363219,2.39933069137
2020-02-24,,,,,,,,,245,130,351,734,390,1053,734,390,1053,1.97887624022,1.5975546131,2.39909224556
2020-02-25,,,,,,,,,245,130,351,979,520,1404,979,520,1404,1.97812953952,1.59674047505,2.39878519805
2020-02-26,,,,,,,,,245,130,351,1224,650,1755,1224,650,1755,1.97714841122,1.59564920327,2.39826861528
2020-02-27,,,,,,,,,245,130,351,1469,780,2106,1469,780,2106,1.97585839133,1.59435914762,2.39752057985
2020-02-28,,,,,,,,,245,130,351,1714,910,2457,1714,910,2457,1.97416146617,1.59244360778,2.3963361543
2020-02-29,,,,,,,,,245,130,351,1958,1040,2808,1958,1040,2808,1.97192896053,1.58988451535,2.39488238304
2020-03-01,,,,,,,,,245,130,351,2203,1170,3159,2203,1170,3159,1.96899262367,1.58651389061,2.39289144537
2020-03-02,,,,,,,,,724,388,1116,2927,1558,4275,2927,1558,4275,1.96506766685,1.58196214665,2.39042832049
2020-03-03,,,,,,,,,720,385,1104,3647,1944,5378,3647,1944,5378,1.95999639521,1.57580198237,2.38695678765
2020-03-04,,,,,,,,,763,407,1179,4410,2351,6557,4410,2351,6557,1.95334581126,1.56766862052,2.38219628138
2020-03-05,,,,,,,,,852,450,1336,5261,2801,7892,5261,2801,7892,1.94468376975,1.55630333249,2.37735208122
2020-03-06,,,,,,,,,1036,537,1655,6297,3339,9547,6297,3339,9547,1.93346096142,1.54155272683,2.37015824902
2020-03-07,,,,,,,,,1321,675,2173,7619,4014,11719,7619,4014,11719,1.91903030838,1.52506550725,2.36060268296
2020-03-08,,,,,,,,,1541,784,2578,8915,4669,13946,9160,4799,14297,1.90066507354,1.50472498102,2.34915210446
2020-03-09,,,,,,,,,1732,880,2949,10402,5419,16544,10892,5679,17246,1.87760886425,1.48348505438,2.3320525249
2020-03-10,,,,,,,,,1960,979,3388,12117,6268,19580,12852,6658,20633,1.84916514191,1.45412223164,2.30390086874
2020-03-11,,,,,,,,,2230,1099,3920,14102,7238,23149,15082,7758,24553,1.81480534909,1.41805336627,2.26811566421
2020-03-12,,,,,,,,,2556,1228,4552,16413,8336,27350,17637,8986,29105,1.77429140126,1.38536558264,2.23119484754
2020-03-13,,,,,,,,,2876,1343,5286,19045,9549,32284,20514,10329,34390,1.72776942443,1.32846744667,2.18316419028
2020-03-14,,,,,,,,,3180,1431,5978,21980,10851,37910,23693,11761,40367,1.67579279918,1.26813850401,2.13646668484
2020-03-15,,,,,,,,,3481,1532,6765,25216,12253,44324,27174,13293,47132,1.61927207353,1.21499026926,2.09719559053
2020-03-16,,,,,,,,,3785,1628,7539,28756,13752,51511,30959,14922,54670,1.55937462215,1.16631011176,2.04638227518
2020-03-17,1,1,,,,,,,4091,1731,8280,32123,15095,58675,35050,16653,62949,1.49741926156,1.12595765316,1.99531846092
2020-03-18,3,4,,,,,,,4378,1798,9057,35781,16508,66628,39428,18452,72005,1.43478925032,1.08102287882,1.9366223858
2020-03-19,1,5,,,,,,,4633,1845,9779,39651,17946,75227,44061,20298,81783,1.37286444652,1.03686295952,1.86484110009
2020-03-20,0,5,,,,,,,4854,1888,10437,43653,19384,84328,48914,22186,92220,1.31296575623,1.00400598424,1.76359609995
2020-03-21,1,6,,,,,,,5042,1925,10958,47659,20772,93631,53957,24111,103178,1.25630294558,0.975911854278,1.66304913579
