date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-23,,,,,,,,,71,38,95,71,38,95,71,38,95,1.87177795329,1.4,2.2
2020-02-24,,,,,,,,,71,38,95,141,76,190,141,76,190,1.87141713323,1.39983893597,2.19998523065
2020-02-25,,,,,,,,,71,38,95,212,114,285,212,114,285,1.87127281098,1.39975970052,2.19997636134
2020-02-26,,,,,,,,,71,38,95,282,152,380,282,152,380,1.87106966195,1.39963924304,2.19996207836
2020-02-27,,,,,,,,,71,38,95,353,190,475,353,190,475,1.87078325688,1.39947435686,2.19994079679
2020-02-28,,,,,,,,,71,38,95,423,228,570,423,228,570,1.8703788712,1.39925251364,2.19991153213
2020-02-29,,,,,,,,,71,38,95,494,266,665,494,266,665,1.86980713493,1.39888687811,2.19986779266
2020-03-01,,,,,,,,,71,38,95,564,304,760,564,304,760,1.86899789738,1.39848736773,2.19979428771
2020-03-02,,,,,,,,,71,38,95,635,342,855,635,342,855,1.86785165834,1.3979315442,2.1996744121
2020-03-03,,,,,,,,,201,111,288,836,453,1143,836,453,1143,1.86609837372,1.39703604862,2.1993573335
2020-03-04,,,,,,,,,200,111,287,1036,565,1430,1036,565,1430,1.86378329584,1.39586486245,2.19908964836
2020-03-05,,,,,,,,,212,116,305,1248,681,1735,1248,681,1735,1.8604877114,1.39421429844,2.19865030343
2020-03-06,,,,,,,,,235,127,344,1483,809,2078,1483,809,2078,1.85586578674,1.39187265722,2.1980177226
2020-03-07,,,,,,,,,284,155,429,1767,965,2507,1767,965,2507,1.84941001072,1.38859208251,2.19708722251
2020-03-08,,,,,,,,,359,199,558,2126,1164,3064,2126,1164,3064,1.84046439429,1.38410189113,2.19570285206
2020-03-09,,,,,,,,,418,228,658,2473,1354,3626,2544,1392,3721,1.82821999445,1.37794787996,2.19411633836
2020-03-10,,,,,,,,,468,252,746,2871,1568,4277,3012,1644,4467,1.81175626537,1.36966833601,2.19136795563
