date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-15,,,,,,,,,533,295,741,533,295,741,533,295,741,2.00977285641,1.6,2.4
2020-02-16,,,,,,,,,533,295,741,1066,590,1482,1066,590,1482,2.00864032014,1.59985180169,2.39953406168
2020-02-17,,,,,,,,,533,295,741,1599,885,2223,1599,885,2223,2.00834927566,1.59981306398,2.39936439912
2020-02-18,,,,,,,,,533,295,741,2132,1180,2964,2132,1180,2964,2.00798205305,1.59975423166,2.39913298601
2020-02-19,,,,,,,,,533,295,741,2666,1475,3705,2666,1475,3705,2.00751835719,1.59968697475,2.39881738512
2020-02-20,,,,,,,,,533,295,741,3199,1770,4446,3199,1770,4446,2.00693241082,1.59956678245,2.39839259194
2020-02-21,,,,,,,,,533,295,741,3732,2065,5187,3732,2065,5187,2.00619146893,1.59944311416,2.39781438113
2020-02-22,,,,,,,,,533,295,741,4265,2360,5928,4265,2360,5928,2.00525393947,1.59928355864,2.39701884017
2020-02-23,,,,,,,,,533,295,741,4798,2655,6669,4798,2655,6669,2.0040670147,1.59907754618,2.39593451666
2020-02-24,,,,,,,,,1586,908,2239,6384,3563,8908,6384,3563,8908,2.00215189359,1.59837766524,2.39407383685
2020-02-25,,,,,,,,,1579,905,2229,7963,4468,11137,7963,4468,11137,2.00019628078,1.59790127501,2.39201283487
2020-02-26,,,,,,,,,1677,960,2373,9640,5429,13509,9640,5429,13509,1.99762955593,1.59734456864,2.38914463047
2020-02-27,,,,,,,,,1878,1083,2689,11518,6513,16197,11518,6513,16197,1.99442025593,1.59649840602,2.38527369712
2020-02-28,,,,,,,,,2297,1333,3316,13815,7846,19513,13815,7846,19513,1.99038841286,1.59545016344,2.38014270517
2020-02-29,,,,,,,,,2950,1705,4369,16765,9552,23881,16765,9552,23881,1.98531210152,1.59412319584,2.37333120976
2020-03-01,,,,,,,,,3469,1988,5210,19700,11245,28350,20233,11540,29091,1.97890774572,1.59247794669,2.36394716847
2020-03-02,,,,,,,,,3942,2238,5996,23109,13188,33605,24175,13778,35087,1.97083098653,1.59048083204,2.35131701218
2020-03-03,,,,,,,,,4524,2544,6950,27099,15438,39813,28699,16323,42036,1.96070617818,1.58800851512,2.33445058401
2020-03-04,,,,,,,,,5241,2952,8264,31807,18095,47335,33939,19275,50299,1.94807624063,1.58373349636,2.31248057893
2020-03-05,,,,,,,,,6140,3434,9698,37414,21234,56291,40079,22709,59996,1.9323966602,1.5800096255,2.28315186467
2020-03-06,,,,,,,,,7092,3963,11292,43972,24903,66842,47171,26673,71288,1.91305876291,1.57594323079,2.24579910605
2020-03-07,,,,,,,,,8077,4491,12962,51516,29100,79062,55247,31165,84249,1.88941401855,1.57065980236,2.19750262562
2020-03-08,,,,,,,,,9140,5098,14601,60122,33903,92922,64387,36263,98850,1.8608382277,1.56383608371,2.14386426973
2020-03-09,,,,,,,,,10306,5790,16524,69896,39399,108704,74694,42054,115373,1.8267926148,1.54494700898,2.09809942708
2020-03-10,1,1,,,,,,,11573,6560,18518,79883,45050,124982,86267,48614,133890,1.78691176118,1.53218622978,2.05264321143
2020-03-11,0,1,,,,,,,12880,7459,20644,91184,51605,143397,99147,56073,154534,1.74110785518,1.51681070426,2.00231101978
2020-03-12,1,2,,,,,,,14174,8311,22556,103680,58955,163581,113320,64385,177090,1.68965880052,1.49577155115,1.9448139036
2020-03-13,1,3,,,,,,,15434,9230,23914,117236,67102,184806,128755,73615,201003,1.63325211904,1.43986307216,1.89280130914
2020-03-14,2,5,,,,,,,16644,10175,24937,131584,75944,206427,145399,83791,225940,1.57295548117,1.37671893504,1.84949234934
2020-03-15,2,7,,,,,,,17780,11205,25948,146414,85444,228007,163179,94996,251888,1.51011996522,1.30882268551,1.79291569893
