date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,263,139,383,263,139,383,263,139,383,1.6109268431,1.2,2
2020-02-17,,,,,,,,,263,139,383,526,279,766,526,279,766,1.60893347129,1.1993813806,1.99934810872
2020-02-18,,,,,,,,,263,139,383,789,419,1149,789,419,1149,1.60847385761,1.19924747955,1.99913642879
2020-02-19,,,,,,,,,263,139,383,1052,558,1532,1052,558,1532,1.60790673352,1.19908306067,1.99885607832
2020-02-20,,,,,,,,,263,139,383,1315,698,1915,1315,698,1915,1.60720673739,1.1988828651,1.99859915777
2020-02-21,,,,,,,,,263,139,383,1578,838,2298,1578,838,2298,1.60634256826,1.19863922793,1.99818842999
2020-02-22,,,,,,,,,263,139,383,1841,977,2681,1841,977,2681,1.60527565811,1.1983429121,1.9976575748
2020-02-23,,,,,,,,,263,139,383,2104,1117,3064,2104,1117,3064,1.60395859119,1.19787965936,1.99697165891
2020-02-24,,,,,,,,,263,139,383,2367,1257,3447,2367,1257,3447,1.60233324987,1.1973352998,1.99608572516
2020-02-25,,,,,,,,,681,356,1062,3048,1614,4509,3048,1614,4509,1.60031634535,1.19672797998,1.99493326114
2020-02-26,,,,,,,,,677,355,1053,3725,1969,5561,3725,1969,5561,1.59784486575,1.1960037007,1.9929871017
2020-02-27,,,,,,,,,707,369,1109,4432,2338,6670,4432,2338,6670,1.59480156946,1.19512486638,1.9912516848
2020-02-28,,,,,,,,,771,399,1225,5203,2738,7895,5203,2738,7895,1.59106474111,1.19406441576,1.98909185823
2020-02-29,,,,,,,,,903,460,1468,6106,3198,9362,6106,3198,9362,1.58648734669,1.19278990988,1.98640523525
2020-03-01,,,,,,,,,1108,562,1848,7214,3761,11210,7214,3761,11210,1.58089828134,1.19120540293,1.98306619959
2020-03-02,,,,,,,,,1264,636,2164,8215,4257,12991,8478,4397,13374,1.57410212595,1.18921514031,1.97888019871
2020-03-03,,,,,,,,,1395,687,2445,9347,4806,15052,9873,5085,15818,1.56588175735,1.18698462132,1.97385309784
2020-03-04,,,,,,,,,1546,739,2759,10630,5405,17428,11419,5825,18577,1.55600513435,1.18445843122,1.96523149528
2020-03-05,,,,,,,,,1723,793,3129,12089,6059,20173,13141,6618,21705,1.54423530221,1.18121448655,1.9557276757
2020-03-06,,,,,,,,,1941,871,3589,13767,6790,23378,15082,7489,25293,1.53034690912,1.17694084038,1.94275460308
2020-03-07,,,,,,,,,2162,949,4062,15665,7600,27057,17244,8438,29355,1.51414887584,1.17191980669,1.92520092718
2020-03-08,,,,,,,,,2378,1013,4531,17780,8474,31204,19621,9452,33885,1.49551098363,1.1661327674,1.90278841698
2020-03-09,,,,,,,,,2597,1078,5041,20114,9412,35862,22219,10530,38926,1.47439159161,1.15996245229,1.87704441933
