date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-28,,,,,,,,,131,79,209,131,79,209,131,79,209,1.79166248519,1.4,2.2
2020-02-29,,,,,,,,,131,79,209,261,158,418,261,158,418,1.76021666926,1.35088998432,2.1963973194
2020-03-01,,,,,,,,,131,79,209,392,237,627,392,237,627,1.74664033452,1.32812794213,2.19467341896
2020-03-02,,,,,,,,,131,79,209,523,316,836,523,316,836,1.727920346,1.29681141532,2.19194031879
2020-03-03,,,,,,,,,131,79,209,653,395,1045,653,395,1045,1.70285984437,1.25213466144,2.18741762085
2020-03-04,,,,,,,,,131,79,209,784,474,1254,784,474,1254,1.67055517645,1.1978565811,2.18004714783
2020-03-05,,,,,,,,,131,79,209,915,553,1463,915,553,1463,1.6306881026,1.15,2.16810863773
2020-03-06,,,,,,,,,131,79,209,1046,632,1672,1046,632,1672,1.58363829701,1.10896748884,2.15068328547
2020-03-07,,,,,,,,,131,79,209,1176,711,1881,1176,711,1881,1.53033672936,1.05465722422,2.12447844461
2020-03-08,,,,,,,,,320,186,497,1496,897,2378,1496,897,2378,1.47170540696,1.00685501465,2.09364688802
2020-03-09,,,,,,,,,310,182,478,1806,1079,2856,1806,1079,2856,1.40969657982,0.969680826481,2.04717418313
2020-03-10,,,,,,,,,313,183,485,2119,1262,3340,2119,1262,3340,1.34546962923,0.934379798426,1.99280281724
2020-03-11,,,,,,,,,327,189,504,2446,1452,3844,2446,1452,3844,1.28075042928,0.905387066691,1.92978526678
2020-03-12,,,,,,,,,361,205,568,2807,1657,4411,2807,1657,4411,1.2173919286,0.885811212739,1.84409927046
2020-03-13,,,,,,,,,414,232,663,3221,1890,5074,3221,1890,5074,1.15735828686,0.872558475068,1.74830332943
2020-03-14,,,,,,,,,442,250,719,3532,2061,5584,3662,2140,5793,1.10252538906,0.863806815378,1.6394175534
2020-03-15,,,,,,,,,455,258,746,3856,2241,6120,4118,2399,6538,1.05440882778,0.858564759414,1.5238545799
2020-03-16,,,,,,,,,468,266,762,4194,2428,6672,4586,2665,7299,1.01391553994,0.855227213496,1.38590288534
2020-03-17,,,,,,,,,482,275,785,4546,2625,7248,5068,2941,8084,0.981205862505,0.852982517438,1.26481157755
2020-03-18,,,,,,,,,501,287,815,4916,2833,7854,5570,3228,8899,0.955754404979,0.851425611279,1.1647566638
2020-03-19,,,,,,,,,518,299,846,5303,3054,8490,6088,3528,9744,0.936570003689,0.850512044695,1.09760330284
2020-03-20,,,,,,,,,529,310,859,5702,3286,9140,6617,3839,10603,0.922466355565,0.849924322526,1.04621767493
2020-03-21,,,,,,,,,539,321,868,6110,3528,9798,7156,4160,11470,0.912287004986,0.849570435144,1.01463810897
2020-03-22,,,,,,,,,548,331,873,6527,3780,10462,7704,4491,12343,0.905031747296,0.849203798198,1.00062093964
2020-03-23,3,3,,,,,,,557,342,878,6765,3937,10843,8261,4834,13220,0.899899829575,0.849022087307,0.999669708719
2020-03-24,0,3,,,,,,,567,350,881,7022,4105,11245,8828,5184,14101,0.896282348215,0.848841318009,0.999423728128
2020-03-25,0,3,,,,,,,575,359,887,7284,4281,11648,9403,5544,14987,0.893731836114,0.848624430328,0.999108865405
2020-03-26,0,3,,,,,,,582,369,896,7539,4461,12040,9985,5914,15883,0.891927157838,0.848336813262,0.998975738894
2020-03-27,0,3,,,,,,,589,377,892,7767,4633,12364,10574,6291,16775,0.890641372504,0.848120561742,0.998857112166
