date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,51,27,74,51,27,74,51,27,74,1.38011778577,1,1.8
2020-02-17,,,,,,,,,51,27,74,102,54,148,102,54,148,1.37998224327,0.999968093999,1.79994830877
2020-02-18,,,,,,,,,51,27,74,153,81,222,153,81,222,1.37994200135,0.999959794949,1.79992806073
2020-02-19,,,,,,,,,51,27,74,204,108,296,204,108,296,1.37988959559,0.999949337866,1.79990075264
2020-02-20,,,,,,,,,51,27,74,255,135,370,255,135,370,1.37982128188,0.999936013477,1.79986307256
2020-02-21,,,,,,,,,51,27,74,306,162,444,306,162,444,1.37973214414,0.999917998821,1.79981107964
2020-02-22,,,,,,,,,51,27,74,357,189,518,357,189,518,1.37961572282,0.999891803279,1.79973818589
2020-02-23,,,,,,,,,51,27,74,408,216,592,408,216,592,1.37946352563,0.999854600939,1.79964433705
2020-02-24,,,,,,,,,51,27,74,459,243,666,459,243,666,1.37926438387,0.999804624647,1.79951261715
2020-02-25,,,,,,,,,120,65,175,579,308,841,579,308,841,1.37893844676,0.999667004379,1.79932545319
2020-02-26,,,,,,,,,120,65,174,699,374,1014,699,374,1014,1.37858859403,0.999568091415,1.79908686889
2020-02-27,,,,,,,,,124,67,181,823,441,1195,823,441,1195,1.37812102994,0.999429573584,1.79872252481
2020-02-28,,,,,,,,,133,71,195,956,513,1390,956,513,1390,1.37751396227,0.99929667542,1.79820990801
2020-02-29,,,,,,,,,152,81,227,1108,595,1616,1108,595,1616,1.37672300149,0.999126912625,1.79754381569
2020-03-01,,,,,,,,,181,94,280,1289,690,1895,1289,690,1895,1.3756905041,0.998921486798,1.79703818167
2020-03-02,,,,,,,,,204,103,320,1441,767,2141,1492,794,2215,1.37434102903,0.998663761537,1.79588937723
2020-03-03,,,,,,,,,222,109,357,1612,849,2423,1714,903,2571,1.37257774262,0.998353164976,1.79441453222
2020-03-04,,,,,,,,,242,117,399,1803,939,2748,1956,1020,2970,1.37028054957,0.997925282256,1.79240530817
2020-03-05,,,,,,,,,265,125,451,2017,1038,3124,2221,1146,3420,1.36729745307,0.997386459735,1.78967071247
2020-03-06,,,,,,,,,294,135,514,2259,1147,3564,2515,1282,3934,1.3634394281,0.996707172078,1.78594965771
2020-03-07,,,,,,,,,323,145,577,2532,1266,4067,2838,1428,4511,1.35847897684,0.995840887618,1.7807676537
2020-03-08,,,,,,,,,352,153,642,2833,1392,4635,3190,1581,5153,1.35215182964,0.994760072721,1.77351740618
2020-03-09,,,,,,,,,381,162,710,3163,1527,5270,3571,1743,5862,1.34416787352,0.99342647295,1.76361209613
2020-03-10,,,,,,,,,412,170,773,3524,1670,5969,3983,1913,6635,1.33423131975,0.991805991544,1.75107485075
2020-03-11,1,1,,,,,,,445,176,855,3849,1781,6649,4428,2090,7489,1.32207450681,0.989875943796,1.73638052143
2020-03-12,0,1,,,,,,,479,183,940,4208,1899,7414,4907,2273,8428,1.3075040085,0.987633573735,1.71769185853
