date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-13,,,,,,,,,181,93,267,181,93,267,181,93,267,1.728611269,1.4,2.2
2020-02-14,,,,,,,,,181,93,267,362,186,534,362,186,534,1.72851462965,1.39993078681,2.19993814937
2020-02-15,,,,,,,,,181,93,267,543,279,801,543,279,801,1.7284864666,1.39990972931,2.19991442494
2020-02-16,,,,,,,,,181,93,267,724,372,1068,724,372,1068,1.72844997025,1.39988227194,2.19988170938
2020-02-17,,,,,,,,,181,93,267,905,465,1335,905,465,1335,1.72840263342,1.39984675635,2.19983646887
2020-02-18,,,,,,,,,181,93,267,1087,558,1602,1087,558,1602,1.72834118125,1.39980473214,2.19977390258
2020-02-19,,,,,,,,,181,93,267,1268,651,1869,1268,651,1869,1.72826133215,1.39975054067,2.1996871798
2020-02-20,,,,,,,,,181,93,267,1449,744,2136,1449,744,2136,1.72815748314,1.39968131191,2.1995647477
2020-02-21,,,,,,,,,181,93,267,1630,837,2403,1630,837,2403,1.7280222957,1.39959287771,2.1993935914
2020-02-22,,,,,,,,,490,264,705,2120,1101,3108,2120,1101,3108,1.72778868145,1.3994314401,2.19910018648
2020-02-23,,,,,,,,,488,263,703,2607,1364,3811,2607,1364,3811,1.72755178609,1.39928150161,2.19876229421
2020-02-24,,,,,,,,,512,276,744,3119,1640,4554,3119,1640,4554,1.72723231706,1.39907175641,2.19827883691
2020-02-25,,,,,,,,,563,303,833,3683,1943,5387,3683,1943,5387,1.72682106742,1.39880626121,2.19761447832
2020-02-26,,,,,,,,,670,362,1009,4353,2306,6395,4353,2306,6395,1.72628840481,1.39846049619,2.19669743069
2020-02-27,,,,,,,,,836,451,1292,5189,2758,7687,5189,2758,7687,1.72559578697,1.39802654057,2.19542802567
2020-02-28,,,,,,,,,967,525,1511,5975,3190,8930,6156,3283,9197,1.72469182184,1.39737694174,2.19366697327
2020-02-29,,,,,,,,,1081,590,1722,6875,3687,10385,7237,3873,10919,1.72350973296,1.39668892942,2.19122314331
2020-03-01,,,,,,,,,1218,662,1981,7912,4257,12098,8455,4536,12899,1.72196690574,1.3957349688,2.18800075463
2020-03-02,,,,,,,,,1385,744,2303,9115,4908,14134,9840,5280,15202,1.71995447973,1.39451941041,2.18363636987
2020-03-03,,,,,,,,,1594,844,2729,10529,5659,16595,11434,6124,17930,1.717329588,1.39293131562,2.17731754843
