date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-05,,,,,,,,,78,40,111,78,40,111,78,40,111,1.65351197382,1.2,2
2020-03-06,,,,,,,,,78,40,111,157,80,222,157,80,222,1.65327348364,1.1999671999,1.99998291089
2020-03-07,,,,,,,,,78,40,111,235,120,333,235,120,333,1.65320344491,1.19995666524,1.99997551021
2020-03-08,,,,,,,,,78,40,111,314,160,444,314,160,444,1.65311251776,1.19994180342,1.99996490289
2020-03-09,,,,,,,,,78,40,111,392,200,555,392,200,555,1.65299437088,1.19992492941,1.99994969888
2020-03-10,,,,,,,,,78,40,111,470,240,666,470,240,666,1.65284072469,1.19990131384,1.99992790536
2020-03-11,,,,,,,,,78,40,111,549,280,777,549,280,777,1.65264074572,1.19987036909,1.9998966653
2020-03-12,,,,,,,,,78,40,111,627,320,888,627,320,888,1.65238025332,1.19982848629,1.99985188286
2020-03-13,,,,,,,,,78,40,111,706,360,999,706,360,999,1.65204068265,1.19977443005,1.99978768651
2020-03-14,,,,,,,,,207,112,315,912,472,1314,912,472,1314,1.65155318316,1.19967737462,1.99964995953
2020-03-15,,,,,,,,,206,111,314,1118,583,1627,1118,583,1627,1.65096951536,1.19958398265,1.99951280068
2020-03-16,,,,,,,,,216,116,333,1333,700,1960,1333,700,1960,1.65019982344,1.19946691068,1.99934797036
2020-03-17,,,,,,,,,236,126,374,1569,826,2333,1569,826,2333,1.64919934628,1.19931921741,1.99908419312
2020-03-18,,,,,,,,,279,148,457,1848,975,2790,1848,975,2790,1.64789685357,1.19913202571,1.99871492739
2020-03-19,,,,,,,,,345,178,588,2193,1154,3377,2193,1154,3377,1.64620035319,1.19889412853,1.99819452308
2020-03-20,,,,,,,,,396,200,693,2511,1315,3958,2589,1355,4069,1.64399080501,1.19859109336,1.99745713201
2020-03-21,,,,,,,,,441,218,782,2873,1493,4629,3030,1573,4851,1.6411165884,1.19820483409,1.9964099697
2020-03-22,,,,,,,,,494,238,896,3289,1692,5413,3524,1812,5746,1.63738965046,1.19771389453,1.99492688423
2020-03-23,,,,,,,,,557,261,1035,3767,1913,6336,4081,2073,6780,1.63257549236,1.19701203973,1.99293602461
2020-03-24,,,,,,,,,636,293,1202,4324,2167,7426,4716,2367,7981,1.62638771841,1.19605129455,1.98999626947
2020-03-25,,,,,,,,,718,319,1372,4964,2446,8687,5435,2686,9353,1.61848821096,1.19473367979,1.98637737754
2020-03-26,,,,,,,,,803,343,1548,5689,2750,10123,6237,3030,10900,1.60849375092,1.1929011897,1.98086837824
2020-03-27,,,,,,,,,892,367,1758,6502,3077,11770,7130,3397,12658,1.595996152,1.19109367263,1.97435076609
2020-03-28,,,,,,,,,990,390,2012,7414,3427,13671,8120,3787,14670,1.5805962853,1.18869026461,1.96601744247
2020-03-29,1,1,,,,,,,1097,414,2303,8305,3730,15659,9217,4202,16972,1.56195528715,1.18591820632,1.95355643534
2020-03-30,3,4,,,,,,,1210,444,2613,9309,4063,17958,10427,4647,19584,1.53985806592,1.1829639334,1.93690441063
2020-03-31,2,6,,,,,,,1324,475,2930,10417,4422,20554,11751,5122,22513,1.51427565475,1.17688097986,1.91581432399
2020-04-01,1,7,,,,,,,1439,501,3213,11621,4797,23393,13190,5624,25726,1.48540841835,1.1717819535,1.88942237224
2020-04-02,1,8,,,,,,,1555,528,3487,12897,5177,26423,14745,6152,29212,1.45369355615,1.16385801219,1.8559723372
2020-04-03,1,9,,,,,,,1670,551,3817,14222,5549,29652,16415,6704,33029,1.41977202137,1.1407668147,1.81427785798
2020-04-04,1,10,,,,,,,1783,575,4182,15609,5924,33142,18198,7279,37211,1.38442460128,1.12487381869,1.76388927152
2020-04-05,0,10,,,,,,,1890,598,4362,17058,6304,36722,20088,7878,41572,1.34849647245,1.09939042503,1.70456723036
2020-04-06,1,11,,,,,,,1991,624,4577,18555,6689,40403,22079,8502,46148,1.31282925751,1.06717437355,1.6599616264
2020-04-07,3,14,,,,,,,2085,651,4849,20083,7079,44217,24164,9153,50997,1.27821064631,1.03773542844,1.60524770666
2020-04-08,1,15,,,,,,,2171,679,5107,21618,7465,48123,26335,9833,56104,1.24534162854,1.02073955901,1.54721501492
2020-04-09,3,18,,,,,,,2249,708,5345,23149,7855,52096,28584,10542,61448,1.21481475907,1.00125640732,1.49055022304
2020-04-10,1,19,,,,,,,2320,737,5487,24666,8249,56035,30904,11279,66935,1.18709486206,0.983094516211,1.43481690942
2020-04-11,1,20,,,,,,,2383,762,5622,26157,8644,59899,33286,12041,72557,1.16249751641,0.971895014078,1.36952782852
2020-04-12,4,24,,,,,,,2439,785,5699,27606,9039,63586,35725,12827,78255,1.1411697735,0.962415579737,1.30499136551
2020-04-13,3,27,,,,,,,2490,804,5745,28999,9429,67028,38216,13632,83999,1.12308500326,0.951257172156,1.25557692317
2020-04-14,1,28,,,,,,,2537,821,5780,30327,9807,70195,40753,14454,89779,1.10806135836,0.937150294241,1.21828232277
2020-04-15,0,28,,,,,,,2581,835,5824,31583,10167,73090,43334,15289,95603,1.09580213185,0.926518954274,1.19564275535
2020-04-16,1,29,,,,,,,2621,859,5926,32765,10524,75803,45955,16149,101528,1.08594616925,0.919845890337,1.18073865363
